agency_cd	site_no	datetime	5401_00054_32400	5401_00054_32400_cd	5402_00065_32400	5402_00065_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	09427500	2013-01-01	553800	A	47.15	A
USGS	09427500	2013-01-02	555800	A	47.26	A
USGS	09427500	2013-01-03	556800	A	47.31	A
USGS	09427500	2013-01-04	554300	A	47.18	A
USGS	09427500	2013-01-05	554900	A	47.21	A
USGS	09427500	2013-01-06	554700	A	47.20	A
USGS	09427500	2013-01-07	555100	A	47.22	A
USGS	09427500	2013-01-08	554500	A	47.19	A
USGS	09427500	2013-01-09	555600	A	47.25	A
USGS	09427500	2013-01-10	559200	A	47.44	A
USGS	09427500	2013-01-11	558800	A	47.42	A
USGS	09427500	2013-01-12	557500	A	47.35	A
USGS	09427500	2013-01-13	557500	A	47.35	A
USGS	09427500	2013-01-14	560200	A	47.49	A
USGS	09427500	2013-01-15	557900	A	47.37	A
USGS	09427500	2013-01-16	557000	A	47.32	A
USGS	09427500	2013-01-17	560000	A	47.48	A
USGS	09427500	2013-01-18	559400	A	47.45	A
USGS	09427500	2013-01-19	558100	A	47.38	A
USGS	09427500	2013-01-20	557700	A	47.36	A
USGS	09427500	2013-01-21	556600	A	47.30	A
USGS	09427500	2013-01-22	555300	A	47.23	A
USGS	09427500	2013-01-23	554500	A	47.19	A
USGS	09427500	2013-01-24	555800	A	47.26	A
USGS	09427500	2013-01-25	560700	A	47.52	A
USGS	09427500	2013-01-26	569900	A	48.01	A
USGS	09427500	2013-01-27	578500	A	48.46	A
USGS	09427500	2013-01-28	586600	A	48.89	A
USGS	09427500	2013-01-29	584200	A	48.76	A
USGS	09427500	2013-01-30	582700	A	48.68	A
USGS	09427500	2013-01-31	582300	A	48.66	A
USGS	09427500	2013-02-01	578300	A	48.45	A
USGS	09427500	2013-02-02	577700	A	48.42	A
USGS	09427500	2013-02-03	579000	A	48.49	A
USGS	09427500	2013-02-04	578900	A	48.48	A
USGS	09427500	2013-02-05	577000	A	48.38	A
USGS	09427500	2013-02-06	581100	A	48.60	A
USGS	09427500	2013-02-07	589500	A	49.04	A
USGS	09427500	2013-02-08	591300	A	49.13	A
USGS	09427500	2013-02-09	592700	A	49.20	A
USGS	09427500	2013-02-10	591700	A	49.15	A
USGS	09427500	2013-02-11	590700	A	49.10	A
USGS	09427500	2013-02-12	588000	A	48.96	A
USGS	09427500	2013-02-13	585700	A	48.84	A
USGS	09427500	2013-02-14	587800	A	48.95	A
USGS	09427500	2013-02-15	587400	A	48.93	A
USGS	09427500	2013-02-16	587000	A	48.91	A
USGS	09427500	2013-02-17	589100	A	49.02	A
USGS	09427500	2013-02-18	588700	A	49.00	A
USGS	09427500	2013-02-19	586300	A	48.87	A
USGS	09427500	2013-02-20	588200	A	48.97	A
USGS	09427500	2013-02-21	590900	A	49.11	A
USGS	09427500	2013-02-22	588700	A	49.00	A
USGS	09427500	2013-02-23	588000	A	48.96	A
USGS	09427500	2013-02-24	583800	A	48.74	A
USGS	09427500	2013-02-25	582700	A	48.68	A
USGS	09427500	2013-02-26	582500	A	48.67	A
USGS	09427500	2013-02-27	582700	A	48.68	A
USGS	09427500	2013-02-28	584600	A	48.78	A
USGS	09427500	2013-03-01	584900	A	48.80	A
USGS	09427500	2013-03-02	585900	A	48.85	A
USGS	09427500	2013-03-03	586800	A	48.90	A
USGS	09427500	2013-03-04	586100	A	48.86	A
USGS	09427500	2013-03-05	585500	A	48.83	A
USGS	09427500	2013-03-06	587000	A	48.91	A
USGS	09427500	2013-03-07	590700	A	49.10	A
USGS	09427500	2013-03-08	592700	A	49.20	A
USGS	09427500	2013-03-09	590900	A	49.11	A
USGS	09427500	2013-03-10	590300	A	49.08	A
USGS	09427500	2013-03-11	588700	A	49.00	A
USGS	09427500	2013-03-12	584900	A	48.80	A
USGS	09427500	2013-03-13	581900	A	48.64	A
USGS	09427500	2013-03-14	582500	A	48.67	A
USGS	09427500	2013-03-15	580800	A	48.58	A
USGS	09427500	2013-03-16	578500	A	48.46	A
USGS	09427500	2013-03-17	574300	A	48.24	A
USGS	09427500	2013-03-18	573000	A	48.17	A
USGS	09427500	2013-03-19	571300	A	48.08	A
USGS	09427500	2013-03-20	572600	A	48.15	A
USGS	09427500	2013-03-21	577000	A	48.38	A
USGS	09427500	2013-03-22	577300	A	48.40	A
USGS	09427500	2013-03-23	576200	A	48.34	A
USGS	09427500	2013-03-24	573900	A	48.22	A
USGS	09427500	2013-03-25	571100	A	48.07	A
USGS	09427500	2013-03-26	570300	A	48.03	A
USGS	09427500	2013-03-27	569900	A	48.01	A
USGS	09427500	2013-03-28	575100	A	48.28	A
USGS	09427500	2013-03-29	574900	A	48.27	A
USGS	09427500	2013-03-30	575400	A	48.30	A
USGS	09427500	2013-03-31	573900	A	48.22	A
USGS	09427500	2013-04-01	573900	A	48.22	A
USGS	09427500	2013-04-02	577300	A	48.40	A
USGS	09427500	2013-04-03	577500	A	48.41	A
USGS	09427500	2013-04-04	579000	A	48.49	A
USGS	09427500	2013-04-05	578900	A	48.48	A
USGS	09427500	2013-04-06	576800	A	48.37	A
USGS	09427500	2013-04-07	574300	A	48.24	A
USGS	09427500	2013-04-08	573500	A	48.20	A
USGS	09427500	2013-04-09	576600	A	48.36	A
USGS	09427500	2013-04-10	570300	A	48.03	A
USGS	09427500	2013-04-11	572600	A	48.15	A
USGS	09427500	2013-04-12	565400	A	47.77	A
USGS	09427500	2013-04-13	559000	A	47.43	A
USGS	09427500	2013-04-14	552500	A	47.08	A
USGS	09427500	2013-04-15	555100	A	47.22	A
USGS	09427500	2013-04-16	558700	A	47.41	A
USGS	09427500	2013-04-17	553800	A	47.15	A
USGS	09427500	2013-04-18	554700	A	47.20	A
USGS	09427500	2013-04-19	557300	A	47.34	A
USGS	09427500	2013-04-20	560200	A	47.49	A
USGS	09427500	2013-04-21	558800	A	47.42	A
USGS	09427500	2013-04-22	558800	A	47.42	A
USGS	09427500	2013-04-23	563900	A	47.69	A
USGS	09427500	2013-04-24	568600	A	47.94	A
USGS	09427500	2013-04-25	582500	A	48.67	A
USGS	09427500	2013-04-26	590100	A	49.07	A
USGS	09427500	2013-04-27	596800	A	49.41	A
USGS	09427500	2013-04-28	594400	A	49.29	A
USGS	09427500	2013-04-29	590900	A	49.11	A
USGS	09427500	2013-04-30	590700	A	49.10	A
USGS	09427500	2013-05-01	592100	A	49.17	A
USGS	09427500	2013-05-02	593100	A	49.22	A
USGS	09427500	2013-05-03	593700	A	49.25	A
USGS	09427500	2013-05-04	594800	A	49.31	A
USGS	09427500	2013-05-05	593900	A	49.26	A
USGS	09427500	2013-05-06	594400	A	49.29	A
USGS	09427500	2013-05-07	594400	A	49.29	A
USGS	09427500	2013-05-08	597200	A	49.43	A
USGS	09427500	2013-05-09	596400	A	49.39	A
USGS	09427500	2013-05-10	594300	A	49.28	A
USGS	09427500	2013-05-11	593900	A	49.26	A
USGS	09427500	2013-05-12	592900	A	49.21	A
USGS	09427500	2013-05-13	594100	A	49.27	A
USGS	09427500	2013-05-14	591300	A	49.13	A
USGS	09427500	2013-05-15	585900	A	48.85	A
USGS	09427500	2013-05-16	586800	A	48.90	A
USGS	09427500	2013-05-17	583800	A	48.74	A
USGS	09427500	2013-05-18	581000	A	48.59	A
USGS	09427500	2013-05-19	579800	A	48.53	A
USGS	09427500	2013-05-20	578100	A	48.44	A
USGS	09427500	2013-05-21	580400	A	48.56	A
USGS	09427500	2013-05-22	581900	A	48.64	A
USGS	09427500	2013-05-23	584000	A	48.75	A
USGS	09427500	2013-05-24	588000	A	48.96	A
USGS	09427500	2013-05-25	588400	A	48.98	A
USGS	09427500	2013-05-26	587200	A	48.92	A
USGS	09427500	2013-05-27	586500	A	48.88	A
USGS	09427500	2013-05-28	586300	A	48.87	A
USGS	09427500	2013-05-29	587600	A	48.94	A
USGS	09427500	2013-05-30	593900	A	49.26	A
USGS	09427500	2013-05-31	597000	A	49.42	A
USGS	09427500	2013-06-01	596200	A	49.38	A
USGS	09427500	2013-06-02	593500	A	49.24	A
USGS	09427500	2013-06-03	590500	A	49.09	A
USGS	09427500	2013-06-04	587600	A	48.94	A
USGS	09427500	2013-06-05	585500	A	48.83	A
USGS	09427500	2013-06-06	589500	A	49.04	A
USGS	09427500	2013-06-07	588000	A	48.96	A
USGS	09427500	2013-06-08	587600	A	48.94	A
USGS	09427500	2013-06-09	586800	A	48.90	A
USGS	09427500	2013-06-10	586600	A	48.89	A
USGS	09427500	2013-06-11	585500	A	48.83	A
USGS	09427500	2013-06-12	583400	A	48.72	A
USGS	09427500	2013-06-13	589300	A	49.03	A
USGS	09427500	2013-06-14	592100	A	49.17	A
USGS	09427500	2013-06-15	592300	A	49.18	A
