agency_cd	site_no	datetime	113126_72275_00003	113126_72275_00003_cd
5s	15s	20d	14n	10s
USGS	11504300	2013-12-24	4139.53	A
USGS	11504300	2013-12-25	4139.55	A
USGS	11504300	2013-12-26	4139.56	A
USGS	11504300	2013-12-27	4139.58	A
USGS	11504300	2013-12-28	4139.60	A
USGS	11504300	2013-12-29	4139.62	A
USGS	11504300	2013-12-30	4139.64	A
USGS	11504300	2013-12-31	4139.65	A
USGS	11504300	2014-01-01	4139.67	A
USGS	11504300	2014-01-02	4139.69	A
USGS	11504300	2014-01-03	4139.70	A
USGS	11504300	2014-01-04	4139.72	A
USGS	11504300	2014-01-05	4139.74	A
USGS	11504300	2014-01-06	4139.76	A
USGS	11504300	2014-01-07	4139.78	A
USGS	11504300	2014-01-08	4139.82	A
USGS	11504300	2014-01-09	4139.84	A
USGS	11504300	2014-01-10	4139.87	A
USGS	11504300	2014-01-11	4139.92	A
USGS	11504300	2014-01-12	4139.96	A
USGS	11504300	2014-01-13	4139.96	A
USGS	11504300	2014-01-14	4139.98	A
USGS	11504300	2014-01-15	4140.00	A
USGS	11504300	2014-01-16	4140.02	A
USGS	11504300	2014-01-17	4140.04	A
USGS	11504300	2014-01-18	4140.06	A
USGS	11504300	2014-01-19	4140.08	A
USGS	11504300	2014-01-20	4140.10	A
USGS	11504300	2014-01-21	4140.12	A
USGS	11504300	2014-01-22	4140.13	A
USGS	11504300	2014-01-23	4140.13	A
USGS	11504300	2014-01-24	4140.16	A
USGS	11504300	2014-01-25	4140.19	A
USGS	11504300	2014-01-26	4140.21	A
USGS	11504300	2014-01-27	4140.22	A
USGS	11504300	2014-01-28	4140.25	A
USGS	11504300	2014-01-29	4140.32	A
USGS	11504300	2014-01-30	4140.32	A
USGS	11504300	2014-01-31	4140.34	A
USGS	11504300	2014-02-01	4140.37	A
USGS	11504300	2014-02-02	4140.39	A
USGS	11504300	2014-02-03	4140.38	A
USGS	11504300	2014-02-04	4140.42	A
USGS	11504300	2014-02-05	4140.41	A
USGS	11504300	2014-02-06	4140.49	A
USGS	11504300	2014-02-07	4140.63	A
USGS	11504300	2014-02-08	4140.67	A
USGS	11504300	2014-02-09	4140.59	A
USGS	11504300	2014-02-10	4140.61	A
USGS	11504300	2014-02-11	4140.71	A
USGS	11504300	2014-02-12	4140.84	A
USGS	11504300	2014-02-13	4140.87	A
USGS	11504300	2014-02-14	4140.97	A
USGS	11504300	2014-02-15	4141.26	A
USGS	11504300	2014-02-16	4141.21	A
USGS	11504300	2014-02-17	4141.32	A
USGS	11504300	2014-02-18	4141.37	A
USGS	11504300	2014-02-19	4141.30	A
USGS	11504300	2014-02-20	4141.39	A
USGS	11504300	2014-02-21	4141.37	A
USGS	11504300	2014-02-22	4141.40	A
USGS	11504300	2014-02-23	4141.43	A
USGS	11504300	2014-02-24	4141.46	A
USGS	11504300	2014-02-25	4141.48	A
USGS	11504300	2014-02-26	4141.55	A
USGS	11504300	2014-02-27	4141.58	A
USGS	11504300	2014-02-28	4141.54	A
USGS	11504300	2014-03-01	4141.62	A
USGS	11504300	2014-03-02	4141.74	A
USGS	11504300	2014-03-03	4141.78	A
USGS	11504300	2014-03-04	4141.77	A
USGS	11504300	2014-03-05	4141.89	A
USGS	11504300	2014-03-06	4141.84	A
USGS	11504300	2014-03-07	4141.75	A
