agency_cd	site_no	datetime	8534_00054_32400	8534_00054_32400_cd	8535_62614_32400	8535_62614_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11128300	2013-01-01	1790	A:e		
USGS	11128300	2013-01-02	1790	A		
USGS	11128300	2013-01-03	1790	A	593.12	A
USGS	11128300	2013-01-04	1790	A	593.12	A
USGS	11128300	2013-01-05	1790	A	593.13	A
USGS	11128300	2013-01-06	1794	A	593.17	A
USGS	11128300	2013-01-07	1794	A	593.17	A
USGS	11128300	2013-01-08	1794	A	593.17	A
USGS	11128300	2013-01-09	1794	A	593.18	A
USGS	11128300	2013-01-10	1794	A	593.17	A
USGS	11128300	2013-01-11	1794	A	593.18	A
USGS	11128300	2013-01-12	1794	A	593.18	A
USGS	11128300	2013-01-13	1794	A	593.17	A
USGS	11128300	2013-01-14	1793	A	593.16	A
USGS	11128300	2013-01-15	1794	A	593.17	A
USGS	11128300	2013-01-16	1794	A	593.18	A
USGS	11128300	2013-01-17	1794	A	593.17	A
USGS	11128300	2013-01-18	1794	A	593.18	A
USGS	11128300	2013-01-19	1794	A	593.17	A
USGS	11128300	2013-01-20	1794	A	593.18	A
USGS	11128300	2013-01-21	1794	A	593.18	A
USGS	11128300	2013-01-22	1794	A	593.18	A
USGS	11128300	2013-01-23	1794	A	593.18	A
USGS	11128300	2013-01-24	1803	A	593.29	A
USGS	11128300	2013-01-25	1810	A	593.37	A
USGS	11128300	2013-01-26	1811	A	593.39	A
USGS	11128300	2013-01-27	1813	A	593.41	A
USGS	11128300	2013-01-28	1815	A	593.44	A
USGS	11128300	2013-01-29	1818	A	593.47	A
USGS	11128300	2013-01-30	1819	A	593.49	A
USGS	11128300	2013-01-31	1821	A	593.51	A
USGS	11128300	2013-02-01	1822	A	593.52	A
USGS	11128300	2013-02-02	1823	A	593.54	A
USGS	11128300	2013-02-03	1825	A	593.56	A
USGS	11128300	2013-02-04	1825	A	593.56	A
USGS	11128300	2013-02-05	1826	A	593.57	A
USGS	11128300	2013-02-06	1826	A	593.57	A
USGS	11128300	2013-02-07	1828	A	593.60	A
USGS	11128300	2013-02-08	1830	A	593.63	A
USGS	11128300	2013-02-09	1830	A	593.62	A
USGS	11128300	2013-02-10	1831	A	593.64	A
USGS	11128300	2013-02-11	1830	A	593.63	A
USGS	11128300	2013-02-12	1831	A	593.64	A
USGS	11128300	2013-02-13	1833	A	593.66	A
USGS	11128300	2013-02-14	1832	A	593.65	A
USGS	11128300	2013-02-15	1833	A	593.66	A
USGS	11128300	2013-02-16	1834	A	593.68	A
USGS	11128300	2013-02-17	1834	A	593.67	A
USGS	11128300	2013-02-18	1834	A	593.68	A
USGS	11128300	2013-02-19	1836	A	593.70	A
USGS	11128300	2013-02-20	1833	A	593.66	A
USGS	11128300	2013-02-21	1833	A	593.66	A
USGS	11128300	2013-02-22	1834	A	593.67	A
USGS	11128300	2013-02-23	1835	A	593.69	A
USGS	11128300	2013-02-24	1833	A	593.66	A
USGS	11128300	2013-02-25	1834	A	593.68	A
USGS	11128300	2013-02-26	1834	A	593.67	A
USGS	11128300	2013-02-27	1833	A	593.66	A
USGS	11128300	2013-02-28	1834	A	593.67	A
USGS	11128300	2013-03-01	1834	A	593.68	A
USGS	11128300	2013-03-02	1835	A	593.69	A
USGS	11128300	2013-03-03	1834	A	593.68	A
USGS	11128300	2013-03-04	1834	A	593.68	A
USGS	11128300	2013-03-05	1834	A	593.68	A
USGS	11128300	2013-03-06	1836	A	593.70	A
USGS	11128300	2013-03-07	1842	A	593.78	A
USGS	11128300	2013-03-08	1842	A	593.78	A
USGS	11128300	2013-03-09	1842	A	593.78	A
USGS	11128300	2013-03-10	1844	A	593.80	A
USGS	11128300	2013-03-11	1844	A	593.80	A
USGS	11128300	2013-03-12	1843	A	593.79	A
USGS	11128300	2013-03-13	1843	A	593.79	A
USGS	11128300	2013-03-14	1844	A	593.80	A
USGS	11128300	2013-03-15	1844	A	593.80	A
USGS	11128300	2013-03-16	1844	A	593.80	A
USGS	11128300	2013-03-17	1843	A	593.79	A
USGS	11128300	2013-03-18	1843	A	593.79	A
USGS	11128300	2013-03-19	1844	A	593.80	A
USGS	11128300	2013-03-20	1845	A	593.81	A
USGS	11128300	2013-03-21	1843	A	593.79	A
USGS	11128300	2013-03-22	1840	A	593.75	A
USGS	11128300	2013-03-23	1839	A	593.74	A
USGS	11128300	2013-03-24	1840	A	593.75	A
