agency_cd	site_no	datetime	114817_62614_32400	114817_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14361900	2014-05-29	1978.83	A
USGS	14361900	2014-05-30	1978.63	A
USGS	14361900	2014-05-31	1978.43	A
USGS	14361900	2014-06-01	1978.22	A
USGS	14361900	2014-06-02	1978.00	A
USGS	14361900	2014-06-03	1977.78	A
USGS	14361900	2014-06-04	1977.54	A
USGS	14361900	2014-06-05	1977.29	A
USGS	14361900	2014-06-06	1977.05	A
USGS	14361900	2014-06-07	1976.79	A
USGS	14361900	2014-06-08	1976.54	A
USGS	14361900	2014-06-09	1976.28	A
USGS	14361900	2014-06-10	1976.02	A
USGS	14361900	2014-06-11	1975.74	A
USGS	14361900	2014-06-12	1975.46	A
USGS	14361900	2014-06-13	1975.18	A
USGS	14361900	2014-06-14	1974.91	A
USGS	14361900	2014-06-15	1974.63	A
USGS	14361900	2014-06-16	1974.34	A
USGS	14361900	2014-06-17	1974.05	A
USGS	14361900	2014-06-18	1973.76	A
USGS	14361900	2014-06-19	1973.44	A
USGS	14361900	2014-06-20	1973.08	A
USGS	14361900	2014-06-21	1972.73	A
USGS	14361900	2014-06-22	1972.37	A
USGS	14361900	2014-06-23	1972.01	A
USGS	14361900	2014-06-24	1971.66	A
USGS	14361900	2014-06-25	1971.34	A
USGS	14361900	2014-06-26	1971.03	A
USGS	14361900	2014-06-27	1970.70	A
USGS	14361900	2014-06-28	1970.35	A
USGS	14361900	2014-06-29	1970.00	A
USGS	14361900	2014-06-30	1969.65	A
USGS	14361900	2014-07-01	1969.30	A
USGS	14361900	2014-07-02	1968.95	A
USGS	14361900	2014-07-03	1968.54	A
USGS	14361900	2014-07-04	1968.11	A
USGS	14361900	2014-07-05	1967.66	A
USGS	14361900	2014-07-06	1967.20	A
USGS	14361900	2014-07-07	1966.75	A
USGS	14361900	2014-07-08	1966.31	A
USGS	14361900	2014-07-09	1965.87	A
USGS	14361900	2014-07-10	1965.39	A
USGS	14361900	2014-07-11	1964.89	A
USGS	14361900	2014-07-12	1964.38	A
USGS	14361900	2014-07-13	1963.86	A
USGS	14361900	2014-07-14	1963.33	A
USGS	14361900	2014-07-15	1962.80	A
USGS	14361900	2014-07-16	1962.26	A
USGS	14361900	2014-07-17	1961.72	A
USGS	14361900	2014-07-18	1961.18	A
USGS	14361900	2014-07-19	1960.61	A
USGS	14361900	2014-07-20	1960.05	A
USGS	14361900	2014-07-21	1959.48	A
USGS	14361900	2014-07-22	1958.91	A
USGS	14361900	2014-07-23	1958.36	A
USGS	14361900	2014-07-24	1957.79	A
USGS	14361900	2014-07-25	1957.24	A
USGS	14361900	2014-07-26	1956.66	A
USGS	14361900	2014-07-27	1956.09	A
USGS	14361900	2014-07-28	1955.52	A
USGS	14361900	2014-07-29	1954.92	A
USGS	14361900	2014-07-30	1954.33	A
USGS	14361900	2014-07-31	1953.75	A
USGS	14361900	2014-08-01	1953.14	A
USGS	14361900	2014-08-02	1952.54	A
USGS	14361900	2014-08-03	1951.93	A
USGS	14361900	2014-08-04	1951.33	A
USGS	14361900	2014-08-05	1950.73	A
USGS	14361900	2014-08-06	1950.12	A
USGS	14361900	2014-08-07	1949.49	A
USGS	14361900	2014-08-08	1948.85	A
USGS	14361900	2014-08-09	1948.21	A
USGS	14361900	2014-08-10	1947.58	A
USGS	14361900	2014-08-11	1946.94	A
USGS	14361900	2014-08-12	1946.30	A
USGS	14361900	2014-08-13	1945.67	A
USGS	14361900	2014-08-14	1945.04	A
USGS	14361900	2014-08-15	1944.40	A
USGS	14361900	2014-08-16	1943.75	A
USGS	14361900	2014-08-17	1943.08	A
USGS	14361900	2014-08-18	1942.41	A
USGS	14361900	2014-08-19	1941.74	A
USGS	14361900	2014-08-20	1941.08	A
USGS	14361900	2014-08-21	1940.41	A
USGS	14361900	2014-08-22	1939.73	A
USGS	14361900	2014-08-23	1939.05	A
USGS	14361900	2014-08-24	1938.37	A
USGS	14361900	2014-08-25	1937.67	A
USGS	14361900	2014-08-26	1936.98	A
USGS	14361900	2014-08-27	1936.28	A
USGS	14361900	2014-08-28	1935.58	A
USGS	14361900	2014-08-29	1934.88	A
USGS	14361900	2014-08-30	1934.15	A
USGS	14361900	2014-08-31	1933.43	A
USGS	14361900	2014-09-01	1932.68	A
USGS	14361900	2014-09-02	1931.94	A
USGS	14361900	2014-09-03	1931.19	A
USGS	14361900	2014-09-04	1930.43	A
USGS	14361900	2014-09-05	1929.68	A
USGS	14361900	2014-09-06	1928.92	A
USGS	14361900	2014-09-07	1928.14	A
USGS	14361900	2014-09-08	1927.36	A
USGS	14361900	2014-09-09	1926.58	A
USGS	14361900	2014-09-10	1925.79	A
USGS	14361900	2014-09-11	1925.03	A
USGS	14361900	2014-09-12	1924.30	A
USGS	14361900	2014-09-13	1923.56	A
USGS	14361900	2014-09-14	1922.82	A
USGS	14361900	2014-09-15	1922.08	A
