agency_cd	site_no	datetime	149398_62615_32400	149398_62615_32400_cd
USGS	12191600	2011-01-01	695.22	A
USGS	12191600	2011-01-02	693.66	A
USGS	12191600	2011-01-03	692.21	A
USGS	12191600	2011-01-04	691.58	A
USGS	12191600	2011-01-05	691.98	A
USGS	12191600	2011-01-06	692.50	A
USGS	12191600	2011-01-07	693.72	A
USGS	12191600	2011-01-08	694.22	A
USGS	12191600	2011-01-09	695.00	A
USGS	12191600	2011-01-10	695.29	A
USGS	12191600	2011-01-11	694.79	A
USGS	12191600	2011-01-12	693.83	A
USGS	12191600	2011-01-13	694.43	A
USGS	12191600	2011-01-14	696.37	A
USGS	12191600	2011-01-15	697.13	A
USGS	12191600	2011-01-16	701.77	A
USGS	12191600	2011-01-17	705.12	A
USGS	12191600	2011-01-18	705.20	A
USGS	12191600	2011-01-19	704.43	A
USGS	12191600	2011-01-20	704.47	A
USGS	12191600	2011-01-21	704.42	A
USGS	12191600	2011-01-22	704.22	A
USGS	12191600	2011-01-23	704.47	A
USGS	12191600	2011-01-24	704.24	A
USGS	12191600	2011-01-25	704.31	A
USGS	12191600	2011-01-26	704.00	A
USGS	12191600	2011-01-27	703.24	A
USGS	12191600	2011-01-28	702.70	A
USGS	12191600	2011-01-29	702.93	A
USGS	12191600	2011-01-30	702.38	A
USGS	12191600	2011-01-31	701.58	A
USGS	12191600	2011-02-01	699.96	A
USGS	12191600	2011-02-02	698.70	A
USGS	12191600	2011-02-03	697.96	A
USGS	12191600	2011-02-04	699.30	A
USGS	12191600	2011-02-05	699.13	A
USGS	12191600	2011-02-06	699.29	A
USGS	12191600	2011-02-07	699.68	A
USGS	12191600	2011-02-08	699.30	A
USGS	12191600	2011-02-09	699.40	A
USGS	12191600	2011-02-10	699.13	A
USGS	12191600	2011-02-11	697.82	A
USGS	12191600	2011-02-12	698.78	A
USGS	12191600	2011-02-13	697.99	A
USGS	12191600	2011-02-14	696.96	A
USGS	12191600	2011-02-15	695.68	A
USGS	12191600	2011-02-16	695.42	A
USGS	12191600	2011-02-17	694.21	A
USGS	12191600	2011-02-18	693.22	A
USGS	12191600	2011-02-19	692.18	A
USGS	12191600	2011-02-20	690.62	A
USGS	12191600	2011-02-21	689.23	A
USGS	12191600	2011-02-22	687.30	A
USGS	12191600	2011-02-23	685.09	A
USGS	12191600	2011-02-24	682.62	A
USGS	12191600	2011-02-25	681.29	A
USGS	12191600	2011-02-26	680.60	A
USGS	12191600	2011-02-27	680.63	A
USGS	12191600	2011-02-28	679.81	A
USGS	12191600	2011-03-01	680.31	A
USGS	12191600	2011-03-02	680.10	A
USGS	12191600	2011-03-03	681.04	A
USGS	12191600	2011-03-04	679.60	A
USGS	12191600	2011-03-05	680.57	A
USGS	12191600	2011-03-06	680.31	A
USGS	12191600	2011-03-07	678.89	A
USGS	12191600	2011-03-08	678.45	A
USGS	12191600	2011-03-09	678.19	A
