agency_cd	site_no	datetime	213160_00054_32400	213160_00054_32400_cd
USGS	11243400	2011-01-01	25200	A
USGS	11243400	2011-01-02	25800	A
USGS	11243400	2011-01-03	25800	A
USGS	11243400	2011-01-04	25800	A
USGS	11243400	2011-01-05	25700	A
USGS	11243400	2011-01-06	25500	A
USGS	11243400	2011-01-07	25400	A
USGS	11243400	2011-01-08	25300	A
USGS	11243400	2011-01-09	25100	A
USGS	11243400	2011-01-10	25000	A
USGS	11243400	2011-01-11	24800	A
USGS	11243400	2011-01-12	24700	A
USGS	11243400	2011-01-13	24500	A
USGS	11243400	2011-01-14	24300	A
USGS	11243400	2011-01-15	24200	A
USGS	11243400	2011-01-16	24100	A
USGS	11243400	2011-01-17	24000	A
USGS	11243400	2011-01-18	23900	A
USGS	11243400	2011-01-19	23700	A
USGS	11243400	2011-01-20	23600	A
USGS	11243400	2011-01-21	23500	A
USGS	11243400	2011-01-22	23300	A
USGS	11243400	2011-01-23	23200	A
USGS	11243400	2011-01-24	23000	A
USGS	11243400	2011-01-25	22900	A
USGS	11243400	2011-01-26	22700	A
USGS	11243400	2011-01-27	22600	A
USGS	11243400	2011-01-28	22400	A
USGS	11243400	2011-01-29	22300	A
USGS	11243400	2011-01-30	22200	A
USGS	11243400	2011-01-31	22000	A
USGS	11243400	2011-02-01	21900	A
USGS	11243400	2011-02-02	21700	A
USGS	11243400	2011-02-03	21500	A
USGS	11243400	2011-02-04	21400	A
USGS	11243400	2011-02-05	21200	A
USGS	11243400	2011-02-06	21000	A
USGS	11243400	2011-02-07	20900	A
USGS	11243400	2011-02-08	20700	A
USGS	11243400	2011-02-09	20500	A
USGS	11243400	2011-02-10	20300	A
USGS	11243400	2011-02-11	20200	A
USGS	11243400	2011-02-12	20000	A
USGS	11243400	2011-02-13	19800	A
USGS	11243400	2011-02-14	19600	A
USGS	11243400	2011-02-15	19400	A
USGS	11243400	2011-02-16	19500	A
USGS	11243400	2011-02-17	19400	A
USGS	11243400	2011-02-18	19600	A
USGS	11243400	2011-02-19	19900	A
USGS	11243400	2011-02-20	19800	A
USGS	11243400	2011-02-21	19700	A
USGS	11243400	2011-02-22	19600	A
USGS	11243400	2011-02-23	19400	A
USGS	11243400	2011-02-24	19300	A
USGS	11243400	2011-02-25	19500	A
USGS	11243400	2011-02-26	19400	A
USGS	11243400	2011-02-27	19200	A
USGS	11243400	2011-02-28	19100	A
USGS	11243400	2011-03-01	19000	A
USGS	11243400	2011-03-02	19000	A
USGS	11243400	2011-03-03	19000	A
USGS	11243400	2011-03-04	19000	A
USGS	11243400	2011-03-05	18900	A
USGS	11243400	2011-03-06	18900	A
USGS	11243400	2011-03-07	19200	A
USGS	11243400	2011-03-08	19200	A
USGS	11243400	2011-03-09	19300	A
USGS	11243400	2011-03-10	19400	A
USGS	11243400	2011-03-11	19500	A
USGS	11243400	2011-03-12	19600	A
USGS	11243400	2011-03-13	19700	A
USGS	11243400	2011-03-14	19900	A
USGS	11243400	2011-03-15	20000	A
USGS	11243400	2011-03-16	20500	A
USGS	11243400	2011-03-17	20600	A
USGS	11243400	2011-03-18	20700	A
USGS	11243400	2011-03-19	20800	A
USGS	11243400	2011-03-20	21900	A
USGS	11243400	2011-03-21	22300	A
USGS	11243400	2011-03-22	22500	A
USGS	11243400	2011-03-23	23100	A
USGS	11243400	2011-03-24	23500	A
USGS	11243400	2011-03-25	23800	A
USGS	11243400	2011-03-26	24100	A
USGS	11243400	2011-03-27	24300	A
USGS	11243400	2011-03-28	24400	A
USGS	11243400	2011-03-29	24500	A
USGS	11243400	2011-03-30	24700	A
USGS	11243400	2011-03-31	25000	A
USGS	11243400	2011-04-01	25300	A
USGS	11243400	2011-04-02	25700	A
USGS	11243400	2011-04-03	26000	A
USGS	11243400	2011-04-04	26300	A
USGS	11243400	2011-04-05	26600	A
USGS	11243400	2011-04-06	26900	A
USGS	11243400	2011-04-07	27200	A
USGS	11243400	2011-04-08	27500	A
USGS	11243400	2011-04-09	27600	A
USGS	11243400	2011-04-10	27700	A
USGS	11243400	2011-04-11	27800	A
USGS	11243400	2011-04-12	28000	A
USGS	11243400	2011-04-13	28100	A
USGS	11243400	2011-04-14	28200	A
USGS	11243400	2011-04-15	28300	A
USGS	11243400	2011-04-16	28400	A
USGS	11243400	2011-04-17	28600	A
USGS	11243400	2011-04-18	28800	A
USGS	11243400	2011-04-19	29000	A
USGS	11243400	2011-04-20	29200	A
USGS	11243400	2011-04-21	29500	A
USGS	11243400	2011-04-22	29600	A
USGS	11243400	2011-04-23	29800	A
USGS	11243400	2011-04-24	30000	A
USGS	11243400	2011-04-25	30100	A
USGS	11243400	2011-04-26	30200	A
USGS	11243400	2011-04-27	30300	A
USGS	11243400	2011-04-28	30500	A
USGS	11243400	2011-04-29	30600	A
USGS	11243400	2011-04-30	30700	A
USGS	11243400	2011-05-01	30800	A
USGS	11243400	2011-05-02	31000	A
USGS	11243400	2011-05-03	31200	A
USGS	11243400	2011-05-04	31400	A
USGS	11243400	2011-05-05	31700	A
USGS	11243400	2011-05-06	32000	A
USGS	11243400	2011-05-07	32300	A
USGS	11243400	2011-05-08	32600	A
USGS	11243400	2011-05-09	32900	A
USGS	11243400	2011-05-10	33100	A
USGS	11243400	2011-05-11	33300	A
USGS	11243400	2011-05-12	33600	A
USGS	11243400	2011-05-13	33900	A
USGS	11243400	2011-05-14	34300	A
USGS	11243400	2011-05-15	34700	A
USGS	11243400	2011-05-16	34700	A
USGS	11243400	2011-05-17	34800	A
USGS	11243400	2011-05-18	34900	A
USGS	11243400	2011-05-19	34800	A
USGS	11243400	2011-05-20	34700	A
USGS	11243400	2011-05-21	34700	A
USGS	11243400	2011-05-22	34700	A
USGS	11243400	2011-05-23	34700	A
USGS	11243400	2011-05-24	34700	A
USGS	11243400	2011-05-25	34700	A
USGS	11243400	2011-05-26	34700	A
USGS	11243400	2011-05-27	34700	A
USGS	11243400	2011-05-28	34700	A
USGS	11243400	2011-05-29	34700	A
USGS	11243400	2011-05-30	34700	A
USGS	11243400	2011-05-31	34700	A
USGS	11243400	2011-06-01	34700	A
USGS	11243400	2011-06-02	34600	A
USGS	11243400	2011-06-03	34600	A
USGS	11243400	2011-06-04	34600	A
USGS	11243400	2011-06-05	34800	A
USGS	11243400	2011-06-06	34800	A
USGS	11243400	2011-06-07	34700	A
USGS	11243400	2011-06-08	34700	A
USGS	11243400	2011-06-09	34700	A
USGS	11243400	2011-06-10	34800	A
USGS	11243400	2011-06-11	34800	A
USGS	11243400	2011-06-12	34800	A
USGS	11243400	2011-06-13	34800	A
USGS	11243400	2011-06-14	34900	A
USGS	11243400	2011-06-15	34900	A
USGS	11243400	2011-06-16	35000	A
USGS	11243400	2011-06-17	34900	A
USGS	11243400	2011-06-18	34900	A
USGS	11243400	2011-06-19	34900	A
USGS	11243400	2011-06-20	34900	A
USGS	11243400	2011-06-21	34900	A
USGS	11243400	2011-06-22	34900	A
USGS	11243400	2011-06-23	34900	A
USGS	11243400	2011-06-24	34800	A
USGS	11243400	2011-06-25	34700	A
USGS	11243400	2011-06-26	34700	A
USGS	11243400	2011-06-27	34700	A
USGS	11243400	2011-06-28	34600	A
USGS	11243400	2011-06-29	34800	A
USGS	11243400	2011-06-30	34700	A
USGS	11243400	2011-07-01	34700	A
USGS	11243400	2011-07-02	34600	A
USGS	11243400	2011-07-03	34600	A
USGS	11243400	2011-07-04	34500	A
USGS	11243400	2011-07-05	34500	A
USGS	11243400	2011-07-06	34400	A
USGS	11243400	2011-07-07	34400	A
USGS	11243400	2011-07-08	34300	A
USGS	11243400	2011-07-09	34200	A
USGS	11243400	2011-07-10	34300	A
USGS	11243400	2011-07-11	34500	A
USGS	11243400	2011-07-12	34600	A
USGS	11243400	2011-07-13	34600	A
USGS	11243400	2011-07-14	34600	A
USGS	11243400	2011-07-15	34700	A
USGS	11243400	2011-07-16	34700	A
USGS	11243400	2011-07-17	34700	A
USGS	11243400	2011-07-18	34600	A
USGS	11243400	2011-07-19	34600	A
USGS	11243400	2011-07-20	34600	A
USGS	11243400	2011-07-21	34600	A
USGS	11243400	2011-07-22	34600	A
USGS	11243400	2011-07-23	34600	A
USGS	11243400	2011-07-24	34600	A
USGS	11243400	2011-07-25	34600	A
USGS	11243400	2011-07-26	34600	A
USGS	11243400	2011-07-27	34500	A
USGS	11243400	2011-07-28	34500	A
USGS	11243400	2011-07-29	34500	A
USGS	11243400	2011-07-30	34500	A
USGS	11243400	2011-07-31	34500	A
USGS	11243400	2011-08-01	34500	A
USGS	11243400	2011-08-02	34500	A
USGS	11243400	2011-08-03	34500	A
USGS	11243400	2011-08-04	34500	A
USGS	11243400	2011-08-05	34500	A
USGS	11243400	2011-08-06	34500	A
USGS	11243400	2011-08-07	34500	A
USGS	11243400	2011-08-08	34500	A
USGS	11243400	2011-08-09	34500	A
USGS	11243400	2011-08-10	34500	A
USGS	11243400	2011-08-11	34500	A
USGS	11243400	2011-08-12	34500	A
USGS	11243400	2011-08-13	34400	A
USGS	11243400	2011-08-14	34400	A
USGS	11243400	2011-08-15	34400	A
USGS	11243400	2011-08-16	34400	A
USGS	11243400	2011-08-17	34400	A
USGS	11243400	2011-08-18	34400	A
USGS	11243400	2011-08-19	34400	A
USGS	11243400	2011-08-20	34400	A
USGS	11243400	2011-08-21	34400	A
USGS	11243400	2011-08-22	34400	A
USGS	11243400	2011-08-23	34400	A
USGS	11243400	2011-08-24	34400	A
USGS	11243400	2011-08-25	34400	A
USGS	11243400	2011-08-26	34400	A
USGS	11243400	2011-08-27	34400	A
USGS	11243400	2011-08-28	34400	A
USGS	11243400	2011-08-29	34400	A
USGS	11243400	2011-08-30	34400	A
USGS	11243400	2011-08-31	34400	A
USGS	11243400	2011-09-01	34400	A
USGS	11243400	2011-09-02	34400	A
USGS	11243400	2011-09-03	34400	A
USGS	11243400	2011-09-04	34400	A
USGS	11243400	2011-09-05	34400	A
USGS	11243400	2011-09-06	34200	A
USGS	11243400	2011-09-07	34000	A
USGS	11243400	2011-09-08	33800	A
USGS	11243400	2011-09-09	33500	A
USGS	11243400	2011-09-10	33200	A
USGS	11243400	2011-09-11	33000	A
USGS	11243400	2011-09-12	32700	A
USGS	11243400	2011-09-13	32500	A
USGS	11243400	2011-09-14	32200	A
USGS	11243400	2011-09-15	32000	A
USGS	11243400	2011-09-16	31700	A
USGS	11243400	2011-09-17	31500	A
USGS	11243400	2011-09-18	31200	A
USGS	11243400	2011-09-19	31000	A
USGS	11243400	2011-09-20	30700	A
USGS	11243400	2011-09-21	30400	A
USGS	11243400	2011-09-22	30200	A
USGS	11243400	2011-09-23	29900	A
USGS	11243400	2011-09-24	29700	A
USGS	11243400	2011-09-25	29400	A
USGS	11243400	2011-09-26	29100	A
USGS	11243400	2011-09-27	28900	A
USGS	11243400	2011-09-28	28600	A
USGS	11243400	2011-09-29	28400	A
