agency_cd	site_no	datetime	216764_00054_32400	216764_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11359095	2015-10-01	413.0	A
USGS	11359095	2015-10-02	409.0	A
USGS	11359095	2015-10-03	402.0	A
USGS	11359095	2015-10-04	401.0	A
USGS	11359095	2015-10-05	401.0	A
USGS	11359095	2015-10-06	405.0	A
USGS	11359095	2015-10-07	408.0	A
USGS	11359095	2015-10-08	396.0	A
USGS	11359095	2015-10-09	403.0	A
USGS	11359095	2015-10-10	403.0	A
USGS	11359095	2015-10-11	404.0	A
USGS	11359095	2015-10-12	401.0	A
USGS	11359095	2015-10-13	401.0	A
USGS	11359095	2015-10-14	401.0	A
USGS	11359095	2015-10-15	403.0	A
USGS	11359095	2015-10-16	404.0	A
USGS	11359095	2015-10-17	413.0	A
USGS	11359095	2015-10-18	415.0	A
USGS	11359095	2015-10-19	408.0	A
USGS	11359095	2015-10-20	407.0	A
USGS	11359095	2015-10-21	404.0	A
USGS	11359095	2015-10-22	402.0	A
USGS	11359095	2015-10-23	395.0	A
USGS	11359095	2015-10-24	395.0	A
USGS	11359095	2015-10-25	395.0	A
USGS	11359095	2015-10-26	399.0	A
USGS	11359095	2015-10-27	405.0	A
USGS	11359095	2015-10-28	413.0	A
USGS	11359095	2015-10-29	409.0	A
USGS	11359095	2015-10-30	393.0	A
USGS	11359095	2015-10-31	402.0	A
USGS	11359095	2015-11-01	399.0	A
USGS	11359095	2015-11-02	405.0	A
USGS	11359095	2015-11-03	401.0	A
USGS	11359095	2015-11-04	397.0	A
USGS	11359095	2015-11-05	394.0	A
USGS	11359095	2015-11-06	402.0	A
USGS	11359095	2015-11-07	403.0	A
USGS	11359095	2015-11-08	401.0	A
USGS	11359095	2015-11-09	406.0	A
USGS	11359095	2015-11-10	398.0	A
USGS	11359095	2015-11-11	400.0	A
USGS	11359095	2015-11-12	395.0	A
USGS	11359095	2015-11-13	395.0	A
USGS	11359095	2015-11-14	395.0	A
USGS	11359095	2015-11-15	402.0	A
USGS	11359095	2015-11-16	438.0	A
USGS	11359095	2015-11-17	405.0	A
USGS	11359095	2015-11-18	405.0	A
USGS	11359095	2015-11-19	406.0	A
USGS	11359095	2015-11-20	409.0	A
USGS	11359095	2015-11-21	405.0	A
USGS	11359095	2015-11-22	403.0	A
USGS	11359095	2015-11-23	401.0	A
USGS	11359095	2015-11-24	407.0	A
USGS	11359095	2015-11-25	402.0	A
USGS	11359095	2015-11-26	408.0	A
USGS	11359095	2015-11-27	404.0	A
USGS	11359095	2015-11-28	408.0	A
USGS	11359095	2015-11-29	406.0	A
USGS	11359095	2015-11-30	405.0	A
USGS	11359095	2015-12-01	406.0	A
USGS	11359095	2015-12-02	406.0	A
USGS	11359095	2015-12-03	402.0	A
USGS	11359095	2015-12-04	403.0	A
USGS	11359095	2015-12-05	403.0	A
USGS	11359095	2015-12-06	400.0	A
USGS	11359095	2015-12-07	405.0	A
USGS	11359095	2015-12-08	405.0	A
USGS	11359095	2015-12-09	405.0	A
USGS	11359095	2015-12-10	402.0	A
USGS	11359095	2015-12-11	402.0	A
USGS	11359095	2015-12-12	400.0	A
USGS	11359095	2015-12-13	397.0	A
USGS	11359095	2015-12-14	403.0	A
USGS	11359095	2015-12-15	407.0	A
USGS	11359095	2015-12-16	405.0	A
USGS	11359095	2015-12-17	403.0	A
USGS	11359095	2015-12-18	407.0	A
USGS	11359095	2015-12-19	403.0	A
USGS	11359095	2015-12-20	402.0	A
USGS	11359095	2015-12-21	407.0	A
USGS	11359095	2015-12-22	402.0	A
USGS	11359095	2015-12-23	407.0	A
USGS	11359095	2015-12-24	404.0	A
USGS	11359095	2015-12-25	402.0	A
USGS	11359095	2015-12-26	402.0	A
USGS	11359095	2015-12-27	403.0	A
USGS	11359095	2015-12-28	405.0	A
USGS	11359095	2015-12-29	405.0	A
USGS	11359095	2015-12-30	403.0	A
USGS	11359095	2015-12-31	402.0	A
USGS	11359095	2016-01-01	402.0	A
USGS	11359095	2016-01-02	407.0	A
USGS	11359095	2016-01-03	402.0	A
USGS	11359095	2016-01-04	401.0	A
USGS	11359095	2016-01-05	407.0	A
USGS	11359095	2016-01-06	402.0	A
USGS	11359095	2016-01-07	401.0	A
USGS	11359095	2016-01-08	401.0	A
USGS	11359095	2016-01-09	405.0	A
USGS	11359095	2016-01-10	401.0	A
USGS	11359095	2016-01-11	401.0	A
USGS	11359095	2016-01-12	403.0	A
USGS	11359095	2016-01-13	400.0	A
USGS	11359095	2016-01-14	407.0	A
USGS	11359095	2016-01-15	404.0	A
USGS	11359095	2016-01-16	404.0	A
USGS	11359095	2016-01-17	413.0	A
USGS	11359095	2016-01-18	408.0	A
USGS	11359095	2016-01-19	395.0	A
USGS	11359095	2016-01-20	406.0	A
USGS	11359095	2016-01-21	402.0	A
USGS	11359095	2016-01-22	404.0	A
USGS	11359095	2016-01-23	402.0	A
USGS	11359095	2016-01-24	408.0	A
USGS	11359095	2016-01-25	403.0	A
USGS	11359095	2016-01-26	402.0	A
