agency_cd	site_no	datetime	9742_00054_32400	9742_00054_32400_cd
USGS	11292800	2013-01-01	37310	A
USGS	11292800	2013-01-02	37330	A
USGS	11292800	2013-01-03	37370	A
USGS	11292800	2013-01-04	37370	A
USGS	11292800	2013-01-05	37390	A
USGS	11292800	2013-01-06	37320	A
USGS	11292800	2013-01-07	37230	A
USGS	11292800	2013-01-08	37130	A
USGS	11292800	2013-01-09	37070	A
USGS	11292800	2013-01-10	37020	A
USGS	11292800	2013-01-11	36950	A
USGS	11292800	2013-01-12	36670	A
USGS	11292800	2013-01-13	36620	A
USGS	11292800	2013-01-14	36540	A
USGS	11292800	2013-01-15	36430	A
USGS	11292800	2013-01-16	36440	A
USGS	11292800	2013-01-17	36480	A
USGS	11292800	2013-01-18	36480	A
USGS	11292800	2013-01-19	36540	A
USGS	11292800	2013-01-20	36480	A
USGS	11292800	2013-01-21	36440	A
USGS	11292800	2013-01-22	36430	A
USGS	11292800	2013-01-23	36060	A
USGS	11292800	2013-01-24	35460	A
USGS	11292800	2013-01-25	34970	A
USGS	11292800	2013-01-26	34680	A
USGS	11292800	2013-01-27	34580	A
USGS	11292800	2013-01-28	34340	A
USGS	11292800	2013-01-29	34100	A
USGS	11292800	2013-01-30	33530	A
USGS	11292800	2013-01-31	32980	A
USGS	11292800	2013-02-01	32630	A
USGS	11292800	2013-02-02	32430	A
USGS	11292800	2013-02-03	32090	A
USGS	11292800	2013-02-04	31830	A
USGS	11292800	2013-02-05	31530	A
USGS	11292800	2013-02-06	31360	A
USGS	11292800	2013-02-07	30950	A
USGS	11292800	2013-02-08	30700	A
USGS	11292800	2013-02-09	30480	A
USGS	11292800	2013-02-10	30210	A
USGS	11292800	2013-02-11	29830	A
USGS	11292800	2013-02-12	29270	A
USGS	11292800	2013-02-13	28910	A
USGS	11292800	2013-02-14	28650	A
USGS	11292800	2013-02-15	28460	A
USGS	11292800	2013-02-16	28310	A
USGS	11292800	2013-02-17	28090	A
USGS	11292800	2013-02-18	27790	A
USGS	11292800	2013-02-19	27820	A
USGS	11292800	2013-02-20	28120	A
USGS	11292800	2013-02-21	28000	A
USGS	11292800	2013-02-22	27730	A
USGS	11292800	2013-02-23	27320	A
USGS	11292800	2013-02-24	27110	A
USGS	11292800	2013-02-25	26940	A
USGS	11292800	2013-02-26	26530	A
USGS	11292800	2013-02-27	26300	A
USGS	11292800	2013-02-28	26080	A
USGS	11292800	2013-03-01	25830	A
USGS	11292800	2013-03-02	25560	A
USGS	11292800	2013-03-03	25420	A
USGS	11292800	2013-03-04	25280	A
USGS	11292800	2013-03-05	25410	A
USGS	11292800	2013-03-06	25580	A
USGS	11292800	2013-03-07	25690	A
USGS	11292800	2013-03-08	25520	A
USGS	11292800	2013-03-09	25270	A
USGS	11292800	2013-03-10	25280	A
USGS	11292800	2013-03-11	25360	A
USGS	11292800	2013-03-12	25430	A
USGS	11292800	2013-03-13	25580	A
USGS	11292800	2013-03-14	25770	A
USGS	11292800	2013-03-15	26090	A
USGS	11292800	2013-03-16	26560	A
USGS	11292800	2013-03-17	26870	A
USGS	11292800	2013-03-18	27200	A
USGS	11292800	2013-03-19	27910	A
USGS	11292800	2013-03-20	28610	A
USGS	11292800	2013-03-21	29260	A
USGS	11292800	2013-03-22	29760	A
USGS	11292800	2013-03-23	30430	A
USGS	11292800	2013-03-24	31020	A
USGS	11292800	2013-03-25	31640	A
USGS	11292800	2013-03-26	32220	A
USGS	11292800	2013-03-27	32970	A
USGS	11292800	2013-03-28	33650	A
USGS	11292800	2013-03-29	34230	A
USGS	11292800	2013-03-30	34960	A
USGS	11292800	2013-03-31	35630	A
USGS	11292800	2013-04-01	36200	A
USGS	11292800	2013-04-02	36910	A
USGS	11292800	2013-04-03	37660	A
USGS	11292800	2013-04-04	38320	A
USGS	11292800	2013-04-05	38940	A
USGS	11292800	2013-04-06	39550	A
USGS	11292800	2013-04-07	40290	A
USGS	11292800	2013-04-08	40740	A
USGS	11292800	2013-04-09	41330	A
USGS	11292800	2013-04-10	41760	A
USGS	11292800	2013-04-11	42460	A
USGS	11292800	2013-04-12	43200	A
USGS	11292800	2013-04-13	44010	A
USGS	11292800	2013-04-14	44740	A
USGS	11292800	2013-04-15	45510	A
USGS	11292800	2013-04-16	46100	A
USGS	11292800	2013-04-17	46750	A
USGS	11292800	2013-04-18	47190	A
USGS	11292800	2013-04-19	47830	A
USGS	11292800	2013-04-20	48380	A
USGS	11292800	2013-04-21	49110	A
USGS	11292800	2013-04-22	49830	A
USGS	11292800	2013-04-23	50490	A
USGS	11292800	2013-04-24	51000	A
USGS	11292800	2013-04-25	51520	A
USGS	11292800	2013-04-26	52490	A
USGS	11292800	2013-04-27	53490	A
USGS	11292800	2013-04-28	54450	A
USGS	11292800	2013-04-29	55410	A
USGS	11292800	2013-04-30	56000	A
USGS	11292800	2013-05-01	56490	A
USGS	11292800	2013-05-02	56970	A
USGS	11292800	2013-05-03	57330	A
USGS	11292800	2013-05-04	57620	A
USGS	11292800	2013-05-05	57820	A
USGS	11292800	2013-05-06	58090	A
USGS	11292800	2013-05-07	58260	A
USGS	11292800	2013-05-08	58590	A
USGS	11292800	2013-05-09	59130	A
USGS	11292800	2013-05-10	59520	A
USGS	11292800	2013-05-11	60050	A
USGS	11292800	2013-05-12	60470	A
USGS	11292800	2013-05-13	60910	A
USGS	11292800	2013-05-14	61080	A
USGS	11292800	2013-05-15	61240	A
USGS	11292800	2013-05-16	61530	A
USGS	11292800	2013-05-17	61570	A
USGS	11292800	2013-05-18	61620	A
USGS	11292800	2013-05-19	61850	A
USGS	11292800	2013-05-20	62060	A
USGS	11292800	2013-05-21	62160	A
USGS	11292800	2013-05-22	62350	A
USGS	11292800	2013-05-23	62480	A
USGS	11292800	2013-05-24	62630	A
USGS	11292800	2013-05-25	62740	A
USGS	11292800	2013-05-26	62860	A
USGS	11292800	2013-05-27	62930	A
USGS	11292800	2013-05-28	63100	A
USGS	11292800	2013-05-29	63250	A
USGS	11292800	2013-05-30	63390	A
USGS	11292800	2013-05-31	63500	A
USGS	11292800	2013-06-01	63610	A
USGS	11292800	2013-06-02	63560	A
USGS	11292800	2013-06-03	63610	A
USGS	11292800	2013-06-04	63600	A
USGS	11292800	2013-06-05	63630	A
USGS	11292800	2013-06-06	63690	A
USGS	11292800	2013-06-07	63770	A
USGS	11292800	2013-06-08	63990	A
USGS	11292800	2013-06-09	63940	A
USGS	11292800	2013-06-10	63880	A
USGS	11292800	2013-06-11	63820	A
USGS	11292800	2013-06-12	63710	A
USGS	11292800	2013-06-13	63620	A
USGS	11292800	2013-06-14	63520	A
USGS	11292800	2013-06-15	63440	A
USGS	11292800	2013-06-16	63130	A
USGS	11292800	2013-06-17	62830	A
USGS	11292800	2013-06-18	62510	A
USGS	11292800	2013-06-19	62410	A
USGS	11292800	2013-06-20	62390	A
USGS	11292800	2013-06-21	62330	A
USGS	11292800	2013-06-22	62330	A
USGS	11292800	2013-06-23	62200	A
USGS	11292800	2013-06-24	62130	A
USGS	11292800	2013-06-25	62200	A
USGS	11292800	2013-06-26	62100	A
USGS	11292800	2013-06-27	62050	A
USGS	11292800	2013-06-28	62120	A
USGS	11292800	2013-06-29	62420	A
USGS	11292800	2013-06-30	62750	A
USGS	11292800	2013-07-01	62940	A
USGS	11292800	2013-07-02	63200	A
USGS	11292800	2013-07-03	63490	A
USGS	11292800	2013-07-04	63560	A
USGS	11292800	2013-07-05	63520	A
USGS	11292800	2013-07-06	63440	A
USGS	11292800	2013-07-07	63370	A
USGS	11292800	2013-07-08	63320	A
USGS	11292800	2013-07-09	63330	A
USGS	11292800	2013-07-10	63270	A
USGS	11292800	2013-07-11	63310	A
USGS	11292800	2013-07-12	63250	A
USGS	11292800	2013-07-13	63230	A
USGS	11292800	2013-07-14	63210	A
USGS	11292800	2013-07-15	63180	A
USGS	11292800	2013-07-16	63200	A
USGS	11292800	2013-07-17	63160	A
USGS	11292800	2013-07-18	63190	A
USGS	11292800	2013-07-19	63130	A
USGS	11292800	2013-07-20	63380	A
USGS	11292800	2013-07-21	63700	A
USGS	11292800	2013-07-22	63610	A
USGS	11292800	2013-07-23	63470	A
USGS	11292800	2013-07-24	63330	A
USGS	11292800	2013-07-25	63140	A
USGS	11292800	2013-07-26	63010	A
USGS	11292800	2013-07-27	62890	A
USGS	11292800	2013-07-28	62690	A
USGS	11292800	2013-07-29	62490	A
USGS	11292800	2013-07-30	62250	A
USGS	11292800	2013-07-31	62020	A
USGS	11292800	2013-08-01	61720	A
USGS	11292800	2013-08-02	61510	A
USGS	11292800	2013-08-03	61240	A
USGS	11292800	2013-08-04	60950	A
USGS	11292800	2013-08-05	60670	A
USGS	11292800	2013-08-06	60340	A
USGS	11292800	2013-08-07	60070	A
USGS	11292800	2013-08-08	59690	A
USGS	11292800	2013-08-09	59360	A
USGS	11292800	2013-08-10	58890	A
USGS	11292800	2013-08-11	58300	A
USGS	11292800	2013-08-12	57800	A
USGS	11292800	2013-08-13	57290	A
USGS	11292800	2013-08-14	56780	A
USGS	11292800	2013-08-15	56330	A
USGS	11292800	2013-08-16	55800	A
USGS	11292800	2013-08-17	55220	A
USGS	11292800	2013-08-18	54690	A
USGS	11292800	2013-08-19	54450	A
USGS	11292800	2013-08-20	54160	A
USGS	11292800	2013-08-21	53700	A
USGS	11292800	2013-08-22	53340	A
USGS	11292800	2013-08-23	53050	A
USGS	11292800	2013-08-24	52640	A
USGS	11292800	2013-08-25	52140	A
USGS	11292800	2013-08-26	51650	A
USGS	11292800	2013-08-27	51250	A
USGS	11292800	2013-08-28	50730	A
USGS	11292800	2013-08-29	50150	A
USGS	11292800	2013-08-30	49590	A
USGS	11292800	2013-08-31	49030	A
USGS	11292800	2013-09-01	48420	A
USGS	11292800	2013-09-02	47790	A
USGS	11292800	2013-09-03	47640	A
USGS	11292800	2013-09-04	47080	A
USGS	11292800	2013-09-05	46450	A
