agency_cd	site_no	datetime	113932_62614_32400	113932_62614_32400_cd
USGS	14181400	2013-08-01	1192.42	A
USGS	14181400	2013-08-02	1190.79	A
USGS	14181400	2013-08-03	1190.53	A
USGS	14181400	2013-08-04	1190.29	A
USGS	14181400	2013-08-05	1190.23	A
USGS	14181400	2013-08-06	1190.42	A
USGS	14181400	2013-08-07	1190.56	A
USGS	14181400	2013-08-08	1190.72	A
USGS	14181400	2013-08-09	1191.17	A
USGS	14181400	2013-08-10	1191.33	A
USGS	14181400	2013-08-11	1191.45	A
USGS	14181400	2013-08-12	1191.47	A
USGS	14181400	2013-08-13	1191.40	A
USGS	14181400	2013-08-14	1191.38	A
USGS	14181400	2013-08-15	1191.64	A
USGS	14181400	2013-08-16	1191.13	A
USGS	14181400	2013-08-17	1192.16	A
USGS	14181400	2013-08-18	1191.83	A
USGS	14181400	2013-08-19	1191.70	A
USGS	14181400	2013-08-20	1191.09	A
USGS	14181400	2013-08-21	1191.42	A
USGS	14181400	2013-08-22	1190.61	A
USGS	14181400	2013-08-23	1191.25	A
USGS	14181400	2013-08-24	1191.15	A
USGS	14181400	2013-08-25	1191.56	A
USGS	14181400	2013-08-26	1191.66	A
USGS	14181400	2013-08-27	1191.63	A
USGS	14181400	2013-08-28	1190.40	A
USGS	14181400	2013-08-29	1190.80	A
USGS	14181400	2013-08-30	1191.03	A
USGS	14181400	2013-08-31	1191.49	A
USGS	14181400	2013-09-01	1189.01	A
USGS	14181400	2013-09-02	1191.19	A
USGS	14181400	2013-09-03	1191.13	A
USGS	14181400	2013-09-04	1191.36	A
USGS	14181400	2013-09-05	1189.46	A
USGS	14181400	2013-09-06	1191.36	A
USGS	14181400	2013-09-07	1191.18	A
USGS	14181400	2013-09-08	1191.05	A
USGS	14181400	2013-09-09	1190.05	A
USGS	14181400	2013-09-10	1189.47	A
USGS	14181400	2013-09-11	1188.71	A
USGS	14181400	2013-09-12	1188.30	A
USGS	14181400	2013-09-13	1184.58	A
USGS	14181400	2013-09-14	1189.56	A
USGS	14181400	2013-09-15	1189.54	A
USGS	14181400	2013-09-16	1188.80	A
USGS	14181400	2013-09-17	1188.55	A
USGS	14181400	2013-09-18	1189.50	A
USGS	14181400	2013-09-19	1189.88	A
USGS	14181400	2013-09-20	1191.36	A
USGS	14181400	2013-09-21	1190.95	A
USGS	14181400	2013-09-22	1190.51	A
USGS	14181400	2013-09-23	1189.92	A
USGS	14181400	2013-09-24	1190.05	A
USGS	14181400	2013-09-25	1190.15	A
USGS	14181400	2013-09-26	1190.09	A
USGS	14181400	2013-09-27	1189.01	A
USGS	14181400	2013-09-28	1189.66	A
USGS	14181400	2013-09-29	1190.18	A
USGS	14181400	2013-09-30	1187.95	A
USGS	14181400	2013-10-01	1187.14	A
USGS	14181400	2013-10-02	1189.29	A
USGS	14181400	2013-10-03	1191.46	A
USGS	14181400	2013-10-04	1190.44	A
USGS	14181400	2013-10-05	1190.57	A
USGS	14181400	2013-10-06	1190.70	A
USGS	14181400	2013-10-07	1190.36	A
USGS	14181400	2013-10-08	1190.54	A
USGS	14181400	2013-10-09	1190.57	A
USGS	14181400	2013-10-10	1189.62	A
USGS	14181400	2013-10-11	1189.43	A
USGS	14181400	2013-10-12	1189.68	A
USGS	14181400	2013-10-13	1191.24	A
USGS	14181400	2013-10-14	1191.39	A
USGS	14181400	2013-10-15	1189.78	A
USGS	14181400	2013-10-16	1189.14	A
USGS	14181400	2013-10-17	1189.58	A
USGS	14181400	2013-10-18	1189.72	A
USGS	14181400	2013-10-19	1189.59	A
USGS	14181400	2013-10-20	1189.58	A
USGS	14181400	2013-10-21	1189.63	A
USGS	14181400	2013-10-22	1189.60	A
USGS	14181400	2013-10-23	1190.16	A
USGS	14181400	2013-10-24	1190.13	A
USGS	14181400	2013-10-25	1191.23	A
USGS	14181400	2013-10-26	1189.89	A
USGS	14181400	2013-10-27	1189.99	A
USGS	14181400	2013-10-28	1187.31	A
USGS	14181400	2013-10-29	1188.52	A
USGS	14181400	2013-10-30	1191.91	A
USGS	14181400	2013-10-31	1191.67	A
USGS	14181400	2013-11-01	1191.89	A
USGS	14181400	2013-11-02	1191.82	A
USGS	14181400	2013-11-03	1191.79	A
USGS	14181400	2013-11-04	1191.41	A
USGS	14181400	2013-11-05	1191.49	A
USGS	14181400	2013-11-06	1190.77	A
USGS	14181400	2013-11-07	1190.52	A
USGS	14181400	2013-11-08	1190.93	A
USGS	14181400	2013-11-09	1191.17	A
