agency_cd	site_no	datetime	213611_00054_00003	213611_00054_00003_cd
5s	15s	20d	14n	10s
USGS	11216100	2013-01-01	1230	A
USGS	11216100	2013-01-02	1220	A
USGS	11216100	2013-01-03	1160	A
USGS	11216100	2013-01-04	1180	A
USGS	11216100	2013-01-05	1160	A
USGS	11216100	2013-01-06	1060	A
USGS	11216100	2013-01-07	919.0	A
USGS	11216100	2013-01-08	876.0	A
USGS	11216100	2013-01-09	931.0	A
USGS	11216100	2013-01-10	936.0	A
USGS	11216100	2013-01-11	798.0	A
USGS	11216100	2013-01-12	815.0	A
USGS	11216100	2013-01-13	800.0	A
USGS	11216100	2013-01-14	802.0	A
USGS	11216100	2013-01-15	810.0	A
USGS	11216100	2013-01-16	834.0	A
USGS	11216100	2013-01-17	881.0	A
USGS	11216100	2013-01-18	993.0	A
USGS	11216100	2013-01-19	1120	A
USGS	11216100	2013-01-20	1240	A
USGS	11216100	2013-01-21	1200	A
USGS	11216100	2013-01-22	1140	A
USGS	11216100	2013-01-23	1090	A
USGS	11216100	2013-01-24	1260	A
USGS	11216100	2013-01-25	1120	A
USGS	11216100	2013-01-26	1200	A
USGS	11216100	2013-01-27	1180	A
USGS	11216100	2013-01-28	1190	A
USGS	11216100	2013-01-29	1020	A
USGS	11216100	2013-01-30	833.0	A
USGS	11216100	2013-01-31	937.0	A
USGS	11216100	2013-02-01	1100	A
USGS	11216100	2013-02-02	1080	A
USGS	11216100	2013-02-03	925.0	A
USGS	11216100	2013-02-04	1050	A
USGS	11216100	2013-02-05	1110	A
USGS	11216100	2013-02-06	1150	A
USGS	11216100	2013-02-07	1110	A
USGS	11216100	2013-02-08	1080	A
USGS	11216100	2013-02-09	975.0	A
USGS	11216100	2013-02-10	974.0	A
USGS	11216100	2013-02-11	1190	A
USGS	11216100	2013-02-12	1120	A
USGS	11216100	2013-02-13	1160	A
USGS	11216100	2013-02-14	1140	A
USGS	11216100	2013-02-15	1110	A
USGS	11216100	2013-02-16	983.0	A
USGS	11216100	2013-02-17	922.0	A
USGS	11216100	2013-02-18	955.0	A
USGS	11216100	2013-02-19	978.0	A
USGS	11216100	2013-02-20	907.0	A
USGS	11216100	2013-02-21	1020	A
USGS	11216100	2013-02-22	999.0	A
USGS	11216100	2013-02-23	894.0	A
USGS	11216100	2013-02-24	867.0	A
USGS	11216100	2013-02-25	857.0	A
USGS	11216100	2013-02-26	932.0	A
USGS	11216100	2013-02-27	935.0	A
