agency_cd	site_no	datetime	213908_00054_00011	213908_00054_00011_cd	225040_00054_32400	225040_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11414260	2013-03-14	674.0	A		
USGS	11414260	2013-03-15				
USGS	11414260	2013-03-16				
USGS	11414260	2013-03-17				
USGS	11414260	2013-03-18				
USGS	11414260	2013-03-19				
USGS	11414260	2013-03-20				
USGS	11414260	2013-03-21				
USGS	11414260	2013-03-22				
USGS	11414260	2013-03-23				
USGS	11414260	2013-03-24				
USGS	11414260	2013-03-25				
USGS	11414260	2013-03-26				
USGS	11414260	2013-03-27				
USGS	11414260	2013-03-28				
USGS	11414260	2013-03-29				
USGS	11414260	2013-03-30				
USGS	11414260	2013-03-31				
USGS	11414260	2013-04-01				
USGS	11414260	2013-04-02				
USGS	11414260	2013-04-03				
USGS	11414260	2013-04-04				
USGS	11414260	2013-04-05				
USGS	11414260	2013-04-06				
USGS	11414260	2013-04-07				
USGS	11414260	2013-04-08				
USGS	11414260	2013-04-09				
USGS	11414260	2013-04-10				
USGS	11414260	2013-04-11				
USGS	11414260	2013-04-12				
USGS	11414260	2013-04-13				
USGS	11414260	2013-04-14				
USGS	11414260	2013-04-15	725.0	A		
USGS	11414260	2013-04-16				
USGS	11414260	2013-04-17				
USGS	11414260	2013-04-18				
USGS	11414260	2013-04-19				
USGS	11414260	2013-04-20				
USGS	11414260	2013-04-21				
USGS	11414260	2013-04-22	708.0	A		
USGS	11414260	2013-04-23				
USGS	11414260	2013-04-24	708.0	A		
USGS	11414260	2013-04-25				
USGS	11414260	2013-04-26				
USGS	11414260	2013-04-27	708.0	A		
USGS	11414260	2013-04-28				
USGS	11414260	2013-04-29				
USGS	11414260	2013-04-30	696.0	A		
USGS	11414260	2013-05-01				
USGS	11414260	2013-05-02				
USGS	11414260	2013-05-03				
USGS	11414260	2013-05-04				
USGS	11414260	2013-05-05	691.0	A		
USGS	11414260	2013-05-06				
USGS	11414260	2013-05-07	691.0	A		
USGS	11414260	2013-05-08	691.0	A		
USGS	11414260	2013-05-09	691.0	A		
USGS	11414260	2013-05-10	691.0	A		
USGS	11414260	2013-05-11				
USGS	11414260	2013-05-12				
USGS	11414260	2013-05-13				
USGS	11414260	2013-05-14				
USGS	11414260	2013-05-15	685.0	A		
USGS	11414260	2013-05-16				
USGS	11414260	2013-05-17				
USGS	11414260	2013-05-18				
USGS	11414260	2013-05-19				
USGS	11414260	2013-05-20				
USGS	11414260	2013-05-21	674.0	A		
USGS	11414260	2013-05-22				
USGS	11414260	2013-05-23	668.0	A		
USGS	11414260	2013-05-24	668.0	A		
USGS	11414260	2013-05-25				
USGS	11414260	2013-05-26	663.0	A		
USGS	11414260	2013-05-27				
USGS	11414260	2013-05-28	663.0	A		
USGS	11414260	2013-05-29				
USGS	11414260	2013-05-30				
USGS	11414260	2013-05-31				
USGS	11414260	2013-06-01	657.0	A		
USGS	11414260	2013-06-02				
USGS	11414260	2013-06-03				
USGS	11414260	2013-06-04				
USGS	11414260	2013-06-05				
USGS	11414260	2013-06-06				
