agency_cd	site_no	datetime	113795_62614_32400	113795_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14162100	2013-09-30	1323.95	A
USGS	14162100	2013-10-01	1324.03	A
USGS	14162100	2013-10-02	1322.09	A
USGS	14162100	2013-10-03	1319.46	A
USGS	14162100	2013-10-04	1316.30	A
USGS	14162100	2013-10-05	1312.81	A
USGS	14162100	2013-10-06	1309.13	A
USGS	14162100	2013-10-07	1305.97	A
USGS	14162100	2013-10-08	1303.60	A
USGS	14162100	2013-10-09	1301.37	A
USGS	14162100	2013-10-10	1298.91	A
USGS	14162100	2013-10-11	1296.30	A
USGS	14162100	2013-10-12	1293.57	A
USGS	14162100	2013-10-13	1290.61	A
USGS	14162100	2013-10-14	1287.50	A
USGS	14162100	2013-10-15	1285.14	A
USGS	14162100	2013-10-16	1283.12	A
USGS	14162100	2013-10-17	1281.05	A
USGS	14162100	2013-10-18	1278.92	A
USGS	14162100	2013-10-19	1276.72	A
USGS	14162100	2013-10-20	1274.46	A
USGS	14162100	2013-10-21	1272.15	A
USGS	14162100	2013-10-22	1269.78	A
USGS	14162100	2013-10-23	1267.33	A
USGS	14162100	2013-10-24	1264.86	A
USGS	14162100	2013-10-25	1262.33	A
USGS	14162100	2013-10-26	1259.74	A
USGS	14162100	2013-10-27	1257.19	A
USGS	14162100	2013-10-28	1254.59	A
USGS	14162100	2013-10-29	1251.90	A
USGS	14162100	2013-10-30	1249.16	A
USGS	14162100	2013-10-31	1246.37	A
USGS	14162100	2013-11-01	1243.51	A
USGS	14162100	2013-11-02	1241.31	A
USGS	14162100	2013-11-03	1238.55	A
USGS	14162100	2013-11-04	1235.05	A
USGS	14162100	2013-11-05	1233.34	A
USGS	14162100	2013-11-06	1231.74	A
USGS	14162100	2013-11-07	1228.95	A
USGS	14162100	2013-11-08	1223.97	A
USGS	14162100	2013-11-09	1217.54	A
USGS	14162100	2013-11-10	1210.83	A
USGS	14162100	2013-11-11	1204.38	A
USGS	14162100	2013-11-12	1197.58	A
USGS	14162100	2013-11-13	1191.94	A
USGS	14162100	2013-11-14	1187.78	A
USGS	14162100	2013-11-15	1184.52	A
