agency_cd	site_no	datetime	7661_00054_32400	7661_00054_32400_cd	7663_62614_32400	7663_62614_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	10344490	2013-01-01	18950	A	5578.49	A
USGS	10344490	2013-01-02	18790	A	5578.26	A
USGS	10344490	2013-01-03	18520	A	5577.84	A
USGS	10344490	2013-01-04	18230	A	5577.39	A
USGS	10344490	2013-01-05	17970	A	5576.98	A
USGS	10344490	2013-01-06	17710	A	5576.57	A
USGS	10344490	2013-01-07	17550	A	5576.31	A
USGS	10344490	2013-01-08	17460	A	5576.17	A
USGS	10344490	2013-01-09	17390	A	5576.05	A
USGS	10344490	2013-01-10	17290	A	5575.90	A
USGS	10344490	2013-01-11	17150	A	5575.68	A
USGS	10344490	2013-01-12	17000	A	5575.46	A
USGS	10344490	2013-01-13	16870	A	5575.26	A
USGS	10344490	2013-01-14	16760	A	5575.08	A
USGS	10344490	2013-01-15	16650	A	5574.91	A
USGS	10344490	2013-01-16	16560	A	5574.77	A
USGS	10344490	2013-01-17	16530	A	5574.72	A
USGS	10344490	2013-01-18	16460	A	5574.61	A
USGS	10344490	2013-01-19	16350	A	5574.43	A
USGS	10344490	2013-01-20	16240	A	5574.26	A
USGS	10344490	2013-01-21	16130	A	5574.08	A
USGS	10344490	2013-01-22	16070	A	5573.99	A
USGS	10344490	2013-01-23	16150	A	5574.12	A
USGS	10344490	2013-01-24	16270	A	5574.31	A
USGS	10344490	2013-01-25	16400	A	5574.51	A
USGS	10344490	2013-01-26	16540	A	5574.74	A
USGS	10344490	2013-01-27	16660	A	5574.93	A
USGS	10344490	2013-01-28	16760	A	5575.09	A
USGS	10344490	2013-01-29	16850	A	5575.23	A
USGS	10344490	2013-01-30	16950	A	5575.37	A
USGS	10344490	2013-01-31	17040	A	5575.51	A
USGS	10344490	2013-02-01	17130	A	5575.66	A
USGS	10344490	2013-02-02	17220	A	5575.79	A
USGS	10344490	2013-02-03	17310	A	5575.93	A
USGS	10344490	2013-02-04	17370	A	5576.02	A
USGS	10344490	2013-02-05	17410	A	5576.08	A
USGS	10344490	2013-02-06	17430	A	5576.12	A
USGS	10344490	2013-02-07	17420	A	5576.10	A
USGS	10344490	2013-02-08	17360	A	5576.01	A
USGS	10344490	2013-02-09	17250	A	5575.83	A
USGS	10344490	2013-02-10	17110	A	5575.63	A
USGS	10344490	2013-02-11	16960	A	5575.40	A
USGS	10344490	2013-02-12	16840	A	5575.21	A
USGS	10344490	2013-02-13	16720	A	5575.02	A
USGS	10344490	2013-02-14	16610	A	5574.84	A
USGS	10344490	2013-02-15	16490	A	5574.66	A
