agency_cd	site_no	datetime	174051_00010_00001	174051_00010_00001_cd	174052_00010_00003	174052_00010_00003_cd	174053_00010_00002	174053_00010_00002_cd	174054_00048_00003	174054_00048_00003_cd	174055_00048_00001	174055_00048_00001_cd	174056_00048_00002	174056_00048_00002_cd	180120_00025_00003	180120_00025_00003_cd	180121_00025_00001	180121_00025_00001_cd
USGS	12398550	2011-01-01	0.5	A	0.4	A	0.4	A	96	A	96	A	96	A	714	A	715	A
USGS	12398550	2011-01-02	0.4	A	0.3	A	0.2	A	95	A	96	A	95	A	715	A	716	A
USGS	12398550	2011-01-03	0.2	A	0.1	A	0.0	A	95	A	95	A	94	A	715	A	716	A
USGS	12398550	2011-01-04	0.0	A	0.0	A	0.0	A	95	A	96	A	94	A	714	A	715	A
USGS	12398550	2011-01-05	0.0	A	0.0	A	0.0	A	96	A	97	A	95	A	715	A	716	A
USGS	12398550	2011-01-06	0.0	A	0.0	A	0.0	A	95	A	96	A	95	A	714	A	715	A
USGS	12398550	2011-01-07	0.2	A	0.0	A	0.0	A	96	A	97	A	95	A	707	A	712	A
USGS	12398550	2011-01-08	0.2	A	0.2	A	0.2	A	96	A	97	A	96	A	706	A	708	A
USGS	12398550	2011-01-09	0.2	A	0.2	A	0.0	A	96	A	96	A	95	A	711	A	716	A
USGS	12398550	2011-01-10	0.2	A	0.2	A	0.2	A	95	A	95	A	95	A	719	A	720	A
USGS	12398550	2011-01-11	0.2	A	0.2	A	0.2	A	95	A	95	A	95	A	718	A	720	A
USGS	12398550	2011-01-12	0.2	A	0.2	A	0.0	A	96	A	96	A	95	A	710	A	714	A
USGS	12398550	2011-01-13	0.0	A	0.0	A	0.0	A	96	A	97	A	95	A	707	A	711	A
USGS	12398550	2011-01-14	0.0	A	0.0	A	0.0	A	96	A	96	A	95	A	710	A	712	A
USGS	12398550	2011-01-15	0.0	A	0.0	A	0.0	A	95	A	96	A	95	A	710	A	713	A
USGS	12398550	2011-01-16	0.0	A	0.0	A	0.0	A	97	A	97	A	96	A	701	A	705	A
USGS	12398550	2011-01-17	0.2	A	0.1	A	0.0	A	97	A	98	A	97	A	704	A	709	A
USGS	12398550	2011-01-18	0.5	A	0.4	A	0.2	A	98	A	99	A	96	A	710	A	712	A
USGS	12398550	2011-01-19	0.5	A	0.5	A	0.5	A	99	A	103	A	98	A	716	A	719	A
USGS	12398550	2011-01-20	0.5	A	0.4	A	0.4	A	109	A	113	A	103	A	714	A	718	A
USGS	12398550	2011-01-21	1.0	A	0.6	A	0.4	A	116	A	118	A	113	A	709	A	714	A
USGS	12398550	2011-01-22	1.5	A	1.3	A	1.0	A	116	A	118	A	115	A	713	A	715	A
USGS	12398550	2011-01-23	1.6	A	1.6	A	1.5	A	116	A	116	A	115	A	712	A	716	A
USGS	12398550	2011-01-24	1.6	A	1.6	A	1.6	A	112	A	115	A	108	A	712	A	715	A
USGS	12398550	2011-01-25	1.6	A	1.5	A	1.4	A	106	A	108	A	106	A	716	A	718	A
USGS	12398550	2011-01-26	1.6	A	1.5	A	1.4	A	105	A	106	A	104	A	716	A	717	A
USGS	12398550	2011-01-27	1.8	A	1.7	A	1.5	A	107	A	110	A	105	A	714	A	717	A
USGS	12398550	2011-01-28	2.1	A	1.9	A	1.7	A	110	A	112	A	109	A	707	A	710	A
USGS	12398550	2011-01-29	2.4	A	2.2	A	2.1	A	110	A	112	A	107	A	706	A	707	A
USGS	12398550	2011-01-30	2.4	A	2.4	A	2.3	A	105	A	108	A	102	A	712	A	719	A
USGS	12398550	2011-01-31	2.4	A	2.2	A	2.0	A	101	A	102	A	99	A	721	A	725	A
USGS	12398550	2011-02-01	2.2	A	1.9	A	1.7	A	99	A	99	A	98	A	725	A	727	A
USGS	12398550	2011-02-02	1.8	A	1.6	A	1.3	A	98	A	99	A	97	A	724	A	725	A
USGS	12398550	2011-02-03	1.4	A	1.2	A	1.0	A	97	A	98	A	97	A	722	A	724	A
USGS	12398550	2011-02-04	1.0	A	0.8	A	0.6	A	97	A	99	A	96	A	715	A	720	A
USGS	12398550	2011-02-05	0.7	A	0.5	A	0.4	A	98	A	99	A	97	A	715	A	717	A
USGS	12398550	2011-02-06	0.6	A	0.5	A	0.4	A	98	A	100	A	97	A	716	A	719	A
USGS	12398550	2011-02-07	0.6	A	0.5	A	0.4	A	100	A	101	A	99	A	708	A	712	A
USGS	12398550	2011-02-08	0.4	A	0.3	A	0.3	A	99	A	100	A	98	A	717	A	720	A
USGS	12398550	2011-02-09	0.3	A	0.2	A	0.0	A	99	A	100	A	98	A	718	A	720	A
USGS	12398550	2011-02-10	0.6	A	0.4	A	0.2	A	100	A	102	A	99	A	714	A	716	A
USGS	12398550	2011-02-11	1.0	A	0.7	A	0.6	A	103	A	107	A	102	A	712	A	714	A
USGS	12398550	2011-02-12	1.3	A	1.1	A	0.9	A	109	A	113	A	106	A	703	A	709	A
USGS	12398550	2011-02-13	1.4	A	1.3	A	1.2	A	111	A	112	A	109	A	707	A	710	A
USGS	12398550	2011-02-14	1.5	A	1.4	A	1.3	A	111	A	112	A	111	A	701	A	705	A
USGS	12398550	2011-02-15	1.7	A	1.6	A	1.5	A	112	A	112	A	111	A	699	A	700	A
USGS	12398550	2011-02-16	1.9	A	1.8	A	1.7	A	109	A	112	A	105	A	695	A	697	A
USGS	12398550	2011-02-17	2.2	A	2.0	A	1.8	A	103	A	105	A	101	A	701	A	704	A
USGS	12398550	2011-02-18	2.3	A	2.2	A	2.1	A	103	A	105	A	101	A	707	A	710	A
USGS	12398550	2011-02-19	2.3	A	2.2	A	2.1	A	106	A	108	A	105	A	707	A	710	A
USGS	12398550	2011-02-20	2.3	A	2.2	A	2.0	A	107	A	108	A	106	A	706	A	707	A
USGS	12398550	2011-02-21	2.3	A	2.2	A	1.8	A	107	A	108	A	105	A	706	A	709	A
USGS	12398550	2011-02-22	2.3	A	2.2	A	2.1	A	105	A	106	A	104	A	701	A	704	A
USGS	12398550	2011-02-23	2.2	A	2.0	A	1.9	A	103	A	105	A	102	A	705	A	708	A
USGS	12398550	2011-02-24	2.0	A	1.9	A	1.6	A	101	A	102	A	100	A	712	A	714	A
USGS	12398550	2011-02-25	1.8	A	1.6	A	1.3	A	100	A	100	A	98	A	711	A	714	A
USGS	12398550	2011-02-26	1.4	A	1.1	A	0.8	A	99	A	100	A	98	A	705	A	709	A
USGS	12398550	2011-02-27	0.9	A	0.4	A	0.1	A	100	A	100	A	99	A	700	A	703	A
USGS	12398550	2011-02-28	0.1	A	-0.0	A	0.0	A	100	A	100	A	98	A	698	A	706	A
USGS	12398550	2011-03-01	0.0	A	0.0	A	0.0	A	98	A	99	A	96	A	708	A	709	A
USGS	12398550	2011-03-02	0.0	A	0.0	A	0.0	A	99	A	100	A	98	A	702	A	706	A
USGS	12398550	2011-03-03	0.0	A	0.0	A	0.0	A	99	A	99	A	97	A	709	A	710	A
USGS	12398550	2011-03-04	0.1	A	-0.0	A	0.0	A	99	A	100	A	97	A	713	A	716	A
USGS	12398550	2011-03-05	0.4	A	0.2	A	0.1	A	101	A	104	A	99	A	710	A	711	A
USGS	12398550	2011-03-06	0.7	A	0.4	A	0.3	A	104	A	105	A	103	A	707	A	710	A
USGS	12398550	2011-03-07	1.0	A	0.8	A	0.6	A	103	A	104	A	102	A	704	A	706	A
USGS	12398550	2011-03-08	1.2	A	1.0	A	0.9	A	102	A	103	A	101	A	708	A	712	A
USGS	12398550	2011-03-09	1.6	A	1.3	A	1.1	A	103	A	103	A	101	A	710	A	712	A
USGS	12398550	2011-03-10	2.1	A	1.8	A	1.6	A	104	A	104	A	103	A	702	A	707	A
USGS	12398550	2011-03-11	2.3	A	2.2	A	2.1	A	102	A	103	A	101	A	710	A	712	A
USGS	12398550	2011-03-12	2.4	A	2.3	A	2.2	A	103	A	103	A	101	A	709	A	711	A
