agency_cd	site_no	datetime	217020_00054_32400	217020_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11415500	2013-01-01	50600	A
USGS	11415500	2013-01-02	50400	A
USGS	11415500	2013-01-03	50200	A
USGS	11415500	2013-01-04	49900	A
USGS	11415500	2013-01-05	49700	A
USGS	11415500	2013-01-06	49500	A
USGS	11415500	2013-01-07	49300	A
USGS	11415500	2013-01-08	49000	A
USGS	11415500	2013-01-09	48900	A
USGS	11415500	2013-01-10	48700	A
USGS	11415500	2013-01-11	48500	A
USGS	11415500	2013-01-12	48300	A
USGS	11415500	2013-01-13	48100	A
USGS	11415500	2013-01-14	47800	A
USGS	11415500	2013-01-15	47600	A
USGS	11415500	2013-01-16	47300	A
USGS	11415500	2013-01-17	47100	A
USGS	11415500	2013-01-18	46900	A
USGS	11415500	2013-01-19	46600	A
USGS	11415500	2013-01-20	46400	A
USGS	11415500	2013-01-21	46200	A
USGS	11415500	2013-01-22	46000	A
USGS	11415500	2013-01-23	45700	A
USGS	11415500	2013-01-24	45500	A
USGS	11415500	2013-01-25	45400	A
USGS	11415500	2013-01-26	45700	A
USGS	11415500	2013-01-27	45900	A
USGS	11415500	2013-01-28	46100	A
USGS	11415500	2013-01-29	46300	A
USGS	11415500	2013-01-30	46400	A
USGS	11415500	2013-01-31	46600	A
USGS	11415500	2013-02-01	46700	A
USGS	11415500	2013-02-02	46900	A
USGS	11415500	2013-02-03	47000	A
USGS	11415500	2013-02-04	47200	A
USGS	11415500	2013-02-05	47300	A
USGS	11415500	2013-02-06	47500	A
USGS	11415500	2013-02-07	47600	A
USGS	11415500	2013-02-08	47800	A
USGS	11415500	2013-02-09	47900	A
USGS	11415500	2013-02-10	48000	A
USGS	11415500	2013-02-11	48100	A
USGS	11415500	2013-02-12	48200	A
USGS	11415500	2013-02-13	48300	A
USGS	11415500	2013-02-14	48400	A
USGS	11415500	2013-02-15	48500	A
USGS	11415500	2013-02-16	48700	A
USGS	11415500	2013-02-17	48800	A
USGS	11415500	2013-02-18	48900	A
USGS	11415500	2013-02-19	49100	A
USGS	11415500	2013-02-20	49200	A
USGS	11415500	2013-02-21	49300	A
USGS	11415500	2013-02-22	49400	A
USGS	11415500	2013-02-23	49500	A
USGS	11415500	2013-02-24	49600	A
USGS	11415500	2013-02-25	49700	A
USGS	11415500	2013-02-26	49800	A
USGS	11415500	2013-02-27	49900	A
USGS	11415500	2013-02-28	50000	A
USGS	11415500	2013-03-01	50100	A
USGS	11415500	2013-03-02	50200	A
USGS	11415500	2013-03-03	50400	A
USGS	11415500	2013-03-04	50600	A
USGS	11415500	2013-03-05	50800	A
USGS	11415500	2013-03-06	51100	A
USGS	11415500	2013-03-07	51200	A
USGS	11415500	2013-03-08	51400	A
USGS	11415500	2013-03-09	51500	A
USGS	11415500	2013-03-10	51600	A
USGS	11415500	2013-03-11	51800	A
USGS	11415500	2013-03-12	51900	A
USGS	11415500	2013-03-13	52200	A
USGS	11415500	2013-03-14	52500	A
USGS	11415500	2013-03-15	52700	A
USGS	11415500	2013-03-16	53000	A
USGS	11415500	2013-03-17	53300	A
USGS	11415500	2013-03-18	53600	A
USGS	11415500	2013-03-19	54000	A
USGS	11415500	2013-03-20	55000	A
USGS	11415500	2013-03-21	55800	A
USGS	11415500	2013-03-22	56300	A
USGS	11415500	2013-03-23	56500	A
USGS	11415500	2013-03-24	56700	A
USGS	11415500	2013-03-25	56900	A
USGS	11415500	2013-03-26	57100	A
USGS	11415500	2013-03-27	57400	A
USGS	11415500	2013-03-28	57600	A
USGS	11415500	2013-03-29	57900	A
USGS	11415500	2013-03-30	58300	A
USGS	11415500	2013-03-31	58700	A
USGS	11415500	2013-04-01	59100	A
USGS	11415500	2013-04-02	59400	A
USGS	11415500	2013-04-03	59700	A
USGS	11415500	2013-04-04	60400	A
USGS	11415500	2013-04-05	61100	A
USGS	11415500	2013-04-06	61500	A
USGS	11415500	2013-04-07	61900	A
USGS	11415500	2013-04-08	62400	A
USGS	11415500	2013-04-09	62700	A
USGS	11415500	2013-04-10	63000	A
USGS	11415500	2013-04-11	63400	A
USGS	11415500	2013-04-12	63800	A
USGS	11415500	2013-04-13	64200	A
USGS	11415500	2013-04-14	64600	A
USGS	11415500	2013-04-15	64900	A
