agency_cd	site_no	datetime	213661_00054_32400	213661_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11403500	2013-01-01	79100	A
USGS	11403500	2013-01-02	79000	A
USGS	11403500	2013-01-03	79200	A
USGS	11403500	2013-01-04	79300	A
USGS	11403500	2013-01-05	79500	A
USGS	11403500	2013-01-06	79600	A
USGS	11403500	2013-01-07	79600	A
USGS	11403500	2013-01-08	79500	A
USGS	11403500	2013-01-09	79800	A
USGS	11403500	2013-01-10	79900	A
USGS	11403500	2013-01-11	80000	A
USGS	11403500	2013-01-12	80000	A
USGS	11403500	2013-01-13	79900	A
USGS	11403500	2013-01-14	80000	A
USGS	11403500	2013-01-15	80100	A
USGS	11403500	2013-01-16	80200	A
USGS	11403500	2013-01-17	80000	A
USGS	11403500	2013-01-18	80100	A
USGS	11403500	2013-01-19	80200	A
USGS	11403500	2013-01-20	80300	A
USGS	11403500	2013-01-21	80200	A
USGS	11403500	2013-01-22	80200	A
USGS	11403500	2013-01-23	80400	A
USGS	11403500	2013-01-24	80600	A
USGS	11403500	2013-01-25	80600	A
USGS	11403500	2013-01-26	80900	A
USGS	11403500	2013-01-27	81000	A
USGS	11403500	2013-01-28	81100	A
USGS	11403500	2013-01-29	81200	A
USGS	11403500	2013-01-30	81100	A
USGS	11403500	2013-01-31	81200	A
USGS	11403500	2013-02-01	81300	A
USGS	11403500	2013-02-02	81400	A
USGS	11403500	2013-02-03	81200	A
USGS	11403500	2013-02-04	81100	A
USGS	11403500	2013-02-05	81000	A
USGS	11403500	2013-02-06	80800	A
USGS	11403500	2013-02-07	80500	A
USGS	11403500	2013-02-08	80300	A
USGS	11403500	2013-02-09	79900	A
USGS	11403500	2013-02-10	79600	A
USGS	11403500	2013-02-11	79200	A
USGS	11403500	2013-02-12	78800	A
USGS	11403500	2013-02-13	78500	A
USGS	11403500	2013-02-14	78100	A
USGS	11403500	2013-02-15	77800	A
USGS	11403500	2013-02-16	77400	A
USGS	11403500	2013-02-17	77300	A
USGS	11403500	2013-02-18	77200	A
USGS	11403500	2013-02-19	77000	A
USGS	11403500	2013-02-20	76800	A
USGS	11403500	2013-02-21	76500	A
USGS	11403500	2013-02-22	76200	A
USGS	11403500	2013-02-23	75800	A
USGS	11403500	2013-02-24	75600	A
USGS	11403500	2013-02-25	75500	A
USGS	11403500	2013-02-26	75100	A
USGS	11403500	2013-02-27	75000	A
USGS	11403500	2013-02-28	74800	A
USGS	11403500	2013-03-01	74600	A
USGS	11403500	2013-03-02	74700	A
USGS	11403500	2013-03-03	74600	A
USGS	11403500	2013-03-04	74700	A
USGS	11403500	2013-03-05	74700	A
USGS	11403500	2013-03-06	74800	A
USGS	11403500	2013-03-07	74700	A
USGS	11403500	2013-03-08	74700	A
USGS	11403500	2013-03-09	74800	A
USGS	11403500	2013-03-10	74900	A
USGS	11403500	2013-03-11	75000	A
USGS	11403500	2013-03-12	75200	A
USGS	11403500	2013-03-13	75400	A
USGS	11403500	2013-03-14	75500	A
USGS	11403500	2013-03-15	75700	A
USGS	11403500	2013-03-16	75900	A
USGS	11403500	2013-03-17	76000	A
USGS	11403500	2013-03-18	76200	A
USGS	11403500	2013-03-19	76500	A
USGS	11403500	2013-03-20	77300	A
USGS	11403500	2013-03-21	77700	A
USGS	11403500	2013-03-22	77900	A
USGS	11403500	2013-03-23	78200	A
USGS	11403500	2013-03-24	78400	A
USGS	11403500	2013-03-25	78400	A
USGS	11403500	2013-03-26	78100	A
USGS	11403500	2013-03-27	77900	A
USGS	11403500	2013-03-28	77800	A
USGS	11403500	2013-03-29	77900	A
USGS	11403500	2013-03-30	78000	A
USGS	11403500	2013-03-31	78700	A
USGS	11403500	2013-04-01	79100	A
USGS	11403500	2013-04-02	79400	A
USGS	11403500	2013-04-03	79800	A
USGS	11403500	2013-04-04	80400	A
USGS	11403500	2013-04-05	80900	A
USGS	11403500	2013-04-06	81400	A
USGS	11403500	2013-04-07	82000	A
USGS	11403500	2013-04-08	82500	A
USGS	11403500	2013-04-09	82800	A
USGS	11403500	2013-04-10	83200	A
USGS	11403500	2013-04-11	83600	A
USGS	11403500	2013-04-12	83900	A
USGS	11403500	2013-04-13	84300	A
USGS	11403500	2013-04-14	84600	A
USGS	11403500	2013-04-15	85000	A
USGS	11403500	2013-04-16	85200	A
USGS	11403500	2013-04-17	85400	A
USGS	11403500	2013-04-18	85700	A
USGS	11403500	2013-04-19	86000	A
USGS	11403500	2013-04-20	86300	A
USGS	11403500	2013-04-21	86600	A
USGS	11403500	2013-04-22	86800	A
USGS	11403500	2013-04-23	87100	A
USGS	11403500	2013-04-24	87300	A
USGS	11403500	2013-04-25	87600	A
USGS	11403500	2013-04-26	87800	A
USGS	11403500	2013-04-27	88100	A
USGS	11403500	2013-04-28	88300	A
USGS	11403500	2013-04-29	88500	A
USGS	11403500	2013-04-30	88700	A
USGS	11403500	2013-05-01	88900	A
USGS	11403500	2013-05-02	89100	A
USGS	11403500	2013-05-03	89300	A
USGS	11403500	2013-05-04	89400	A
USGS	11403500	2013-05-05	89600	A
USGS	11403500	2013-05-06	89800	A
USGS	11403500	2013-05-07	90000	A
USGS	11403500	2013-05-08	90200	A
USGS	11403500	2013-05-09	90500	A
USGS	11403500	2013-05-10	90600	A
USGS	11403500	2013-05-11	90800	A
USGS	11403500	2013-05-12	90900	A
USGS	11403500	2013-05-13	91100	A
USGS	11403500	2013-05-14	91100	A
USGS	11403500	2013-05-15	91300	A
USGS	11403500	2013-05-16	91400	A
USGS	11403500	2013-05-17	91600	A
USGS	11403500	2013-05-18	91700	A
USGS	11403500	2013-05-19	91800	A
USGS	11403500	2013-05-20	91900	A
USGS	11403500	2013-05-21	91900	A
USGS	11403500	2013-05-22	92000	A
USGS	11403500	2013-05-23	92100	A
USGS	11403500	2013-05-24	92200	A
USGS	11403500	2013-05-25	92200	A
USGS	11403500	2013-05-26	92300	A
USGS	11403500	2013-05-27	92500	A
USGS	11403500	2013-05-28	92500	A
USGS	11403500	2013-05-29	92600	A
USGS	11403500	2013-05-30	92700	A
USGS	11403500	2013-05-31	92700	A
USGS	11403500	2013-06-01	92800	A
USGS	11403500	2013-06-02	92900	A
USGS	11403500	2013-06-03	92900	A
USGS	11403500	2013-06-04	93000	A
USGS	11403500	2013-06-05	93000	A
USGS	11403500	2013-06-06	93100	A
USGS	11403500	2013-06-07	93100	A
USGS	11403500	2013-06-08	93100	A
USGS	11403500	2013-06-09	93200	A
USGS	11403500	2013-06-10	93200	A
USGS	11403500	2013-06-11	93200	A
USGS	11403500	2013-06-12	93300	A
USGS	11403500	2013-06-13	93300	A
USGS	11403500	2013-06-14	93300	A
USGS	11403500	2013-06-15	93300	A
USGS	11403500	2013-06-16	93000	A
USGS	11403500	2013-06-17	92500	A
USGS	11403500	2013-06-18	92500	A
USGS	11403500	2013-06-19	92500	A
USGS	11403500	2013-06-20	92600	A
USGS	11403500	2013-06-21	92300	A
USGS	11403500	2013-06-22	91900	A
USGS	11403500	2013-06-23	91900	A
USGS	11403500	2013-06-24	91900	A
USGS	11403500	2013-06-25	92400	A
USGS	11403500	2013-06-26	92400	A
USGS	11403500	2013-06-27	92100	A
USGS	11403500	2013-06-28	91900	A
USGS	11403500	2013-06-29	91400	A
USGS	11403500	2013-06-30	91300	A
