agency_cd	site_no	datetime	113527_62614_32400	113527_62614_32400_cd
USGS	14138560	2013-01-01	3174.57	A
USGS	14138560	2013-01-02	3174.49	A
USGS	14138560	2013-01-03	3174.43	A
USGS	14138560	2013-01-04	3174.36	A
USGS	14138560	2013-01-05	3174.29	A
USGS	14138560	2013-01-06	3174.26	A
USGS	14138560	2013-01-07	3174.50	A
USGS	14138560	2013-01-08	3174.67	A
USGS	14138560	2013-01-09	3174.79	A
USGS	14138560	2013-01-10	3174.86	A
USGS	14138560	2013-01-11	3174.83	A
USGS	14138560	2013-01-12	3174.79	A
USGS	14138560	2013-01-13	3174.74	A
USGS	14138560	2013-01-14	3174.69	A
USGS	14138560	2013-01-15	3174.61	A
USGS	14138560	2013-01-16	3174.56	A
USGS	14138560	2013-01-17	3174.49	A
USGS	14138560	2013-01-18	3174.43	A
USGS	14138560	2013-01-19	3174.38	A
USGS	14138560	2013-01-20	3174.32	A
USGS	14138560	2013-01-21	3174.27	A
USGS	14138560	2013-01-22	3174.25	A
USGS	14138560	2013-01-23	3174.19	A
USGS	14138560	2013-01-24	3174.15	A
USGS	14138560	2013-01-25	3174.24	A
USGS	14138560	2013-01-26	3174.29	A
USGS	14138560	2013-01-27	3174.33	A
USGS	14138560	2013-01-28	3174.43	A
USGS	14138560	2013-01-29	3174.53	A
USGS	14138560	2013-01-30	3174.60	A
USGS	14138560	2013-01-31	3174.65	A
USGS	14138560	2013-02-01	3174.71	A
USGS	14138560	2013-02-02	3174.65	A
USGS	14138560	2013-02-03	3174.63	A
USGS	14138560	2013-02-04	3174.59	A
USGS	14138560	2013-02-05	3174.66	A
USGS	14138560	2013-02-06	3174.58	A
USGS	14138560	2013-02-07	3174.58	A
USGS	14138560	2013-02-08	3174.52	A
USGS	14138560	2013-02-09	3174.47	A
USGS	14138560	2013-02-10	3174.39	A
USGS	14138560	2013-02-11	3174.35	A
USGS	14138560	2013-02-12	3174.32	A
USGS	14138560	2013-02-13	3174.35	A
USGS	14138560	2013-02-14	3174.31	A
USGS	14138560	2013-02-15	3174.28	A
USGS	14138560	2013-02-16	3174.30	A
USGS	14138560	2013-02-17	3174.26	A
USGS	14138560	2013-02-18	3174.22	A
USGS	14138560	2013-02-19	3174.16	A
USGS	14138560	2013-02-20	3174.13	A
USGS	14138560	2013-02-21	3174.14	A
USGS	14138560	2013-02-22	3174.22	A
USGS	14138560	2013-02-23	3174.21	A
USGS	14138560	2013-02-24	3174.14	A
USGS	14138560	2013-02-25	3174.22	A
USGS	14138560	2013-02-26	3174.13	A
USGS	14138560	2013-02-27	3174.07	A
