agency_cd	site_no	datetime	113570_62614_32400	113570_62614_32400_cd
USGS	14139000	2013-01-01	1034.98	A
USGS	14139000	2013-01-02	1034.84	A
USGS	14139000	2013-01-03	1034.72	A
USGS	14139000	2013-01-04	1034.75	A
USGS	14139000	2013-01-05	1034.46	A
USGS	14139000	2013-01-06	1034.82	A
USGS	14139000	2013-01-07	1037.02	A
USGS	14139000	2013-01-08	1037.22	A
USGS	14139000	2013-01-09	1035.87	A
USGS	14139000	2013-01-10	1035.47	A
USGS	14139000	2013-01-11	1034.67	A
USGS	14139000	2013-01-12	1034.75	A
USGS	14139000	2013-01-13	1034.67	A
USGS	14139000	2013-01-14	1034.88	A
USGS	14139000	2013-01-15	1034.64	A
USGS	14139000	2013-01-16	1034.69	A
USGS	14139000	2013-01-17	1034.61	A
USGS	14139000	2013-01-18	1034.71	A
USGS	14139000	2013-01-19	1034.90	A
USGS	14139000	2013-01-20	1035.14	A
USGS	14139000	2013-01-21	1034.99	A
USGS	14139000	2013-01-22	1035.25	A
USGS	14139000	2013-01-23	1035.09	A
USGS	14139000	2013-01-24	1035.19	A
USGS	14139000	2013-01-25	1035.83	A
USGS	14139000	2013-01-26	1035.33	A
USGS	14139000	2013-01-27	1034.81	A
USGS	14139000	2013-01-28	1036.40	A
USGS	14139000	2013-01-29	1035.82	A
USGS	14139000	2013-01-30	1036.26	A
USGS	14139000	2013-01-31	1035.82	A
USGS	14139000	2013-02-01	1035.82	A
USGS	14139000	2013-02-02	1035.51	A
USGS	14139000	2013-02-03	1035.00	A
USGS	14139000	2013-02-04	1035.01	A
USGS	14139000	2013-02-05	1034.46	A
USGS	14139000	2013-02-06	1034.82	A
USGS	14139000	2013-02-07	1034.63	A
USGS	14139000	2013-02-08	1034.90	A
USGS	14139000	2013-02-09	1034.89	A
USGS	14139000	2013-02-10	1034.98	A
USGS	14139000	2013-02-11	1035.13	A
USGS	14139000	2013-02-12	1035.12	A
USGS	14139000	2013-02-13	1035.77	A
