agency_cd	site_no	datetime	113584_62614_32400	113584_62614_32400_cd
USGS	14139900	2013-01-01	860.07	A
USGS	14139900	2013-01-02	860.01	A
USGS	14139900	2013-01-03	859.93	A
USGS	14139900	2013-01-04	860.14	A
USGS	14139900	2013-01-05	860.30	A
USGS	14139900	2013-01-06	860.06	A
USGS	14139900	2013-01-07	861.41	A
USGS	14139900	2013-01-08	861.57	A
USGS	14139900	2013-01-09	861.14	A
USGS	14139900	2013-01-10	860.80	A
USGS	14139900	2013-01-11	860.53	A
USGS	14139900	2013-01-12	860.47	A
USGS	14139900	2013-01-13	860.27	A
USGS	14139900	2013-01-14	860.23	A
USGS	14139900	2013-01-15	860.24	A
USGS	14139900	2013-01-16	860.15	A
USGS	14139900	2013-01-17	860.11	A
USGS	14139900	2013-01-18	860.07	A
USGS	14139900	2013-01-19	860.19	A
USGS	14139900	2013-01-20	860.29	A
USGS	14139900	2013-01-21	860.28	A
USGS	14139900	2013-01-22	860.17	A
USGS	14139900	2013-01-23	860.29	A
USGS	14139900	2013-01-24	860.30	A
USGS	14139900	2013-01-25	861.29	A
USGS	14139900	2013-01-26	860.85	A
USGS	14139900	2013-01-27	860.81	A
USGS	14139900	2013-01-28	861.07	A
USGS	14139900	2013-01-29	861.38	A
USGS	14139900	2013-01-30	861.64	A
USGS	14139900	2013-01-31	861.35	A
USGS	14139900	2013-02-01	860.95	A
USGS	14139900	2013-02-02	860.83	A
USGS	14139900	2013-02-03	860.68	A
USGS	14139900	2013-02-04	860.43	A
USGS	14139900	2013-02-05	860.79	A
USGS	14139900	2013-02-06	860.77	A
USGS	14139900	2013-02-07	860.63	A
USGS	14139900	2013-02-08	860.48	A
USGS	14139900	2013-02-09	860.38	A
USGS	14139900	2013-02-10	860.26	A
USGS	14139900	2013-02-11	860.23	A
USGS	14139900	2013-02-12	860.55	A
USGS	14139900	2013-02-13	860.87	A
USGS	14139900	2013-02-14	860.78	A
USGS	14139900	2013-02-15	860.41	A
USGS	14139900	2013-02-16	860.55	A
USGS	14139900	2013-02-17	860.53	A
USGS	14139900	2013-02-18	860.49	A
USGS	14139900	2013-02-19	860.41	A
USGS	14139900	2013-02-20	860.46	A
USGS	14139900	2013-02-21	860.32	A
USGS	14139900	2013-02-22	860.68	A
USGS	14139900	2013-02-23	860.53	A
USGS	14139900	2013-02-24	860.41	A
USGS	14139900	2013-02-25	860.58	A
USGS	14139900	2013-02-26	860.49	A
USGS	14139900	2013-02-27	860.40	A
USGS	14139900	2013-02-28	861.53	A
USGS	14139900	2013-03-01	861.42	A
USGS	14139900	2013-03-02	861.07	A
USGS	14139900	2013-03-03	860.83	A
USGS	14139900	2013-03-04	860.74	A
USGS	14139900	2013-03-05	860.49	A
USGS	14139900	2013-03-06	860.45	A
USGS	14139900	2013-03-07	860.39	A
USGS	14139900	2013-03-08	860.47	A
USGS	14139900	2013-03-09	860.47	A
USGS	14139900	2013-03-10	860.35	A
USGS	14139900	2013-03-11	860.50	A
USGS	14139900	2013-03-12	860.74	A
USGS	14139900	2013-03-13	860.58	A
USGS	14139900	2013-03-14	860.76	A
USGS	14139900	2013-03-15	860.88	A
USGS	14139900	2013-03-16	861.13	A
USGS	14139900	2013-03-17	860.77	A
USGS	14139900	2013-03-18	860.70	A
USGS	14139900	2013-03-19	860.67	A
USGS	14139900	2013-03-20	861.02	A
USGS	14139900	2013-03-21	860.78	A
USGS	14139900	2013-03-22	860.70	A
USGS	14139900	2013-03-23	860.48	A
USGS	14139900	2013-03-24	860.36	A
USGS	14139900	2013-03-25	860.23	A
USGS	14139900	2013-03-26	860.39	A
USGS	14139900	2013-03-27	860.58	A
USGS	14139900	2013-03-28	860.26	A
USGS	14139900	2013-03-29	860.52	A
USGS	14139900	2013-03-30	860.67	A
USGS	14139900	2013-03-31	860.73	A
USGS	14139900	2013-04-01	860.66	A
USGS	14139900	2013-04-02	860.62	A
USGS	14139900	2013-04-03	860.61	A
USGS	14139900	2013-04-04	860.82	A
USGS	14139900	2013-04-05	861.23	A
USGS	14139900	2013-04-06	861.43	A
USGS	14139900	2013-04-07	861.65	A
USGS	14139900	2013-04-08	861.14	A
USGS	14139900	2013-04-09	860.83	A
USGS	14139900	2013-04-10	861.15	A
USGS	14139900	2013-04-11	860.81	A
USGS	14139900	2013-04-12	860.77	A
USGS	14139900	2013-04-13	860.77	A
USGS	14139900	2013-04-14	860.76	A
USGS	14139900	2013-04-15	860.62	A
USGS	14139900	2013-04-16	860.57	A
USGS	14139900	2013-04-17	860.44	A
USGS	14139900	2013-04-18	860.43	A
USGS	14139900	2013-04-19	861.59	A
USGS	14139900	2013-04-20	861.47	A
USGS	14139900	2013-04-21	860.94	A
USGS	14139900	2013-04-22	860.78	A
USGS	14139900	2013-04-23	860.70	A
USGS	14139900	2013-04-24	860.49	A
USGS	14139900	2013-04-25	860.62	A
USGS	14139900	2013-04-26	860.44	A
USGS	14139900	2013-04-27	860.47	A
USGS	14139900	2013-04-28	860.47	A
USGS	14139900	2013-04-29	860.74	A
USGS	14139900	2013-04-30	860.37	A
USGS	14139900	2013-05-01	859.99	A
USGS	14139900	2013-05-02	859.96	A
USGS	14139900	2013-05-03	860.28	A
USGS	14139900	2013-05-04	859.90	A
USGS	14139900	2013-05-05	859.96	A
USGS	14139900	2013-05-06	860.28	A
USGS	14139900	2013-05-07	860.33	A
USGS	14139900	2013-05-08	860.32	A
USGS	14139900	2013-05-09	860.14	A
USGS	14139900	2013-05-10	859.68	A
USGS	14139900	2013-05-11	859.34	A
USGS	14139900	2013-05-12	859.20	A
USGS	14139900	2013-05-13	858.86	A
USGS	14139900	2013-05-14	858.70	A
USGS	14139900	2013-05-15	858.84	A
USGS	14139900	2013-05-16	858.47	A
USGS	14139900	2013-05-17	858.56	A
USGS	14139900	2013-05-18	858.71	A
USGS	14139900	2013-05-19	858.87	A
USGS	14139900	2013-05-20	859.19	A
USGS	14139900	2013-05-21	859.84	A
USGS	14139900	2013-05-22	859.05	A
USGS	14139900	2013-05-23	860.73	A
USGS	14139900	2013-05-24	860.93	A
USGS	14139900	2013-05-25	860.75	A
USGS	14139900	2013-05-26	860.74	A
USGS	14139900	2013-05-27	861.24	A
USGS	14139900	2013-05-28	861.06	A
USGS	14139900	2013-05-29	861.43	A
USGS	14139900	2013-05-30	860.97	A
USGS	14139900	2013-05-31	860.77	A
USGS	14139900	2013-06-01	860.72	A
USGS	14139900	2013-06-02	860.42	A
USGS	14139900	2013-06-03	860.39	A
USGS	14139900	2013-06-04	860.59	A
USGS	14139900	2013-06-05	860.18	A
USGS	14139900	2013-06-06	859.75	A
USGS	14139900	2013-06-07	859.39	A
USGS	14139900	2013-06-08	858.96	A
USGS	14139900	2013-06-09	859.18	A
USGS	14139900	2013-06-10	859.21	A
USGS	14139900	2013-06-11	858.98	A
USGS	14139900	2013-06-12	858.90	A
USGS	14139900	2013-06-13	859.03	A
USGS	14139900	2013-06-14	858.98	A
USGS	14139900	2013-06-15	858.88	A
USGS	14139900	2013-06-16	858.74	A
USGS	14139900	2013-06-17	858.75	A
USGS	14139900	2013-06-18	858.44	A
USGS	14139900	2013-06-19	858.70	A
USGS	14139900	2013-06-20	859.07	A
USGS	14139900	2013-06-21	858.97	A
USGS	14139900	2013-06-22	859.47	A
USGS	14139900	2013-06-23	859.61	A
USGS	14139900	2013-06-24	859.80	A
USGS	14139900	2013-06-25	859.89	A
USGS	14139900	2013-06-26	859.77	A
USGS	14139900	2013-06-27	859.45	A
USGS	14139900	2013-06-28	859.67	A
USGS	14139900	2013-06-29	859.82	A
USGS	14139900	2013-06-30	859.84	A
USGS	14139900	2013-07-01	859.77	A
USGS	14139900	2013-07-02	859.84	A
USGS	14139900	2013-07-03	859.79	A
USGS	14139900	2013-07-04	859.86	A
USGS	14139900	2013-07-05	859.73	A
USGS	14139900	2013-07-06	859.79	A
USGS	14139900	2013-07-07	859.86	A
USGS	14139900	2013-07-08	859.87	A
USGS	14139900	2013-07-09	859.94	A
USGS	14139900	2013-07-10	859.88	A
USGS	14139900	2013-07-11	859.91	A
USGS	14139900	2013-07-12	859.96	A
USGS	14139900	2013-07-13	859.80	A
USGS	14139900	2013-07-14	859.83	A
USGS	14139900	2013-07-15	859.64	A
USGS	14139900	2013-07-16	859.46	A
USGS	14139900	2013-07-17	859.51	A
USGS	14139900	2013-07-18	859.47	A
USGS	14139900	2013-07-19	859.56	A
USGS	14139900	2013-07-20	859.58	A
USGS	14139900	2013-07-21	859.49	A
USGS	14139900	2013-07-22	859.37	A
USGS	14139900	2013-07-23	859.92	A
USGS	14139900	2013-07-24	859.88	A
USGS	14139900	2013-07-25	859.81	A
USGS	14139900	2013-07-26	859.67	A
USGS	14139900	2013-07-27	859.72	A
USGS	14139900	2013-07-28	859.78	A
USGS	14139900	2013-07-29	859.84	A
USGS	14139900	2013-07-30	859.98	A
USGS	14139900	2013-07-31	859.83	A
USGS	14139900	2013-08-01	859.88	A
USGS	14139900	2013-08-02	859.99	A
USGS	14139900	2013-08-03	859.80	A
USGS	14139900	2013-08-04	859.69	A
USGS	14139900	2013-08-05	859.76	A
USGS	14139900	2013-08-06	859.93	A
USGS	14139900	2013-08-07	859.63	A
USGS	14139900	2013-08-08	859.82	A
USGS	14139900	2013-08-09	859.71	A
USGS	14139900	2013-08-10	859.93	A
USGS	14139900	2013-08-11	859.97	A
USGS	14139900	2013-08-12	860.15	A
USGS	14139900	2013-08-13	859.30	A
USGS	14139900	2013-08-14	859.80	A
USGS	14139900	2013-08-15	859.68	A
USGS	14139900	2013-08-16	859.87	A
USGS	14139900	2013-08-17	860.00	A
USGS	14139900	2013-08-18	859.95	A
USGS	14139900	2013-08-19	859.82	A
USGS	14139900	2013-08-20	858.89	A
USGS	14139900	2013-08-21	859.57	A
USGS	14139900	2013-08-22	859.72	A
USGS	14139900	2013-08-23	859.77	A
USGS	14139900	2013-08-24	859.62	A
