agency_cd	site_no	datetime	8922_62614_00001	8922_62614_00001_cd	8923_62614_00002	8923_62614_00002_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11173490	2016-02-25	693.22	A	693.15	A
USGS	11173490	2016-02-26	693.28	A	693.22	A
USGS	11173490	2016-02-27	693.33	A	693.28	A
USGS	11173490	2016-02-28	693.39	A	693.33	A
USGS	11173490	2016-02-29	693.44	A	693.39	A
USGS	11173490	2016-03-01	693.49	A	693.44	A
USGS	11173490	2016-03-02	693.51	A	693.46	A
USGS	11173490	2016-03-03	693.47	A	693.29	A
USGS	11173490	2016-03-04	693.29	A	693.01	A
USGS	11173490	2016-03-05	693.01	A	692.80	A
USGS	11173490	2016-03-06	695.23	A	692.89	A
USGS	11173490	2016-03-07	698.28	A	695.23	A
USGS	11173490	2016-03-08	699.13	A	698.28	A
USGS	11173490	2016-03-09	699.40	A	699.13	A
USGS	11173490	2016-03-10	699.43	A	699.36	A
USGS	11173490	2016-03-11	699.45	A	699.27	A
USGS	11173490	2016-03-12	701.44	A	699.45	A
USGS	11173490	2016-03-13	704.84	A	701.44	A
USGS	11173490	2016-03-14	707.99	A	704.84	A
USGS	11173490	2016-03-15	708.84	A	707.99	A
USGS	11173490	2016-03-16	708.87	A	708.73	A
USGS	11173490	2016-03-17	708.73	A	708.31	A
USGS	11173490	2016-03-18	708.31	A	707.75	A
USGS	11173490	2016-03-19	707.75	A	707.02	A
USGS	11173490	2016-03-20	707.02	A	706.20	A
USGS	11173490	2016-03-21	706.20	A	705.54	A
USGS	11173490	2016-03-22	705.54	A	704.90	A
USGS	11173490	2016-03-23	704.90	A	704.19	A
USGS	11173490	2016-03-24	704.19	A	703.43	A
USGS	11173490	2016-03-25	703.43	A	702.64	A
USGS	11173490	2016-03-26	702.64	A	701.83	A
USGS	11173490	2016-03-27	701.83	A	701.00	A
USGS	11173490	2016-03-28	701.00	A	700.37	A
USGS	11173490	2016-03-29	700.37	A	700.12	A
USGS	11173490	2016-03-30	700.12	A	700.05	A
USGS	11173490	2016-03-31	700.10	A	700.06	A
USGS	11173490	2016-04-01	700.19	A	700.10	A
USGS	11173490	2016-04-02	700.28	A	700.19	A
USGS	11173490	2016-04-03	700.36	A	700.28	A
USGS	11173490	2016-04-04	700.44	A	700.36	A
USGS	11173490	2016-04-05	700.50	A	700.44	A
USGS	11173490	2016-04-06	700.58	A	700.50	A
USGS	11173490	2016-04-07	700.64	A	700.58	A
USGS	11173490	2016-04-08	700.75	A	700.64	A
USGS	11173490	2016-04-09	700.89	A	700.75	A
USGS	11173490	2016-04-10	701.05	A	700.89	A
USGS	11173490	2016-04-11	701.17	A	701.05	A
USGS	11173490	2016-04-12	701.27	A	701.17	A
USGS	11173490	2016-04-13	701.34	A	701.27	A
USGS	11173490	2016-04-14	701.43	A	701.34	A
USGS	11173490	2016-04-15	701.50	A	701.43	A
USGS	11173490	2016-04-16	701.55	A	701.50	A
USGS	11173490	2016-04-17	701.61	A	701.55	A
USGS	11173490	2016-04-18	701.66	A	701.61	A
USGS	11173490	2016-04-19	701.71	A	701.66	A
USGS	11173490	2016-04-20	701.75	A	701.71	A
USGS	11173490	2016-04-21	701.80	A	701.75	A
USGS	11173490	2016-04-22	701.92	A	701.80	A
USGS	11173490	2016-04-23	702.00	A	701.92	A
USGS	11173490	2016-04-24	702.06	A	702.00	A
USGS	11173490	2016-04-25	702.10	A	702.06	A
USGS	11173490	2016-04-26	702.15	A	702.10	A
USGS	11173490	2016-04-27	702.21	A	702.15	A
USGS	11173490	2016-04-28	702.26	A	702.21	A
USGS	11173490	2016-04-29	702.30	A	702.26	A
USGS	11173490	2016-04-30	702.33	A	702.30	A
USGS	11173490	2016-05-01	702.37	A	702.33	A
USGS	11173490	2016-05-02	702.40	A	702.37	A
USGS	11173490	2016-05-03	702.44	A	702.40	A
USGS	11173490	2016-05-04	702.47	A	702.44	A
USGS	11173490	2016-05-05	702.50	A	702.47	A
USGS	11173490	2016-05-06	702.56	A	702.50	A
USGS	11173490	2016-05-07	702.60	A	702.56	A
USGS	11173490	2016-05-08	702.63	A	702.59	A
USGS	11173490	2016-05-09	702.66	A	702.63	A
USGS	11173490	2016-05-10	702.69	A	702.66	A
USGS	11173490	2016-05-11	702.72	A	702.69	A
USGS	11173490	2016-05-12	702.74	A	702.72	A
USGS	11173490	2016-05-13	702.76	A	702.74	A
USGS	11173490	2016-05-14	702.78	A	702.76	A
USGS	11173490	2016-05-15	702.80	A	702.78	A
USGS	11173490	2016-05-16	702.82	A	702.80	A
USGS	11173490	2016-05-17	702.83	A	702.82	A
USGS	11173490	2016-05-18	702.86	A	702.83	A
USGS	11173490	2016-05-19	702.87	A	702.85	A
USGS	11173490	2016-05-20	702.87	A	702.86	A
USGS	11173490	2016-05-21	702.89	A	702.86	A
USGS	11173490	2016-05-22	702.90	A	702.89	A
USGS	11173490	2016-05-23	702.92	A	702.90	A
USGS	11173490	2016-05-24	702.93	A	702.91	A
USGS	11173490	2016-05-25	702.95	A	702.93	A
USGS	11173490	2016-05-26	702.96	A	702.94	A
USGS	11173490	2016-05-27	702.96	A	702.95	A
USGS	11173490	2016-05-28	702.97	A	702.96	A
USGS	11173490	2016-05-29	702.99	A	702.96	A
