agency_cd	site_no	datetime	210335_00054_32400	210335_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11322300	2013-01-01	293900	A
USGS	11322300	2013-01-02	295500	A
USGS	11322300	2013-01-03	297000	A
USGS	11322300	2013-01-04	298700	A
USGS	11322300	2013-01-05	300200	A
USGS	11322300	2013-01-06	302500	A
USGS	11322300	2013-01-07	304000	A
USGS	11322300	2013-01-08	305100	A
USGS	11322300	2013-01-09	306000	A
USGS	11322300	2013-01-10	307200	A
USGS	11322300	2013-01-11	308300	A
USGS	11322300	2013-01-12	309700	A
USGS	11322300	2013-01-13	309700	A
USGS	11322300	2013-01-14	309800	A
USGS	11322300	2013-01-15	310000	A
USGS	11322300	2013-01-16	310400	A
USGS	11322300	2013-01-17	310600	A
USGS	11322300	2013-01-18	310800	A
USGS	11322300	2013-01-19	311100	A
USGS	11322300	2013-01-20	311100	A
USGS	11322300	2013-01-21	311300	A
USGS	11322300	2013-01-22	311600	A
USGS	11322300	2013-01-23	311800	A
USGS	11322300	2013-01-24	312300	A
USGS	11322300	2013-01-25	312500	A
USGS	11322300	2013-01-26	312700	A
USGS	11322300	2013-01-27	312600	A
USGS	11322300	2013-01-28	312900	A
USGS	11322300	2013-01-29	313100	A
USGS	11322300	2013-01-30	313500	A
USGS	11322300	2013-01-31	313900	A
USGS	11322300	2013-02-01	314200	A
USGS	11322300	2013-02-02	314500	A
USGS	11322300	2013-02-03	315000	A
USGS	11322300	2013-02-04	315300	A
USGS	11322300	2013-02-05	315700	A
USGS	11322300	2013-02-06	316100	A
USGS	11322300	2013-02-07	316300	A
USGS	11322300	2013-02-08	316600	A
USGS	11322300	2013-02-09	316900	A
USGS	11322300	2013-02-10	317300	A
USGS	11322300	2013-02-11	317800	A
USGS	11322300	2013-02-12	317900	A
USGS	11322300	2013-02-13	319400	A
USGS	11322300	2013-02-14	320900	A
USGS	11322300	2013-02-15	322500	A
USGS	11322300	2013-02-16	323900	A
USGS	11322300	2013-02-17	324000	A
USGS	11322300	2013-02-18	325300	A
USGS	11322300	2013-02-19	327000	A
USGS	11322300	2013-02-20	328200	A
USGS	11322300	2013-02-21	329400	A
USGS	11322300	2013-02-22	330900	A
USGS	11322300	2013-02-23	332500	A
USGS	11322300	2013-02-24	332400	A
USGS	11322300	2013-02-25	333100	A
USGS	11322300	2013-02-26	333900	A
USGS	11322300	2013-02-27	334800	A
USGS	11322300	2013-02-28	335400	A
USGS	11322300	2013-03-01	336100	A
USGS	11322300	2013-03-02	336800	A
USGS	11322300	2013-03-03	336700	A
USGS	11322300	2013-03-04	337000	A
USGS	11322300	2013-03-05	337500	A
USGS	11322300	2013-03-06	337700	A
USGS	11322300	2013-03-07	338100	A
USGS	11322300	2013-03-08	338200	A
USGS	11322300	2013-03-09	338500	A
USGS	11322300	2013-03-10	338500	A
USGS	11322300	2013-03-11	338700	A
USGS	11322300	2013-03-12	338900	A
USGS	11322300	2013-03-13	339200	A
USGS	11322300	2013-03-14	339400	A
USGS	11322300	2013-03-15	339700	A
USGS	11322300	2013-03-16	339800	A
USGS	11322300	2013-03-17	339700	A
USGS	11322300	2013-03-18	339800	A
USGS	11322300	2013-03-19	340200	A
USGS	11322300	2013-03-20	340600	A
USGS	11322300	2013-03-21	340700	A
USGS	11322300	2013-03-22	341000	A
USGS	11322300	2013-03-23	341200	A
USGS	11322300	2013-03-24	341100	A
USGS	11322300	2013-03-25	341300	A
USGS	11322300	2013-03-26	341600	A
USGS	11322300	2013-03-27	341700	A
USGS	11322300	2013-03-28	342100	A
USGS	11322300	2013-03-29	342400	A
USGS	11322300	2013-03-30	342800	A
USGS	11322300	2013-03-31	342800	A
USGS	11322300	2013-04-01	342900	A
USGS	11322300	2013-04-02	343100	A
USGS	11322300	2013-04-03	343200	A
USGS	11322300	2013-04-04	343500	A
USGS	11322300	2013-04-05	343600	A
USGS	11322300	2013-04-06	343600	A
USGS	11322300	2013-04-07	343100	A
USGS	11322300	2013-04-08	342400	A
USGS	11322300	2013-04-09	341800	A
USGS	11322300	2013-04-10	341200	A
USGS	11322300	2013-04-11	340600	A
USGS	11322300	2013-04-12	340000	A
USGS	11322300	2013-04-13	339500	A
USGS	11322300	2013-04-14	338900	A
USGS	11322300	2013-04-15	338800	A
USGS	11322300	2013-04-16	338900	A
USGS	11322300	2013-04-17	338900	A
USGS	11322300	2013-04-18	338900	A
USGS	11322300	2013-04-19	338900	A
USGS	11322300	2013-04-20	338900	A
USGS	11322300	2013-04-21	338100	A
USGS	11322300	2013-04-22	337500	A
USGS	11322300	2013-04-23	336800	A
USGS	11322300	2013-04-24	336100	A
USGS	11322300	2013-04-25	335200	A
USGS	11322300	2013-04-26	334500	A
USGS	11322300	2013-04-27	333900	A
USGS	11322300	2013-04-28	333100	A
USGS	11322300	2013-04-29	332200	A
USGS	11322300	2013-04-30	331200	A
USGS	11322300	2013-05-01	330400	A
USGS	11322300	2013-05-02	329600	A
USGS	11322300	2013-05-03	328800	A
USGS	11322300	2013-05-04	327900	A
USGS	11322300	2013-05-05	327000	A
USGS	11322300	2013-05-06	326100	A
USGS	11322300	2013-05-07	325400	A
USGS	11322300	2013-05-08	324600	A
USGS	11322300	2013-05-09	323800	A
USGS	11322300	2013-05-10	322800	A
USGS	11322300	2013-05-11	322000	A
USGS	11322300	2013-05-12	321100	A
USGS	11322300	2013-05-13	320200	A
USGS	11322300	2013-05-14	319300	A
USGS	11322300	2013-05-15	318500	A
USGS	11322300	2013-05-16	317600	A
USGS	11322300	2013-05-17	316800	A
USGS	11322300	2013-05-18	315900	A
USGS	11322300	2013-05-19	315000	A
USGS	11322300	2013-05-20	314700	A
USGS	11322300	2013-05-21	314300	A
USGS	11322300	2013-05-22	313900	A
USGS	11322300	2013-05-23	313600	A
USGS	11322300	2013-05-24	313200	A
USGS	11322300	2013-05-25	312900	A
USGS	11322300	2013-05-26	312000	A
USGS	11322300	2013-05-27	311300	A
USGS	11322300	2013-05-28	310400	A
USGS	11322300	2013-05-29	309600	A
USGS	11322300	2013-05-30	308700	A
USGS	11322300	2013-05-31	308000	A
USGS	11322300	2013-06-01	307400	A
USGS	11322300	2013-06-02	306900	A
USGS	11322300	2013-06-03	306300	A
USGS	11322300	2013-06-04	305600	A
USGS	11322300	2013-06-05	304900	A
USGS	11322300	2013-06-06	304400	A
USGS	11322300	2013-06-07	303700	A
USGS	11322300	2013-06-08	303200	A
USGS	11322300	2013-06-09	302500	A
USGS	11322300	2013-06-10	301800	A
USGS	11322300	2013-06-11	301100	A
USGS	11322300	2013-06-12	300400	A
USGS	11322300	2013-06-13	299800	A
USGS	11322300	2013-06-14	299100	A
USGS	11322300	2013-06-15	298400	A
USGS	11322300	2013-06-16	297800	A
USGS	11322300	2013-06-17	297200	A
USGS	11322300	2013-06-18	296600	A
USGS	11322300	2013-06-19	295900	A
USGS	11322300	2013-06-20	295300	A
USGS	11322300	2013-06-21	294700	A
USGS	11322300	2013-06-22	294000	A
USGS	11322300	2013-06-23	293300	A
USGS	11322300	2013-06-24	293000	A
USGS	11322300	2013-06-25	292300	A
USGS	11322300	2013-06-26	291600	A
USGS	11322300	2013-06-27	292000	A
USGS	11322300	2013-06-28	292300	A
USGS	11322300	2013-06-29	291600	A
USGS	11322300	2013-06-30	290900	A
USGS	11322300	2013-07-01	290200	A
USGS	11322300	2013-07-02	290400	A
USGS	11322300	2013-07-03	290800	A
USGS	11322300	2013-07-04	290100	A
USGS	11322300	2013-07-05	290300	A
USGS	11322300	2013-07-06	289400	A
USGS	11322300	2013-07-07	288600	A
USGS	11322300	2013-07-08	287900	A
USGS	11322300	2013-07-09	287200	A
USGS	11322300	2013-07-10	287400	A
USGS	11322300	2013-07-11	286600	A
USGS	11322300	2013-07-12	285800	A
USGS	11322300	2013-07-13	285100	A
USGS	11322300	2013-07-14	284200	A
USGS	11322300	2013-07-15	284000	A
USGS	11322300	2013-07-16	284300	A
USGS	11322300	2013-07-17	283600	A
USGS	11322300	2013-07-18	283000	A
USGS	11322300	2013-07-19	282200	A
USGS	11322300	2013-07-20	281600	A
USGS	11322300	2013-07-21	280900	A
USGS	11322300	2013-07-22	280100	A
USGS	11322300	2013-07-23	279500	A
USGS	11322300	2013-07-24	279300	A
