agency_cd	site_no	datetime	216798_00054_32400	216798_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11436950	2013-01-01	15100	A
USGS	11436950	2013-01-02	15100	A
USGS	11436950	2013-01-03	15100	A
USGS	11436950	2013-01-04	15100	A
USGS	11436950	2013-01-05	15100	A
USGS	11436950	2013-01-06	15100	A
USGS	11436950	2013-01-07	15100	A
USGS	11436950	2013-01-08	15100	A
USGS	11436950	2013-01-09	15100	A
USGS	11436950	2013-01-10	15100	A
USGS	11436950	2013-01-11	15100	A
USGS	11436950	2013-01-12	15100	A
USGS	11436950	2013-01-13	15100	A
USGS	11436950	2013-01-14	15100	A
USGS	11436950	2013-01-15	15100	A
USGS	11436950	2013-01-16	15000	A
USGS	11436950	2013-01-17	15000	A
USGS	11436950	2013-01-18	15000	A
USGS	11436950	2013-01-19	15000	A
USGS	11436950	2013-01-20	15000	A
USGS	11436950	2013-01-21	15000	A
USGS	11436950	2013-01-22	15000	A
USGS	11436950	2013-01-23	15000	A
USGS	11436950	2013-01-24	15000	A
USGS	11436950	2013-01-25	15000	A
USGS	11436950	2013-01-26	15000	A
USGS	11436950	2013-01-27	15000	A
USGS	11436950	2013-01-28	15000	A
USGS	11436950	2013-01-29	15000	A
USGS	11436950	2013-01-30	15000	A
USGS	11436950	2013-01-31	15000	A
USGS	11436950	2013-02-01	15000	A
USGS	11436950	2013-02-02	15000	A
USGS	11436950	2013-02-03	15000	A
USGS	11436950	2013-02-04	15000	A
USGS	11436950	2013-02-05	15000	A
USGS	11436950	2013-02-06	15000	A
USGS	11436950	2013-02-07	15000	A
USGS	11436950	2013-02-08	15000	A
USGS	11436950	2013-02-09	15000	A
USGS	11436950	2013-02-10	15000	A
USGS	11436950	2013-02-11	15000	A
USGS	11436950	2013-02-12	15000	A
USGS	11436950	2013-02-13	15000	A
USGS	11436950	2013-02-14	15000	A
USGS	11436950	2013-02-15	15000	A
USGS	11436950	2013-02-16	15000	A
USGS	11436950	2013-02-17	14900	A
USGS	11436950	2013-02-18	14900	A
USGS	11436950	2013-02-19	14900	A
USGS	11436950	2013-02-20	14900	A
USGS	11436950	2013-02-21	14900	A
USGS	11436950	2013-02-22	14900	A
USGS	11436950	2013-02-23	14800	A
USGS	11436950	2013-02-24	14800	A
USGS	11436950	2013-02-25	14700	A
USGS	11436950	2013-02-26	14700	A
USGS	11436950	2013-02-27	14600	A
USGS	11436950	2013-02-28	14600	A
USGS	11436950	2013-03-01	14600	A
USGS	11436950	2013-03-02	14500	A
USGS	11436950	2013-03-03	14500	A
USGS	11436950	2013-03-04	14500	A
USGS	11436950	2013-03-05	14400	A
USGS	11436950	2013-03-06	14500	A
USGS	11436950	2013-03-07	14400	A
USGS	11436950	2013-03-08	14400	A
USGS	11436950	2013-03-09	14400	A
USGS	11436950	2013-03-10	14300	A
USGS	11436950	2013-03-11	14300	A
USGS	11436950	2013-03-12	14300	A
USGS	11436950	2013-03-13	14400	A
USGS	11436950	2013-03-14	14400	A
USGS	11436950	2013-03-15	14400	A
USGS	11436950	2013-03-16	14400	A
USGS	11436950	2013-03-17	14500	A
USGS	11436950	2013-03-18	14500	A
USGS	11436950	2013-03-19	14500	A
USGS	11436950	2013-03-20	14600	A
USGS	11436950	2013-03-21	14600	A
USGS	11436950	2013-03-22	14600	A
USGS	11436950	2013-03-23	14600	A
USGS	11436950	2013-03-24	14600	A
USGS	11436950	2013-03-25	14700	A
USGS	11436950	2013-03-26	14700	A
USGS	11436950	2013-03-27	14700	A
USGS	11436950	2013-03-28	14800	A
USGS	11436950	2013-03-29	14800	A
USGS	11436950	2013-03-30	14800	A
USGS	11436950	2013-03-31	14900	A
USGS	11436950	2013-04-01	15000	A
USGS	11436950	2013-04-02	15000	A
USGS	11436950	2013-04-03	15100	A
USGS	11436950	2013-04-04	15200	A
USGS	11436950	2013-04-05	15300	A
USGS	11436950	2013-04-06	15300	A
USGS	11436950	2013-04-07	15400	A
USGS	11436950	2013-04-08	15500	A
USGS	11436950	2013-04-09	15500	A
USGS	11436950	2013-04-10	15500	A
USGS	11436950	2013-04-11	15600	A
USGS	11436950	2013-04-12	15700	A
USGS	11436950	2013-04-13	15900	A
USGS	11436950	2013-04-14	16000	A
USGS	11436950	2013-04-15	16200	A
USGS	11436950	2013-04-16	16300	A
USGS	11436950	2013-04-17	16300	A
USGS	11436950	2013-04-18	16400	A
USGS	11436950	2013-04-19	16400	A
USGS	11436950	2013-04-20	16500	A
USGS	11436950	2013-04-21	16700	A
USGS	11436950	2013-04-22	16900	A
USGS	11436950	2013-04-23	17000	A
USGS	11436950	2013-04-24	17200	A
USGS	11436950	2013-04-25	17400	A
USGS	11436950	2013-04-26	17600	A
USGS	11436950	2013-04-27	17800	A
USGS	11436950	2013-04-28	18100	A
USGS	11436950	2013-04-29	18400	A
USGS	11436950	2013-04-30	18600	A
USGS	11436950	2013-05-01	18900	A
USGS	11436950	2013-05-02	19000	A
USGS	11436950	2013-05-03	19300	A
USGS	11436950	2013-05-04	19500	A
USGS	11436950	2013-05-05	19700	A
USGS	11436950	2013-05-06	19900	A
USGS	11436950	2013-05-07	20100	A
USGS	11436950	2013-05-08	20200	A
USGS	11436950	2013-05-09	20400	A
USGS	11436950	2013-05-10	20600	A
USGS	11436950	2013-05-11	20900	A
USGS	11436950	2013-05-12	21200	A
USGS	11436950	2013-05-13	21600	A:e
USGS	11436950	2013-05-14	21700	A:e
USGS	11436950	2013-05-15	21700	A:e
USGS	11436950	2013-05-16	21600	A
USGS	11436950	2013-05-17	21600	A
USGS	11436950	2013-05-18	21600	A
USGS	11436950	2013-05-19	21600	A
USGS	11436950	2013-05-20	21600	A
USGS	11436950	2013-05-21	21700	A
USGS	11436950	2013-05-22	21900	A
USGS	11436950	2013-05-23	21900	A
USGS	11436950	2013-05-24	22000	A
USGS	11436950	2013-05-25	22000	A
USGS	11436950	2013-05-26	22100	A
USGS	11436950	2013-05-27	22200	A
USGS	11436950	2013-05-28	22200	A
USGS	11436950	2013-05-29	22200	A
USGS	11436950	2013-05-30	22100	A
USGS	11436950	2013-05-31	22000	A
USGS	11436950	2013-06-01	22100	A
USGS	11436950	2013-06-02	22200	A
USGS	11436950	2013-06-03	22200	A
USGS	11436950	2013-06-04	22200	A
USGS	11436950	2013-06-05	22100	A
USGS	11436950	2013-06-06	22100	A
USGS	11436950	2013-06-07	22100	A
USGS	11436950	2013-06-08	22100	A
USGS	11436950	2013-06-09	22000	A
USGS	11436950	2013-06-10	22000	A
USGS	11436950	2013-06-11	22100	A
USGS	11436950	2013-06-12	22200	A
USGS	11436950	2013-06-13	22300	A
USGS	11436950	2013-06-14	22200	A
USGS	11436950	2013-06-15	22200	A
USGS	11436950	2013-06-16	22100	A
USGS	11436950	2013-06-17	22000	A
USGS	11436950	2013-06-18	21900	A
USGS	11436950	2013-06-19	21800	A
USGS	11436950	2013-06-20	21800	A
USGS	11436950	2013-06-21	21700	A
USGS	11436950	2013-06-22	21600	A
USGS	11436950	2013-06-23	21600	A
USGS	11436950	2013-06-24	21600	A
USGS	11436950	2013-06-25	21700	A
USGS	11436950	2013-06-26	21700	A
USGS	11436950	2013-06-27	21800	A
USGS	11436950	2013-06-28	21800	A
USGS	11436950	2013-06-29	21900	A
USGS	11436950	2013-06-30	21900	A
USGS	11436950	2013-07-01	21900	A
USGS	11436950	2013-07-02	21900	A
USGS	11436950	2013-07-03	21900	A
USGS	11436950	2013-07-04	21900	A
USGS	11436950	2013-07-05	21900	A
USGS	11436950	2013-07-06	21800	A
USGS	11436950	2013-07-07	21700	A
USGS	11436950	2013-07-08	21700	A
USGS	11436950	2013-07-09	21600	A
USGS	11436950	2013-07-10	21500	A
USGS	11436950	2013-07-11	21400	A
USGS	11436950	2013-07-12	21300	A
USGS	11436950	2013-07-13	21200	A
USGS	11436950	2013-07-14	21100	A
USGS	11436950	2013-07-15	21000	A
USGS	11436950	2013-07-16	21000	A
USGS	11436950	2013-07-17	20900	A
USGS	11436950	2013-07-18	20800	A
USGS	11436950	2013-07-19	20700	A
USGS	11436950	2013-07-20	20500	A
USGS	11436950	2013-07-21	20400	A
USGS	11436950	2013-07-22	20300	A
USGS	11436950	2013-07-23	20200	A
USGS	11436950	2013-07-24	20000	A
USGS	11436950	2013-07-25	19800	A
USGS	11436950	2013-07-26	19700	A
