agency_cd	site_no	datetime	213914_00054_00011	213914_00054_00011_cd	232450_00054_32400	232450_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11414355	2013-04-28	153.0	A		
USGS	11414355	2013-04-29				
USGS	11414355	2013-04-30	153.0	A		
USGS	11414355	2013-05-01				
USGS	11414355	2013-05-02				
USGS	11414355	2013-05-03				
USGS	11414355	2013-05-04	151.0	A		
USGS	11414355	2013-05-05				
USGS	11414355	2013-05-06				
USGS	11414355	2013-05-07	151.0	A		
USGS	11414355	2013-05-08	153.0	A		
USGS	11414355	2013-05-09				
USGS	11414355	2013-05-10				
USGS	11414355	2013-05-11	154.0	A		
USGS	11414355	2013-05-12				
USGS	11414355	2013-05-13	153.0	A		
USGS	11414355	2013-05-14				
USGS	11414355	2013-05-15	153.0	A		
USGS	11414355	2013-05-16				
USGS	11414355	2013-05-17				
USGS	11414355	2013-05-18	151.0	A		
USGS	11414355	2013-05-19				
USGS	11414355	2013-05-20	153.0	A		
USGS	11414355	2013-05-21	151.0	A		
USGS	11414355	2013-05-22				
USGS	11414355	2013-05-23	151.0	A		
USGS	11414355	2013-05-24	151.0	A		
USGS	11414355	2013-05-25				
USGS	11414355	2013-05-26	151.0	A		
USGS	11414355	2013-05-27				
USGS	11414355	2013-05-28				
USGS	11414355	2013-05-29	150.0	A		
USGS	11414355	2013-05-30				
USGS	11414355	2013-05-31	150.0	A		
USGS	11414355	2013-06-01				
USGS	11414355	2013-06-02				
USGS	11414355	2013-06-03				
USGS	11414355	2013-06-04				
USGS	11414355	2013-06-05	149.0	A		
USGS	11414355	2013-06-06				
USGS	11414355	2013-06-07				
USGS	11414355	2013-06-08	147.0	A		
USGS	11414355	2013-06-09				
USGS	11414355	2013-06-10	145.0	A		
USGS	11414355	2013-06-11				
USGS	11414355	2013-06-12	144.0	A		
USGS	11414355	2013-06-13				
USGS	11414355	2013-06-14				
USGS	11414355	2013-06-15				
USGS	11414355	2013-06-16	142.0	A		
USGS	11414355	2013-06-17				
USGS	11414355	2013-06-18				
USGS	11414355	2013-06-19	138.0	A		
USGS	11414355	2013-06-20	137.0	A		
USGS	11414355	2013-06-21				
USGS	11414355	2013-06-22				
USGS	11414355	2013-06-23				
USGS	11414355	2013-06-24				
USGS	11414355	2013-06-25	138.0	A		
USGS	11414355	2013-06-26	138.0	A		
USGS	11414355	2013-06-27	138.0	A		
USGS	11414355	2013-06-28	138.0	A		
USGS	11414355	2013-06-29				
USGS	11414355	2013-06-30				
USGS	11414355	2013-07-01				
USGS	11414355	2013-07-02				
USGS	11414355	2013-07-03	135.0	A		
USGS	11414355	2013-07-04				
USGS	11414355	2013-07-05				
USGS	11414355	2013-07-06	135.0	A		
USGS	11414355	2013-07-07				
USGS	11414355	2013-07-08				
USGS	11414355	2013-07-09	134.0	A		
USGS	11414355	2013-07-10				
USGS	11414355	2013-07-11				
USGS	11414355	2013-07-12				
USGS	11414355	2013-07-13	129.0	A		
USGS	11414355	2013-07-14				
USGS	11414355	2013-07-15				
USGS	11414355	2013-07-16				
USGS	11414355	2013-07-17	124.0	A		
USGS	11414355	2013-07-18				
USGS	11414355	2013-07-19				
USGS	11414355	2013-07-20	121.0	A		
USGS	11414355	2013-07-21				
USGS	11414355	2013-07-22				
USGS	11414355	2013-07-23				
USGS	11414355	2013-07-24	120.0	A		
USGS	11414355	2013-07-25	118.0	A		
USGS	11414355	2013-07-26				
USGS	11414355	2013-07-27				
USGS	11414355	2013-07-28	117.0	A		
USGS	11414355	2013-07-29				
USGS	11414355	2013-07-30				
USGS	11414355	2013-07-31	111.0	A		
USGS	11414355	2013-08-01				
USGS	11414355	2013-08-02				
USGS	11414355	2013-08-03	111.0	A		
USGS	11414355	2013-08-04				
USGS	11414355	2013-08-05				
USGS	11414355	2013-08-06	107.0	A		
USGS	11414355	2013-08-07				
USGS	11414355	2013-08-08				
USGS	11414355	2013-08-09				
USGS	11414355	2013-08-10	104.0	A		
USGS	11414355	2013-08-11				
USGS	11414355	2013-08-12				
USGS	11414355	2013-08-13				
USGS	11414355	2013-08-14	104.0	A		
USGS	11414355	2013-08-15				
USGS	11414355	2013-08-16				
USGS	11414355	2013-08-17	102.0	A		
USGS	11414355	2013-08-18				
USGS	11414355	2013-08-19				
USGS	11414355	2013-08-20	99.00	A		
USGS	11414355	2013-08-21				
USGS	11414355	2013-08-22	99.00	A		
USGS	11414355	2013-08-23				
USGS	11414355	2013-08-24				
USGS	11414355	2013-08-25	101.0	A		
USGS	11414355	2013-08-26				
USGS	11414355	2013-08-27				
USGS	11414355	2013-08-28	104.0	A		
USGS	11414355	2013-08-29				
USGS	11414355	2013-08-30	105.0	A		
USGS	11414355	2013-08-31				
USGS	11414355	2013-09-01	105.0	A		
USGS	11414355	2013-09-02				
USGS	11414355	2013-09-03				
USGS	11414355	2013-09-04	108.0	A		
USGS	11414355	2013-09-05				
USGS	11414355	2013-09-06	110.0	A		
USGS	11414355	2013-09-07				
USGS	11414355	2013-09-08	110.0	A		
USGS	11414355	2013-09-09				
USGS	11414355	2013-09-10	112.0	A		
USGS	11414355	2013-09-11	111.0	A		
USGS	11414355	2013-09-12				
USGS	11414355	2013-09-13				
USGS	11414355	2013-09-14	114.0	A		
USGS	11414355	2013-09-15				
USGS	11414355	2013-09-16				
USGS	11414355	2013-09-17				
USGS	11414355	2013-09-18	112.0	A		
USGS	11414355	2013-09-19				
USGS	11414355	2013-09-20				
USGS	11414355	2013-09-21				
USGS	11414355	2013-09-22	112.0	A		
USGS	11414355	2013-09-23				
USGS	11414355	2013-09-24				
USGS	11414355	2013-09-25	111.0	A		
USGS	11414355	2013-09-26				
USGS	11414355	2013-09-27				
USGS	11414355	2013-09-28	111.0	A		
USGS	11414355	2013-09-29				
USGS	11414355	2013-09-30				
USGS	11414355	2013-10-01	108.0	A		
USGS	11414355	2013-10-02	105.0	A		
USGS	11414355	2013-10-03				
USGS	11414355	2013-10-04				
USGS	11414355	2013-10-05				
USGS	11414355	2013-10-06	104.0	A		
USGS	11414355	2013-10-07				
USGS	11414355	2013-10-08				
USGS	11414355	2013-10-09	104.0	A		
USGS	11414355	2013-10-10	102.0	A		
USGS	11414355	2013-10-11				
USGS	11414355	2013-10-12				
USGS	11414355	2013-10-13				
USGS	11414355	2013-10-14	102.0	A		
USGS	11414355	2013-10-15				
USGS	11414355	2013-10-16	92.00	A		
USGS	11414355	2013-10-17				
USGS	11414355	2013-10-18				
USGS	11414355	2013-10-19				
USGS	11414355	2013-10-20				
USGS	11414355	2013-10-21				
USGS	11414355	2013-10-22	69.00	A		
USGS	11414355	2013-10-23				
USGS	11414355	2013-10-24	55.00	A		
USGS	11414355	2013-10-25	55.00	A		
USGS	11414355	2013-10-26				
USGS	11414355	2013-10-27				
USGS	11414355	2013-10-28				
USGS	11414355	2013-10-29				
USGS	11414355	2013-10-30				
USGS	11414355	2013-10-31				
USGS	11414355	2013-11-01	83.00	A		
USGS	11414355	2013-11-02				
USGS	11414355	2013-11-03				
USGS	11414355	2013-11-04				
USGS	11414355	2013-11-05				
USGS	11414355	2013-11-06				
USGS	11414355	2013-11-07	75.00	A		
USGS	11414355	2013-11-08	74.00	A		
USGS	11414355	2013-11-09				
USGS	11414355	2013-11-10				
USGS	11414355	2013-11-11	73.00	A		
USGS	11414355	2013-11-12	73.00	A		
USGS	11414355	2013-11-13				
USGS	11414355	2013-11-14	68.00	A		
USGS	11414355	2013-11-15				
USGS	11414355	2013-11-16	66.00	A		
USGS	11414355	2013-11-17				
USGS	11414355	2013-11-18	69.00	A		
USGS	11414355	2013-11-19	69.00	A		
USGS	11414355	2013-11-20	69.00	A		
USGS	11414355	2013-11-21				
USGS	11414355	2013-11-22				
USGS	11414355	2013-11-23				
USGS	11414355	2013-11-24	66.00	A		
USGS	11414355	2013-11-25				
USGS	11414355	2013-11-26				
USGS	11414355	2013-11-27				
USGS	11414355	2013-11-28	59.00	A		
USGS	11414355	2013-11-29				
USGS	11414355	2013-11-30				
USGS	11414355	2013-12-01				
USGS	11414355	2013-12-02				
USGS	11414355	2013-12-03	58.00	A		
USGS	11414355	2013-12-04				
USGS	11414355	2013-12-05				
USGS	11414355	2013-12-06				
USGS	11414355	2013-12-07				
USGS	11414355	2013-12-08				
USGS	11414355	2013-12-09				
USGS	11414355	2013-12-10				
USGS	11414355	2013-12-11				
USGS	11414355	2013-12-12				
USGS	11414355	2013-12-13				
USGS	11414355	2013-12-14				
USGS	11414355	2013-12-15				
USGS	11414355	2013-12-16				
USGS	11414355	2013-12-17				
USGS	11414355	2013-12-18				
USGS	11414355	2013-12-19				
USGS	11414355	2013-12-20				
USGS	11414355	2013-12-21				
USGS	11414355	2013-12-22				
USGS	11414355	2013-12-23				
USGS	11414355	2013-12-24				
USGS	11414355	2013-12-25				
USGS	11414355	2013-12-26				
USGS	11414355	2013-12-27				
USGS	11414355	2013-12-28				
USGS	11414355	2013-12-29				
USGS	11414355	2013-12-30				
USGS	11414355	2013-12-31				
