agency_cd	site_no	datetime	214140_62614_32400	214140_62614_32400_cd
5s	15s	20d	14n	10s
USGS	11358690	2015-10-01	3207.79	A
USGS	11358690	2015-10-02	3207.79	A
USGS	11358690	2015-10-03	3207.79	A
USGS	11358690	2015-10-04	3207.78	A
USGS	11358690	2015-10-05	3207.80	A
USGS	11358690	2015-10-06	3207.78	A
USGS	11358690	2015-10-07	3207.81	A
USGS	11358690	2015-10-08	3207.57	A
USGS	11358690	2015-10-09	3207.58	A
USGS	11358690	2015-10-10	3207.57	A
USGS	11358690	2015-10-11	3207.56	A
USGS	11358690	2015-10-12	3207.55	A
USGS	11358690	2015-10-13	3207.55	A
USGS	11358690	2015-10-14	3207.55	A
USGS	11358690	2015-10-15	3207.54	A
USGS	11358690	2015-10-16	3207.56	A
USGS	11358690	2015-10-17	3207.58	A
USGS	11358690	2015-10-18	3207.59	A
USGS	11358690	2015-10-19	3207.57	A
USGS	11358690	2015-10-20	3207.58	A
USGS	11358690	2015-10-21	3207.62	A
USGS	11358690	2015-10-22	3207.59	A
USGS	11358690	2015-10-23	3207.59	A
USGS	11358690	2015-10-24	3207.60	A
USGS	11358690	2015-10-25	3207.61	A
USGS	11358690	2015-10-26	3207.62	A
USGS	11358690	2015-10-27	3207.61	A
USGS	11358690	2015-10-28	3207.63	A
USGS	11358690	2015-10-29	3207.62	A
USGS	11358690	2015-10-30	3207.62	A
USGS	11358690	2015-10-31	3207.60	A
USGS	11358690	2015-11-01	3207.62	A
USGS	11358690	2015-11-02	3207.64	A
USGS	11358690	2015-11-03	3207.63	A
USGS	11358690	2015-11-04	3207.65	A
USGS	11358690	2015-11-05	3207.64	A
USGS	11358690	2015-11-06	3207.63	A
USGS	11358690	2015-11-07	3207.63	A
USGS	11358690	2015-11-08	3207.63	A
USGS	11358690	2015-11-09	3207.61	A
USGS	11358690	2015-11-10	3207.64	A
USGS	11358690	2015-11-11	3207.63	A
USGS	11358690	2015-11-12	3207.63	A
USGS	11358690	2015-11-13	3207.62	A
USGS	11358690	2015-11-14	3207.62	A
USGS	11358690	2015-11-15	3207.63	A
USGS	11358690	2015-11-16	3207.61	A
USGS	11358690	2015-11-17	3207.60	A
USGS	11358690	2015-11-18	3207.63	A
USGS	11358690	2015-11-19	3207.63	A
USGS	11358690	2015-11-20	3207.62	A
USGS	11358690	2015-11-21	3207.61	A
USGS	11358690	2015-11-22	3207.64	A
USGS	11358690	2015-11-23	3207.63	A
USGS	11358690	2015-11-24	3207.65	A
USGS	11358690	2015-11-25	3207.70	A
USGS	11358690	2015-11-26	3207.65	A
USGS	11358690	2015-11-27	3207.61	A
USGS	11358690	2015-11-28	3207.64	A
USGS	11358690	2015-11-29	3207.63	A
USGS	11358690	2015-11-30	3207.60	A
USGS	11358690	2015-12-01	3207.61	A
USGS	11358690	2015-12-02	3207.62	A
USGS	11358690	2015-12-03	3207.66	A
USGS	11358690	2015-12-04	3207.67	A
USGS	11358690	2015-12-05	3207.64	A
USGS	11358690	2015-12-06	3207.63	A
USGS	11358690	2015-12-07	3207.62	A
USGS	11358690	2015-12-08	3207.70	A
USGS	11358690	2015-12-09	3207.67	A
USGS	11358690	2015-12-10	3207.68	A
USGS	11358690	2015-12-11	3207.64	A
USGS	11358690	2015-12-12	3207.64	A
USGS	11358690	2015-12-13	3207.69	A
USGS	11358690	2015-12-14	3207.70	A
USGS	11358690	2015-12-15	3207.65	A
USGS	11358690	2015-12-16	3207.66	A
USGS	11358690	2015-12-17	3207.68	A
USGS	11358690	2015-12-18	3207.67	A
USGS	11358690	2015-12-19	3207.67	A
USGS	11358690	2015-12-20	3207.68	A
USGS	11358690	2015-12-21	3207.68	A
USGS	11358690	2015-12-22	3207.71	A
USGS	11358690	2015-12-23	3207.65	A
USGS	11358690	2015-12-24	3207.67	A
USGS	11358690	2015-12-25	3207.65	A
USGS	11358690	2015-12-26	3207.64	A
USGS	11358690	2015-12-27	3207.62	A
USGS	11358690	2015-12-28	3207.67	A
USGS	11358690	2015-12-29	3207.63	A
USGS	11358690	2015-12-30	3207.66	A
USGS	11358690	2015-12-31	3207.67	A
USGS	11358690	2016-01-01	3207.64	A
USGS	11358690	2016-01-02	3207.66	A
USGS	11358690	2016-01-03	3207.67	A
USGS	11358690	2016-01-04	3207.68	A
USGS	11358690	2016-01-05	3207.67	A
USGS	11358690	2016-01-06	3207.64	A
USGS	11358690	2016-01-07	3207.63	A
USGS	11358690	2016-01-08	3207.64	A
USGS	11358690	2016-01-09	3207.64	A
USGS	11358690	2016-01-10	3207.63	A
USGS	11358690	2016-01-11	3207.66	A
USGS	11358690	2016-01-12	3207.66	A
USGS	11358690	2016-01-13	3207.64	A
USGS	11358690	2016-01-14	3207.62	A
USGS	11358690	2016-01-15	3207.67	A
USGS	11358690	2016-01-16	3207.66	A
USGS	11358690	2016-01-17	3207.70	A
USGS	11358690	2016-01-18	3207.65	A
USGS	11358690	2016-01-19	3207.68	A
USGS	11358690	2016-01-20	3207.63	A
USGS	11358690	2016-01-21	3207.67	A
USGS	11358690	2016-01-22	3207.65	A
