agency_cd	site_no	datetime	150471_62614_32400	150471_62614_32400_cd
USGS	14240446	2011-07-06	2578.34	A
USGS	14240446	2011-07-07	2578.32	A
USGS	14240446	2011-07-08	2578.30	A
USGS	14240446	2011-07-09	2578.28	A
USGS	14240446	2011-07-10	2578.25	A
USGS	14240446	2011-07-11	2578.23	A
USGS	14240446	2011-07-12	2578.22	A
USGS	14240446	2011-07-13	2578.22	A
USGS	14240446	2011-07-14	2578.21	A
USGS	14240446	2011-07-15	2578.19	A
USGS	14240446	2011-07-16	2578.20	A
USGS	14240446	2011-07-17	2578.23	A
USGS	14240446	2011-07-18	2578.21	A
USGS	14240446	2011-07-19	2578.19	A
USGS	14240446	2011-07-20	2578.17	A
USGS	14240446	2011-07-21	2578.17	A
USGS	14240446	2011-07-22	2578.16	A
USGS	14240446	2011-07-23	2578.14	A
USGS	14240446	2011-07-24	2578.13	A
USGS	14240446	2011-07-25	2578.12	A
USGS	14240446	2011-07-26	2578.10	A
USGS	14240446	2011-07-27	2578.09	A
USGS	14240446	2011-07-28	2578.07	A
USGS	14240446	2011-07-29	2578.06	A
USGS	14240446	2011-07-30	2578.05	A
USGS	14240446	2011-07-31	2578.04	A
USGS	14240446	2011-08-01	2578.03	A
USGS	14240446	2011-08-02	2578.02	A
USGS	14240446	2011-08-03	2578.01	A
USGS	14240446	2011-08-04	2578.00	A
USGS	14240446	2011-08-05	2577.99	A
USGS	14240446	2011-08-06	2577.98	A
USGS	14240446	2011-08-07	2577.97	A
USGS	14240446	2011-08-08	2577.97	A
USGS	14240446	2011-08-09	2577.95	A
USGS	14240446	2011-08-10	2577.95	A
USGS	14240446	2011-08-11	2577.94	A
USGS	14240446	2011-08-12	2577.93	A
USGS	14240446	2011-08-13	2577.92	A
USGS	14240446	2011-08-14	2577.91	A
USGS	14240446	2011-08-15	2577.91	A
USGS	14240446	2011-08-16	2577.90	A
USGS	14240446	2011-08-17	2577.89	A
USGS	14240446	2011-08-18	2577.88	A
USGS	14240446	2011-08-19	2577.88	A
USGS	14240446	2011-08-20	2577.87	A
USGS	14240446	2011-08-21	2577.87	A
USGS	14240446	2011-08-22	2577.89	A
USGS	14240446	2011-08-23	2577.88	A
USGS	14240446	2011-08-24	2577.88	A
USGS	14240446	2011-08-25	2577.88	A
USGS	14240446	2011-08-26	2577.87	A
USGS	14240446	2011-08-27	2577.87	A
USGS	14240446	2011-08-28	2577.86	A
USGS	14240446	2011-08-29	2577.85	A
USGS	14240446	2011-08-30	2577.84	A
USGS	14240446	2011-08-31	2577.83	A
USGS	14240446	2011-09-01	2577.83	A
USGS	14240446	2011-09-02	2577.81	A
USGS	14240446	2011-09-03	2577.81	A
USGS	14240446	2011-09-04	2577.81	A
USGS	14240446	2011-09-05	2577.80	A
USGS	14240446	2011-09-06	2577.80	A
USGS	14240446	2011-09-07	2577.80	A
USGS	14240446	2011-09-08	2577.80	A
USGS	14240446	2011-09-09	2577.80	A
USGS	14240446	2011-09-10	2577.80	A
USGS	14240446	2011-09-11	2577.79	A
USGS	14240446	2011-09-12	2577.79	A
USGS	14240446	2011-09-13	2577.79	A
USGS	14240446	2011-09-14	2577.78	A
USGS	14240446	2011-09-15	2577.78	A
USGS	14240446	2011-09-16	2577.78	A
USGS	14240446	2011-09-17	2577.82	A
USGS	14240446	2011-09-18	2577.91	A
USGS	14240446	2011-09-19	2577.91	A
USGS	14240446	2011-09-20	2577.90	A
USGS	14240446	2011-09-21	2577.89	A
USGS	14240446	2011-09-22	2577.89	A
USGS	14240446	2011-09-23	2577.88	A
USGS	14240446	2011-09-24	2577.90	A
USGS	14240446	2011-09-25	2577.94	A
USGS	14240446	2011-09-26	2578.00	A
USGS	14240446	2011-09-27	2577.98	A
USGS	14240446	2011-09-28	2577.96	A
USGS	14240446	2011-09-29	2577.95	A
USGS	14240446	2011-09-30	2577.94	A
USGS	14240446	2011-10-01	2577.94	A
USGS	14240446	2011-10-02	2577.93	A
USGS	14240446	2011-10-03	2577.98	A
USGS	14240446	2011-10-04	2577.99	A
USGS	14240446	2011-10-05	2578.07	A
USGS	14240446	2011-10-06	2578.07	A
USGS	14240446	2011-10-07	2578.08	A
USGS	14240446	2011-10-08	2578.10	A
USGS	14240446	2011-10-09	2578.09	A
USGS	14240446	2011-10-10	2578.09	A
USGS	14240446	2011-10-11	2578.13	A
USGS	14240446	2011-10-12	2578.23	A
USGS	14240446	2011-10-13	2578.27	A
USGS	14240446	2011-10-14	2578.25	A
USGS	14240446	2011-10-15	2578.24	A
USGS	14240446	2011-10-16	2578.22	A
USGS	14240446	2011-10-17	2578.21	A
USGS	14240446	2011-10-18	2578.19	A
USGS	14240446	2011-10-19	2578.17	A
USGS	14240446	2011-10-20	2578.16	A
USGS	14240446	2011-10-21	2578.15	A
USGS	14240446	2011-10-22	2578.17	A
USGS	14240446	2011-10-23	2578.31	A
USGS	14240446	2011-10-24	2578.35	A
USGS	14240446	2011-10-25	2578.33	A
USGS	14240446	2011-10-26	2578.32	A
USGS	14240446	2011-10-27	2578.30	A
USGS	14240446	2011-10-28	2578.28	A
USGS	14240446	2011-10-29	2578.29	A
USGS	14240446	2011-10-30	2578.27	A
USGS	14240446	2011-10-31	2578.34	A
USGS	14240446	2011-11-01	2578.31	A
USGS	14240446	2011-11-02	2578.29	A
USGS	14240446	2011-11-03	2578.34	A
USGS	14240446	2011-11-04	2578.33	A
USGS	14240446	2011-11-05	2578.31	A
USGS	14240446	2011-11-06	2578.29	A
USGS	14240446	2011-11-07	2578.28	A
USGS	14240446	2011-11-08	2578.27	A
USGS	14240446	2011-11-09	2578.25	A
USGS	14240446	2011-11-10	2578.25	A
USGS	14240446	2011-11-11	2578.22	A
USGS	14240446	2011-11-12	2578.28	A
USGS	14240446	2011-11-13	2578.33	A
USGS	14240446	2011-11-14	2578.44	A
USGS	14240446	2011-11-15	2578.50	A
USGS	14240446	2011-11-16	2578.49	A
USGS	14240446	2011-11-17	2578.60	A
USGS	14240446	2011-11-18	2578.81	A
USGS	14240446	2011-11-19	2578.84	A
USGS	14240446	2011-11-20	2578.78	A
USGS	14240446	2011-11-21	2578.71	A
USGS	14240446	2011-11-22	2578.99	A
USGS	14240446	2011-11-23	2579.93	A
USGS	14240446	2011-11-24	2580.93	A
USGS	14240446	2011-11-25	2580.40	A
USGS	14240446	2011-11-26	2579.87	A
USGS	14240446	2011-11-27	2579.47	A
USGS	14240446	2011-11-28	2579.36	A
USGS	14240446	2011-11-29	2579.17	A
USGS	14240446	2011-11-30	2579.04	A
USGS	14240446	2011-12-01	2578.93	A
USGS	14240446	2011-12-02	2578.81	A
USGS	14240446	2011-12-03	2578.74	A
USGS	14240446	2011-12-04	2578.65	A
USGS	14240446	2011-12-05	2578.59	A
USGS	14240446	2011-12-06	2578.54	A
USGS	14240446	2011-12-07	2578.48	A
USGS	14240446	2011-12-08	2578.44	A
USGS	14240446	2011-12-09	2578.41	A
USGS	14240446	2011-12-10	2578.39	A
USGS	14240446	2011-12-11	2578.36	A
USGS	14240446	2011-12-12	2578.33	A
USGS	14240446	2011-12-13	2578.31	A
USGS	14240446	2011-12-14	2578.28	A
USGS	14240446	2011-12-15	2578.25	A
USGS	14240446	2011-12-16	2578.27	A
USGS	14240446	2011-12-17	2578.26	A
USGS	14240446	2011-12-18	2578.24	A
USGS	14240446	2011-12-19	2578.23	A
USGS	14240446	2011-12-20	2578.22	A
USGS	14240446	2011-12-21	2578.21	A
USGS	14240446	2011-12-22	2578.20	A
USGS	14240446	2011-12-23	2578.18	A
USGS	14240446	2011-12-24	2578.19	A
USGS	14240446	2011-12-25	2578.16	A
USGS	14240446	2011-12-26	2578.23	A
