agency_cd	site_no	datetime	218237_00065_00011	218237_00065_00011_cd
5s	15s	20d	14n	10s
USGS	12116060	2013-01-01	1533.30	A
USGS	12116060	2013-01-02	1533.30	A
USGS	12116060	2013-01-03	1530.90	A
USGS	12116060	2013-01-04	1529.72	A
USGS	12116060	2013-01-05	1528.40	A
USGS	12116060	2013-01-06	1527.00	A
USGS	12116060	2013-01-07	1526.10	A
USGS	12116060	2013-01-08	1540.00	A
USGS	12116060	2013-01-09	1546.10	A
USGS	12116060	2013-01-10	1549.70	A
USGS	12116060	2013-01-11	1550.51	A
USGS	12116060	2013-01-12	1550.70	A
USGS	12116060	2013-01-13	1550.70	A
USGS	12116060	2013-01-14	1550.60	A
USGS	12116060	2013-01-15	1550.50	A
USGS	12116060	2013-01-16	1549.30	A
USGS	12116060	2013-01-17	1548.00	A
USGS	12116060	2013-01-18	1546.00	A
USGS	12116060	2013-01-19	1545.00	A
USGS	12116060	2013-01-20	1544.80	A
USGS	12116060	2013-01-21	1544.60	A
USGS	12116060	2013-01-22	1543.90	A
USGS	12116060	2013-01-23	1543.55	A
USGS	12116060	2013-01-24	1543.00	A
USGS	12116060	2013-01-25	1542.75	A
USGS	12116060	2013-01-26	1543.10	A
USGS	12116060	2013-01-27	1543.80	A
USGS	12116060	2013-01-28	1544.50	A
USGS	12116060	2013-01-29	1548.90	A
USGS	12116060	2013-01-30	1550.30	A
USGS	12116060	2013-01-31	1551.00	A
USGS	12116060	2013-02-01	1551.35	A
USGS	12116060	2013-02-02	1551.81	A
USGS	12116060	2013-02-03	1552.00	A
USGS	12116060	2013-02-04	1552.05	A
USGS	12116060	2013-02-05	1552.10	A
USGS	12116060	2013-02-06	1552.20	A
USGS	12116060	2013-02-07	1552.40	A
USGS	12116060	2013-02-08	1552.40	A
USGS	12116060	2013-02-09	1552.34	A
USGS	12116060	2013-02-10	1552.20	A
USGS	12116060	2013-02-11	1552.00	A
USGS	12116060	2013-02-12	1551.85	A
USGS	12116060	2013-02-13	1551.70	A
USGS	12116060	2013-02-14	1552.00	A
USGS	12116060	2013-02-15	1551.51	A
USGS	12116060	2013-02-16	1551.41	A
USGS	12116060	2013-02-17	1551.40	A
USGS	12116060	2013-02-18	1551.35	A
USGS	12116060	2013-02-19	1551.25	A
USGS	12116060	2013-02-20	1551.05	A
USGS	12116060	2013-02-21	1550.70	A
USGS	12116060	2013-02-22	1550.57	A
USGS	12116060	2013-02-23	1550.52	A
USGS	12116060	2013-02-24	1550.50	A
USGS	12116060	2013-02-25	1550.10	A
USGS	12116060	2013-02-26	1550.00	A
USGS	12116060	2013-02-27	1549.60	A
USGS	12116060	2013-02-28	1549.00	A
USGS	12116060	2013-03-01	1549.20	A
USGS	12116060	2013-03-02	1550.62	A
USGS	12116060	2013-03-03	1551.50	A
USGS	12116060	2013-03-04	1551.90	A
USGS	12116060	2013-03-05	1552.20	A
USGS	12116060	2013-03-06	1552.00	A
USGS	12116060	2013-03-07	1552.10	A
USGS	12116060	2013-03-08	1551.81	A
USGS	12116060	2013-03-09	1551.38	A
USGS	12116060	2013-03-10	1550.80	A
USGS	12116060	2013-03-11	1550.65	A
USGS	12116060	2013-03-12	1550.50	A
USGS	12116060	2013-03-13	1551.00	A
USGS	12116060	2013-03-14	1552.00	A
USGS	12116060	2013-03-15	1552.49	A
USGS	12116060	2013-03-16	1552.00	A
USGS	12116060	2013-03-17	1554.20	A
USGS	12116060	2013-03-18	1554.50	A
USGS	12116060	2013-03-19	1554.20	A
USGS	12116060	2013-03-20	1553.70	A
USGS	12116060	2013-03-21	1553.35	A
USGS	12116060	2013-03-22	1553.18	A
USGS	12116060	2013-03-23	1552.80	A
USGS	12116060	2013-03-24	1552.30	A
USGS	12116060	2013-03-25	1551.75	A
USGS	12116060	2013-03-26	1551.20	A
USGS	12116060	2013-03-27	1550.65	A
USGS	12116060	2013-03-28	1550.40	A
USGS	12116060	2013-03-29	1550.60	A
USGS	12116060	2013-03-30	1550.54	A
USGS	12116060	2013-03-31	1550.58	A
USGS	12116060	2013-04-01	1551.00	A
USGS	12116060	2013-04-02	1551.40	A
USGS	12116060	2013-04-03	1551.95	A
USGS	12116060	2013-04-04	1552.30	A
USGS	12116060	2013-04-05	1552.89	A
USGS	12116060	2013-04-06	1554.80	A
USGS	12116060	2013-04-07	1556.25	A
USGS	12116060	2013-04-08	1557.30	A
USGS	12116060	2013-04-09	1557.60	A
USGS	12116060	2013-04-10	1557.65	A
USGS	12116060	2013-04-11	1558.50	A
USGS	12116060	2013-04-12	1558.98	A
USGS	12116060	2013-04-13	1559.00	A
USGS	12116060	2013-04-14	1558.90	A
USGS	12116060	2013-04-15	1558.55	A
USGS	12116060	2013-04-16	1558.10	A
USGS	12116060	2013-04-17	1557.48	A
USGS	12116060	2013-04-18	1556.75	A
USGS	12116060	2013-04-19	1556.55	A
USGS	12116060	2013-04-20	1557.60	A
USGS	12116060	2013-04-21	1558.60	A
USGS	12116060	2013-04-22	1559.20	A
USGS	12116060	2013-04-23	1559.30	A
USGS	12116060	2013-04-24	1559.00	A
USGS	12116060	2013-04-25	1558.60	A
USGS	12116060	2013-04-26	1558.25	A
USGS	12116060	2013-04-27	1558.06	A
USGS	12116060	2013-04-28	1558.00	A
USGS	12116060	2013-04-29	1558.30	A
USGS	12116060	2013-04-30	1558.80	A
USGS	12116060	2013-05-01	1558.80	A
USGS	12116060	2013-05-02	1558.40	A
USGS	12116060	2013-05-03	1558.10	A
USGS	12116060	2013-05-04	1557.70	A
USGS	12116060	2013-05-05	1557.55	A
USGS	12116060	2013-05-06	1557.60	A
USGS	12116060	2013-05-07	1557.80	A
USGS	12116060	2013-05-08	1558.28	A
USGS	12116060	2013-05-09	1558.50	A
USGS	12116060	2013-05-10	1558.75	A
USGS	12116060	2013-05-11	1559.00	A
USGS	12116060	2013-05-12	1559.30	A
USGS	12116060	2013-05-13	1559.52	A
USGS	12116060	2013-05-14	1559.85	A
USGS	12116060	2013-05-15	1559.75	A
USGS	12116060	2013-05-16	1559.50	A
USGS	12116060	2013-05-17	1559.42	A
USGS	12116060	2013-05-18	1559.40	A
USGS	12116060	2013-05-19	1559.40	A
USGS	12116060	2013-05-20	1559.30	A
USGS	12116060	2013-05-21	1559.30	A
USGS	12116060	2013-05-22	1559.50	A
USGS	12116060	2013-05-23	1559.75	A
USGS	12116060	2013-05-24	1559.90	A
USGS	12116060	2013-05-25	1560.00	A
USGS	12116060	2013-05-26	1560.00	A
USGS	12116060	2013-05-27	1560.15	A
USGS	12116060	2013-05-28	1560.45	A
USGS	12116060	2013-05-29	1560.75	A
USGS	12116060	2013-05-30	1561.18	A
USGS	12116060	2013-05-31	1561.65	A
USGS	12116060	2013-06-01	1562.05	A
USGS	12116060	2013-06-02	1562.40	A
USGS	12116060	2013-06-03	1562.70	A
USGS	12116060	2013-06-04	1562.95	A
USGS	12116060	2013-06-05	1563.10	A
USGS	12116060	2013-06-06	1563.45	A
USGS	12116060	2013-06-07	1563.55	A
USGS	12116060	2013-06-08	1563.68	A
USGS	12116060	2013-06-09	1563.72	A
USGS	12116060	2013-06-10	1563.75	A
USGS	12116060	2013-06-11	1563.75	A
USGS	12116060	2013-06-12	1563.75	A
USGS	12116060	2013-06-13	1563.70	A
USGS	12116060	2013-06-14	1563.61	A
USGS	12116060	2013-06-15	1563.51	A
USGS	12116060	2013-06-16	1563.40	A
USGS	12116060	2013-06-17	1563.35	A
USGS	12116060	2013-06-18	1563.35	A
USGS	12116060	2013-06-19	1563.30	A
USGS	12116060	2013-06-20	1563.30	A
USGS	12116060	2013-06-21	1563.51	A
USGS	12116060	2013-06-22	1563.63	A
USGS	12116060	2013-06-23	1563.65	A
USGS	12116060	2013-06-24	1563.70	A
USGS	12116060	2013-06-25	1563.75	A
USGS	12116060	2013-06-26	1563.70	A
USGS	12116060	2013-06-27	1563.65	A
USGS	12116060	2013-06-28	1563.55	A
USGS	12116060	2013-06-29	1563.45	A
USGS	12116060	2013-06-30	1563.25	A
USGS	12116060	2013-07-01	1563.12	A
USGS	12116060	2013-07-02	1562.96	A
USGS	12116060	2013-07-03	1562.80	A
USGS	12116060	2013-07-04	1562.55	A
USGS	12116060	2013-07-05	1562.41	A
USGS	12116060	2013-07-06	1562.22	A
USGS	12116060	2013-07-07	1562.05	A
USGS	12116060	2013-07-08	1561.90	A
USGS	12116060	2013-07-09	1561.72	A
USGS	12116060	2013-07-10	1561.50	A
USGS	12116060	2013-07-11	1561.30	A
USGS	12116060	2013-07-12	1561.10	A
USGS	12116060	2013-07-13	1560.95	A
USGS	12116060	2013-07-14	1560.75	A
USGS	12116060	2013-07-15	1560.60	A
USGS	12116060	2013-07-16	1560.45	A
USGS	12116060	2013-07-17	1560.30	A
USGS	12116060	2013-07-18	1560.12	A
USGS	12116060	2013-07-19	1560.00	A
USGS	12116060	2013-07-20	1559.85	A
USGS	12116060	2013-07-21	1559.65	A
USGS	12116060	2013-07-22	1559.50	A
USGS	12116060	2013-07-23	1559.40	A
USGS	12116060	2013-07-24	1559.18	A
USGS	12116060	2013-07-25	1559.05	A
USGS	12116060	2013-07-26	1558.90	A
USGS	12116060	2013-07-27	1558.70	A
USGS	12116060	2013-07-28	1558.50	A
USGS	12116060	2013-07-29	1558.32	A
USGS	12116060	2013-07-30	1558.25	A
USGS	12116060	2013-07-31	1558.05	A
USGS	12116060	2013-08-01	1557.88	A
USGS	12116060	2013-08-02	1557.70	A
USGS	12116060	2013-08-03	1557.54	A
USGS	12116060	2013-08-04	1557.38	A
USGS	12116060	2013-08-05	1557.20	A
USGS	12116060	2013-08-06	1557.10	A
USGS	12116060	2013-08-07	1556.95	A
USGS	12116060	2013-08-08	1556.79	A
USGS	12116060	2013-08-09	1556.62	A
USGS	12116060	2013-08-10	1556.50	A
USGS	12116060	2013-08-11	1556.30	A
USGS	12116060	2013-08-12	1556.20	A
USGS	12116060	2013-08-13	1556.00	A
USGS	12116060	2013-08-14	1555.85	A
USGS	12116060	2013-08-15	1555.68	A
USGS	12116060	2013-08-16	1555.51	A
USGS	12116060	2013-08-17	1555.32	A
USGS	12116060	2013-08-18	1555.10	A
USGS	12116060	2013-08-19	1555.00	A
USGS	12116060	2013-08-20	1554.85	A
USGS	12116060	2013-08-21	1554.65	A
USGS	12116060	2013-08-22	1554.50	A
USGS	12116060	2013-08-23	1554.30	A
USGS	12116060	2013-08-24	1554.10	A
USGS	12116060	2013-08-25	1554.00	A
USGS	12116060	2013-08-26	1553.85	A
USGS	12116060	2013-08-27	1553.70	A
USGS	12116060	2013-08-28	1553.50	A
USGS	12116060	2013-08-29	1553.40	A
USGS	12116060	2013-08-30	1553.45	A
USGS	12116060	2013-08-31	1553.35	A
USGS	12116060	2013-09-01	1553.18	A
USGS	12116060	2013-09-02	1553.05	A
USGS	12116060	2013-09-03	1552.10	A
USGS	12116060	2013-09-04	1552.75	A
USGS	12116060	2013-09-05	1552.60	A
USGS	12116060	2013-09-06	1552.60	A
USGS	12116060	2013-09-07	1552.52	A
USGS	12116060	2013-09-08	1552.40	A
USGS	12116060	2013-09-09	1552.30	A
USGS	12116060	2013-09-10	1552.15	A
USGS	12116060	2013-09-11	1552.00	A
USGS	12116060	2013-09-12	1551.81	A
USGS	12116060	2013-09-13	1551.69	A
USGS	12116060	2013-09-14	1551.50	A
USGS	12116060	2013-09-15	1551.35	A
USGS	12116060	2013-09-16	1551.35	A
USGS	12116060	2013-09-17	1551.21	A
USGS	12116060	2013-09-18	1551.05	A
USGS	12116060	2013-09-19	1550.90	A
USGS	12116060	2013-09-20	1550.65	A
USGS	12116060	2013-09-21	1550.50	A
USGS	12116060	2013-09-22	1550.00	A
USGS	12116060	2013-09-23	1549.45	A
USGS	12116060	2013-09-24	1549.05	A
USGS	12116060	2013-09-25	1548.30	A
USGS	12116060	2013-09-26	1547.67	A
USGS	12116060	2013-09-27	1546.62	A
USGS	12116060	2013-09-28	1545.60	A
USGS	12116060	2013-09-29	1546.70	A
USGS	12116060	2013-09-30	1551.65	A
USGS	12116060	2013-10-01	1554.30	A
USGS	12116060	2013-10-02	1554.90	A
USGS	12116060	2013-10-03	1556.10	A
USGS	12116060	2013-10-04	1556.06	A
USGS	12116060	2013-10-05	1555.75	A
USGS	12116060	2013-10-06	1555.45	A
USGS	12116060	2013-10-07	1555.00	A
USGS	12116060	2013-10-08	1554.80	A
USGS	12116060	2013-10-09	1555.21	A
USGS	12116060	2013-10-10	1555.30	A
USGS	12116060	2013-10-11	1555.20	A
USGS	12116060	2013-10-12	1555.30	A
USGS	12116060	2013-10-13	1555.20	A
USGS	12116060	2013-10-14	1555.00	A
USGS	12116060	2013-10-15	1555.00	A
USGS	12116060	2013-10-16	1554.75	A
USGS	12116060	2013-10-17	1554.00	A
USGS	12116060	2013-10-18	1554.30	A
USGS	12116060	2013-10-19	1554.10	A
USGS	12116060	2013-10-20	1553.85	A
USGS	12116060	2013-10-21	1553.60	A
USGS	12116060	2013-10-22	1553.35	A
USGS	12116060	2013-10-23	1553.05	A
USGS	12116060	2013-10-24	1552.65	A
USGS	12116060	2013-10-25	1552.40	A
USGS	12116060	2013-10-26	1552.15	A
USGS	12116060	2013-10-27	1551.85	A
USGS	12116060	2013-10-28	1551.55	A
USGS	12116060	2013-10-29	1551.10	A
USGS	12116060	2013-10-30	1550.70	A
USGS	12116060	2013-10-31	1550.10	A
USGS	12116060	2013-11-01	1549.62	A
USGS	12116060	2013-11-02	1548.98	A
USGS	12116060	2013-11-03	1548.85	A
USGS	12116060	2013-11-04	1548.80	A
USGS	12116060	2013-11-05	1545.20	A
USGS	12116060	2013-11-06	1541.60	A
USGS	12116060	2013-11-07	1539.70	A
USGS	12116060	2013-11-08	1540.00	A
USGS	12116060	2013-11-09	1548.00	A
USGS	12116060	2013-11-10	1551.30	A
USGS	12116060	2013-11-11	1551.60	A
USGS	12116060	2013-11-12	1551.50	A
USGS	12116060	2013-11-13	1551.75	A
USGS	12116060	2013-11-14	1551.80	A
USGS	12116060	2013-11-15	1551.70	A
USGS	12116060	2013-11-16	1551.50	A
USGS	12116060	2013-11-17	1551.30	A
USGS	12116060	2013-11-18	1551.35	A
USGS	12116060	2013-11-19	1553.20	A
USGS	12116060	2013-11-20	1555.05	A
USGS	12116060	2013-11-21	1555.15	A
USGS	12116060	2013-11-22	1554.70	A
USGS	12116060	2013-11-23	1554.20	A
USGS	12116060	2013-11-24	1553.40	A
USGS	12116060	2013-11-25	1552.90	A
USGS	12116060	2013-11-26	1551.90	A
USGS	12116060	2013-11-27	1550.50	A
USGS	12116060	2013-11-28	1550.75	A
USGS	12116060	2013-11-29	1549.04	A
USGS	12116060	2013-11-30	1547.70	A
USGS	12116060	2013-12-01	1548.35	A
USGS	12116060	2013-12-02	1552.10	A
USGS	12116060	2013-12-03	1552.70	A
USGS	12116060	2013-12-04	1553.05	A
USGS	12116060	2013-12-05	1553.05	A
USGS	12116060	2013-12-06	1552.75	A
USGS	12116060	2013-12-07	1551.40	A
USGS	12116060	2013-12-08	1550.05	A
USGS	12116060	2013-12-09	1550.05	A
USGS	12116060	2013-12-10	1550.05	A
USGS	12116060	2013-12-11	1548.20	A
USGS	12116060	2013-12-12	1546.20	A
USGS	12116060	2013-12-13	1546.60	A
USGS	12116060	2013-12-14	1546.70	A
USGS	12116060	2013-12-15	1547.40	A
USGS	12116060	2013-12-16	1547.52	A
USGS	12116060	2013-12-17	1547.60	A
USGS	12116060	2013-12-18	1547.70	A
USGS	12116060	2013-12-19	1547.70	A
USGS	12116060	2013-12-20	1547.70	A
USGS	12116060	2013-12-21	1547.70	A
USGS	12116060	2013-12-22	1547.90	A
USGS	12116060	2013-12-23	1548.00	A
