agency_cd	site_no	datetime	9652_00054_32400	9652_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11277200	2013-01-01	246800	A
USGS	11277200	2013-01-02	246100	A
USGS	11277200	2013-01-03	245700	A
USGS	11277200	2013-01-04	245500	A
USGS	11277200	2013-01-05	245400	A
USGS	11277200	2013-01-06	245200	A
USGS	11277200	2013-01-07	244900	A
USGS	11277200	2013-01-08	244800	A
USGS	11277200	2013-01-09	244800	A
USGS	11277200	2013-01-10	244700	A
USGS	11277200	2013-01-11	244600	A
USGS	11277200	2013-01-12	244600	A
USGS	11277200	2013-01-13	244500	A
USGS	11277200	2013-01-14	244400	A
USGS	11277200	2013-01-15	244100	A
USGS	11277200	2013-01-16	244000	A
USGS	11277200	2013-01-17	243900	A
USGS	11277200	2013-01-18	243800	A
USGS	11277200	2013-01-19	243800	A
USGS	11277200	2013-01-20	243800	A
USGS	11277200	2013-01-21	243900	A
USGS	11277200	2013-01-22	243800	A
USGS	11277200	2013-01-23	243800	A
USGS	11277200	2013-01-24	243800	A
USGS	11277200	2013-01-25	244300	A
USGS	11277200	2013-01-26	244700	A
USGS	11277200	2013-01-27	244700	A
USGS	11277200	2013-01-28	244400	A
USGS	11277200	2013-01-29	244100	A
USGS	11277200	2013-01-30	243700	A
USGS	11277200	2013-01-31	243500	A
USGS	11277200	2013-02-01	243300	A
USGS	11277200	2013-02-02	243300	A
USGS	11277200	2013-02-03	243100	A
USGS	11277200	2013-02-04	243100	A
USGS	11277200	2013-02-05	243000	A
USGS	11277200	2013-02-06	243000	A
USGS	11277200	2013-02-07	242900	A
USGS	11277200	2013-02-08	242500	A
USGS	11277200	2013-02-09	242300	A
USGS	11277200	2013-02-10	242400	A
USGS	11277200	2013-02-11	242100	A
USGS	11277200	2013-02-12	242000	A
USGS	11277200	2013-02-13	241900	A
USGS	11277200	2013-02-14	241800	A
USGS	11277200	2013-02-15	241600	A
USGS	11277200	2013-02-16	241600	A
USGS	11277200	2013-02-17	241600	A
USGS	11277200	2013-02-18	241600	A
USGS	11277200	2013-02-19	241600	A
USGS	11277200	2013-02-20	241400	A
USGS	11277200	2013-02-21	241300	A
USGS	11277200	2013-02-22	241200	A
USGS	11277200	2013-02-23	241100	A
USGS	11277200	2013-02-24	241000	A
USGS	11277200	2013-02-25	240900	A
USGS	11277200	2013-02-26	240500	A
USGS	11277200	2013-02-27	240300	A
USGS	11277200	2013-02-28	240300	A
USGS	11277200	2013-03-01	240500	A
USGS	11277200	2013-03-02	241000	A
USGS	11277200	2013-03-03	241700	A
USGS	11277200	2013-03-04	242100	A
USGS	11277200	2013-03-05	242400	A
USGS	11277200	2013-03-06	242800	A
USGS	11277200	2013-03-07	243200	A
USGS	11277200	2013-03-08	243600	A
USGS	11277200	2013-03-09	244000	A
USGS	11277200	2013-03-10	243900	A
USGS	11277200	2013-03-11	243800	A
USGS	11277200	2013-03-12	244000	A
USGS	11277200	2013-03-13	244300	A
USGS	11277200	2013-03-14	244800	A
USGS	11277200	2013-03-15	244300	A
USGS	11277200	2013-03-16	244200	A
USGS	11277200	2013-03-17	243500	A
USGS	11277200	2013-03-18	242700	A
USGS	11277200	2013-03-19	241900	A
USGS	11277200	2013-03-20	241700	A
USGS	11277200	2013-03-21	241100	A
USGS	11277200	2013-03-22	240300	A
USGS	11277200	2013-03-23	239400	A
USGS	11277200	2013-03-24	238700	A
USGS	11277200	2013-03-25	238000	A
USGS	11277200	2013-03-26	237200	A
USGS	11277200	2013-03-27	236800	A
USGS	11277200	2013-03-28	236600	A
USGS	11277200	2013-03-29	236500	A
USGS	11277200	2013-03-30	236600	A
USGS	11277200	2013-03-31	237400	A
USGS	11277200	2013-04-01	238100	A
USGS	11277200	2013-04-02	238000	A
USGS	11277200	2013-04-03	238200	A
USGS	11277200	2013-04-04	239000	A
USGS	11277200	2013-04-05	239400	A
USGS	11277200	2013-04-06	239600	A
USGS	11277200	2013-04-07	240000	A
USGS	11277200	2013-04-08	240600	A
USGS	11277200	2013-04-09	240100	A
USGS	11277200	2013-04-10	239500	A
USGS	11277200	2013-04-11	239800	A
USGS	11277200	2013-04-12	240500	A
USGS	11277200	2013-04-13	241600	A
USGS	11277200	2013-04-14	243100	A
USGS	11277200	2013-04-15	243800	A
USGS	11277200	2013-04-16	243600	A
USGS	11277200	2013-04-17	243100	A
USGS	11277200	2013-04-18	242500	A
USGS	11277200	2013-04-19	242200	A
USGS	11277200	2013-04-20	242400	A
USGS	11277200	2013-04-21	243400	A
USGS	11277200	2013-04-22	244500	A
USGS	11277200	2013-04-23	245300	A
USGS	11277200	2013-04-24	246000	A
USGS	11277200	2013-04-25	246400	A
USGS	11277200	2013-04-26	246900	A
USGS	11277200	2013-04-27	247700	A
USGS	11277200	2013-04-28	249300	A
USGS	11277200	2013-04-29	250400	A
USGS	11277200	2013-04-30	251500	A
USGS	11277200	2013-05-01	253000	A
USGS	11277200	2013-05-02	254000	A
USGS	11277200	2013-05-03	255200	A
USGS	11277200	2013-05-04	256300	A
USGS	11277200	2013-05-05	257000	A
USGS	11277200	2013-05-06	257800	A
USGS	11277200	2013-05-07	258100	A
USGS	11277200	2013-05-08	257700	A
USGS	11277200	2013-05-09	257400	A
USGS	11277200	2013-05-10	257500	A
USGS	11277200	2013-05-11	258000	A
USGS	11277200	2013-05-12	258800	A
USGS	11277200	2013-05-13	260300	A
USGS	11277200	2013-05-14	261700	A
USGS	11277200	2013-05-15	261700	A
USGS	11277200	2013-05-16	261900	A
USGS	11277200	2013-05-17	261600	A
USGS	11277200	2013-05-18	261700	A
USGS	11277200	2013-05-19	262000	A
USGS	11277200	2013-05-20	262200	A
USGS	11277200	2013-05-21	262600	A
USGS	11277200	2013-05-22	263000	A
USGS	11277200	2013-05-23	263000	A
USGS	11277200	2013-05-24	262800	A
USGS	11277200	2013-05-25	262200	A
USGS	11277200	2013-05-26	261700	A
USGS	11277200	2013-05-27	261200	A
USGS	11277200	2013-05-28	261400	A
USGS	11277200	2013-05-29	261900	A
USGS	11277200	2013-05-30	262000	A
USGS	11277200	2013-05-31	262000	A
USGS	11277200	2013-06-01	262000	A
USGS	11277200	2013-06-02	262000	A
USGS	11277200	2013-06-03	262100	A
USGS	11277200	2013-06-04	262200	A
USGS	11277200	2013-06-05	262300	A
USGS	11277200	2013-06-06	262300	A
USGS	11277200	2013-06-07	262100	A
USGS	11277200	2013-06-08	261200	A
USGS	11277200	2013-06-09	260500	A
USGS	11277200	2013-06-10	260400	A
USGS	11277200	2013-06-11	260100	A
USGS	11277200	2013-06-12	259700	A
USGS	11277200	2013-06-13	259500	A
USGS	11277200	2013-06-14	259200	A
USGS	11277200	2013-06-15	258600	A
USGS	11277200	2013-06-16	258300	A
USGS	11277200	2013-06-17	258300	A
USGS	11277200	2013-06-18	258300	A
USGS	11277200	2013-06-19	258600	A
USGS	11277200	2013-06-20	258600	A
USGS	11277200	2013-06-21	258500	A
USGS	11277200	2013-06-22	258500	A
USGS	11277200	2013-06-23	258500	A
USGS	11277200	2013-06-24	258700	A
USGS	11277200	2013-06-25	260200	A
USGS	11277200	2013-06-26	261100	A
USGS	11277200	2013-06-27	261500	A
USGS	11277200	2013-06-28	261700	A
USGS	11277200	2013-06-29	261800	A
USGS	11277200	2013-06-30	261800	A
USGS	11277200	2013-07-01	261800	A
USGS	11277200	2013-07-02	261800	A
USGS	11277200	2013-07-03	262100	A
USGS	11277200	2013-07-04	262000	A
USGS	11277200	2013-07-05	261800	A
USGS	11277200	2013-07-06	261500	A
USGS	11277200	2013-07-07	261100	A
USGS	11277200	2013-07-08	260800	A
USGS	11277200	2013-07-09	260400	A
USGS	11277200	2013-07-10	260000	A
USGS	11277200	2013-07-11	259600	A
USGS	11277200	2013-07-12	259300	A
USGS	11277200	2013-07-13	258900	A
USGS	11277200	2013-07-14	258500	A
USGS	11277200	2013-07-15	258000	A
USGS	11277200	2013-07-16	257700	A
USGS	11277200	2013-07-17	257600	A
USGS	11277200	2013-07-18	257200	A
USGS	11277200	2013-07-19	256800	A
USGS	11277200	2013-07-20	256400	A
USGS	11277200	2013-07-21	256000	A
USGS	11277200	2013-07-22	255600	A
USGS	11277200	2013-07-23	255200	A
USGS	11277200	2013-07-24	254800	A
USGS	11277200	2013-07-25	254300	A
USGS	11277200	2013-07-26	253900	A
USGS	11277200	2013-07-27	253500	A
USGS	11277200	2013-07-28	253100	A
USGS	11277200	2013-07-29	252700	A
USGS	11277200	2013-07-30	252300	A
USGS	11277200	2013-07-31	252200	A
USGS	11277200	2013-08-01	251800	A
USGS	11277200	2013-08-02	251400	A
USGS	11277200	2013-08-03	250900	A
USGS	11277200	2013-08-04	250500	A
USGS	11277200	2013-08-05	250000	A
USGS	11277200	2013-08-06	249600	A
USGS	11277200	2013-08-07	249100	A
USGS	11277200	2013-08-08	248600	A
USGS	11277200	2013-08-09	248100	A
USGS	11277200	2013-08-10	247700	A
USGS	11277200	2013-08-11	247300	A
USGS	11277200	2013-08-12	246900	A
USGS	11277200	2013-08-13	246500	A
USGS	11277200	2013-08-14	246300	A
USGS	11277200	2013-08-15	245900	A
