agency_cd	site_no	datetime	226008_00054_32400	226008_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11444490	2016-10-01	2610	A
USGS	11444490	2016-10-02	2460	A
USGS	11444490	2016-10-03	2580	A
USGS	11444490	2016-10-04	2620	A
USGS	11444490	2016-10-05	2630	A
USGS	11444490	2016-10-06	2710	A
USGS	11444490	2016-10-07	2620	A
USGS	11444490	2016-10-08	2700	A
USGS	11444490	2016-10-09	2770	A
USGS	11444490	2016-10-10	2640	A
USGS	11444490	2016-10-11	2490	A
USGS	11444490	2016-10-12	2560	A
USGS	11444490	2016-10-13	2640	A
USGS	11444490	2016-10-14	2690	A
USGS	11444490	2016-10-15	2670	A
USGS	11444490	2016-10-16	2720	A
USGS	11444490	2016-10-17	2960	A
USGS	11444490	2016-10-18	2660	A
USGS	11444490	2016-10-19	2460	A
USGS	11444490	2016-10-20	2550	A
USGS	11444490	2016-10-21	2650	A
USGS	11444490	2016-10-22	2750	A
USGS	11444490	2016-10-23	2570	A
USGS	11444490	2016-10-24	2490	A
USGS	11444490	2016-10-25	2480	A
USGS	11444490	2016-10-26	2630	A
USGS	11444490	2016-10-27	2430	A
USGS	11444490	2016-10-28	2200	A
USGS	11444490	2016-10-29	2680	A
USGS	11444490	2016-10-30	2430	A
USGS	11444490	2016-10-31	2480	A
USGS	11444490	2016-11-01	2510	A
USGS	11444490	2016-11-02	2600	A
USGS	11444490	2016-11-03	2560	A
USGS	11444490	2016-11-04	2480	A
USGS	11444490	2016-11-05	2560	A
USGS	11444490	2016-11-06	2560	A
USGS	11444490	2016-11-07	2590	A
USGS	11444490	2016-11-08	2520	A
USGS	11444490	2016-11-09	2780	A
USGS	11444490	2016-11-10	2210	A
USGS	11444490	2016-11-11	2720	A
USGS	11444490	2016-11-12	2530	A
USGS	11444490	2016-11-13	2550	A
USGS	11444490	2016-11-14	2380	A
USGS	11444490	2016-11-15	2390	A
USGS	11444490	2016-11-16	2380	A
USGS	11444490	2016-11-17	2180	A
USGS	11444490	2016-11-18	2570	A
USGS	11444490	2016-11-19	2460	A
USGS	11444490	2016-11-20	2560	A
USGS	11444490	2016-11-21	2370	A
USGS	11444490	2016-11-22	2620	A
USGS	11444490	2016-11-23	2490	A
USGS	11444490	2016-11-24	2730	A
USGS	11444490	2016-11-25	2690	A
USGS	11444490	2016-11-26	2680	A
USGS	11444490	2016-11-27	2640	A
USGS	11444490	2016-11-28	2410	A
USGS	11444490	2016-11-29	2580	A
USGS	11444490	2016-11-30	2370	A
USGS	11444490	2016-12-01	2610	A
USGS	11444490	2016-12-02	2920	A
USGS	11444490	2016-12-03	2370	A
USGS	11444490	2016-12-04	2400	A
USGS	11444490	2016-12-05	2400	A
USGS	11444490	2016-12-06	2780	A
USGS	11444490	2016-12-07	2300	A
USGS	11444490	2016-12-08	2720	A
USGS	11444490	2016-12-09	2620	A
USGS	11444490	2016-12-10	3630	A
USGS	11444490	2016-12-11	3440	A
USGS	11444490	2016-12-12	3420	A
USGS	11444490	2016-12-13	3370	A
USGS	11444490	2016-12-14	3210	A
USGS	11444490	2016-12-15	3500	A
USGS	11444490	2016-12-16	3520	A
USGS	11444490	2016-12-17	3330	A
USGS	11444490	2016-12-18	3220	A
USGS	11444490	2016-12-19	3150	A
USGS	11444490	2016-12-20	2840	A
USGS	11444490	2016-12-21	3210	A
USGS	11444490	2016-12-22	3030	A
USGS	11444490	2016-12-23	3060	A
USGS	11444490	2016-12-24	2780	A
USGS	11444490	2016-12-25	2740	A
USGS	11444490	2016-12-26	2960	A
USGS	11444490	2016-12-27	3100	A
USGS	11444490	2016-12-28	3000	A
USGS	11444490	2016-12-29	2340	A
USGS	11444490	2016-12-30	3050	A
USGS	11444490	2016-12-31	2870	A
USGS	11444490	2017-01-01	2970	A
USGS	11444490	2017-01-02	3170	A
USGS	11444490	2017-01-03	3110	A
USGS	11444490	2017-01-04	3630	A
USGS	11444490	2017-01-05	3470	A
USGS	11444490	2017-01-06	3440	A
USGS	11444490	2017-01-07	3460	A
USGS	11444490	2017-01-08	4660	A
USGS	11444490	2017-01-09	4050	A
USGS	11444490	2017-01-10	4510	A
USGS	11444490	2017-01-11	3970	A
USGS	11444490	2017-01-12	3720	A
USGS	11444490	2017-01-13	3600	A
USGS	11444490	2017-01-14	3530	A
USGS	11444490	2017-01-15	3460	A
USGS	11444490	2017-01-16	3430	A
USGS	11444490	2017-01-17	3430	A
USGS	11444490	2017-01-18	3400	A
USGS	11444490	2017-01-19	3470	A
USGS	11444490	2017-01-20	3510	A
USGS	11444490	2017-01-21	3500	A
USGS	11444490	2017-01-22	3560	A
USGS	11444490	2017-01-23	3500	A
USGS	11444490	2017-01-24	3570	A
USGS	11444490	2017-01-25	3440	A
USGS	11444490	2017-01-26	3440	A
USGS	11444490	2017-01-27	3500	A
USGS	11444490	2017-01-28	3460	A
USGS	11444490	2017-01-29	3410	A
USGS	11444490	2017-01-30	3370	A
USGS	11444490	2017-01-31	3240	A
USGS	11444490	2017-02-01	3270	A
USGS	11444490	2017-02-02	3280	A
USGS	11444490	2017-02-03	3460	A
USGS	11444490	2017-02-04	3500	A
USGS	11444490	2017-02-05	3450	A
USGS	11444490	2017-02-06	3900	A
USGS	11444490	2017-02-07	4260	A
USGS	11444490	2017-02-08	4720	A
USGS	11444490	2017-02-09	4610	A
USGS	11444490	2017-02-10	4410	A
USGS	11444490	2017-02-11	4000	A
USGS	11444490	2017-02-12	3820	A
USGS	11444490	2017-02-13	3700	A
USGS	11444490	2017-02-14	3590	A
USGS	11444490	2017-02-15	3580	A
USGS	11444490	2017-02-16	3540	A
USGS	11444490	2017-02-17	3570	A
USGS	11444490	2017-02-18	3540	A
USGS	11444490	2017-02-19	3480	A
USGS	11444490	2017-02-20	4240	A
USGS	11444490	2017-02-21	4110	A
USGS	11444490	2017-02-22	3780	A
USGS	11444490	2017-02-23	3700	A
USGS	11444490	2017-02-24	3610	A
USGS	11444490	2017-02-25	3550	A
USGS	11444490	2017-02-26	3450	A
USGS	11444490	2017-02-27	3440	A
USGS	11444490	2017-02-28	3490	A
USGS	11444490	2017-03-01	3450	A
USGS	11444490	2017-03-02	3440	A
USGS	11444490	2017-03-03	3450	A
USGS	11444490	2017-03-04	3440	A
USGS	11444490	2017-03-05	3450	A
USGS	11444490	2017-03-06	3240	A
USGS	11444490	2017-03-07	3210	A
USGS	11444490	2017-03-08	3210	A
USGS	11444490	2017-03-09	3390	A
USGS	11444490	2017-03-10	3370	A
USGS	11444490	2017-03-11	3420	A
USGS	11444490	2017-03-12	3370	A
USGS	11444490	2017-03-13	3370	A
USGS	11444490	2017-03-14	3370	A
USGS	11444490	2017-03-15	3400	A
USGS	11444490	2017-03-16	3400	A
USGS	11444490	2017-03-17	3480	A
USGS	11444490	2017-03-18	3480	A
USGS	11444490	2017-03-19	3460	A
USGS	11444490	2017-03-20	3430	A
USGS	11444490	2017-03-21	3700	A
USGS	11444490	2017-03-22	3600	A
USGS	11444490	2017-03-23	3550	A
USGS	11444490	2017-03-24	3450	A
USGS	11444490	2017-03-25	3540	A
USGS	11444490	2017-03-26	3440	A
USGS	11444490	2017-03-27	3420	A
USGS	11444490	2017-03-28	3360	A
USGS	11444490	2017-03-29	3400	A
USGS	11444490	2017-03-30	3450	A
USGS	11444490	2017-03-31	3340	A
USGS	11444490	2017-04-01	3460	A
USGS	11444490	2017-04-02	3400	A
USGS	11444490	2017-04-03	3470	A
USGS	11444490	2017-04-04	3430	A
USGS	11444490	2017-04-05	3440	A
USGS	11444490	2017-04-06	3440	A
USGS	11444490	2017-04-07	3670	A
USGS	11444490	2017-04-08	3600	A
USGS	11444490	2017-04-09	3540	A
USGS	11444490	2017-04-10	3540	A
USGS	11444490	2017-04-11	3470	A
