agency_cd	site_no	datetime	150159_62614_00003	150159_62614_00003_cd
5s	15s	20d	14n	10s
USGS	12514500	2013-01-01	339.62	A
USGS	12514500	2013-01-02	339.08	A
USGS	12514500	2013-01-03	338.82	A
USGS	12514500	2013-01-04	339.12	A
USGS	12514500	2013-01-05	339.78	A
USGS	12514500	2013-01-06	339.97	A
USGS	12514500	2013-01-07	339.88	A
USGS	12514500	2013-01-08	339.91	A
USGS	12514500	2013-01-09	339.57	A
USGS	12514500	2013-01-10	338.82	A
USGS	12514500	2013-01-11	338.48	A
USGS	12514500	2013-01-12	338.90	A
USGS	12514500	2013-01-13	338.94	A
USGS	12514500	2013-01-14	339.28	A
USGS	12514500	2013-01-15	339.99	A
USGS	12514500	2013-01-16	339.85	A
USGS	12514500	2013-01-17	339.14	A
USGS	12514500	2013-01-18	339.34	A
USGS	12514500	2013-01-19	339.40	A
USGS	12514500	2013-01-20	339.45	A
USGS	12514500	2013-01-21	339.88	A
USGS	12514500	2013-01-22	339.40	A
USGS	12514500	2013-01-23	339.50	A
USGS	12514500	2013-01-24	339.25	A
USGS	12514500	2013-01-25	338.54	A
USGS	12514500	2013-01-26	338.90	A
USGS	12514500	2013-01-27	339.27	A
USGS	12514500	2013-01-28	339.26	A
USGS	12514500	2013-01-29	338.87	A
USGS	12514500	2013-01-30	339.15	A
USGS	12514500	2013-01-31	339.52	A
USGS	12514500	2013-02-01	339.33	A
USGS	12514500	2013-02-02	339.16	A
USGS	12514500	2013-02-03	339.08	A
USGS	12514500	2013-02-04	338.70	A
USGS	12514500	2013-02-05	338.44	A
USGS	12514500	2013-02-06	338.60	A
USGS	12514500	2013-02-07	338.69	A
USGS	12514500	2013-02-08	339.10	A
USGS	12514500	2013-02-09	339.49	A
USGS	12514500	2013-02-10	339.43	A
USGS	12514500	2013-02-11	339.20	A
USGS	12514500	2013-02-12	338.90	A
USGS	12514500	2013-02-13	339.21	A
USGS	12514500	2013-02-14	338.67	A
USGS	12514500	2013-02-15	338.69	A
USGS	12514500	2013-02-16	338.95	A
USGS	12514500	2013-02-17	338.45	A
USGS	12514500	2013-02-18	337.95	A
USGS	12514500	2013-02-19	338.92	A
USGS	12514500	2013-02-20	339.00	A
USGS	12514500	2013-02-21	338.57	A
USGS	12514500	2013-02-22	338.78	A
USGS	12514500	2013-02-23	338.78	A
USGS	12514500	2013-02-24	338.96	A
USGS	12514500	2013-02-25	339.14	A
USGS	12514500	2013-02-26	338.49	A
USGS	12514500	2013-02-27	338.63	A
USGS	12514500	2013-02-28	338.67	A
USGS	12514500	2013-03-01	339.17	A
USGS	12514500	2013-03-02	339.57	A
USGS	12514500	2013-03-03	339.74	A
USGS	12514500	2013-03-04	339.82	A
USGS	12514500	2013-03-05	339.11	A
USGS	12514500	2013-03-06	338.59	A
USGS	12514500	2013-03-07	339.18	A
USGS	12514500	2013-03-08	338.82	A
USGS	12514500	2013-03-09	338.90	A
USGS	12514500	2013-03-10	338.69	A
USGS	12514500	2013-03-11	338.96	A
USGS	12514500	2013-03-12	338.82	A
USGS	12514500	2013-03-13	338.81	A
USGS	12514500	2013-03-14	338.75	A
USGS	12514500	2013-03-15	339.22	A
USGS	12514500	2013-03-16	339.14	A
USGS	12514500	2013-03-17	339.31	A
USGS	12514500	2013-03-18	339.72	A
USGS	12514500	2013-03-19	339.11	A
