agency_cd	site_no	datetime	113702_62614_32400	113702_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14153000	2013-09-11	779.21	A
USGS	14153000	2013-09-12	779.10	A
USGS	14153000	2013-09-13	778.97	A
USGS	14153000	2013-09-14	778.82	A
USGS	14153000	2013-09-15	778.67	A
USGS	14153000	2013-09-16	778.32	A
USGS	14153000	2013-09-17	777.94	A
USGS	14153000	2013-09-18	777.53	A
USGS	14153000	2013-09-19	777.12	A
USGS	14153000	2013-09-20	776.72	A
USGS	14153000	2013-09-21	776.40	A
USGS	14153000	2013-09-22	776.03	A
USGS	14153000	2013-09-23	775.63	A
USGS	14153000	2013-09-24	775.31	A
USGS	14153000	2013-09-25	775.06	A
USGS	14153000	2013-09-26	774.69	A
USGS	14153000	2013-09-27	774.28	A
USGS	14153000	2013-09-28	773.97	A
USGS	14153000	2013-09-29	774.31	A
USGS	14153000	2013-09-30	775.52	A
USGS	14153000	2013-10-01	775.21	A
USGS	14153000	2013-10-02	774.59	A
USGS	14153000	2013-10-03	773.88	A
USGS	14153000	2013-10-04	773.07	A
USGS	14153000	2013-10-05	772.15	A
USGS	14153000	2013-10-06	771.19	A
USGS	14153000	2013-10-07	770.38	A
USGS	14153000	2013-10-08	769.68	A
USGS	14153000	2013-10-09	768.98	A
USGS	14153000	2013-10-10	768.25	A
USGS	14153000	2013-10-11	767.49	A
USGS	14153000	2013-10-12	766.71	A
USGS	14153000	2013-10-13	765.90	A
USGS	14153000	2013-10-14	765.05	A
USGS	14153000	2013-10-15	764.17	A
USGS	14153000	2013-10-16	763.28	A
USGS	14153000	2013-10-17	762.36	A
USGS	14153000	2013-10-18	761.42	A
USGS	14153000	2013-10-19	760.45	A
USGS	14153000	2013-10-20	759.45	A
USGS	14153000	2013-10-21	758.43	A
USGS	14153000	2013-10-22	757.35	A
USGS	14153000	2013-10-23	756.22	A
USGS	14153000	2013-10-24	755.03	A
USGS	14153000	2013-10-25	754.23	A
USGS	14153000	2013-10-26	753.93	A
USGS	14153000	2013-10-27	753.79	A
USGS	14153000	2013-10-28	753.68	A
USGS	14153000	2013-10-29	753.55	A
USGS	14153000	2013-10-30	753.41	A
USGS	14153000	2013-10-31	753.26	A
USGS	14153000	2013-11-01	753.11	A
USGS	14153000	2013-11-02	753.12	A
USGS	14153000	2013-11-03	753.14	A
USGS	14153000	2013-11-04	752.91	A
USGS	14153000	2013-11-05	752.56	A
USGS	14153000	2013-11-06	752.32	A
USGS	14153000	2013-11-07	752.48	A
USGS	14153000	2013-11-08	752.29	A
USGS	14153000	2013-11-09	751.73	A
USGS	14153000	2013-11-10	751.48	A
USGS	14153000	2013-11-11	751.30	A
USGS	14153000	2013-11-12	751.14	A
USGS	14153000	2013-11-13	750.93	A
USGS	14153000	2013-11-14	750.66	A
USGS	14153000	2013-11-15	750.36	A
USGS	14153000	2013-11-16	750.15	A
USGS	14153000	2013-11-17	750.10	A
USGS	14153000	2013-11-18	750.16	A
USGS	14153000	2013-11-19	751.79	A
USGS	14153000	2013-11-20	753.22	A
USGS	14153000	2013-11-21	752.84	A
USGS	14153000	2013-11-22	752.23	A
USGS	14153000	2013-11-23	751.47	A
USGS	14153000	2013-11-24	750.78	A
USGS	14153000	2013-11-25	750.72	A
USGS	14153000	2013-11-26	750.62	A
USGS	14153000	2013-11-27	750.45	A
USGS	14153000	2013-11-28	750.27	A
USGS	14153000	2013-11-29	750.23	A
USGS	14153000	2013-11-30	750.17	A
USGS	14153000	2013-12-01	750.12	A
USGS	14153000	2013-12-02	751.02	A
USGS	14153000	2013-12-03	751.86	A
USGS	14153000	2013-12-04	752.12	A
USGS	14153000	2013-12-05	752.13	A
USGS	14153000	2013-12-06	752.09	A
USGS	14153000	2013-12-07	751.89	A
USGS	14153000	2013-12-08	751.61	A
USGS	14153000	2013-12-09	751.38	A
USGS	14153000	2013-12-10	751.22	A
USGS	14153000	2013-12-11	751.06	A
USGS	14153000	2013-12-12	750.99	A
USGS	14153000	2013-12-13	751.06	A
USGS	14153000	2013-12-14	751.10	A
USGS	14153000	2013-12-15	751.11	A
USGS	14153000	2013-12-16	751.10	A
USGS	14153000	2013-12-17	751.00	A
USGS	14153000	2013-12-18	750.83	A
USGS	14153000	2013-12-19	750.66	A
USGS	14153000	2013-12-20	750.56	A
USGS	14153000	2013-12-21	750.67	A
USGS	14153000	2013-12-22	750.86	A
USGS	14153000	2013-12-23	750.99	A
USGS	14153000	2013-12-24	751.10	A
USGS	14153000	2013-12-25	751.16	A
USGS	14153000	2013-12-26	751.19	A
USGS	14153000	2013-12-27	751.17	A
USGS	14153000	2013-12-28	751.12	A
