agency_cd	site_no	datetime	213566_00054_32400	213566_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11214550	2013-01-01	49000	A
USGS	11214550	2013-01-02	48300	A
USGS	11214550	2013-01-03	47500	A
USGS	11214550	2013-01-04	46700	A
USGS	11214550	2013-01-05	44800	A
USGS	11214550	2013-01-06	45000	A
USGS	11214550	2013-01-07	42900	A
USGS	11214550	2013-01-08	39200	A
USGS	11214550	2013-01-09	39000	A
USGS	11214550	2013-01-10	40200	A
USGS	11214550	2013-01-11	35400	A
USGS	11214550	2013-01-12	34300	A
USGS	11214550	2013-01-13	33300	A
USGS	11214550	2013-01-14	31100	A
USGS	11214550	2013-01-15	28800	A
USGS	11214550	2013-01-16	28400	A
USGS	11214550	2013-01-17	28100	A
USGS	11214550	2013-01-18	27300	A
USGS	11214550	2013-01-19	26800	A
USGS	11214550	2013-01-20	27100	A
USGS	11214550	2013-01-21	24300	A
USGS	11214550	2013-01-22	22600	A
USGS	11214550	2013-01-23	22800	A
USGS	11214550	2013-01-24	23700	A
USGS	11214550	2013-01-25	23900	A
USGS	11214550	2013-01-26	25200	A
USGS	11214550	2013-01-27	28100	A
USGS	11214550	2013-01-28	30000	A
USGS	11214550	2013-01-29	31100	A
USGS	11214550	2013-01-30	32200	A
USGS	11214550	2013-01-31	32800	A
USGS	11214550	2013-02-01	32700	A
USGS	11214550	2013-02-02	31300	A
USGS	11214550	2013-02-03	31800	A
USGS	11214550	2013-02-04	31900	A
USGS	11214550	2013-02-05	32200	A
USGS	11214550	2013-02-06	31400	A
USGS	11214550	2013-02-07	29500	A
USGS	11214550	2013-02-08	29500	A
USGS	11214550	2013-02-09	29500	A
USGS	11214550	2013-02-10	29700	A
USGS	11214550	2013-02-11	28900	A
USGS	11214550	2013-02-12	27500	A
USGS	11214550	2013-02-13	26900	A
USGS	11214550	2013-02-14	26600	A
USGS	11214550	2013-02-15	26800	A
USGS	11214550	2013-02-16	28200	A
USGS	11214550	2013-02-17	30800	A
USGS	11214550	2013-02-18	31700	A
USGS	11214550	2013-02-19	32900	A
USGS	11214550	2013-02-20	32200	A
USGS	11214550	2013-02-21	31900	A
USGS	11214550	2013-02-22	31100	A
USGS	11214550	2013-02-23	33300	A
USGS	11214550	2013-02-24	33800	A
USGS	11214550	2013-02-25	33700	A
USGS	11214550	2013-02-26	33500	A
