agency_cd	site_no	datetime	213919_00054_00011	213919_00054_00011_cd	213920_00054_32400	213920_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11416618	2013-04-30	966.0	A		
USGS	11416618	2013-05-01	953.0	A		
USGS	11416618	2013-05-02				
USGS	11416618	2013-05-03				
USGS	11416618	2013-05-04	960.0	A		
USGS	11416618	2013-05-05				
USGS	11416618	2013-05-06				
USGS	11416618	2013-05-07				
USGS	11416618	2013-05-08				
USGS	11416618	2013-05-09				
USGS	11416618	2013-05-10	960.0	A		
USGS	11416618	2013-05-11				
USGS	11416618	2013-05-12				
USGS	11416618	2013-05-13	960.0	A		
USGS	11416618	2013-05-14				
USGS	11416618	2013-05-15				
USGS	11416618	2013-05-16				
USGS	11416618	2013-05-17				
USGS	11416618	2013-05-18				
USGS	11416618	2013-05-19				
USGS	11416618	2013-05-20				
USGS	11416618	2013-05-21	953.0	A		
USGS	11416618	2013-05-22				
USGS	11416618	2013-05-23	953.0	A		
USGS	11416618	2013-05-24	953.0	A		
USGS	11416618	2013-05-25				
USGS	11416618	2013-05-26	939.0	A		
USGS	11416618	2013-05-27				
USGS	11416618	2013-05-28				
USGS	11416618	2013-05-29	939.0	A		
USGS	11416618	2013-05-30				
USGS	11416618	2013-05-31	925.0	A		
USGS	11416618	2013-06-01				
USGS	11416618	2013-06-02				
USGS	11416618	2013-06-03	925.0	A		
USGS	11416618	2013-06-04				
USGS	11416618	2013-06-05				
USGS	11416618	2013-06-06				
USGS	11416618	2013-06-07	917.0	A		
USGS	11416618	2013-06-08				
USGS	11416618	2013-06-09				
USGS	11416618	2013-06-10	903.0	A		
USGS	11416618	2013-06-11				
USGS	11416618	2013-06-12	903.0	A		
USGS	11416618	2013-06-13				
USGS	11416618	2013-06-14				
USGS	11416618	2013-06-15				
USGS	11416618	2013-06-16				
USGS	11416618	2013-06-17	889.0	A		
USGS	11416618	2013-06-18	868.0	A		
USGS	11416618	2013-06-19				
USGS	11416618	2013-06-20				
USGS	11416618	2013-06-21				
USGS	11416618	2013-06-22				
USGS	11416618	2013-06-23				
USGS	11416618	2013-06-24				
USGS	11416618	2013-06-25	875.0	A		
USGS	11416618	2013-06-26	875.0	A		
USGS	11416618	2013-06-27				
USGS	11416618	2013-06-28	868.0	A		
USGS	11416618	2013-06-29				
USGS	11416618	2013-06-30				
USGS	11416618	2013-07-01				
USGS	11416618	2013-07-02				
USGS	11416618	2013-07-03	861.0	A		
USGS	11416618	2013-07-04				
USGS	11416618	2013-07-05				
USGS	11416618	2013-07-06	847.0	A		
USGS	11416618	2013-07-07				
USGS	11416618	2013-07-08				
USGS	11416618	2013-07-09	847.0	A		
USGS	11416618	2013-07-10				
USGS	11416618	2013-07-11				
USGS	11416618	2013-07-12	833.0	A		
USGS	11416618	2013-07-13				
USGS	11416618	2013-07-14	826.0	A		
USGS	11416618	2013-07-15				
USGS	11416618	2013-07-16				
USGS	11416618	2013-07-17	812.0	A		
USGS	11416618	2013-07-18				
USGS	11416618	2013-07-19				
USGS	11416618	2013-07-20	798.0	A		
USGS	11416618	2013-07-21				
USGS	11416618	2013-07-22				
USGS	11416618	2013-07-23				
USGS	11416618	2013-07-24	791.0	A		
USGS	11416618	2013-07-25				
USGS	11416618	2013-07-26				
USGS	11416618	2013-07-27				
USGS	11416618	2013-07-28	771.0	A		
USGS	11416618	2013-07-29				
USGS	11416618	2013-07-30	771.0	A		
USGS	11416618	2013-07-31	771.0	A		
USGS	11416618	2013-08-01				
USGS	11416618	2013-08-02	764.0	A		
USGS	11416618	2013-08-03				
USGS	11416618	2013-08-04				
USGS	11416618	2013-08-05				
USGS	11416618	2013-08-06	736.0	A		
USGS	11416618	2013-08-07				
USGS	11416618	2013-08-08				
USGS	11416618	2013-08-09				
USGS	11416618	2013-08-10	729.0	A		
USGS	11416618	2013-08-11				
USGS	11416618	2013-08-12				
USGS	11416618	2013-08-13				
USGS	11416618	2013-08-14	715.0	A		
USGS	11416618	2013-08-15				
USGS	11416618	2013-08-16				
USGS	11416618	2013-08-17				
USGS	11416618	2013-08-18	702.0	A		
USGS	11416618	2013-08-19				
USGS	11416618	2013-08-20				
USGS	11416618	2013-08-21	695.0	A		
USGS	11416618	2013-08-22				
USGS	11416618	2013-08-23				
USGS	11416618	2013-08-24	688.0	A		
USGS	11416618	2013-08-25				
USGS	11416618	2013-08-26				
USGS	11416618	2013-08-27				
USGS	11416618	2013-08-28	662.0	A		
