agency_cd	site_no	datetime	113930_62614_32400	113930_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14180500	2013-07-30	1557.21	A
USGS	14180500	2013-07-31	1556.95	A
USGS	14180500	2013-08-01	1556.62	A
USGS	14180500	2013-08-02	1556.42	A
USGS	14180500	2013-08-03	1556.17	A
USGS	14180500	2013-08-04	1555.92	A
USGS	14180500	2013-08-05	1555.67	A
USGS	14180500	2013-08-06	1555.40	A
USGS	14180500	2013-08-07	1555.12	A
USGS	14180500	2013-08-08	1554.83	A
USGS	14180500	2013-08-09	1554.57	A
USGS	14180500	2013-08-10	1554.36	A
USGS	14180500	2013-08-11	1554.13	A
USGS	14180500	2013-08-12	1553.86	A
USGS	14180500	2013-08-13	1553.60	A
USGS	14180500	2013-08-14	1553.32	A
USGS	14180500	2013-08-15	1553.03	A
USGS	14180500	2013-08-16	1552.77	A
USGS	14180500	2013-08-17	1552.44	A
USGS	14180500	2013-08-18	1552.16	A
USGS	14180500	2013-08-19	1551.86	A
USGS	14180500	2013-08-20	1551.58	A
USGS	14180500	2013-08-21	1551.26	A
USGS	14180500	2013-08-22	1550.99	A
USGS	14180500	2013-08-23	1550.70	A
USGS	14180500	2013-08-24	1550.43	A
USGS	14180500	2013-08-25	1550.17	A
USGS	14180500	2013-08-26	1549.90	A
USGS	14180500	2013-08-27	1549.63	A
USGS	14180500	2013-08-28	1549.38	A
USGS	14180500	2013-08-29	1549.08	A
USGS	14180500	2013-08-30	1548.81	A
USGS	14180500	2013-08-31	1548.48	A
USGS	14180500	2013-09-01	1548.15	A
USGS	14180500	2013-09-02	1547.62	A
USGS	14180500	2013-09-03	1547.02	A
USGS	14180500	2013-09-04	1546.41	A
USGS	14180500	2013-09-05	1545.91	A
USGS	14180500	2013-09-06	1545.46	A
USGS	14180500	2013-09-07	1544.91	A
USGS	14180500	2013-09-08	1544.31	A
USGS	14180500	2013-09-09	1543.71	A
USGS	14180500	2013-09-10	1542.97	A
USGS	14180500	2013-09-11	1542.19	A
USGS	14180500	2013-09-12	1541.41	A
USGS	14180500	2013-09-13	1540.72	A
USGS	14180500	2013-09-14	1539.73	A
USGS	14180500	2013-09-15	1538.87	A
USGS	14180500	2013-09-16	1538.04	A
USGS	14180500	2013-09-17	1537.18	A
USGS	14180500	2013-09-18	1536.34	A
USGS	14180500	2013-09-19	1535.47	A
USGS	14180500	2013-09-20	1534.54	A
USGS	14180500	2013-09-21	1533.75	A
USGS	14180500	2013-09-22	1532.98	A
USGS	14180500	2013-09-23	1532.26	A
USGS	14180500	2013-09-24	1531.73	A
USGS	14180500	2013-09-25	1531.20	A
USGS	14180500	2013-09-26	1530.55	A
USGS	14180500	2013-09-27	1529.34	A
USGS	14180500	2013-09-28	1529.20	A
USGS	14180500	2013-09-29	1532.45	A
USGS	14180500	2013-09-30	1537.05	A
USGS	14180500	2013-10-01	1538.98	A
USGS	14180500	2013-10-02	1539.38	A
USGS	14180500	2013-10-03	1539.15	A
USGS	14180500	2013-10-04	1538.51	A
USGS	14180500	2013-10-05	1537.65	A
USGS	14180500	2013-10-06	1536.57	A
USGS	14180500	2013-10-07	1535.44	A
USGS	14180500	2013-10-08	1534.53	A
USGS	14180500	2013-10-09	1533.67	A
USGS	14180500	2013-10-10	1532.56	A
USGS	14180500	2013-10-11	1531.30	A
USGS	14180500	2013-10-12	1529.94	A
USGS	14180500	2013-10-13	1528.48	A
USGS	14180500	2013-10-14	1526.95	A
USGS	14180500	2013-10-15	1525.41	A
USGS	14180500	2013-10-16	1523.77	A
USGS	14180500	2013-10-17	1522.06	A
USGS	14180500	2013-10-18	1520.31	A
USGS	14180500	2013-10-19	1518.51	A
USGS	14180500	2013-10-20	1516.67	A
USGS	14180500	2013-10-21	1514.79	A
USGS	14180500	2013-10-22	1512.86	A
USGS	14180500	2013-10-23	1510.87	A
USGS	14180500	2013-10-24	1508.86	A
USGS	14180500	2013-10-25	1506.77	A
USGS	14180500	2013-10-26	1504.72	A
USGS	14180500	2013-10-27	1502.66	A
USGS	14180500	2013-10-28	1500.14	A
USGS	14180500	2013-10-29	1496.45	A
USGS	14180500	2013-10-30	1493.58	A
USGS	14180500	2013-10-31	1491.02	A
USGS	14180500	2013-11-01	1488.43	A
USGS	14180500	2013-11-02	1486.12	A
USGS	14180500	2013-11-03	1483.84	A
USGS	14180500	2013-11-04	1481.35	A
USGS	14180500	2013-11-05	1479.13	A
USGS	14180500	2013-11-06	1477.49	A
USGS	14180500	2013-11-07	1476.30	A
USGS	14180500	2013-11-08	1475.00	A
USGS	14180500	2013-11-09	1473.13	A
USGS	14180500	2013-11-10	1470.98	A
USGS	14180500	2013-11-11	1468.53	A
USGS	14180500	2013-11-12	1465.92	A
USGS	14180500	2013-11-13	1463.17	A
USGS	14180500	2013-11-14	1460.32	A
USGS	14180500	2013-11-15	1457.44	A
USGS	14180500	2013-11-16	1455.21	A
USGS	14180500	2013-11-17	1453.02	A
USGS	14180500	2013-11-18	1450.96	A
USGS	14180500	2013-11-19	1451.69	A
USGS	14180500	2013-11-20	1452.84	A
USGS	14180500	2013-11-21	1453.92	A
USGS	14180500	2013-11-22	1454.62	A
USGS	14180500	2013-11-23	1455.40	A
USGS	14180500	2013-11-24	1455.97	A
USGS	14180500	2013-11-25	1456.35	A
USGS	14180500	2013-11-26	1456.71	A
USGS	14180500	2013-11-27	1456.86	A
USGS	14180500	2013-11-28	1456.89	A
USGS	14180500	2013-11-29	1456.79	A
USGS	14180500	2013-11-30	1456.75	A
USGS	14180500	2013-12-01	1458.42	A
USGS	14180500	2013-12-02	1467.59	A
USGS	14180500	2013-12-03	1470.54	A
USGS	14180500	2013-12-04	1469.94	A
USGS	14180500	2013-12-05	1468.56	A
USGS	14180500	2013-12-06	1466.78	A
USGS	14180500	2013-12-07	1464.67	A
USGS	14180500	2013-12-08	1462.28	A
USGS	14180500	2013-12-09	1459.74	A
USGS	14180500	2013-12-10	1458.14	A
USGS	14180500	2013-12-11	1457.15	A
USGS	14180500	2013-12-12	1455.77	A
USGS	14180500	2013-12-13	1454.60	A
USGS	14180500	2013-12-14	1453.36	A
USGS	14180500	2013-12-15	1452.04	A
USGS	14180500	2013-12-16	1450.73	A
USGS	14180500	2013-12-17	1449.34	A
USGS	14180500	2013-12-18	1447.86	A
USGS	14180500	2013-12-19	1446.29	A
USGS	14180500	2013-12-20	1445.21	A
USGS	14180500	2013-12-21	1445.04	A
USGS	14180500	2013-12-22	1445.03	A
USGS	14180500	2013-12-23	1445.00	A
USGS	14180500	2013-12-24	1445.15	A
USGS	14180500	2013-12-25	1445.92	A
USGS	14180500	2013-12-26	1446.50	A
USGS	14180500	2013-12-27	1446.82	A
USGS	14180500	2013-12-28	1447.10	A
