agency_cd	site_no	datetime	114583_62614_32400	114583_62614_32400_cd
USGS	14312450	2011-01-01	5183.62	A
USGS	14312450	2011-01-02	5183.55	A
USGS	14312450	2011-01-03	5183.51	A
USGS	14312450	2011-01-04	5183.49	A
USGS	14312450	2011-01-05	5183.46	A
USGS	14312450	2011-01-06	5183.43	A
USGS	14312450	2011-01-07	5183.40	A
USGS	14312450	2011-01-08	5183.37	A
USGS	14312450	2011-01-09	5183.35	A
USGS	14312450	2011-01-10	5183.33	A
USGS	14312450	2011-01-11	5183.32	A
USGS	14312450	2011-01-12	5183.28	A
USGS	14312450	2011-01-13	5183.44	A
USGS	14312450	2011-01-14	5183.40	A
USGS	14312450	2011-01-15	5183.51	A
USGS	14312450	2011-01-16	5183.64	A
USGS	14312450	2011-01-17	5183.63	A
USGS	14312450	2011-01-18	5183.64	A
USGS	14312450	2011-01-19	5183.60	A
USGS	14312450	2011-01-20	5183.58	A
USGS	14312450	2011-01-21	5183.55	A
USGS	14312450	2011-01-22	5183.52	A
USGS	14312450	2011-01-23	5183.50	A
USGS	14312450	2011-01-24	5183.46	A
USGS	14312450	2011-01-25	5183.46	A
USGS	14312450	2011-01-26	5183.41	A
USGS	14312450	2011-01-27	5183.40	A
USGS	14312450	2011-01-28	5183.36	A
USGS	14312450	2011-01-29	5183.34	A
USGS	14312450	2011-01-30	5183.32	A
USGS	14312450	2011-01-31	5183.29	A
USGS	14312450	2011-02-01	5183.27	A
USGS	14312450	2011-02-02	5183.23	A
USGS	14312450	2011-02-03	5183.23	A
USGS	14312450	2011-02-04	5183.19	A
USGS	14312450	2011-02-05	5183.18	A
USGS	14312450	2011-02-06	5183.17	A
USGS	14312450	2011-02-07	5183.15	A
USGS	14312450	2011-02-08	5183.15	A
USGS	14312450	2011-02-09	5183.12	A
USGS	14312450	2011-02-10	5183.10	A
USGS	14312450	2011-02-11	5183.09	A
USGS	14312450	2011-02-12		
USGS	14312450	2011-02-13		
USGS	14312450	2011-02-14		
USGS	14312450	2011-02-15		
USGS	14312450	2011-02-16		
USGS	14312450	2011-02-17		
USGS	14312450	2011-02-18		
USGS	14312450	2011-02-19		
USGS	14312450	2011-02-20		
USGS	14312450	2011-02-21		
USGS	14312450	2011-02-22		
USGS	14312450	2011-02-23		
USGS	14312450	2011-02-24		
USGS	14312450	2011-02-25		
USGS	14312450	2011-02-26		
USGS	14312450	2011-02-27		
USGS	14312450	2011-02-28	5183.13	A
USGS	14312450	2011-03-01	5183.16	A
USGS	14312450	2011-03-02	5183.14	A
USGS	14312450	2011-03-03	5183.14	A
USGS	14312450	2011-03-04	5183.16	A
USGS	14312450	2011-03-05	5183.20	A
USGS	14312450	2011-03-06	5183.18	A
USGS	14312450	2011-03-07	5183.17	A
USGS	14312450	2011-03-08	5183.23	A
USGS	14312450	2011-03-09	5183.21	A
USGS	14312450	2011-03-10	5183.26	A
USGS	14312450	2011-03-11	5183.23	A
USGS	14312450	2011-03-12	5183.21	A
USGS	14312450	2011-03-13	5183.24	A
USGS	14312450	2011-03-14	5183.25	A
USGS	14312450	2011-03-15	5183.32	A
USGS	14312450	2011-03-16	5183.39	A
USGS	14312450	2011-03-17	5183.36	A
USGS	14312450	2011-03-18	5183.39	A
USGS	14312450	2011-03-19	5183.37	A
USGS	14312450	2011-03-20	5183.34	A
USGS	14312450	2011-03-21	5183.32	A
USGS	14312450	2011-03-22	5183.30	A
USGS	14312450	2011-03-23	5183.29	A
USGS	14312450	2011-03-24	5183.27	A
USGS	14312450	2011-03-25	5183.30	A
USGS	14312450	2011-03-26	5183.34	A
USGS	14312450	2011-03-27	5183.38	A
USGS	14312450	2011-03-28	5183.34	A
USGS	14312450	2011-03-29	5183.33	A
USGS	14312450	2011-03-30	5183.31	A
USGS	14312450	2011-03-31	5183.31	A
USGS	14312450	2011-04-01	5183.26	A
USGS	14312450	2011-04-02	5183.27	A
USGS	14312450	2011-04-03	5183.25	A
USGS	14312450	2011-04-04	5183.27	A
USGS	14312450	2011-04-05	5183.25	A
USGS	14312450	2011-04-06	5183.28	A
USGS	14312450	2011-04-07	5183.26	A
USGS	14312450	2011-04-08	5183.24	A
USGS	14312450	2011-04-09	5183.23	A
USGS	14312450	2011-04-10	5183.20	A
USGS	14312450	2011-04-11	5183.19	A
USGS	14312450	2011-04-12	5183.18	A
USGS	14312450	2011-04-13	5183.18	A
USGS	14312450	2011-04-14	5183.16	A
USGS	14312450	2011-04-15	5183.23	A
USGS	14312450	2011-04-16	5183.26	A
USGS	14312450	2011-04-17	5183.25	A
USGS	14312450	2011-04-18	5183.23	A
USGS	14312450	2011-04-19	5183.21	A
USGS	14312450	2011-04-20	5183.21	A
USGS	14312450	2011-04-21	5183.18	A
USGS	14312450	2011-04-22	5183.17	A
USGS	14312450	2011-04-23	5183.17	A
USGS	14312450	2011-04-24	5183.17	A
USGS	14312450	2011-04-25	5183.18	A
USGS	14312450	2011-04-26	5183.19	A
USGS	14312450	2011-04-27	5183.17	A
USGS	14312450	2011-04-28	5183.19	A
USGS	14312450	2011-04-29	5183.19	A
USGS	14312450	2011-04-30	5183.17	A
USGS	14312450	2011-05-01	5183.15	A
USGS	14312450	2011-05-02	5183.13	A
USGS	14312450	2011-05-03	5183.11	A
USGS	14312450	2011-05-04	5183.09	A
USGS	14312450	2011-05-05	5183.08	A
USGS	14312450	2011-05-06	5183.09	A
USGS	14312450	2011-05-07	5183.10	A
USGS	14312450	2011-05-08	5183.09	A
USGS	14312450	2011-05-09	5183.09	A
USGS	14312450	2011-05-10	5183.08	A
USGS	14312450	2011-05-11	5183.10	A
USGS	14312450	2011-05-12	5183.09	A
USGS	14312450	2011-05-13	5183.09	A
USGS	14312450	2011-05-14	5183.09	A
USGS	14312450	2011-05-15	5183.12	A
USGS	14312450	2011-05-16	5183.15	A
USGS	14312450	2011-05-17	5183.19	A
USGS	14312450	2011-05-18	5183.20	A
USGS	14312450	2011-05-19	5183.21	A
USGS	14312450	2011-05-20	5183.21	A
USGS	14312450	2011-05-21	5183.22	A
USGS	14312450	2011-05-22	5183.24	A
USGS	14312450	2011-05-23	5183.25	A
USGS	14312450	2011-05-24	5183.30	A
USGS	14312450	2011-05-25	5183.40	A
USGS	14312450	2011-05-26	5183.43	A
USGS	14312450	2011-05-27	5183.51	A
USGS	14312450	2011-05-28	5183.53	A
USGS	14312450	2011-05-29	5183.53	A
USGS	14312450	2011-05-30	5183.56	A
USGS	14312450	2011-05-31	5183.61	A
USGS	14312450	2011-06-01	5183.66	A
USGS	14312450	2011-06-02	5183.67	A
USGS	14312450	2011-06-03	5183.66	A
USGS	14312450	2011-06-04	5183.67	A
USGS	14312450	2011-06-05	5183.71	A
USGS	14312450	2011-06-06	5183.73	A
USGS	14312450	2011-06-07	5183.72	A
USGS	14312450	2011-06-08	5183.76	A
USGS	14312450	2011-06-09	5183.77	A
USGS	14312450	2011-06-10	5183.81	A
USGS	14312450	2011-06-11	5183.85	A
USGS	14312450	2011-06-12	5183.90	A
USGS	14312450	2011-06-13	5183.94	A
USGS	14312450	2011-06-14	5183.97	A
USGS	14312450	2011-06-15	5183.98	A
USGS	14312450	2011-06-16	5184.01	A
USGS	14312450	2011-06-17	5184.02	A
USGS	14312450	2011-06-18	5184.04	A
USGS	14312450	2011-06-19	5184.06	A
USGS	14312450	2011-06-20	5184.08	A
USGS	14312450	2011-06-21	5184.09	A
USGS	14312450	2011-06-22	5184.10	A
USGS	14312450	2011-06-23	5184.11	A
USGS	14312450	2011-06-24	5184.12	A
USGS	14312450	2011-06-25	5184.12	A
USGS	14312450	2011-06-26	5184.12	A
USGS	14312450	2011-06-27	5184.13	A
USGS	14312450	2011-06-28	5184.15	A
USGS	14312450	2011-06-29	5184.13	A
USGS	14312450	2011-06-30	5184.13	A
USGS	14312450	2011-07-01	5184.13	A
USGS	14312450	2011-07-02	5184.13	A
USGS	14312450	2011-07-03	5184.12	A
USGS	14312450	2011-07-04	5184.11	A
USGS	14312450	2011-07-05	5184.12	A
USGS	14312450	2011-07-06	5184.08	A
USGS	14312450	2011-07-07	5184.06	A
USGS	14312450	2011-07-08	5184.08	A
USGS	14312450	2011-07-09	5184.04	A
USGS	14312450	2011-07-10	5184.04	A
USGS	14312450	2011-07-11	5184.03	A
USGS	14312450	2011-07-12	5184.02	A
USGS	14312450	2011-07-13	5184.02	A
USGS	14312450	2011-07-14	5183.99	A
USGS	14312450	2011-07-15	5184.00	A
USGS	14312450	2011-07-16	5183.98	A
