agency_cd	site_no	datetime	9735_00054_32400	9735_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11292600	2013-01-01	24630	A
USGS	11292600	2013-01-02	24150	A
USGS	11292600	2013-01-03	23650	A
USGS	11292600	2013-01-04	23150	A
USGS	11292600	2013-01-05	22640	A
USGS	11292600	2013-01-06	22230	A
USGS	11292600	2013-01-07	21770	A
USGS	11292600	2013-01-08	21330	A
USGS	11292600	2013-01-09	20900	A
USGS	11292600	2013-01-10	20460	A
USGS	11292600	2013-01-11	19990	A
USGS	11292600	2013-01-12	19660	A
USGS	11292600	2013-01-13	19080	A
USGS	11292600	2013-01-14	18580	A
USGS	11292600	2013-01-15	18190	A
USGS	11292600	2013-01-16	17660	A
USGS	11292600	2013-01-17	17160	A
USGS	11292600	2013-01-18	16650	A
USGS	11292600	2013-01-19	16050	A
USGS	11292600	2013-01-20	15560	A
USGS	11292600	2013-01-21	15080	A
USGS	11292600	2013-01-22	14590	A
USGS	11292600	2013-01-23	14470	A
USGS	11292600	2013-01-24	14550	A
USGS	11292600	2013-01-25	14840	A
USGS	11292600	2013-01-26	15020	A
USGS	11292600	2013-01-27	14920	A
USGS	11292600	2013-01-28	14800	A
USGS	11292600	2013-01-29	14700	A
USGS	11292600	2013-01-30	14870	A
USGS	11292600	2013-01-31	15060	A
USGS	11292600	2013-02-01	15090	A
USGS	11292600	2013-02-02	14910	A
USGS	11292600	2013-02-03	14900	A
USGS	11292600	2013-02-04	14820	A
USGS	11292600	2013-02-05	14780	A
USGS	11292600	2013-02-06	14590	A
USGS	11292600	2013-02-07	14640	A
USGS	11292600	2013-02-08	14480	A
USGS	11292600	2013-02-09	14240	A
USGS	11292600	2013-02-10	14050	A
USGS	11292600	2013-02-11	13920	A
USGS	11292600	2013-02-12	13950	A
USGS	11292600	2013-02-13	13840	A
USGS	11292600	2013-02-14	13640	A
USGS	11292600	2013-02-15	13340	A
USGS	11292600	2013-02-16	13020	A
USGS	11292600	2013-02-17	12740	A
USGS	11292600	2013-02-18	12530	A
USGS	11292600	2013-02-19	12230	A
USGS	11292600	2013-02-20	11870	A
USGS	11292600	2013-02-21	11450	A
USGS	11292600	2013-02-22	11160	A
USGS	11292600	2013-02-23	11000	A
USGS	11292600	2013-02-24	10630	A
USGS	11292600	2013-02-25	10230	A
USGS	11292600	2013-02-26	10050	A
USGS	11292600	2013-02-27	9797	A
USGS	11292600	2013-02-28	9670	A
USGS	11292600	2013-03-01	9631	A
USGS	11292600	2013-03-02	9696	A
USGS	11292600	2013-03-03	9809	A
USGS	11292600	2013-03-04	9855	A
USGS	11292600	2013-03-05	9623	A
USGS	11292600	2013-03-06	9422	A
USGS	11292600	2013-03-07	9210	A
USGS	11292600	2013-03-08	9233	A
USGS	11292600	2013-03-09	9338	A
USGS	11292600	2013-03-10	9184	A
USGS	11292600	2013-03-11	9029	A
USGS	11292600	2013-03-12	9014	A
USGS	11292600	2013-03-13	9076	A
USGS	11292600	2013-03-14	9268	A
USGS	11292600	2013-03-15	9420	A
USGS	11292600	2013-03-16	9407	A
