agency_cd	site_no	datetime	7604_62614_32400	7604_62614_32400_cd	7605_00054_32400	7605_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	10338400	2013-01-01	5928.92	A	3832	A
USGS	10338400	2013-01-02	5928.90	A	3815	A
USGS	10338400	2013-01-03	5928.87	A	3790	A
USGS	10338400	2013-01-04	5928.85	A	3774	A
USGS	10338400	2013-01-05	5928.83	A	3757	A
USGS	10338400	2013-01-06	5928.82	A	3748	A
USGS	10338400	2013-01-07	5928.80	A	3732	A
USGS	10338400	2013-01-08	5928.79	A	3724	A
USGS	10338400	2013-01-09	5928.81	A	3740	A
USGS	10338400	2013-01-10	5928.81	A	3740	A
USGS	10338400	2013-01-11	5928.79	A	3724	A
USGS	10338400	2013-01-12	5928.77	A	3707	A
USGS	10338400	2013-01-13	5928.75	A	3691	A
USGS	10338400	2013-01-14	5928.73	A	3675	A
USGS	10338400	2013-01-15	5928.73	A	3675	A
USGS	10338400	2013-01-16	5928.72	A	3667	A
USGS	10338400	2013-01-17	5928.71	A	3659	A
USGS	10338400	2013-01-18	5928.71	A	3659	A
USGS	10338400	2013-01-19	5928.70	A	3651	A
USGS	10338400	2013-01-20	5928.69	A	3642	A
USGS	10338400	2013-01-21	5928.70	A	3651	A
USGS	10338400	2013-01-22	5928.70	A	3651	A
USGS	10338400	2013-01-23	5928.69	A	3642	A
USGS	10338400	2013-01-24	5928.72	A	3667	A
USGS	10338400	2013-01-25	5928.77	A	3707	A
USGS	10338400	2013-01-26	5928.80	A	3732	A
USGS	10338400	2013-01-27	5928.84	A	3765	A
USGS	10338400	2013-01-28	5928.84	A	3765	A
USGS	10338400	2013-01-29	5928.84	A	3765	A
USGS	10338400	2013-01-30	5928.84	A	3765	A
USGS	10338400	2013-01-31	5928.84	A	3765	A
USGS	10338400	2013-02-01	5928.84	A	3765	A
USGS	10338400	2013-02-02	5928.84	A	3765	A
USGS	10338400	2013-02-03	5928.84	A	3765	A
USGS	10338400	2013-02-04	5928.85	A	3774	A
USGS	10338400	2013-02-05	5928.84	A	3765	A
USGS	10338400	2013-02-06	5928.84	A	3765	A
USGS	10338400	2013-02-07	5928.85	A	3774	A
USGS	10338400	2013-02-08	5928.83	A	3757	A
USGS	10338400	2013-02-09	5928.82	A	3748	A
USGS	10338400	2013-02-10	5928.81	A	3740	A
USGS	10338400	2013-02-11	5928.80	A	3732	A
USGS	10338400	2013-02-12	5928.79	A	3724	A
USGS	10338400	2013-02-13	5928.78	A	3715	A
USGS	10338400	2013-02-14	5928.77	A	3707	A
USGS	10338400	2013-02-15	5928.77	A	3707	A
USGS	10338400	2013-02-16	5928.77	A	3707	A
USGS	10338400	2013-02-17	5928.77	A	3707	A
USGS	10338400	2013-02-18	5928.76	A	3699	A
USGS	10338400	2013-02-19	5928.80	A	3732	A
USGS	10338400	2013-02-20	5928.79	A	3724	A
USGS	10338400	2013-02-21	5928.78	A	3715	A
USGS	10338400	2013-02-22	5928.75	A	3691	A
USGS	10338400	2013-02-23	5928.76	A	3699	A
USGS	10338400	2013-02-24	5928.75	A	3691	A
USGS	10338400	2013-02-25	5928.73	A	3675	A
USGS	10338400	2013-02-26	5928.72	A	3667	A
USGS	10338400	2013-02-27	5928.72	A	3667	A
USGS	10338400	2013-02-28	5928.71	A	3659	A
USGS	10338400	2013-03-01	5928.72	A	3667	A
USGS	10338400	2013-03-02	5928.73	A	3675	A
USGS	10338400	2013-03-03	5928.79	A	3724	A
USGS	10338400	2013-03-04	5928.80	A	3732	A
USGS	10338400	2013-03-05	5928.78	A	3715	A
USGS	10338400	2013-03-06	5928.90	A	3815	A
USGS	10338400	2013-03-07	5928.90	A	3815	A
USGS	10338400	2013-03-08	5928.89	A	3807	A
USGS	10338400	2013-03-09	5928.87	A	3790	A
USGS	10338400	2013-03-10	5928.86	A	3782	A
USGS	10338400	2013-03-11	5928.87	A	3790	A
USGS	10338400	2013-03-12	5928.88	A	3798	A
USGS	10338400	2013-03-13	5928.92	A	3832	A
USGS	10338400	2013-03-14	5929.00	A	3900	A
USGS	10338400	2013-03-15	5929.04	A	3929	A
USGS	10338400	2013-03-16	5929.08	A	3959	A
USGS	10338400	2013-03-17	5929.11	A	3981	A
USGS	10338400	2013-03-18	5929.12	A	3989	A
USGS	10338400	2013-03-19	5929.17	A	4026	A
USGS	10338400	2013-03-20	5929.34	A	4155	A
USGS	10338400	2013-03-21	5929.39	A	4194	A
USGS	10338400	2013-03-22	5929.38	A	4186	A
USGS	10338400	2013-03-23	5929.35	A	4163	A
USGS	10338400	2013-03-24	5929.33	A	4148	A
USGS	10338400	2013-03-25	5929.30	A	4124	A
USGS	10338400	2013-03-26	5929.31	A	4132	A
USGS	10338400	2013-03-27	5929.33	A	4148	A
USGS	10338400	2013-03-28	5929.38	A	4186	A
USGS	10338400	2013-03-29	5929.42	A	4217	A
USGS	10338400	2013-03-30	5929.48	A	4264	A
USGS	10338400	2013-03-31	5929.58	A	4344	A
USGS	10338400	2013-04-01	5929.68	A	4424	A
USGS	10338400	2013-04-02	5929.82	A	4539	A
USGS	10338400	2013-04-03	5929.97	A	4665	A
USGS	10338400	2013-04-04	5930.27	A	4896	A
USGS	10338400	2013-04-05	5930.50	A	5078	A
USGS	10338400	2013-04-06	5930.68	A	5223	A
USGS	10338400	2013-04-07	5930.84	A	5355	A
USGS	10338400	2013-04-08	5930.98	A	5473	A
USGS	10338400	2013-04-09	5931.08	A	5552	A
USGS	10338400	2013-04-10	5931.18	A	5631	A
USGS	10338400	2013-04-11	5931.36	A	5775	A
USGS	10338400	2013-04-12	5931.51	A	5897	A
USGS	10338400	2013-04-13	5931.67	A	6030	A
USGS	10338400	2013-04-14	5931.80	A	6139	A
USGS	10338400	2013-04-15	5931.93	A	6250	A
USGS	10338400	2013-04-16	5932.01	A	6318	A
USGS	10338400	2013-04-17	5932.08	A	6373	A
USGS	10338400	2013-04-18	5932.13	A	6412	A
USGS	10338400	2013-04-19	5932.21	A	6476	A
USGS	10338400	2013-04-20	5932.31	A	6556	A
USGS	10338400	2013-04-21	5932.43	A	6654	A
USGS	10338400	2013-04-22	5932.56	A	6760	A
USGS	10338400	2013-04-23	5932.66	A	6843	A
USGS	10338400	2013-04-24	5932.76	A	6926	A
USGS	10338400	2013-04-25	5932.84	A	6994	A
USGS	10338400	2013-04-26	5932.95	A	7087	A
USGS	10338400	2013-04-27	5933.07	A	7186	A
USGS	10338400	2013-04-28	5933.19	A	7284	A
USGS	10338400	2013-04-29	5933.32	A	7391	A
USGS	10338400	2013-04-30	5933.42	A	7474	A
USGS	10338400	2013-05-01	5933.49	A	7533	A
USGS	10338400	2013-05-02	5933.55	A	7583	A
USGS	10338400	2013-05-03	5933.63	A	7651	A
USGS	10338400	2013-05-04	5933.71	A	7719	A
USGS	10338400	2013-05-05	5933.79	A	7788	A
USGS	10338400	2013-05-06	5933.92	A	7900	A
USGS	10338400	2013-05-07	5934.05	A	8010	A
USGS	10338400	2013-05-08	5934.15	A	8092	A
USGS	10338400	2013-05-09	5934.24	A	8166	A
USGS	10338400	2013-05-10	5934.33	A	8241	A
USGS	10338400	2013-05-11	5934.43	A	8324	A
USGS	10338400	2013-05-12	5934.50	A	8383	A
