agency_cd	site_no	datetime	9708_00054_32400	9708_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11287500	2013-01-01	1329000	A
USGS	11287500	2013-01-02	1331000	A
USGS	11287500	2013-01-03	1332000	A
USGS	11287500	2013-01-04	1334000	A
USGS	11287500	2013-01-05	1334000	A
USGS	11287500	2013-01-06	1336000	A
USGS	11287500	2013-01-07	1337000	A
USGS	11287500	2013-01-08	1338000	A
USGS	11287500	2013-01-09	1339000	A
USGS	11287500	2013-01-10	1341000	A
USGS	11287500	2013-01-11	1342000	A
USGS	11287500	2013-01-12	1343000	A
USGS	11287500	2013-01-13	1344000	A
USGS	11287500	2013-01-14	1345000	A
USGS	11287500	2013-01-15	1347000	A
USGS	11287500	2013-01-16	1348000	A
USGS	11287500	2013-01-17	1349000	A
USGS	11287500	2013-01-18	1350000	A
USGS	11287500	2013-01-19	1352000	A
USGS	11287500	2013-01-20	1353000	A
USGS	11287500	2013-01-21	1354000	A
USGS	11287500	2013-01-22	1355000	A
USGS	11287500	2013-01-23	1356000	A
USGS	11287500	2013-01-24	1358000	A
USGS	11287500	2013-01-25	1360000	A
USGS	11287500	2013-01-26	1362000	A
USGS	11287500	2013-01-27	1364000	A
USGS	11287500	2013-01-28	1366000	A
USGS	11287500	2013-01-29	1369000	A
USGS	11287500	2013-01-30	1370000	A
USGS	11287500	2013-01-31	1372000	A
USGS	11287500	2013-02-01	1375000	A
USGS	11287500	2013-02-02	1376000	A
USGS	11287500	2013-02-03	1378000	A
USGS	11287500	2013-02-04	1381000	A
USGS	11287500	2013-02-05	1382000	A
USGS	11287500	2013-02-06	1384000	A
USGS	11287500	2013-02-07	1385000	A
USGS	11287500	2013-02-08	1387000	A
USGS	11287500	2013-02-09	1388000	A
USGS	11287500	2013-02-10	1390000	A
USGS	11287500	2013-02-11	1391000	A
USGS	11287500	2013-02-12	1392000	A
USGS	11287500	2013-02-13	1393000	A
USGS	11287500	2013-02-14	1394000	A
USGS	11287500	2013-02-15	1395000	A
USGS	11287500	2013-02-16	1396000	A
USGS	11287500	2013-02-17	1396000	A
USGS	11287500	2013-02-18	1397000	A
USGS	11287500	2013-02-19	1397000	A
USGS	11287500	2013-02-20	1398000	A
USGS	11287500	2013-02-21	1398000	A
USGS	11287500	2013-02-22	1398000	A
USGS	11287500	2013-02-23	1398000	A
USGS	11287500	2013-02-24	1398000	A
USGS	11287500	2013-02-25	1397000	A
USGS	11287500	2013-02-26	1398000	A
USGS	11287500	2013-02-27	1398000	A
USGS	11287500	2013-02-28	1398000	A
USGS	11287500	2013-03-01	1396000	A
USGS	11287500	2013-03-02	1395000	A
USGS	11287500	2013-03-03	1394000	A
USGS	11287500	2013-03-04	1394000	A
USGS	11287500	2013-03-05	1395000	A
USGS	11287500	2013-03-06	1396000	A
USGS	11287500	2013-03-07	1395000	A
USGS	11287500	2013-03-08	1393000	A
USGS	11287500	2013-03-09	1391000	A
USGS	11287500	2013-03-10	1388000	A
USGS	11287500	2013-03-11	1386000	A
USGS	11287500	2013-03-12	1384000	A
USGS	11287500	2013-03-13	1383000	A
USGS	11287500	2013-03-14	1381000	A
USGS	11287500	2013-03-15	1380000	A
USGS	11287500	2013-03-16	1379000	A
USGS	11287500	2013-03-17	1379000	A
USGS	11287500	2013-03-18	1380000	A
USGS	11287500	2013-03-19	1380000	A
USGS	11287500	2013-03-20	1382000	A
USGS	11287500	2013-03-21	1384000	A
USGS	11287500	2013-03-22	1386000	A
USGS	11287500	2013-03-23	1388000	A
USGS	11287500	2013-03-24	1390000	A
USGS	11287500	2013-03-25	1391000	A
USGS	11287500	2013-03-26	1393000	A
USGS	11287500	2013-03-27	1396000	A
USGS	11287500	2013-03-28	1399000	A
USGS	11287500	2013-03-29	1402000	A
USGS	11287500	2013-03-30	1404000	A
USGS	11287500	2013-03-31	1408000	A
USGS	11287500	2013-04-01	1413000	A
USGS	11287500	2013-04-02	1417000	A
USGS	11287500	2013-04-03	1420000	A
USGS	11287500	2013-04-04	1425000	A
USGS	11287500	2013-04-05	1429000	A
USGS	11287500	2013-04-06	1434000	A
USGS	11287500	2013-04-07	1439000	A
USGS	11287500	2013-04-08	1444000	A
USGS	11287500	2013-04-09	1448000	A
USGS	11287500	2013-04-10	1451000	A
USGS	11287500	2013-04-11	1453000	A
USGS	11287500	2013-04-12	1455000	A
USGS	11287500	2013-04-13	1457000	A
USGS	11287500	2013-04-14	1458000	A
USGS	11287500	2013-04-15	1459000	A
USGS	11287500	2013-04-16	1460000	A
USGS	11287500	2013-04-17	1462000	A
USGS	11287500	2013-04-18	1463000	A
USGS	11287500	2013-04-19	1464000	A
USGS	11287500	2013-04-20	1465000	A
USGS	11287500	2013-04-21	1465000	A
USGS	11287500	2013-04-22	1465000	A
USGS	11287500	2013-04-23	1467000	A
