agency_cd	site_no	datetime	113711_62614_32400	113711_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14155000	2014-10-01	810.86	A
USGS	14155000	2014-10-02	810.23	A
USGS	14155000	2014-10-03	809.60	A
USGS	14155000	2014-10-04	808.68	A
USGS	14155000	2014-10-05	807.30	A
USGS	14155000	2014-10-06	805.62	A
USGS	14155000	2014-10-07	804.15	A
USGS	14155000	2014-10-08	803.04	A
USGS	14155000	2014-10-09	801.92	A
USGS	14155000	2014-10-10	800.89	A
USGS	14155000	2014-10-11	799.87	A
USGS	14155000	2014-10-12	798.76	A
USGS	14155000	2014-10-13	797.64	A
USGS	14155000	2014-10-14	796.48	A
USGS	14155000	2014-10-15	795.43	A
USGS	14155000	2014-10-16	794.39	A
USGS	14155000	2014-10-17	793.24	A
USGS	14155000	2014-10-18	792.04	A
USGS	14155000	2014-10-19	790.82	A
USGS	14155000	2014-10-20	789.37	A
USGS	14155000	2014-10-21	787.48	A
USGS	14155000	2014-10-22	785.36	A
USGS	14155000	2014-10-23	785.32	A
USGS	14155000	2014-10-24	785.05	A
USGS	14155000	2014-10-25	784.50	A
USGS	14155000	2014-10-26	785.64	A
USGS	14155000	2014-10-27	785.10	A
USGS	14155000	2014-10-28	783.30	A
USGS	14155000	2014-10-29	779.82	A
USGS	14155000	2014-10-30	776.13	A
USGS	14155000	2014-10-31	776.36	A
USGS	14155000	2014-11-01	774.96	A
USGS	14155000	2014-11-02	773.08	A
USGS	14155000	2014-11-03	770.90	A
USGS	14155000	2014-11-04	769.31	A
USGS	14155000	2014-11-05	768.74	A
USGS	14155000	2014-11-06	768.35	A
USGS	14155000	2014-11-07	768.40	A
USGS	14155000	2014-11-08	768.51	A
USGS	14155000	2014-11-09	768.74	A
USGS	14155000	2014-11-10	768.95	A
USGS	14155000	2014-11-11	769.04	A
USGS	14155000	2014-11-12	769.01	A
USGS	14155000	2014-11-13	769.23	A
USGS	14155000	2014-11-14	784.49	A
USGS	14155000	2014-11-15	788.83	A
USGS	14155000	2014-11-16	789.47	A
USGS	14155000	2014-11-17	788.25	A
USGS	14155000	2014-11-18	784.66	A
USGS	14155000	2014-11-19	779.96	A
USGS	14155000	2014-11-20	774.79	A
USGS	14155000	2014-11-21	768.31	A
USGS	14155000	2014-11-22	771.01	A
USGS	14155000	2014-11-23	771.78	A
USGS	14155000	2014-11-24	770.30	A
USGS	14155000	2014-11-25	769.93	A
USGS	14155000	2014-11-26	769.91	A
USGS	14155000	2014-11-27	770.23	A
USGS	14155000	2014-11-28	773.63	A
USGS	14155000	2014-11-29	785.96	A
USGS	14155000	2014-11-30	787.43	A
USGS	14155000	2014-12-01	788.71	A
USGS	14155000	2014-12-02	791.45	A
USGS	14155000	2014-12-03	790.30	A
USGS	14155000	2014-12-04	787.60	A
USGS	14155000	2014-12-05	784.27	A
USGS	14155000	2014-12-06	781.55	A
USGS	14155000	2014-12-07	778.71	A
USGS	14155000	2014-12-08	775.84	A
USGS	14155000	2014-12-09	773.01	A
USGS	14155000	2014-12-10	771.18	A
USGS	14155000	2014-12-11	770.63	A
USGS	14155000	2014-12-12	770.44	A
USGS	14155000	2014-12-13	770.42	A
USGS	14155000	2014-12-14	770.50	A
USGS	14155000	2014-12-15	770.28	A
USGS	14155000	2014-12-16	769.92	A
USGS	14155000	2014-12-17	769.90	A
USGS	14155000	2014-12-18	769.85	A
USGS	14155000	2014-12-19	770.97	A
USGS	14155000	2014-12-20	779.05	A
USGS	14155000	2014-12-21	808.33	A
USGS	14155000	2014-12-22	824.05	A
USGS	14155000	2014-12-23	824.97	A
USGS	14155000	2014-12-24	823.18	A
USGS	14155000	2014-12-25	820.35	A
USGS	14155000	2014-12-26	816.70	A
USGS	14155000	2014-12-27	812.22	A
USGS	14155000	2014-12-28	808.76	A
USGS	14155000	2014-12-29	804.75	A
USGS	14155000	2014-12-30	799.54	A
USGS	14155000	2014-12-31	793.24	A
USGS	14155000	2015-01-01	786.03	A
USGS	14155000	2015-01-02	778.73	A
USGS	14155000	2015-01-03	774.20	A
USGS	14155000	2015-01-04	772.02	A
USGS	14155000	2015-01-05	771.50	A
USGS	14155000	2015-01-06	771.89	A
USGS	14155000	2015-01-07	772.39	A
USGS	14155000	2015-01-08	772.51	A
USGS	14155000	2015-01-09	772.27	A
USGS	14155000	2015-01-10	771.76	A
USGS	14155000	2015-01-11	771.16	A
USGS	14155000	2015-01-12	770.88	A
USGS	14155000	2015-01-13	770.68	A
USGS	14155000	2015-01-14	770.29	A
USGS	14155000	2015-01-15	769.77	A
USGS	14155000	2015-01-16	772.51	A
USGS	14155000	2015-01-17	775.36	A
USGS	14155000	2015-01-18	782.57	A
USGS	14155000	2015-01-19	784.00	A
USGS	14155000	2015-01-20	783.50	A
USGS	14155000	2015-01-21	782.73	A
USGS	14155000	2015-01-22	781.73	A
USGS	14155000	2015-01-23	780.70	A
USGS	14155000	2015-01-24	779.78	A
USGS	14155000	2015-01-25	779.17	A
USGS	14155000	2015-01-26	778.72	A
USGS	14155000	2015-01-27	778.56	A
USGS	14155000	2015-01-28	778.33	A
USGS	14155000	2015-01-29	778.05	A
USGS	14155000	2015-01-30	777.83	A
USGS	14155000	2015-01-31	777.63	A
USGS	14155000	2015-02-01	777.49	A
USGS	14155000	2015-02-02	777.60	A
USGS	14155000	2015-02-03	778.53	A
USGS	14155000	2015-02-04	778.68	A
USGS	14155000	2015-02-05	777.10	A
USGS	14155000	2015-02-06	778.47	A
USGS	14155000	2015-02-07	787.13	A
USGS	14155000	2015-02-08	788.65	A
USGS	14155000	2015-02-09	787.82	A
USGS	14155000	2015-02-10	786.70	A
USGS	14155000	2015-02-11	785.56	A
USGS	14155000	2015-02-12	785.08	A
USGS	14155000	2015-02-13	784.82	A
USGS	14155000	2015-02-14	784.46	A
USGS	14155000	2015-02-15	784.20	A
USGS	14155000	2015-02-16	784.16	A
USGS	14155000	2015-02-17	784.47	A
USGS	14155000	2015-02-18	784.84	A
USGS	14155000	2015-02-19	785.17	A
USGS	14155000	2015-02-20	785.48	A
USGS	14155000	2015-02-21	785.76	A
USGS	14155000	2015-02-22	785.98	A
USGS	14155000	2015-02-23	786.16	A
USGS	14155000	2015-02-24	786.29	A
USGS	14155000	2015-02-25	786.38	A
USGS	14155000	2015-02-26	786.52	A
USGS	14155000	2015-02-27	787.14	A
USGS	14155000	2015-02-28	787.95	A
USGS	14155000	2015-03-01	788.40	A
USGS	14155000	2015-03-02	788.72	A
USGS	14155000	2015-03-03	788.96	A
USGS	14155000	2015-03-04	789.12	A
USGS	14155000	2015-03-05	789.25	A
USGS	14155000	2015-03-06	789.33	A
USGS	14155000	2015-03-07	789.39	A
USGS	14155000	2015-03-08	789.43	A
USGS	14155000	2015-03-09	789.44	A
USGS	14155000	2015-03-10	789.43	A
USGS	14155000	2015-03-11	789.50	A
USGS	14155000	2015-03-12	789.55	A
USGS	14155000	2015-03-13	789.55	A
USGS	14155000	2015-03-14	789.59	A
USGS	14155000	2015-03-15	790.18	A
USGS	14155000	2015-03-16	791.16	A
USGS	14155000	2015-03-17	791.72	A
USGS	14155000	2015-03-18	792.09	A
USGS	14155000	2015-03-19	792.36	A
USGS	14155000	2015-03-20	792.60	A
USGS	14155000	2015-03-21	792.90	A
USGS	14155000	2015-03-22	793.29	A
USGS	14155000	2015-03-23	794.19	A
USGS	14155000	2015-03-24	796.45	A
USGS	14155000	2015-03-25	797.99	A
USGS	14155000	2015-03-26	798.98	A
USGS	14155000	2015-03-27	799.71	A
USGS	14155000	2015-03-28	800.36	A
USGS	14155000	2015-03-29	800.84	A
USGS	14155000	2015-03-30	801.20	A
USGS	14155000	2015-03-31	801.75	A
USGS	14155000	2015-04-01	802.58	A
USGS	14155000	2015-04-02	803.39	A
USGS	14155000	2015-04-03	804.14	A
USGS	14155000	2015-04-04	804.88	A
USGS	14155000	2015-04-05	805.54	A
USGS	14155000	2015-04-06	806.19	A
USGS	14155000	2015-04-07	806.79	A
USGS	14155000	2015-04-08	807.95	A
USGS	14155000	2015-04-09	809.04	A
USGS	14155000	2015-04-10	809.90	A
USGS	14155000	2015-04-11	810.69	A
USGS	14155000	2015-04-12	811.40	A
USGS	14155000	2015-04-13	812.10	A
USGS	14155000	2015-04-14	813.24	A
USGS	14155000	2015-04-15	814.62	A
USGS	14155000	2015-04-16	815.91	A
USGS	14155000	2015-04-17	817.15	A
USGS	14155000	2015-04-18	818.12	A
USGS	14155000	2015-04-19	818.87	A
USGS	14155000	2015-04-20	819.45	A
USGS	14155000	2015-04-21	819.91	A
USGS	14155000	2015-04-22	820.29	A
USGS	14155000	2015-04-23	820.66	A
USGS	14155000	2015-04-24	821.03	A
USGS	14155000	2015-04-25	821.43	A
USGS	14155000	2015-04-26	821.80	A
USGS	14155000	2015-04-27	822.26	A
USGS	14155000	2015-04-28	822.58	A
USGS	14155000	2015-04-29	822.87	A
USGS	14155000	2015-04-30	823.12	A
USGS	14155000	2015-05-01	823.26	A
USGS	14155000	2015-05-02	823.33	A
USGS	14155000	2015-05-03	823.37	A
USGS	14155000	2015-05-04	823.40	A
USGS	14155000	2015-05-05	823.40	A
USGS	14155000	2015-05-06	823.39	A
USGS	14155000	2015-05-07	823.36	A
USGS	14155000	2015-05-08	823.33	A
USGS	14155000	2015-05-09	823.27	A
USGS	14155000	2015-05-10	823.22	A
USGS	14155000	2015-05-11	823.26	A
USGS	14155000	2015-05-12	823.45	A
USGS	14155000	2015-05-13	823.63	A
USGS	14155000	2015-05-14	823.78	A
USGS	14155000	2015-05-15	823.97	A
USGS	14155000	2015-05-16	824.26	A
USGS	14155000	2015-05-17	824.47	A
USGS	14155000	2015-05-18	824.85	A
USGS	14155000	2015-05-19	825.07	A
USGS	14155000	2015-05-20	825.24	A
USGS	14155000	2015-05-21	825.49	A
USGS	14155000	2015-05-22	827.11	A
USGS	14155000	2015-05-23	828.52	A
USGS	14155000	2015-05-24	829.53	A
