agency_cd	site_no	datetime	213419_00054_32400	213419_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10287760	2013-01-01	467.0	A
USGS	10287760	2013-01-02	465.0	A
USGS	10287760	2013-01-03	462.0	A
USGS	10287760	2013-01-04	460.0	A
USGS	10287760	2013-01-05	458.0	A
USGS	10287760	2013-01-06	457.0	A
USGS	10287760	2013-01-07	453.0	A
USGS	10287760	2013-01-08	452.0	A
USGS	10287760	2013-01-09	452.0	A
USGS	10287760	2013-01-10	447.0	A
USGS	10287760	2013-01-11	445.0	A
USGS	10287760	2013-01-12	442.0	A
USGS	10287760	2013-01-13	440.0	A
USGS	10287760	2013-01-14	425.0	A
USGS	10287760	2013-01-15	406.0	A
USGS	10287760	2013-01-16	398.0	A
USGS	10287760	2013-01-17	390.0	A
USGS	10287760	2013-01-18	390.0	A
USGS	10287760	2013-01-19	393.0	A
USGS	10287760	2013-01-20	398.0	A
USGS	10287760	2013-01-21	403.0	A
USGS	10287760	2013-01-22	410.0	A
USGS	10287760	2013-01-23	413.0	A
USGS	10287760	2013-01-24	421.0	A
USGS	10287760	2013-01-25	426.0	A
USGS	10287760	2013-01-26	433.0	A
USGS	10287760	2013-01-27	437.0	A
USGS	10287760	2013-01-28	440.0	A
USGS	10287760	2013-01-29	444.0	A
USGS	10287760	2013-01-30	449.0	A
USGS	10287760	2013-01-31	453.0	A
USGS	10287760	2013-02-01	458.0	A
USGS	10287760	2013-02-02	463.0	A
USGS	10287760	2013-02-03	468.0	A
USGS	10287760	2013-02-04	473.0	A
USGS	10287760	2013-02-05	478.0	A
USGS	10287760	2013-02-06	481.0	A
USGS	10287760	2013-02-07	485.0	A
USGS	10287760	2013-02-08	485.0	A
USGS	10287760	2013-02-09	484.0	A
USGS	10287760	2013-02-10	481.0	A
USGS	10287760	2013-02-11	479.0	A
USGS	10287760	2013-02-12	476.0	A
USGS	10287760	2013-02-13	473.0	A
USGS	10287760	2013-02-14	469.0	A
USGS	10287760	2013-02-15	465.0	A
USGS	10287760	2013-02-16	462.0	A
