agency_cd	site_no	datetime	214024_00054_32400	214024_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11414440	2013-01-01	3990	A
USGS	11414440	2013-01-02	3990	A
USGS	11414440	2013-01-03	3990	A
USGS	11414440	2013-01-04	3990	A
USGS	11414440	2013-01-05	3990	A
USGS	11414440	2013-01-06	3990	A
USGS	11414440	2013-01-07	3990	A
USGS	11414440	2013-01-08	3990	A
USGS	11414440	2013-01-09	4000	A
USGS	11414440	2013-01-10	3990	A
USGS	11414440	2013-01-11	3990	A
USGS	11414440	2013-01-12	3990	A
USGS	11414440	2013-01-13	3990	A
USGS	11414440	2013-01-14	3990	A
USGS	11414440	2013-01-15	3990	A
USGS	11414440	2013-01-16	3990	A
USGS	11414440	2013-01-17	3990	A
USGS	11414440	2013-01-18	3990	A
USGS	11414440	2013-01-19	3990	A
USGS	11414440	2013-01-20	3990	A
USGS	11414440	2013-01-21	3990	A
USGS	11414440	2013-01-22	3990	A
USGS	11414440	2013-01-23	3990	A
USGS	11414440	2013-01-24	4000	A
USGS	11414440	2013-01-25	4020	A
USGS	11414440	2013-01-26	4010	A
USGS	11414440	2013-01-27	4000	A
USGS	11414440	2013-01-28	4000	A
USGS	11414440	2013-01-29	3990	A
USGS	11414440	2013-01-30	3990	A
USGS	11414440	2013-01-31	3990	A
USGS	11414440	2013-02-01	3990	A
USGS	11414440	2013-02-02	3990	A
USGS	11414440	2013-02-03	3990	A
USGS	11414440	2013-02-04	3990	A
USGS	11414440	2013-02-05	3990	A
USGS	11414440	2013-02-06	3990	A
USGS	11414440	2013-02-07	3990	A
USGS	11414440	2013-02-08	3990	A
USGS	11414440	2013-02-09	3990	A
USGS	11414440	2013-02-10	3990	A
USGS	11414440	2013-02-11	3990	A
USGS	11414440	2013-02-12	3990	A
USGS	11414440	2013-02-13	3990	A
USGS	11414440	2013-02-14	3990	A
USGS	11414440	2013-02-15	3990	A
USGS	11414440	2013-02-16	3990	A
USGS	11414440	2013-02-17	3990	A
USGS	11414440	2013-02-18	3990	A
USGS	11414440	2013-02-19	3990	A
USGS	11414440	2013-02-20	3990	A
USGS	11414440	2013-02-21	3990	A
USGS	11414440	2013-02-22	3990	A
USGS	11414440	2013-02-23	3990	A
USGS	11414440	2013-02-24	3990	A
USGS	11414440	2013-02-25	3990	A
USGS	11414440	2013-02-26	3990	A
USGS	11414440	2013-02-27	3990	A
USGS	11414440	2013-02-28	3990	A
USGS	11414440	2013-03-01	4000	A
USGS	11414440	2013-03-02	4000	A
USGS	11414440	2013-03-03	4000	A
USGS	11414440	2013-03-04	4000	A
USGS	11414440	2013-03-05	4000	A
USGS	11414440	2013-03-06	4000	A
USGS	11414440	2013-03-07	3990	A
USGS	11414440	2013-03-08	3990	A
USGS	11414440	2013-03-09	3990	A
USGS	11414440	2013-03-10	3990	A
USGS	11414440	2013-03-11	4000	A
USGS	11414440	2013-03-12	4000	A
USGS	11414440	2013-03-13	4010	A
