agency_cd	site_no	datetime	213912_00054_00011	213912_00054_00011_cd	213913_00054_32400	213913_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	11414345	2013-04-30	724.0	A		
USGS	11414345	2013-05-01				
USGS	11414345	2013-05-02				
USGS	11414345	2013-05-03				
USGS	11414345	2013-05-04	718.0	A		
USGS	11414345	2013-05-05				
USGS	11414345	2013-05-06				
USGS	11414345	2013-05-07				
USGS	11414345	2013-05-08	734.0	A		
USGS	11414345	2013-05-09	734.0	A		
USGS	11414345	2013-05-10	734.0	A		
USGS	11414345	2013-05-11				
USGS	11414345	2013-05-12				
USGS	11414345	2013-05-13	729.0	A		
USGS	11414345	2013-05-14				
USGS	11414345	2013-05-15				
USGS	11414345	2013-05-16				
USGS	11414345	2013-05-17				
USGS	11414345	2013-05-18	718.0	A		
USGS	11414345	2013-05-19				
USGS	11414345	2013-05-20				
USGS	11414345	2013-05-21	708.0	A		
USGS	11414345	2013-05-22				
USGS	11414345	2013-05-23	703.0	A		
USGS	11414345	2013-05-24	703.0	A		
USGS	11414345	2013-05-25				
USGS	11414345	2013-05-26	703.0	A		
USGS	11414345	2013-05-27				
USGS	11414345	2013-05-28				
USGS	11414345	2013-05-29	703.0	A		
USGS	11414345	2013-05-30				
USGS	11414345	2013-05-31	703.0	A		
USGS	11414345	2013-06-01				
USGS	11414345	2013-06-02				
USGS	11414345	2013-06-03				
USGS	11414345	2013-06-04				
USGS	11414345	2013-06-05	693.0	A		
USGS	11414345	2013-06-06				
USGS	11414345	2013-06-07				
USGS	11414345	2013-06-08	688.0	A		
USGS	11414345	2013-06-09				
USGS	11414345	2013-06-10	688.0	A		
USGS	11414345	2013-06-11				
USGS	11414345	2013-06-12	682.0	A		
USGS	11414345	2013-06-13				
USGS	11414345	2013-06-14				
USGS	11414345	2013-06-15	677.0	A		
USGS	11414345	2013-06-16	677.0	A		
USGS	11414345	2013-06-17				
USGS	11414345	2013-06-18				
USGS	11414345	2013-06-19	669.0	A		
USGS	11414345	2013-06-20	667.0	A		
USGS	11414345	2013-06-21				
USGS	11414345	2013-06-22				
USGS	11414345	2013-06-23				
USGS	11414345	2013-06-24				
USGS	11414345	2013-06-25	672.0	A		
USGS	11414345	2013-06-26				
USGS	11414345	2013-06-27	667.0	A		
USGS	11414345	2013-06-28	667.0	A		
USGS	11414345	2013-06-29				
USGS	11414345	2013-06-30				
USGS	11414345	2013-07-01				
USGS	11414345	2013-07-02				
USGS	11414345	2013-07-03	662.0	A		
USGS	11414345	2013-07-04				
USGS	11414345	2013-07-05				
USGS	11414345	2013-07-06				
USGS	11414345	2013-07-07	651.0	A		
USGS	11414345	2013-07-08				
USGS	11414345	2013-07-09	651.0	A		
USGS	11414345	2013-07-10				
USGS	11414345	2013-07-11				
USGS	11414345	2013-07-12				
USGS	11414345	2013-07-13	646.0	A		
USGS	11414345	2013-07-14				
USGS	11414345	2013-07-15				
USGS	11414345	2013-07-16				
USGS	11414345	2013-07-17	631.0	A		
USGS	11414345	2013-07-18				
USGS	11414345	2013-07-19				
USGS	11414345	2013-07-20	626.0	A		
USGS	11414345	2013-07-21				
USGS	11414345	2013-07-22				
USGS	11414345	2013-07-23				
USGS	11414345	2013-07-24	621.0	A		
USGS	11414345	2013-07-25				
USGS	11414345	2013-07-26				
USGS	11414345	2013-07-27				
USGS	11414345	2013-07-28	616.0	A		
USGS	11414345	2013-07-29				
USGS	11414345	2013-07-30	606.0	A		
USGS	11414345	2013-07-31	606.0	A		
USGS	11414345	2013-08-01				
USGS	11414345	2013-08-02				
USGS	11414345	2013-08-03	596.0	A		
USGS	11414345	2013-08-04				
USGS	11414345	2013-08-05	591.0	A		
USGS	11414345	2013-08-06	591.0	A		
USGS	11414345	2013-08-07				
USGS	11414345	2013-08-08				
USGS	11414345	2013-08-09				
USGS	11414345	2013-08-10	576.0	A		
USGS	11414345	2013-08-11				
USGS	11414345	2013-08-12				
USGS	11414345	2013-08-13				
USGS	11414345	2013-08-14	576.0	A		
USGS	11414345	2013-08-15				
USGS	11414345	2013-08-16				
USGS	11414345	2013-08-17	571.0	A		
USGS	11414345	2013-08-18				
USGS	11414345	2013-08-19				
USGS	11414345	2013-08-20	557.0	A		
USGS	11414345	2013-08-21				
USGS	11414345	2013-08-22	557.0	A		
USGS	11414345	2013-08-23				
USGS	11414345	2013-08-24				
USGS	11414345	2013-08-25	547.0	A		
USGS	11414345	2013-08-26				
USGS	11414345	2013-08-27				
USGS	11414345	2013-08-28	532.0	A		
USGS	11414345	2013-08-29				
USGS	11414345	2013-08-30	527.0	A		
USGS	11414345	2013-08-31				
USGS	11414345	2013-09-01	522.0	A		
USGS	11414345	2013-09-02				
USGS	11414345	2013-09-03				
USGS	11414345	2013-09-04	522.0	A		
USGS	11414345	2013-09-05				
USGS	11414345	2013-09-06	518.0	A		
USGS	11414345	2013-09-07				
USGS	11414345	2013-09-08	508.0	A		
USGS	11414345	2013-09-09				
USGS	11414345	2013-09-10	498.0	A		
USGS	11414345	2013-09-11	493.0	A		
USGS	11414345	2013-09-12				
USGS	11414345	2013-09-13				
USGS	11414345	2013-09-14	498.0	A		
USGS	11414345	2013-09-15				
USGS	11414345	2013-09-16				
USGS	11414345	2013-09-17				
USGS	11414345	2013-09-18	484.0	A		
USGS	11414345	2013-09-19				
USGS	11414345	2013-09-20				
USGS	11414345	2013-09-21				
USGS	11414345	2013-09-22	474.0	A		
USGS	11414345	2013-09-23				
USGS	11414345	2013-09-24				
USGS	11414345	2013-09-25	470.0	A		
USGS	11414345	2013-09-26				
USGS	11414345	2013-09-27				
USGS	11414345	2013-09-28	460.0	A		
USGS	11414345	2013-09-29				
USGS	11414345	2013-09-30				
USGS	11414345	2013-10-01	451.0	A		
USGS	11414345	2013-10-02				
USGS	11414345	2013-10-03				
USGS	11414345	2013-10-04				
USGS	11414345	2013-10-05				
USGS	11414345	2013-10-06	446.0	A		
USGS	11414345	2013-10-07				
USGS	11414345	2013-10-08				
USGS	11414345	2013-10-09	432.0	A		
USGS	11414345	2013-10-10	427.0	A		
USGS	11414345	2013-10-11				
USGS	11414345	2013-10-12				
USGS	11414345	2013-10-13				
USGS	11414345	2013-10-14	390.0	A		
USGS	11414345	2013-10-15				
USGS	11414345	2013-10-16	379.0	A		
USGS	11414345	2013-10-17				
USGS	11414345	2013-10-18				
USGS	11414345	2013-10-19				
USGS	11414345	2013-10-20				
USGS	11414345	2013-10-21				
USGS	11414345	2013-10-22	372.0	A		
USGS	11414345	2013-10-23				
USGS	11414345	2013-10-24	340.0	A		
USGS	11414345	2013-10-25	336.0	A		
USGS	11414345	2013-10-26				
USGS	11414345	2013-10-27				
USGS	11414345	2013-10-28				
USGS	11414345	2013-10-29				
USGS	11414345	2013-10-30	270.0	A		
USGS	11414345	2013-10-31				
USGS	11414345	2013-11-01	261.0	A		
USGS	11414345	2013-11-02				
USGS	11414345	2013-11-03				
USGS	11414345	2013-11-04				
USGS	11414345	2013-11-05				
USGS	11414345	2013-11-06				
USGS	11414345	2013-11-07	210.0	A		
USGS	11414345	2013-11-08	202.0	A		
USGS	11414345	2013-11-09				
USGS	11414345	2013-11-10				
USGS	11414345	2013-11-11				
USGS	11414345	2013-11-12	185.0	A		
USGS	11414345	2013-11-13				
USGS	11414345	2013-11-14	189.0	A		
USGS	11414345	2013-11-15				
USGS	11414345	2013-11-16	181.0	A		
USGS	11414345	2013-11-17				
USGS	11414345	2013-11-18	173.0	A		
USGS	11414345	2013-11-19	173.0	A		
USGS	11414345	2013-11-20				
USGS	11414345	2013-11-21				
USGS	11414345	2013-11-22				
USGS	11414345	2013-11-23	165.0	A		
USGS	11414345	2013-11-24	227.0	A		
USGS	11414345	2013-11-25				
USGS	11414345	2013-11-26				
USGS	11414345	2013-11-27				
USGS	11414345	2013-11-28	185.0	A		
USGS	11414345	2013-11-29				
USGS	11414345	2013-11-30				
USGS	11414345	2013-12-01				
USGS	11414345	2013-12-02				
USGS	11414345	2013-12-03				
USGS	11414345	2013-12-04				
USGS	11414345	2013-12-05				
USGS	11414345	2013-12-06				
USGS	11414345	2013-12-07				
USGS	11414345	2013-12-08				
USGS	11414345	2013-12-09				
USGS	11414345	2013-12-10				
USGS	11414345	2013-12-11				
USGS	11414345	2013-12-12				
USGS	11414345	2013-12-13				
USGS	11414345	2013-12-14				
USGS	11414345	2013-12-15				
USGS	11414345	2013-12-16				
USGS	11414345	2013-12-17				
USGS	11414345	2013-12-18				
USGS	11414345	2013-12-19				
USGS	11414345	2013-12-20				
USGS	11414345	2013-12-21				
USGS	11414345	2013-12-22				
USGS	11414345	2013-12-23				
USGS	11414345	2013-12-24				
USGS	11414345	2013-12-25				
USGS	11414345	2013-12-26				
USGS	11414345	2013-12-27				
USGS	11414345	2013-12-28				
USGS	11414345	2013-12-29				
USGS	11414345	2013-12-30				
USGS	11414345	2013-12-31				
USGS	11414345	2014-01-01				
USGS	11414345	2014-01-02				
USGS	11414345	2014-01-03				
USGS	11414345	2014-01-04				
USGS	11414345	2014-01-05				
USGS	11414345	2014-01-06				
USGS	11414345	2014-01-07				
USGS	11414345	2014-01-08				
USGS	11414345	2014-01-09				
USGS	11414345	2014-01-10				
USGS	11414345	2014-01-11				
USGS	11414345	2014-01-12				
USGS	11414345	2014-01-13				
USGS	11414345	2014-01-14				
USGS	11414345	2014-01-15				
USGS	11414345	2014-01-16				
USGS	11414345	2014-01-17				
USGS	11414345	2014-01-18				
USGS	11414345	2014-01-19				
USGS	11414345	2014-01-20				
USGS	11414345	2014-01-21				
USGS	11414345	2014-01-22				
USGS	11414345	2014-01-23				
USGS	11414345	2014-01-24				
USGS	11414345	2014-01-25				
USGS	11414345	2014-01-26				
USGS	11414345	2014-01-27				
USGS	11414345	2014-01-28				
USGS	11414345	2014-01-29				
USGS	11414345	2014-01-30				
USGS	11414345	2014-01-31				
USGS	11414345	2014-02-01				
USGS	11414345	2014-02-02				
USGS	11414345	2014-02-03				
USGS	11414345	2014-02-04				
USGS	11414345	2014-02-05				
USGS	11414345	2014-02-06				
USGS	11414345	2014-02-07				
USGS	11414345	2014-02-08				
USGS	11414345	2014-02-09				
USGS	11414345	2014-02-10				
USGS	11414345	2014-02-11				
USGS	11414345	2014-02-12				
USGS	11414345	2014-02-13				
USGS	11414345	2014-02-14				
USGS	11414345	2014-02-15				
USGS	11414345	2014-02-16				
USGS	11414345	2014-02-17				
USGS	11414345	2014-02-18				
USGS	11414345	2014-02-19				
USGS	11414345	2014-02-20				
USGS	11414345	2014-02-21				
USGS	11414345	2014-02-22				
USGS	11414345	2014-02-23				
USGS	11414345	2014-02-24				
USGS	11414345	2014-02-25				
USGS	11414345	2014-02-26				
USGS	11414345	2014-02-27				
USGS	11414345	2014-02-28				
USGS	11414345	2014-03-01				
USGS	11414345	2014-03-02				
USGS	11414345	2014-03-03				
USGS	11414345	2014-03-04				
USGS	11414345	2014-03-05				
USGS	11414345	2014-03-06				
USGS	11414345	2014-03-07				
USGS	11414345	2014-03-08				
USGS	11414345	2014-03-09				
USGS	11414345	2014-03-10				
USGS	11414345	2014-03-11				
USGS	11414345	2014-03-12				
USGS	11414345	2014-03-13				
USGS	11414345	2014-03-14				
USGS	11414345	2014-03-15				
USGS	11414345	2014-03-16				
USGS	11414345	2014-03-17				
USGS	11414345	2014-03-18				
USGS	11414345	2014-03-19				
USGS	11414345	2014-03-20				
USGS	11414345	2014-03-21				
USGS	11414345	2014-03-22				
USGS	11414345	2014-03-23				
USGS	11414345	2014-03-24				
USGS	11414345	2014-03-25				
USGS	11414345	2014-03-26				
USGS	11414345	2014-03-27				
USGS	11414345	2014-03-28				
USGS	11414345	2014-03-29				
USGS	11414345	2014-03-30				
USGS	11414345	2014-03-31				
USGS	11414345	2014-04-01				
USGS	11414345	2014-04-02				
USGS	11414345	2014-04-03				
USGS	11414345	2014-04-04				
USGS	11414345	2014-04-05				
USGS	11414345	2014-04-06				
USGS	11414345	2014-04-07				
USGS	11414345	2014-04-08				
USGS	11414345	2014-04-09				
USGS	11414345	2014-04-10				
USGS	11414345	2014-04-11				
USGS	11414345	2014-04-12				
USGS	11414345	2014-04-13				
USGS	11414345	2014-04-14				
USGS	11414345	2014-04-15				
USGS	11414345	2014-04-16				
USGS	11414345	2014-04-17				
USGS	11414345	2014-04-18				
USGS	11414345	2014-04-19				
USGS	11414345	2014-04-20				
USGS	11414345	2014-04-21				
USGS	11414345	2014-04-22				
USGS	11414345	2014-04-23				
USGS	11414345	2014-04-24				
USGS	11414345	2014-04-25				
USGS	11414345	2014-04-26				
USGS	11414345	2014-04-27				
USGS	11414345	2014-04-28				
USGS	11414345	2014-04-29				
USGS	11414345	2014-04-30				
USGS	11414345	2014-05-01				
USGS	11414345	2014-05-02	542.0	A		
USGS	11414345	2014-05-03				
USGS	11414345	2014-05-04				
USGS	11414345	2014-05-05	547.0	A		
USGS	11414345	2014-05-06				
USGS	11414345	2014-05-07				
USGS	11414345	2014-05-08	567.0	A		
USGS	11414345	2014-05-09				
USGS	11414345	2014-05-10				
USGS	11414345	2014-05-11				
USGS	11414345	2014-05-12	567.0	A		
USGS	11414345	2014-05-13				
USGS	11414345	2014-05-14				
USGS	11414345	2014-05-15	571.0	A		
USGS	11414345	2014-05-16				
USGS	11414345	2014-05-17				
USGS	11414345	2014-05-18	567.0	A		
USGS	11414345	2014-05-19				
USGS	11414345	2014-05-20				
USGS	11414345	2014-05-21				
USGS	11414345	2014-05-22	571.0	A		
USGS	11414345	2014-05-23	571.0	A		
USGS	11414345	2014-05-24				
USGS	11414345	2014-05-25	571.0	A		
USGS	11414345	2014-05-26				
USGS	11414345	2014-05-27	569.0	A		
USGS	11414345	2014-05-28				
USGS	11414345	2014-05-29	571.0	A		
USGS	11414345	2014-05-30				
USGS	11414345	2014-05-31	571.0	A		
USGS	11414345	2014-06-01				
USGS	11414345	2014-06-02	571.0	A		
USGS	11414345	2014-06-03				
USGS	11414345	2014-06-04	567.0	A		
USGS	11414345	2014-06-05				
USGS	11414345	2014-06-06				
USGS	11414345	2014-06-07				
USGS	11414345	2014-06-08	567.0	A		
USGS	11414345	2014-06-09	562.0	A		
USGS	11414345	2014-06-10				
USGS	11414345	2014-06-11	567.0	A		
USGS	11414345	2014-06-12	562.0	A		
USGS	11414345	2014-06-13				
USGS	11414345	2014-06-14				
USGS	11414345	2014-06-15	552.0	A		
USGS	11414345	2014-06-16				
USGS	11414345	2014-06-17	547.0	A		
USGS	11414345	2014-06-18	547.0	A		
USGS	11414345	2014-06-19				
USGS	11414345	2014-06-20				
USGS	11414345	2014-06-21	542.0	A		
USGS	11414345	2014-06-22				
USGS	11414345	2014-06-23				
USGS	11414345	2014-06-24	542.0	A		
USGS	11414345	2014-06-25				
USGS	11414345	2014-06-26				
USGS	11414345	2014-06-27	532.0	A		
USGS	11414345	2014-06-28				
USGS	11414345	2014-06-29				
USGS	11414345	2014-06-30	532.0	A		
USGS	11414345	2014-07-01				
USGS	11414345	2014-07-02	522.0	A		
USGS	11414345	2014-07-03	522.0	A		
USGS	11414345	2014-07-04				
USGS	11414345	2014-07-05	508.0	A		
USGS	11414345	2014-07-06				
USGS	11414345	2014-07-07				
USGS	11414345	2014-07-08				
USGS	11414345	2014-07-09	498.0	A		
USGS	11414345	2014-07-10	498.0	A		
USGS	11414345	2014-07-11				
USGS	11414345	2014-07-12				
