agency_cd	site_no	datetime	113846_62614_32400	113846_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14168000	2013-08-01	368.51	A
USGS	14168000	2013-08-02	368.47	A
USGS	14168000	2013-08-03	368.45	A
USGS	14168000	2013-08-04	368.41	A
USGS	14168000	2013-08-05	368.38	A
USGS	14168000	2013-08-06	368.36	A
USGS	14168000	2013-08-07	368.33	A
USGS	14168000	2013-08-08	368.30	A
USGS	14168000	2013-08-09	368.28	A
USGS	14168000	2013-08-10	368.24	A
USGS	14168000	2013-08-11	368.21	A
USGS	14168000	2013-08-12	368.18	A
USGS	14168000	2013-08-13	368.16	A
USGS	14168000	2013-08-14	368.13	A
USGS	14168000	2013-08-15	368.10	A
USGS	14168000	2013-08-16	368.07	A
USGS	14168000	2013-08-17	368.04	A
USGS	14168000	2013-08-18	368.02	A
USGS	14168000	2013-08-19	367.98	A
USGS	14168000	2013-08-20	367.93	A
USGS	14168000	2013-08-21	367.91	A
USGS	14168000	2013-08-22	367.89	A
USGS	14168000	2013-08-23	367.85	A
USGS	14168000	2013-08-24	367.82	A
USGS	14168000	2013-08-25	367.81	A
USGS	14168000	2013-08-26	367.78	A
USGS	14168000	2013-08-27	367.76	A
USGS	14168000	2013-08-28	367.74	A
USGS	14168000	2013-08-29	367.71	A
USGS	14168000	2013-08-30	367.69	A
USGS	14168000	2013-08-31	367.67	A
USGS	14168000	2013-09-01	367.63	A
USGS	14168000	2013-09-02	367.59	A
USGS	14168000	2013-09-03	367.56	A
USGS	14168000	2013-09-04	367.54	A
USGS	14168000	2013-09-05	367.56	A
USGS	14168000	2013-09-06	367.54	A
USGS	14168000	2013-09-07	367.52	A
USGS	14168000	2013-09-08	367.49	A
USGS	14168000	2013-09-09	367.46	A
USGS	14168000	2013-09-10	367.44	A
USGS	14168000	2013-09-11	367.41	A
USGS	14168000	2013-09-12	367.38	A
USGS	14168000	2013-09-13	367.36	A
USGS	14168000	2013-09-14	367.34	A
USGS	14168000	2013-09-15	367.30	A
USGS	14168000	2013-09-16	367.27	A
USGS	14168000	2013-09-17	367.30	A
USGS	14168000	2013-09-18	367.28	A
USGS	14168000	2013-09-19	367.26	A
USGS	14168000	2013-09-20	367.26	A
USGS	14168000	2013-09-21	367.27	A
USGS	14168000	2013-09-22	367.27	A
USGS	14168000	2013-09-23	367.25	A
USGS	14168000	2013-09-24	367.28	A
USGS	14168000	2013-09-25	367.30	A
USGS	14168000	2013-09-26	367.28	A
USGS	14168000	2013-09-27	367.29	A
USGS	14168000	2013-09-28	367.36	A
USGS	14168000	2013-09-29	367.67	A
USGS	14168000	2013-09-30	367.99	A
USGS	14168000	2013-10-01	368.16	A
USGS	14168000	2013-10-02	368.25	A
USGS	14168000	2013-10-03	368.25	A
USGS	14168000	2013-10-04	368.22	A
USGS	14168000	2013-10-05	368.19	A
USGS	14168000	2013-10-06	368.14	A
USGS	14168000	2013-10-07	368.09	A
USGS	14168000	2013-10-08	368.03	A
USGS	14168000	2013-10-09	367.98	A
USGS	14168000	2013-10-10	367.91	A
USGS	14168000	2013-10-11	367.85	A
USGS	14168000	2013-10-12	367.79	A
USGS	14168000	2013-10-13	367.72	A
USGS	14168000	2013-10-14	367.64	A
USGS	14168000	2013-10-15	367.57	A
USGS	14168000	2013-10-16	367.45	A
USGS	14168000	2013-10-17	367.25	A
USGS	14168000	2013-10-18	366.99	A
USGS	14168000	2013-10-19	366.70	A
USGS	14168000	2013-10-20	366.41	A
USGS	14168000	2013-10-21	366.12	A
USGS	14168000	2013-10-22	365.82	A
USGS	14168000	2013-10-23	365.51	A
USGS	14168000	2013-10-24	365.21	A
USGS	14168000	2013-10-25	364.90	A
USGS	14168000	2013-10-26	364.59	A
USGS	14168000	2013-10-27	364.26	A
USGS	14168000	2013-10-28	363.93	A
USGS	14168000	2013-10-29	363.58	A
USGS	14168000	2013-10-30	363.23	A
USGS	14168000	2013-10-31	362.85	A
USGS	14168000	2013-11-01	362.45	A
USGS	14168000	2013-11-02	362.07	A
USGS	14168000	2013-11-03	361.58	A
USGS	14168000	2013-11-04	361.07	A
USGS	14168000	2013-11-05	360.54	A
USGS	14168000	2013-11-06	359.99	A
USGS	14168000	2013-11-07	359.49	A
USGS	14168000	2013-11-08	358.90	A
USGS	14168000	2013-11-09	358.28	A
USGS	14168000	2013-11-10	357.63	A
USGS	14168000	2013-11-11	356.90	A
USGS	14168000	2013-11-12	356.15	A
USGS	14168000	2013-11-13	355.25	A
USGS	14168000	2013-11-14	354.36	A
USGS	14168000	2013-11-15	353.78	A
USGS	14168000	2013-11-16	353.48	A
USGS	14168000	2013-11-17	353.38	A
USGS	14168000	2013-11-18	353.36	A
USGS	14168000	2013-11-19	353.47	A
USGS	14168000	2013-11-20	353.62	A
USGS	14168000	2013-11-21	353.69	A
USGS	14168000	2013-11-22	353.60	A
USGS	14168000	2013-11-23	353.50	A
USGS	14168000	2013-11-24	353.37	A
USGS	14168000	2013-11-25	353.37	A
USGS	14168000	2013-11-26	353.37	A
USGS	14168000	2013-11-27	353.35	A
USGS	14168000	2013-11-28	353.31	A
USGS	14168000	2013-11-29	353.25	A
USGS	14168000	2013-11-30	353.19	A
USGS	14168000	2013-12-01	353.16	A
USGS	14168000	2013-12-02	353.37	A
USGS	14168000	2013-12-03	353.59	A
USGS	14168000	2013-12-04	353.64	A
USGS	14168000	2013-12-05	353.56	A
USGS	14168000	2013-12-06	353.42	A
USGS	14168000	2013-12-07	353.36	A
USGS	14168000	2013-12-08	353.28	A
USGS	14168000	2013-12-09	353.30	A
USGS	14168000	2013-12-10	353.29	A
USGS	14168000	2013-12-11	353.27	A
USGS	14168000	2013-12-12	353.30	A
USGS	14168000	2013-12-13	353.59	A
USGS	14168000	2013-12-14	353.87	A
USGS	14168000	2013-12-15	354.06	A
USGS	14168000	2013-12-16	354.19	A
USGS	14168000	2013-12-17	354.24	A
USGS	14168000	2013-12-18	354.27	A
USGS	14168000	2013-12-19	354.30	A
USGS	14168000	2013-12-20	354.31	A
USGS	14168000	2013-12-21	354.31	A
USGS	14168000	2013-12-22	354.27	A
USGS	14168000	2013-12-23	354.13	A
USGS	14168000	2013-12-24	353.94	A
USGS	14168000	2013-12-25	353.82	A
USGS	14168000	2013-12-26	353.72	A
USGS	14168000	2013-12-27	353.64	A
USGS	14168000	2013-12-28	353.54	A
USGS	14168000	2013-12-29	353.43	A
USGS	14168000	2013-12-30	353.35	A
USGS	14168000	2013-12-31	353.27	A
USGS	14168000	2014-01-01	353.23	A
USGS	14168000	2014-01-02	353.24	A
USGS	14168000	2014-01-03	353.24	A
USGS	14168000	2014-01-04	353.24	A
USGS	14168000	2014-01-05	353.24	A
USGS	14168000	2014-01-06	353.26	A
USGS	14168000	2014-01-07	353.36	A
USGS	14168000	2014-01-08	353.63	A
USGS	14168000	2014-01-09	354.08	A
USGS	14168000	2014-01-10	354.38	A
USGS	14168000	2014-01-11	355.16	A
USGS	14168000	2014-01-12	356.18	A
USGS	14168000	2014-01-13	356.95	A
USGS	14168000	2014-01-14	357.48	A
USGS	14168000	2014-01-15	357.88	A
USGS	14168000	2014-01-16	358.17	A
USGS	14168000	2014-01-17	358.40	A
USGS	14168000	2014-01-18	358.58	A
USGS	14168000	2014-01-19	358.74	A
USGS	14168000	2014-01-20	358.87	A
USGS	14168000	2014-01-21	358.94	A
USGS	14168000	2014-01-22	358.87	A
USGS	14168000	2014-01-23	358.76	A
USGS	14168000	2014-01-24	358.66	A
USGS	14168000	2014-01-25	358.53	A
USGS	14168000	2014-01-26	358.41	A
USGS	14168000	2014-01-27	358.30	A
USGS	14168000	2014-01-28	358.31	A
USGS	14168000	2014-01-29	358.40	A
USGS	14168000	2014-01-30	358.39	A
USGS	14168000	2014-01-31	358.32	A
USGS	14168000	2014-02-01	358.25	A
USGS	14168000	2014-02-02	358.25	A
USGS	14168000	2014-02-03	358.26	A
USGS	14168000	2014-02-04	358.25	A
USGS	14168000	2014-02-05	358.27	A
USGS	14168000	2014-02-06	358.40	A
USGS	14168000	2014-02-07	358.59	A
USGS	14168000	2014-02-08	358.82	A
USGS	14168000	2014-02-09	359.30	A
USGS	14168000	2014-02-10	359.74	A
USGS	14168000	2014-02-11	360.26	A
USGS	14168000	2014-02-12	362.34	A
USGS	14168000	2014-02-13	364.55	A
USGS	14168000	2014-02-14	366.68	A
USGS	14168000	2014-02-15	368.12	A
USGS	14168000	2014-02-16	368.73	A
USGS	14168000	2014-02-17	369.04	A
USGS	14168000	2014-02-18	369.24	A
USGS	14168000	2014-02-19	369.37	A
USGS	14168000	2014-02-20	369.34	A
USGS	14168000	2014-02-21	369.13	A
USGS	14168000	2014-02-22	368.76	A
USGS	14168000	2014-02-23	368.29	A
USGS	14168000	2014-02-24	367.75	A
USGS	14168000	2014-02-25	367.21	A
USGS	14168000	2014-02-26	366.78	A
USGS	14168000	2014-02-27	366.47	A
