agency_cd	site_no	datetime	164396_00010_00001	164396_00010_00001_cd	164397_00010_00002	164397_00010_00002_cd	164398_00010_00003	164398_00010_00003_cd	164399_00010_00001	164399_00010_00001_cd	164400_00010_00002	164400_00010_00002_cd	164401_00010_00003	164401_00010_00003_cd	164402_00010_00001	164402_00010_00001_cd	164403_00010_00002	164403_00010_00002_cd	164404_00010_00003	164404_00010_00003_cd	164405_00095_00001	164405_00095_00001_cd	164406_00095_00002	164406_00095_00002_cd	164407_00095_00003	164407_00095_00003_cd	164408_00095_00001	164408_00095_00001_cd	164409_00095_00002	164409_00095_00002_cd	164410_00095_00003	164410_00095_00003_cd	164411_00095_00001	164411_00095_00001_cd	164412_00095_00002	164412_00095_00002_cd	164413_00095_00003	164413_00095_00003_cd	164414_00300_00001	164414_00300_00001_cd	164415_00300_00002	164415_00300_00002_cd	164416_00300_00003	164416_00300_00003_cd	164417_00300_00001	164417_00300_00001_cd	164418_00300_00002	164418_00300_00002_cd	164419_00300_00003	164419_00300_00003_cd	164420_00300_00001	164420_00300_00001_cd	164421_00300_00002	164421_00300_00002_cd	164422_00300_00003	164422_00300_00003_cd	164423_00400_00001	164423_00400_00001_cd	164424_00400_00002	164424_00400_00002_cd	164425_00400_00008	164425_00400_00008_cd	164426_00400_00001	164426_00400_00001_cd	164427_00400_00002	164427_00400_00002_cd	164428_00400_00008	164428_00400_00008_cd	164429_00400_00001	164429_00400_00001_cd	164430_00400_00002	164430_00400_00002_cd	164431_00400_00008	164431_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422820122032100	2014-07-09	27.0	A											25.2	A																																																										
USGS	422820122032100	2014-07-10	28.2	A	22.6	A	25.4	A							27.6	A	22.7	A	25.0	A	119	A	107	A	114	A							122	A	115	A	118	A	10.2	A	3.4	A	7.3	A							11.6	A	4.8	A	8.0	A	9.6	A	9.1	A	9.4	A							9.6	A	8.8	A	9.1	A
USGS	422820122032100	2014-07-11	26.6	A	23.6	A	24.7	A							26.6	A	23.4	A	24.6	A	116	A	105	A	111	A							120	A	112	A	117	A	9.8	A	6.6	A	7.9	A							9.8	A	6.5	A	7.7	A	9.5	A	9.2	A	9.4	A							9.4	A	8.9	A	9.2	A
USGS	422820122032100	2014-07-12	28.8	A	22.3	A	25.6	A							27.5	A	22.0	A	24.4	A	124	A	102	A	116	A							123	A	114	A	118	A	16.2	A	5.3	A	10.4	A							12.6	A	4.4	A	8.1	A	9.7	A	9.0	A	9.3	A							9.6	A	8.7	A	9.1	A
USGS	422820122032100	2014-07-13	27.3	A	23.2	A	25.4	A							26.0	A	23.2	A	24.2	A	116	A	102	A	109	A							118	A	112	A	116	A	10.8	A	3.8	A	6.6	A							7.7	A	2.7	A	4.4	A	9.4	A	8.4	A	9.0	A							9.1	A	8.2	A	8.6	A
USGS	422820122032100	2014-07-14	29.6	A	23.0	A	25.7	A							27.8	A	22.0	A	23.9	A	123	A	113	A	117	A							124	A	116	A	119	A	13.3	A	4.1	A	9.0	A							6.3	A					9.7	A	8.7	A	9.1	A							8.9	A	7.9	A	8.3	A
USGS	422820122032100	2014-07-15	29.2	A	23.1	A	26.4	A							29.0	A	22.6	A	24.6	A	122	A	116	A	119	A							121	A	115	A	119	A	13.2	A	3.4	A	8.5	A							10.9	A	0.1	A	3.6	A	9.4	A	8.4	A	9.1	A							9.2	A	7.7	A	8.3	A
USGS	422820122032100	2014-07-16	30.0	A	24.3	A	26.5	A							29.8	A	23.4	A	24.9	A													121	A	111	A	118	A	8.3	A	5.2	A	6.7	A							7.2	A	0.4	A	3.7	A	9.1	A	8.7	A	8.8	A							9.0	A	7.9	A	8.4	A
USGS	422820122032100	2014-07-17	28.3	A	23.3	A	25.7	A							28.1	A	23.2	A	25.1	A	117	A	113	A	115	A													10.3	A	4.5	A	7.5	A							10.6	A	4.0	A	7.0	A	9.2	A	8.5	A	9.0	A							9.3	A	8.4	A	8.8	A
USGS	422820122032100	2014-07-18	29.0	A	24.2	A	26.2	A							27.7	A	23.7	A	25.5	A	120	A	115	A	117	A							118	A	115	A	117	A	11.1	A	5.6	A	8.5	A							11.2	A	5.3	A	8.3	A	9.2	A	8.9	A	9.1	A							9.3	A	8.8	A	9.1	A
USGS	422820122032100	2014-07-19	28.6	A	23.8	A	25.9	A							27.5	A	22.9	A	24.8	A	119	A	115	A	117	A							118	A	108	A	116	A	11.5	A	6.3	A	9.1	A							13.2	A	4.9	A	8.6	A	9.2	A	8.9	A	9.1	A							9.4	A	8.5	A	9.0	A
USGS	422820122032100	2014-07-20	25.6	A	22.4	A	24.2	A							25.6	A	22.4	A	24.0	A	115	A	109	A	113	A													10.4	A	5.8	A	8.1	A							10.4	A	5.1	A	7.9	A	9.1	A	8.3	A	8.9	A							9.2	A	8.5	A	8.9	A
