agency_cd	site_no	datetime	213630_00054_32400	213630_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11229600	2013-01-01	5971	A
USGS	11229600	2013-01-02	5967	A
USGS	11229600	2013-01-03	5955	A
USGS	11229600	2013-01-04	5942	A
USGS	11229600	2013-01-05	5930	A
USGS	11229600	2013-01-06	5918	A
USGS	11229600	2013-01-07	5893	A
USGS	11229600	2013-01-08	5873	A
USGS	11229600	2013-01-09	5869	A
USGS	11229600	2013-01-10	5861	A
USGS	11229600	2013-01-11	5836	A
USGS	11229600	2013-01-12	5816	A
USGS	11229600	2013-01-13	5780	A
USGS	11229600	2013-01-14	5745	A
USGS	11229600	2013-01-15	5717	A
USGS	11229600	2013-01-16	5689	A
USGS	11229600	2013-01-17	5665	A
USGS	11229600	2013-01-18	5649	A
USGS	11229600	2013-01-19	5633	A
USGS	11229600	2013-01-20	5613	A
USGS	11229600	2013-01-21	5598	A
USGS	11229600	2013-01-22	5645	A
USGS	11229600	2013-01-23	5756	A
USGS	11229600	2013-01-24	6048	A
USGS	11229600	2013-01-25	6257	A
USGS	11229600	2013-01-26	6430	A
USGS	11229600	2013-01-27	6577	A
USGS	11229600	2013-01-28	6691	A
USGS	11229600	2013-01-29	6826	A
USGS	11229600	2013-01-30	6942	A
USGS	11229600	2013-01-31	7059	A
USGS	11229600	2013-02-01	7175	A
USGS	11229600	2013-02-02	7287	A
USGS	11229600	2013-02-03	7394	A
USGS	11229600	2013-02-04	7492	A
USGS	11229600	2013-02-05	7602	A
USGS	11229600	2013-02-06	7699	A
USGS	11229600	2013-02-07	7791	A
USGS	11229600	2013-02-08	7883	A
USGS	11229600	2013-02-09	7961	A
USGS	11229600	2013-02-10	8036	A
USGS	11229600	2013-02-11	8102	A
USGS	11229600	2013-02-12	8173	A
USGS	11229600	2013-02-13	8240	A
USGS	11229600	2013-02-14	8178	A
USGS	11229600	2013-02-15	8003	A
USGS	11229600	2013-02-16	7832	A
USGS	11229600	2013-02-17	7662	A
USGS	11229600	2013-02-18	7483	A
USGS	11229600	2013-02-19	7313	A
USGS	11229600	2013-02-20	7139	A
USGS	11229600	2013-02-21	6955	A
USGS	11229600	2013-02-22	6786	A
USGS	11229600	2013-02-23	6610	A
USGS	11229600	2013-02-24	6438	A
USGS	11229600	2013-02-25	6262	A
USGS	11229600	2013-02-26	6089	A
USGS	11229600	2013-02-27	5922	A
USGS	11229600	2013-02-28	5617	A
USGS	11229600	2013-03-01	5257	A
USGS	11229600	2013-03-02	4908	A
USGS	11229600	2013-03-03	4583	A
USGS	11229600	2013-03-04	4251	A
USGS	11229600	2013-03-05	3928	A
USGS	11229600	2013-03-06	3624	A
USGS	11229600	2013-03-07	3308	A
USGS	11229600	2013-03-08	3001	A
