agency_cd	site_no	datetime	213681_00054_32400	213681_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11414090	2013-01-01	28400	A
USGS	11414090	2013-01-02	28400	A
USGS	11414090	2013-01-03	28400	A
USGS	11414090	2013-01-04	28400	A
USGS	11414090	2013-01-05	28400	A
USGS	11414090	2013-01-06	28300	A
USGS	11414090	2013-01-07	28300	A
USGS	11414090	2013-01-08	28300	A
USGS	11414090	2013-01-09	28300	A
USGS	11414090	2013-01-10	28300	A
USGS	11414090	2013-01-11	28300	A
USGS	11414090	2013-01-12	28300	A
USGS	11414090	2013-01-13	28300	A
USGS	11414090	2013-01-14	28300	A
USGS	11414090	2013-01-15	28200	A
USGS	11414090	2013-01-16	28000	A
USGS	11414090	2013-01-17	27800	A
USGS	11414090	2013-01-18	27600	A
USGS	11414090	2013-01-19	27400	A
USGS	11414090	2013-01-20	27200	A
USGS	11414090	2013-01-21	27000	A
USGS	11414090	2013-01-22	26900	A
USGS	11414090	2013-01-23	26700	A
USGS	11414090	2013-01-24	26500	A
USGS	11414090	2013-01-25	26400	A
USGS	11414090	2013-01-26	26400	A
USGS	11414090	2013-01-27	26300	A
USGS	11414090	2013-01-28	26200	A
USGS	11414090	2013-01-29	26100	A
USGS	11414090	2013-01-30	25900	A
USGS	11414090	2013-01-31	25800	A
USGS	11414090	2013-02-01	25600	A
USGS	11414090	2013-02-02	25500	A
USGS	11414090	2013-02-03	25400	A
USGS	11414090	2013-02-04	25200	A
USGS	11414090	2013-02-05	25100	A
USGS	11414090	2013-02-06	24900	A
USGS	11414090	2013-02-07	24800	A
USGS	11414090	2013-02-08	24600	A
USGS	11414090	2013-02-09	24500	A
USGS	11414090	2013-02-10	24300	A
USGS	11414090	2013-02-11	24100	A
USGS	11414090	2013-02-12	24000	A
USGS	11414090	2013-02-13	23800	A
USGS	11414090	2013-02-14	23600	A
USGS	11414090	2013-02-15	23300	A
USGS	11414090	2013-02-16	23100	A
USGS	11414090	2013-02-17	22800	A
USGS	11414090	2013-02-18	22600	A
USGS	11414090	2013-02-19	22400	A
USGS	11414090	2013-02-20	22100	A
USGS	11414090	2013-02-21	21900	A
USGS	11414090	2013-02-22	21600	A
USGS	11414090	2013-02-23	21400	A
USGS	11414090	2013-02-24	21100	A
USGS	11414090	2013-02-25	20800	A
USGS	11414090	2013-02-26	20600	A
USGS	11414090	2013-02-27	20300	A
USGS	11414090	2013-02-28	20100	A
USGS	11414090	2013-03-01	19800	A
USGS	11414090	2013-03-02	19600	A
USGS	11414090	2013-03-03	19300	A
USGS	11414090	2013-03-04	19100	A
USGS	11414090	2013-03-05	18800	A
USGS	11414090	2013-03-06	18700	A
