agency_cd	site_no	datetime	214027_00054_32400	214027_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11414400	2013-01-01	12900	A:e
USGS	11414400	2013-01-02	12900	A:e
USGS	11414400	2013-01-03	12900	A:e
USGS	11414400	2013-01-04	12900	A:e
USGS	11414400	2013-01-05	12900	A:e
USGS	11414400	2013-01-06	12900	A:e
USGS	11414400	2013-01-07	12900	A:e
USGS	11414400	2013-01-08	12900	A:e
USGS	11414400	2013-01-09	12900	A:e
USGS	11414400	2013-01-10	12900	A:e
USGS	11414400	2013-01-11	12900	A:e
USGS	11414400	2013-01-12	12900	A:e
USGS	11414400	2013-01-13	12900	A:e
USGS	11414400	2013-01-14	12900	A:e
USGS	11414400	2013-01-15	12900	A:e
USGS	11414400	2013-01-16	12900	A:e
USGS	11414400	2013-01-17	12900	A:e
USGS	11414400	2013-01-18	12900	A:e
USGS	11414400	2013-01-19	12900	A:e
USGS	11414400	2013-01-20	12900	A:e
USGS	11414400	2013-01-21	12900	A:e
USGS	11414400	2013-01-22	12900	A:e
USGS	11414400	2013-01-23	12900	A:e
USGS	11414400	2013-01-24	12800	A:e
USGS	11414400	2013-01-25	12800	A:e
USGS	11414400	2013-01-26	12800	A:e
USGS	11414400	2013-01-27	12800	A:e
USGS	11414400	2013-01-28	12800	A:e
USGS	11414400	2013-01-29	12800	A:e
USGS	11414400	2013-01-30	12800	A:e
USGS	11414400	2013-01-31	12800	A:e
USGS	11414400	2013-02-01	12800	A:e
USGS	11414400	2013-02-02	12800	A:e
USGS	11414400	2013-02-03	12800	A:e
USGS	11414400	2013-02-04	12800	A:e
USGS	11414400	2013-02-05	12800	A:e
USGS	11414400	2013-02-06	12800	A:e
USGS	11414400	2013-02-07	12800	A:e
USGS	11414400	2013-02-08	12800	A:e
USGS	11414400	2013-02-09	12800	A:e
USGS	11414400	2013-02-10	12800	A:e
USGS	11414400	2013-02-11	12800	A:e
USGS	11414400	2013-02-12	12800	A:e
USGS	11414400	2013-02-13	12800	A:e
USGS	11414400	2013-02-14	12700	A:e
USGS	11414400	2013-02-15	12700	A:e
USGS	11414400	2013-02-16	12700	A:e
USGS	11414400	2013-02-17	12700	A:e
USGS	11414400	2013-02-18	12700	A:e
USGS	11414400	2013-02-19	12700	A:e
USGS	11414400	2013-02-20	12700	A:e
USGS	11414400	2013-02-21	12700	A:e
USGS	11414400	2013-02-22	12700	A:e
USGS	11414400	2013-02-23	12700	A:e
USGS	11414400	2013-02-24	12700	A:e
USGS	11414400	2013-02-25	12700	A:e
USGS	11414400	2013-02-26	12700	A:e
USGS	11414400	2013-02-27	12700	A:e
USGS	11414400	2013-02-28	12700	A:e
USGS	11414400	2013-03-01	12700	A:e
USGS	11414400	2013-03-02	12800	A:e
