agency_cd	site_no	datetime	217494_00054_32400	217494_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11427400	2013-01-01	64530	A
USGS	11427400	2013-01-02	64080	A
USGS	11427400	2013-01-03	63620	A
USGS	11427400	2013-01-04	63240	A
USGS	11427400	2013-01-05	62860	A
USGS	11427400	2013-01-06	62640	A
USGS	11427400	2013-01-07	62170	A
USGS	11427400	2013-01-08	61700	A
USGS	11427400	2013-01-09	61310	A
USGS	11427400	2013-01-10	61000	A
USGS	11427400	2013-01-11	60520	A
USGS	11427400	2013-01-12	60350	A
USGS	11427400	2013-01-13	60160	A
USGS	11427400	2013-01-14	59900	A
USGS	11427400	2013-01-15	59610	A
USGS	11427400	2013-01-16	59390	A
USGS	11427400	2013-01-17	59210	A
USGS	11427400	2013-01-18	58880	A
USGS	11427400	2013-01-19	58600	A
USGS	11427400	2013-01-20	58330	A
USGS	11427400	2013-01-21	58000	A
USGS	11427400	2013-01-22	57680	A
USGS	11427400	2013-01-23	57570	A
USGS	11427400	2013-01-24	57640	A
USGS	11427400	2013-01-25	57570	A
USGS	11427400	2013-01-26	57740	A
USGS	11427400	2013-01-27	57870	A
USGS	11427400	2013-01-28	57840	A
USGS	11427400	2013-01-29	57830	A
USGS	11427400	2013-01-30	57840	A
USGS	11427400	2013-01-31	57510	A
USGS	11427400	2013-02-01	57090	A
USGS	11427400	2013-02-02	57070	A
USGS	11427400	2013-02-03	56830	A
USGS	11427400	2013-02-04	56560	A
USGS	11427400	2013-02-05	56290	A
USGS	11427400	2013-02-06	56100	A
USGS	11427400	2013-02-07	55920	A
USGS	11427400	2013-02-08	55940	A
USGS	11427400	2013-02-09	55880	A
USGS	11427400	2013-02-10	55830	A
USGS	11427400	2013-02-11	55670	A
USGS	11427400	2013-02-12	55460	A
USGS	11427400	2013-02-13	55120	A
USGS	11427400	2013-02-14	54940	A
USGS	11427400	2013-02-15	54940	A
USGS	11427400	2013-02-16	55050	A
USGS	11427400	2013-02-17	55250	A
USGS	11427400	2013-02-18	55440	A
USGS	11427400	2013-02-19	55670	A
USGS	11427400	2013-02-20	55820	A
USGS	11427400	2013-02-21	55920	A
USGS	11427400	2013-02-22	55780	A
USGS	11427400	2013-02-23	55770	A
USGS	11427400	2013-02-24	55720	A
USGS	11427400	2013-02-25	55670	A
USGS	11427400	2013-02-26	55610	A
USGS	11427400	2013-02-27	55570	A
USGS	11427400	2013-02-28	55540	A
USGS	11427400	2013-03-01	55550	A
USGS	11427400	2013-03-02	55570	A
USGS	11427400	2013-03-03	55730	A
USGS	11427400	2013-03-04	55830	A
USGS	11427400	2013-03-05	55980	A
USGS	11427400	2013-03-06	56260	A
USGS	11427400	2013-03-07	56340	A
USGS	11427400	2013-03-08	56320	A
USGS	11427400	2013-03-09	56300	A
USGS	11427400	2013-03-10	56290	A
USGS	11427400	2013-03-11	56290	A
USGS	11427400	2013-03-12	56370	A
USGS	11427400	2013-03-13	56470	A
USGS	11427400	2013-03-14	56760	A
USGS	11427400	2013-03-15	57120	A
USGS	11427400	2013-03-16	57440	A
USGS	11427400	2013-03-17	57700	A
USGS	11427400	2013-03-18	57960	A
USGS	11427400	2013-03-19	58300	A
USGS	11427400	2013-03-20	59270	A
USGS	11427400	2013-03-21	60090	A
USGS	11427400	2013-03-22	60620	A
USGS	11427400	2013-03-23	61040	A
USGS	11427400	2013-03-24	61390	A
USGS	11427400	2013-03-25	61360	A
USGS	11427400	2013-03-26	61570	A
USGS	11427400	2013-03-27	61910	A
USGS	11427400	2013-03-28	62310	A
USGS	11427400	2013-03-29	62690	A
USGS	11427400	2013-03-30	63150	A
USGS	11427400	2013-03-31	63870	A
USGS	11427400	2013-04-01	64490	A
USGS	11427400	2013-04-02	64930	A
USGS	11427400	2013-04-03	65330	A
USGS	11427400	2013-04-04	66080	A
USGS	11427400	2013-04-05	66970	A
USGS	11427400	2013-04-06	67680	A
USGS	11427400	2013-04-07	68320	A
USGS	11427400	2013-04-08	68980	A
USGS	11427400	2013-04-09	69370	A
