agency_cd	site_no	datetime	114557_62614_32400	114557_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14308995	2013-01-01	1868.39	A
USGS	14308995	2013-01-02	1868.08	A
USGS	14308995	2013-01-03	1867.74	A
USGS	14308995	2013-01-04	1867.38	A
USGS	14308995	2013-01-05	1867.03	A
USGS	14308995	2013-01-06	1866.70	A
USGS	14308995	2013-01-07	1866.38	A
USGS	14308995	2013-01-08	1866.13	A
USGS	14308995	2013-01-09	1866.12	A
USGS	14308995	2013-01-10	1866.20	A
USGS	14308995	2013-01-11	1866.10	A
USGS	14308995	2013-01-12	1865.86	A
USGS	14308995	2013-01-13	1865.57	A
USGS	14308995	2013-01-14	1865.24	A
USGS	14308995	2013-01-15	1864.87	A
USGS	14308995	2013-01-16	1864.53	A
USGS	14308995	2013-01-17	1864.24	A
USGS	14308995	2013-01-18	1864.06	A
USGS	14308995	2013-01-19	1863.94	A
USGS	14308995	2013-01-20	1863.80	A
USGS	14308995	2013-01-21	1863.63	A
USGS	14308995	2013-01-22	1863.46	A
USGS	14308995	2013-01-23	1863.55	A
USGS	14308995	2013-01-24	1864.14	A
USGS	14308995	2013-01-25	1865.00	A
USGS	14308995	2013-01-26	1866.13	A
USGS	14308995	2013-01-27	1866.71	A
USGS	14308995	2013-01-28	1867.21	A
USGS	14308995	2013-01-29	1867.96	A
USGS	14308995	2013-01-30	1868.56	A
USGS	14308995	2013-01-31	1868.99	A
USGS	14308995	2013-02-01	1869.27	A
USGS	14308995	2013-02-02	1869.46	A
USGS	14308995	2013-02-03	1869.59	A
USGS	14308995	2013-02-04	1869.67	A
USGS	14308995	2013-02-05	1869.71	A
USGS	14308995	2013-02-06	1869.69	A
USGS	14308995	2013-02-07	1869.64	A
USGS	14308995	2013-02-08	1869.50	A
USGS	14308995	2013-02-09	1869.30	A
USGS	14308995	2013-02-10	1869.29	A
USGS	14308995	2013-02-11	1869.39	A
USGS	14308995	2013-02-12	1869.46	A
USGS	14308995	2013-02-13	1869.52	A
USGS	14308995	2013-02-14	1869.55	A
USGS	14308995	2013-02-15	1869.59	A
USGS	14308995	2013-02-16	1869.63	A
USGS	14308995	2013-02-17	1869.67	A
USGS	14308995	2013-02-18	1869.69	A
USGS	14308995	2013-02-19	1869.71	A
USGS	14308995	2013-02-20	1869.71	A
USGS	14308995	2013-02-21	1869.73	A
USGS	14308995	2013-02-22	1869.68	A
USGS	14308995	2013-02-23	1869.70	A
USGS	14308995	2013-02-24	1869.69	A
USGS	14308995	2013-02-25	1869.72	A
USGS	14308995	2013-02-26	1869.73	A
USGS	14308995	2013-02-27	1869.72	A
USGS	14308995	2013-02-28	1869.75	A
USGS	14308995	2013-03-01	1869.82	A
USGS	14308995	2013-03-02	1869.92	A
USGS	14308995	2013-03-03	1870.06	A
USGS	14308995	2013-03-04	1870.17	A
USGS	14308995	2013-03-05	1870.29	A
USGS	14308995	2013-03-06	1870.53	A
USGS	14308995	2013-03-07	1870.69	A
USGS	14308995	2013-03-08	1870.79	A
USGS	14308995	2013-03-09	1870.87	A
USGS	14308995	2013-03-10	1870.92	A
USGS	14308995	2013-03-11	1870.97	A
USGS	14308995	2013-03-12	1871.01	A
USGS	14308995	2013-03-13	1871.08	A
USGS	14308995	2013-03-14	1871.15	A
USGS	14308995	2013-03-15	1871.22	A
USGS	14308995	2013-03-16	1871.28	A
USGS	14308995	2013-03-17	1871.37	A
USGS	14308995	2013-03-18	1871.41	A
USGS	14308995	2013-03-19	1871.45	A
USGS	14308995	2013-03-20	1871.59	A
USGS	14308995	2013-03-21	1871.72	A
USGS	14308995	2013-03-22	1871.78	A
USGS	14308995	2013-03-23	1871.82	A
USGS	14308995	2013-03-24	1871.87	A
USGS	14308995	2013-03-25	1871.91	A
USGS	14308995	2013-03-26	1871.96	A
USGS	14308995	2013-03-27	1872.03	A
USGS	14308995	2013-03-28	1872.13	A
USGS	14308995	2013-03-29	1872.20	A
USGS	14308995	2013-03-30	1872.26	A
USGS	14308995	2013-03-31	1872.35	A
USGS	14308995	2013-04-01	1872.68	A
USGS	14308995	2013-04-02	1872.83	A
USGS	14308995	2013-04-03	1872.94	A
USGS	14308995	2013-04-04	1873.07	A
USGS	14308995	2013-04-05	1873.18	A
USGS	14308995	2013-04-06	1873.32	A
USGS	14308995	2013-04-07	1873.58	A
USGS	14308995	2013-04-08	1873.96	A
USGS	14308995	2013-04-09	1874.31	A
USGS	14308995	2013-04-10	1874.56	A
USGS	14308995	2013-04-11	1874.76	A
USGS	14308995	2013-04-12	1874.89	A
USGS	14308995	2013-04-13	1874.97	A
USGS	14308995	2013-04-14	1875.04	A
USGS	14308995	2013-04-15	1875.15	A
USGS	14308995	2013-04-16	1875.22	A
USGS	14308995	2013-04-17	1875.27	A
USGS	14308995	2013-04-18	1875.32	A
USGS	14308995	2013-04-19	1875.38	A
USGS	14308995	2013-04-20	1875.43	A
USGS	14308995	2013-04-21	1875.47	A
USGS	14308995	2013-04-22	1875.50	A
USGS	14308995	2013-04-23	1875.52	A
USGS	14308995	2013-04-24	1875.53	A
USGS	14308995	2013-04-25	1875.52	A
USGS	14308995	2013-04-26	1875.51	A
