agency_cd	site_no	datetime	213367_00054_32400	213367_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10287280	2013-01-01	7910	A
USGS	10287280	2013-01-02	7870	A
USGS	10287280	2013-01-03	7830	A
USGS	10287280	2013-01-04	7780	A
USGS	10287280	2013-01-05	7740	A
USGS	10287280	2013-01-06	7700	A
USGS	10287280	2013-01-07	7660	A
USGS	10287280	2013-01-08	7620	A
USGS	10287280	2013-01-09	7580	A
USGS	10287280	2013-01-10	7540	A
USGS	10287280	2013-01-11	7500	A
USGS	10287280	2013-01-12	7460	A
USGS	10287280	2013-01-13	7410	A
USGS	10287280	2013-01-14	7370	A
USGS	10287280	2013-01-15	7320	A
USGS	10287280	2013-01-16	7280	A
USGS	10287280	2013-01-17	7240	A
USGS	10287280	2013-01-18	7200	A
USGS	10287280	2013-01-19	7150	A
USGS	10287280	2013-01-20	7110	A
USGS	10287280	2013-01-21	7060	A
USGS	10287280	2013-01-22	7020	A
USGS	10287280	2013-01-23	6970	A
USGS	10287280	2013-01-24	6930	A
USGS	10287280	2013-01-25	6890	A
USGS	10287280	2013-01-26	6850	A
USGS	10287280	2013-01-27	6810	A
USGS	10287280	2013-01-28	6760	A
USGS	10287280	2013-01-29	6710	A
USGS	10287280	2013-01-30	6670	A
USGS	10287280	2013-01-31	6620	A
USGS	10287280	2013-02-01	6580	A
USGS	10287280	2013-02-02	6530	A
USGS	10287280	2013-02-03	6490	A
USGS	10287280	2013-02-04	6450	A
USGS	10287280	2013-02-05	6410	A
USGS	10287280	2013-02-06	6370	A
USGS	10287280	2013-02-07	6320	A
USGS	10287280	2013-02-08	6280	A
USGS	10287280	2013-02-09	6230	A
USGS	10287280	2013-02-10	6190	A
USGS	10287280	2013-02-11	6140	A
USGS	10287280	2013-02-12	6100	A
USGS	10287280	2013-02-13	6050	A
USGS	10287280	2013-02-14	6000	A
USGS	10287280	2013-02-15	5960	A
USGS	10287280	2013-02-16	5910	A
USGS	10287280	2013-02-17	5860	A
USGS	10287280	2013-02-18	5820	A
USGS	10287280	2013-02-19	5770	A
USGS	10287280	2013-02-20	5730	A
USGS	10287280	2013-02-21	5680	A
USGS	10287280	2013-02-22	5630	A
USGS	10287280	2013-02-23	5580	A
USGS	10287280	2013-02-24	5530	A
USGS	10287280	2013-02-25	5480	A
USGS	10287280	2013-02-26	5430	A
USGS	10287280	2013-02-27	5380	A
USGS	10287280	2013-02-28	5330	A
USGS	10287280	2013-03-01	5290	A
USGS	10287280	2013-03-02	5240	A
USGS	10287280	2013-03-03	5200	A
USGS	10287280	2013-03-04	5150	A
USGS	10287280	2013-03-05	5110	A
USGS	10287280	2013-03-06	5080	A
USGS	10287280	2013-03-07	5040	A
USGS	10287280	2013-03-08	5010	A
USGS	10287280	2013-03-09	4970	A
USGS	10287280	2013-03-10	4920	A
USGS	10287280	2013-03-11	4880	A
USGS	10287280	2013-03-12	4850	A
USGS	10287280	2013-03-13	4820	A
USGS	10287280	2013-03-14	4790	A
USGS	10287280	2013-03-15	4770	A
USGS	10287280	2013-03-16	4750	A
USGS	10287280	2013-03-17	4720	A
USGS	10287280	2013-03-18	4700	A
USGS	10287280	2013-03-19	4690	A
USGS	10287280	2013-03-20	4680	A
USGS	10287280	2013-03-21	4650	A
USGS	10287280	2013-03-22	4630	A
USGS	10287280	2013-03-23	4610	A
USGS	10287280	2013-03-24	4600	A
USGS	10287280	2013-03-25	4580	A
USGS	10287280	2013-03-26	4570	A
USGS	10287280	2013-03-27	4560	A
USGS	10287280	2013-03-28	4550	A
USGS	10287280	2013-03-29	4540	A
USGS	10287280	2013-03-30	4540	A
USGS	10287280	2013-03-31	4550	A
USGS	10287280	2013-04-01	4540	A
USGS	10287280	2013-04-02	4540	A
USGS	10287280	2013-04-03	4560	A
USGS	10287280	2013-04-04	4600	A
USGS	10287280	2013-04-05	4620	A
USGS	10287280	2013-04-06	4640	A
USGS	10287280	2013-04-07	4680	A
USGS	10287280	2013-04-08	4700	A
USGS	10287280	2013-04-09	4690	A
USGS	10287280	2013-04-10	4690	A
USGS	10287280	2013-04-11	4720	A
USGS	10287280	2013-04-12	4780	A
USGS	10287280	2013-04-13	4900	A
USGS	10287280	2013-04-14	5050	A
USGS	10287280	2013-04-15	5130	A
USGS	10287280	2013-04-16	5170	A
USGS	10287280	2013-04-17	5190	A
