agency_cd	site_no	datetime	149335_62614_32400	149335_62614_32400_cd
5s	15s	20d	14n	10s
USGS	12177700	2013-01-01	874.41	A
USGS	12177700	2013-01-02	871.70	A
USGS	12177700	2013-01-03	872.38	A
USGS	12177700	2013-01-04	872.10	A
USGS	12177700	2013-01-05	871.73	A
USGS	12177700	2013-01-06	871.31	A
USGS	12177700	2013-01-07	871.58	A
USGS	12177700	2013-01-08	871.48	A
USGS	12177700	2013-01-09	869.88	A
USGS	12177700	2013-01-10	873.18	A
USGS	12177700	2013-01-11	872.78	A
USGS	12177700	2013-01-12	872.76	A
USGS	12177700	2013-01-13	872.69	A
USGS	12177700	2013-01-14	871.58	A
USGS	12177700	2013-01-15	871.14	A
USGS	12177700	2013-01-16	871.39	A
USGS	12177700	2013-01-17	870.84	A
USGS	12177700	2013-01-18	872.55	A
USGS	12177700	2013-01-19	871.37	A
USGS	12177700	2013-01-20	872.01	A
USGS	12177700	2013-01-21	870.63	A
USGS	12177700	2013-01-22	871.96	A
USGS	12177700	2013-01-23	872.22	A
USGS	12177700	2013-01-24	872.38	A
USGS	12177700	2013-01-25	871.17	A
USGS	12177700	2013-01-26	871.75	A
USGS	12177700	2013-01-27	871.48	A
USGS	12177700	2013-01-28	871.06	A
USGS	12177700	2013-01-29	872.35	A
USGS	12177700	2013-01-30	871.66	A
USGS	12177700	2013-01-31	871.75	A
USGS	12177700	2013-02-01	871.87	A
USGS	12177700	2013-02-02	872.99	A
USGS	12177700	2013-02-03	872.40	A
USGS	12177700	2013-02-04	871.15	A
USGS	12177700	2013-02-05	871.22	A
USGS	12177700	2013-02-06	870.73	A
USGS	12177700	2013-02-07	870.95	A
USGS	12177700	2013-02-08	871.72	A
USGS	12177700	2013-02-09	872.20	A
USGS	12177700	2013-02-10	872.31	A
USGS	12177700	2013-02-11	871.60	A
USGS	12177700	2013-02-12	872.25	A
USGS	12177700	2013-02-13	871.23	A
USGS	12177700	2013-02-14	871.44	A
USGS	12177700	2013-02-15	871.35	A
USGS	12177700	2013-02-16	871.41	A
USGS	12177700	2013-02-17	871.05	A
USGS	12177700	2013-02-18	871.13	A
USGS	12177700	2013-02-19	872.03	A
USGS	12177700	2013-02-20	873.08	A
USGS	12177700	2013-02-21	872.53	A
USGS	12177700	2013-02-22	872.87	A
USGS	12177700	2013-02-23	872.39	A
USGS	12177700	2013-02-24	871.65	A
USGS	12177700	2013-02-25	871.35	A
USGS	12177700	2013-02-26	871.23	A
USGS	12177700	2013-02-27	871.55	A
USGS	12177700	2013-02-28	871.47	A
USGS	12177700	2013-03-01	873.78	A
USGS	12177700	2013-03-02	871.89	A
USGS	12177700	2013-03-03	870.77	A
USGS	12177700	2013-03-04	871.85	A
USGS	12177700	2013-03-05	871.52	A
USGS	12177700	2013-03-06	872.38	A
USGS	12177700	2013-03-07	871.54	A
USGS	12177700	2013-03-08	870.95	A
USGS	12177700	2013-03-09	870.94	A
USGS	12177700	2013-03-10	871.48	A
USGS	12177700	2013-03-11	872.85	A
USGS	12177700	2013-03-12	871.40	A
USGS	12177700	2013-03-13	871.30	A
USGS	12177700	2013-03-14	871.02	A
USGS	12177700	2013-03-15	871.92	A
USGS	12177700	2013-03-16	871.63	A
USGS	12177700	2013-03-17	870.63	A
USGS	12177700	2013-03-18	871.16	A
USGS	12177700	2013-03-19	870.95	A
USGS	12177700	2013-03-20	871.34	A
USGS	12177700	2013-03-21	871.13	A
USGS	12177700	2013-03-22	870.46	A
USGS	12177700	2013-03-23	870.41	A
USGS	12177700	2013-03-24	870.47	A
USGS	12177700	2013-03-25	868.69	A
USGS	12177700	2013-03-26	871.01	A
USGS	12177700	2013-03-27	871.06	A
USGS	12177700	2013-03-28	870.59	A
USGS	12177700	2013-03-29	871.50	A
USGS	12177700	2013-03-30	871.58	A
USGS	12177700	2013-03-31	871.46	A
USGS	12177700	2013-04-01	870.90	A
USGS	12177700	2013-04-02	871.59	A
USGS	12177700	2013-04-03	870.93	A
USGS	12177700	2013-04-04	871.28	A
USGS	12177700	2013-04-05	872.63	A
USGS	12177700	2013-04-06	871.23	A
USGS	12177700	2013-04-07	871.38	A
USGS	12177700	2013-04-08	871.09	A
USGS	12177700	2013-04-09	870.55	A
USGS	12177700	2013-04-10	872.03	A
USGS	12177700	2013-04-11	871.05	A
USGS	12177700	2013-04-12	871.54	A
USGS	12177700	2013-04-13	871.02	A
USGS	12177700	2013-04-14	871.10	A
USGS	12177700	2013-04-15	871.27	A
USGS	12177700	2013-04-16	869.66	A
USGS	12177700	2013-04-17	872.26	A
USGS	12177700	2013-04-18	872.00	A
USGS	12177700	2013-04-19	871.13	A
USGS	12177700	2013-04-20	871.91	A
USGS	12177700	2013-04-21	871.60	A
USGS	12177700	2013-04-22	871.44	A
USGS	12177700	2013-04-23	872.15	A
USGS	12177700	2013-04-24	871.62	A
USGS	12177700	2013-04-25	870.25	A
USGS	12177700	2013-04-26	873.10	A
USGS	12177700	2013-04-27	871.65	A
USGS	12177700	2013-04-28	872.09	A
USGS	12177700	2013-04-29	872.08	A
USGS	12177700	2013-04-30	870.63	A
USGS	12177700	2013-05-01	870.26	A
USGS	12177700	2013-05-02	870.65	A
USGS	12177700	2013-05-03	870.67	A
USGS	12177700	2013-05-04	871.71	A
USGS	12177700	2013-05-05	872.28	A
USGS	12177700	2013-05-06	870.12	A
USGS	12177700	2013-05-07	871.57	A
USGS	12177700	2013-05-08	871.80	A
USGS	12177700	2013-05-09	871.49	A
USGS	12177700	2013-05-10	872.37	A
USGS	12177700	2013-05-11	872.99	A
USGS	12177700	2013-05-12	871.43	A
USGS	12177700	2013-05-13	872.67	A
USGS	12177700	2013-05-14	869.91	A
USGS	12177700	2013-05-15	870.46	A
USGS	12177700	2013-05-16	871.59	A
USGS	12177700	2013-05-17	871.71	A
USGS	12177700	2013-05-18	872.49	A
USGS	12177700	2013-05-19	872.53	A
USGS	12177700	2013-05-20	872.09	A
USGS	12177700	2013-05-21	871.66	A
USGS	12177700	2013-05-22	871.92	A
USGS	12177700	2013-05-23	871.63	A
USGS	12177700	2013-05-24	871.89	A
USGS	12177700	2013-05-25	871.99	A
USGS	12177700	2013-05-26	872.49	A
USGS	12177700	2013-05-27	871.88	A
USGS	12177700	2013-05-28	872.20	A
USGS	12177700	2013-05-29	871.01	A
USGS	12177700	2013-05-30	871.59	A
USGS	12177700	2013-05-31	870.64	A
USGS	12177700	2013-06-01	872.28	A
USGS	12177700	2013-06-02	871.90	A
USGS	12177700	2013-06-03	872.34	A
USGS	12177700	2013-06-04	872.64	A
USGS	12177700	2013-06-05	870.57	A
USGS	12177700	2013-06-06	871.64	A
USGS	12177700	2013-06-07	871.17	A
USGS	12177700	2013-06-08	871.58	A
USGS	12177700	2013-06-09	871.91	A
USGS	12177700	2013-06-10	870.95	A
USGS	12177700	2013-06-11	870.59	A
USGS	12177700	2013-06-12	870.66	A
USGS	12177700	2013-06-13	870.68	A
USGS	12177700	2013-06-14	871.62	A
USGS	12177700	2013-06-15	871.22	A
USGS	12177700	2013-06-16	872.20	A
USGS	12177700	2013-06-17	872.33	A
USGS	12177700	2013-06-18	872.05	A
USGS	12177700	2013-06-19	871.59	A
USGS	12177700	2013-06-20	871.99	A
USGS	12177700	2013-06-21	870.92	A
USGS	12177700	2013-06-22	871.01	A
USGS	12177700	2013-06-23	872.78	A
USGS	12177700	2013-06-24	872.84	A
USGS	12177700	2013-06-25	870.59	A
USGS	12177700	2013-06-26	872.18	A
USGS	12177700	2013-06-27	872.15	A
USGS	12177700	2013-06-28	870.77	A
USGS	12177700	2013-06-29	870.78	A
USGS	12177700	2013-06-30	872.96	A
USGS	12177700	2013-07-01	871.97	A
USGS	12177700	2013-07-02	870.57	A
USGS	12177700	2013-07-03	871.07	A
USGS	12177700	2013-07-04	870.83	A
USGS	12177700	2013-07-05	871.50	A
USGS	12177700	2013-07-06	871.93	A
USGS	12177700	2013-07-07	872.04	A
USGS	12177700	2013-07-08	870.97	A
USGS	12177700	2013-07-09	870.83	A
USGS	12177700	2013-07-10	872.43	A
USGS	12177700	2013-07-11	872.09	A
USGS	12177700	2013-07-12	870.77	A
USGS	12177700	2013-07-13	871.56	A
USGS	12177700	2013-07-14	869.61	A
USGS	12177700	2013-07-15	857.39	A
USGS	12177700	2013-07-16	836.75	A
USGS	12177700	2013-07-17	818.52	A
USGS	12177700	2013-07-18	818.80	A
USGS	12177700	2013-07-19	819.18	A
USGS	12177700	2013-07-20	818.08	A
USGS	12177700	2013-07-21	818.32	A
USGS	12177700	2013-07-22	818.58	A
USGS	12177700	2013-07-23	818.02	A
USGS	12177700	2013-07-24	818.02	A
USGS	12177700	2013-07-25	818.21	A
USGS	12177700	2013-07-26	819.59	A
USGS	12177700	2013-07-27	820.12	A
USGS	12177700	2013-07-28	820.25	A
USGS	12177700	2013-07-29	820.29	A
USGS	12177700	2013-07-30	820.71	A
USGS	12177700	2013-07-31	819.56	A
USGS	12177700	2013-08-01	820.90	A
USGS	12177700	2013-08-02	819.53	A
USGS	12177700	2013-08-03	819.99	A
USGS	12177700	2013-08-04	820.06	A
USGS	12177700	2013-08-05	820.05	A
USGS	12177700	2013-08-06	820.18	A
USGS	12177700	2013-08-07	820.21	A
USGS	12177700	2013-08-08	820.27	A
USGS	12177700	2013-08-09	819.70	A
USGS	12177700	2013-08-10	820.99	A
USGS	12177700	2013-08-11	819.74	A
USGS	12177700	2013-08-12	819.04	A
USGS	12177700	2013-08-13	819.82	A
USGS	12177700	2013-08-14	819.87	A
USGS	12177700	2013-08-15	820.04	A
USGS	12177700	2013-08-16	819.97	A
USGS	12177700	2013-08-17	819.89	A
USGS	12177700	2013-08-18	819.76	A
USGS	12177700	2013-08-19	820.28	A
USGS	12177700	2013-08-20	820.09	A
USGS	12177700	2013-08-21	820.31	A
USGS	12177700	2013-08-22	820.15	A
USGS	12177700	2013-08-23	819.30	A
USGS	12177700	2013-08-24	820.20	A
USGS	12177700	2013-08-25	820.12	A
USGS	12177700	2013-08-26	820.32	A
USGS	12177700	2013-08-27	820.00	A
USGS	12177700	2013-08-28	819.80	A
USGS	12177700	2013-08-29	819.09	A
USGS	12177700	2013-08-30	819.81	A
USGS	12177700	2013-08-31	820.07	A
USGS	12177700	2013-09-01	820.27	A
USGS	12177700	2013-09-02	819.37	A
USGS	12177700	2013-09-03	819.31	A
USGS	12177700	2013-09-04	819.44	A
USGS	12177700	2013-09-05	819.58	A
USGS	12177700	2013-09-06	820.12	A
USGS	12177700	2013-09-07	819.81	A
USGS	12177700	2013-09-08	820.14	A
USGS	12177700	2013-09-09	819.58	A
USGS	12177700	2013-09-10	819.69	A
USGS	12177700	2013-09-11	819.58	A
USGS	12177700	2013-09-12	819.58	A
USGS	12177700	2013-09-13	819.45	A
USGS	12177700	2013-09-14	819.53	A
USGS	12177700	2013-09-15	819.51	A
USGS	12177700	2013-09-16	819.39	A
USGS	12177700	2013-09-17	820.10	A
USGS	12177700	2013-09-18	820.08	A
USGS	12177700	2013-09-19	819.25	A
USGS	12177700	2013-09-20	820.37	A
USGS	12177700	2013-09-21	820.03	A
USGS	12177700	2013-09-22	819.99	A
USGS	12177700	2013-09-23	819.93	A
USGS	12177700	2013-09-24	819.25	A
USGS	12177700	2013-09-25	819.79	A
USGS	12177700	2013-09-26	820.01	A
USGS	12177700	2013-09-27	819.69	A
USGS	12177700	2013-09-28	820.66	A
USGS	12177700	2013-09-29	821.95	A
USGS	12177700	2013-09-30	820.63	A
USGS	12177700	2013-10-01	820.98	A
USGS	12177700	2013-10-02	820.47	A
USGS	12177700	2013-10-03	821.08	A
USGS	12177700	2013-10-04	820.81	A
USGS	12177700	2013-10-05	820.96	A
USGS	12177700	2013-10-06	820.54	A
USGS	12177700	2013-10-07	820.15	A
USGS	12177700	2013-10-08	820.28	A
USGS	12177700	2013-10-09	821.63	A
USGS	12177700	2013-10-10	820.63	A
USGS	12177700	2013-10-11	821.68	A
USGS	12177700	2013-10-12	821.15	A
USGS	12177700	2013-10-13	820.65	A
USGS	12177700	2013-10-14	820.83	A
USGS	12177700	2013-10-15	820.62	A
USGS	12177700	2013-10-16	821.11	A
USGS	12177700	2013-10-17	821.52	A
USGS	12177700	2013-10-18	820.79	A
USGS	12177700	2013-10-19	820.70	A
USGS	12177700	2013-10-20	821.26	A
USGS	12177700	2013-10-21	820.42	A
USGS	12177700	2013-10-22	820.12	A
USGS	12177700	2013-10-23	820.24	A
USGS	12177700	2013-10-24	820.88	A
USGS	12177700	2013-10-25	820.91	A
USGS	12177700	2013-10-26	820.51	A
USGS	12177700	2013-10-27	820.89	A
USGS	12177700	2013-10-28	820.87	A
USGS	12177700	2013-10-29	820.28	A
USGS	12177700	2013-10-30	821.02	A
USGS	12177700	2013-10-31	820.72	A
USGS	12177700	2013-11-01	820.45	A
USGS	12177700	2013-11-02	820.86	A
USGS	12177700	2013-11-03	820.93	A
USGS	12177700	2013-11-04	820.97	A
USGS	12177700	2013-11-05	820.26	A
USGS	12177700	2013-11-06	820.30	A
USGS	12177700	2013-11-07	820.34	A
USGS	12177700	2013-11-08	820.35	A
USGS	12177700	2013-11-09	820.40	A
USGS	12177700	2013-11-10	820.63	A
USGS	12177700	2013-11-11	821.09	A
USGS	12177700	2013-11-12	821.07	A
USGS	12177700	2013-11-13	820.67	A
USGS	12177700	2013-11-14	823.79	A
USGS	12177700	2013-11-15	839.40	A
USGS	12177700	2013-11-16	850.76	A
USGS	12177700	2013-11-17	855.67	A
USGS	12177700	2013-11-18	861.44	A
USGS	12177700	2013-11-19	870.86	A
USGS	12177700	2013-11-20	871.69	A
USGS	12177700	2013-11-21	871.10	A
USGS	12177700	2013-11-22	870.71	A
USGS	12177700	2013-11-23	871.80	A
USGS	12177700	2013-11-24	871.99	A
USGS	12177700	2013-11-25	871.27	A
USGS	12177700	2013-11-26	871.02	A
USGS	12177700	2013-11-27	872.59	A
USGS	12177700	2013-11-28	871.00	A
USGS	12177700	2013-11-29	871.22	A
USGS	12177700	2013-11-30	870.59	A
USGS	12177700	2013-12-01	871.93	A
USGS	12177700	2013-12-02	870.72	A
USGS	12177700	2013-12-03	871.72	A
USGS	12177700	2013-12-04	871.48	A
USGS	12177700	2013-12-05	871.45	A
USGS	12177700	2013-12-06	871.45	A
USGS	12177700	2013-12-07	871.34	A
USGS	12177700	2013-12-08	871.42	A
USGS	12177700	2013-12-09	872.85	A
USGS	12177700	2013-12-10	872.70	A
USGS	12177700	2013-12-11	872.20	A
USGS	12177700	2013-12-12	872.06	A
USGS	12177700	2013-12-13	872.26	A
USGS	12177700	2013-12-14	870.97	A
USGS	12177700	2013-12-15	871.16	A
USGS	12177700	2013-12-16	872.04	A
USGS	12177700	2013-12-17	872.09	A
USGS	12177700	2013-12-18	872.24	A
USGS	12177700	2013-12-19	872.16	A
USGS	12177700	2013-12-20	872.48	A
USGS	12177700	2013-12-21	871.80	A
USGS	12177700	2013-12-22	871.21	A
USGS	12177700	2013-12-23	872.19	A
USGS	12177700	2013-12-24	871.54	A
USGS	12177700	2013-12-25	871.74	A
USGS	12177700	2013-12-26	871.80	A
USGS	12177700	2013-12-27	871.63	A
USGS	12177700	2013-12-28	871.52	A
USGS	12177700	2013-12-29	871.72	A
USGS	12177700	2013-12-30	871.57	A
USGS	12177700	2013-12-31	871.43	A
USGS	12177700	2014-01-01	871.73	A
USGS	12177700	2014-01-02	871.57	A
USGS	12177700	2014-01-03	871.48	A
USGS	12177700	2014-01-04	871.16	A
USGS	12177700	2014-01-05	871.24	A
USGS	12177700	2014-01-06	871.55	A
USGS	12177700	2014-01-07	871.84	A
USGS	12177700	2014-01-08	872.77	A
USGS	12177700	2014-01-09	872.82	A
USGS	12177700	2014-01-10	869.91	A
USGS	12177700	2014-01-11	871.35	A
USGS	12177700	2014-01-12	871.48	A
USGS	12177700	2014-01-13	870.93	A
USGS	12177700	2014-01-14	871.54	A
USGS	12177700	2014-01-15	870.92	A
USGS	12177700	2014-01-16	871.11	A
USGS	12177700	2014-01-17	871.55	A
USGS	12177700	2014-01-18	871.31	A
USGS	12177700	2014-01-19	872.00	A
USGS	12177700	2014-01-20	871.99	A
USGS	12177700	2014-01-21	871.20	A
USGS	12177700	2014-01-22	872.19	A
USGS	12177700	2014-01-23	870.68	A
USGS	12177700	2014-01-24	871.55	A
USGS	12177700	2014-01-25	870.91	A
USGS	12177700	2014-01-26	869.62	A
USGS	12177700	2014-01-27	870.73	A
USGS	12177700	2014-01-28	871.54	A
USGS	12177700	2014-01-29	871.88	A
USGS	12177700	2014-01-30	871.14	A
USGS	12177700	2014-01-31	871.03	A
USGS	12177700	2014-02-01	872.18	A
USGS	12177700	2014-02-02	871.75	A
USGS	12177700	2014-02-03	872.05	A
USGS	12177700	2014-02-04	871.38	A
USGS	12177700	2014-02-05	871.03	A
USGS	12177700	2014-02-06	871.78	A
USGS	12177700	2014-02-07	872.15	A
USGS	12177700	2014-02-08	871.11	A
USGS	12177700	2014-02-09	871.57	A
USGS	12177700	2014-02-10	871.04	A
USGS	12177700	2014-02-11	871.42	A
USGS	12177700	2014-02-12	870.84	A
USGS	12177700	2014-02-13	871.57	A
USGS	12177700	2014-02-14	871.49	A
USGS	12177700	2014-02-15	871.39	A
USGS	12177700	2014-02-16	871.15	A
USGS	12177700	2014-02-17	871.92	A
USGS	12177700	2014-02-18	871.20	A
USGS	12177700	2014-02-19	871.96	A
USGS	12177700	2014-02-20	870.58	A
USGS	12177700	2014-02-21	871.20	A
USGS	12177700	2014-02-22	871.75	A
USGS	12177700	2014-02-23	871.76	A
USGS	12177700	2014-02-24	871.73	A
USGS	12177700	2014-02-25	870.36	A
USGS	12177700	2014-02-26	870.76	A
USGS	12177700	2014-02-27	871.11	A
USGS	12177700	2014-02-28	870.99	A
USGS	12177700	2014-03-01	871.01	A
USGS	12177700	2014-03-02	871.45	A
USGS	12177700	2014-03-03	871.20	A
USGS	12177700	2014-03-04	871.24	A
USGS	12177700	2014-03-05	865.99	A
USGS	12177700	2014-03-06	867.70	A
USGS	12177700	2014-03-07	867.06	A
USGS	12177700	2014-03-08	869.60	A
USGS	12177700	2014-03-09	870.12	A
USGS	12177700	2014-03-10	869.48	A
USGS	12177700	2014-03-11	871.10	A
USGS	12177700	2014-03-12	870.92	A
USGS	12177700	2014-03-13	870.74	A
USGS	12177700	2014-03-14	868.80	A
USGS	12177700	2014-03-15	871.23	A
USGS	12177700	2014-03-16	871.16	A
USGS	12177700	2014-03-17	870.57	A
USGS	12177700	2014-03-18	871.32	A
USGS	12177700	2014-03-19	871.58	A
USGS	12177700	2014-03-20	871.14	A
USGS	12177700	2014-03-21	870.10	A
USGS	12177700	2014-03-22	870.77	A
USGS	12177700	2014-03-23	871.11	A
USGS	12177700	2014-03-24	872.98	A
USGS	12177700	2014-03-25	872.57	A
USGS	12177700	2014-03-26	872.55	A
USGS	12177700	2014-03-27	872.05	A
USGS	12177700	2014-03-28	870.66	A
USGS	12177700	2014-03-29	871.05	A
USGS	12177700	2014-03-30	870.74	A
USGS	12177700	2014-03-31	872.48	A
USGS	12177700	2014-04-01	873.98	A
USGS	12177700	2014-04-02	870.91	A
USGS	12177700	2014-04-03	871.60	A
USGS	12177700	2014-04-04	871.18	A
USGS	12177700	2014-04-05	870.95	A
USGS	12177700	2014-04-06	870.48	A
USGS	12177700	2014-04-07	871.28	A
USGS	12177700	2014-04-08	871.40	A
USGS	12177700	2014-04-09	871.60	A
USGS	12177700	2014-04-10	871.86	A
USGS	12177700	2014-04-11	870.59	A
USGS	12177700	2014-04-12	870.71	A
USGS	12177700	2014-04-13	872.08	A
USGS	12177700	2014-04-14	871.93	A
USGS	12177700	2014-04-15	870.50	A
USGS	12177700	2014-04-16	872.96	A
USGS	12177700	2014-04-17	872.35	A
USGS	12177700	2014-04-18	871.07	A
USGS	12177700	2014-04-19	872.37	A
USGS	12177700	2014-04-20	873.24	A
USGS	12177700	2014-04-21	871.64	A
USGS	12177700	2014-04-22	871.20	A
USGS	12177700	2014-04-23	871.38	A
USGS	12177700	2014-04-24	870.46	A
USGS	12177700	2014-04-25	870.15	A
USGS	12177700	2014-04-26	870.44	A
USGS	12177700	2014-04-27	870.45	A
USGS	12177700	2014-04-28	870.66	A
USGS	12177700	2014-04-29	870.59	A
USGS	12177700	2014-04-30	871.61	A
USGS	12177700	2014-05-01	871.30	A
USGS	12177700	2014-05-02	871.80	A
USGS	12177700	2014-05-03	870.91	A
USGS	12177700	2014-05-04	871.28	A
USGS	12177700	2014-05-05	870.85	A
USGS	12177700	2014-05-06	870.36	A
USGS	12177700	2014-05-07	871.17	A
USGS	12177700	2014-05-08	871.15	A
USGS	12177700	2014-05-09	872.14	A
USGS	12177700	2014-05-10	871.96	A
USGS	12177700	2014-05-11	870.50	A
USGS	12177700	2014-05-12	872.04	A
USGS	12177700	2014-05-13	871.82	A
USGS	12177700	2014-05-14	871.85	A
USGS	12177700	2014-05-15	870.73	A
USGS	12177700	2014-05-16	871.97	A
