agency_cd	site_no	datetime	7295_62614_32400	7295_62614_32400_cd
5s	15s	20d	14n	10s
USGS	10260860	2013-01-01	5142.97	A
USGS	10260860	2013-01-02	5142.97	A
USGS	10260860	2013-01-03	5142.96	A
USGS	10260860	2013-01-04	5142.96	A
USGS	10260860	2013-01-05	5142.97	A
USGS	10260860	2013-01-06	5142.97	A
USGS	10260860	2013-01-07	5142.96	A
USGS	10260860	2013-01-08	5142.95	A
USGS	10260860	2013-01-09	5142.97	A
USGS	10260860	2013-01-10	5142.98	A
USGS	10260860	2013-01-11	5142.95	A
USGS	10260860	2013-01-12	5142.94	A
USGS	10260860	2013-01-13	5142.94	A
USGS	10260860	2013-01-14	5142.93	A
USGS	10260860	2013-01-15	5142.93	A
USGS	10260860	2013-01-16	5142.93	A
USGS	10260860	2013-01-17	5142.93	A
USGS	10260860	2013-01-18	5142.93	A
USGS	10260860	2013-01-19	5142.93	A
USGS	10260860	2013-01-20	5142.93	A
USGS	10260860	2013-01-21	5142.93	A
USGS	10260860	2013-01-22	5142.93	A
USGS	10260860	2013-01-23	5142.93	A
USGS	10260860	2013-01-24	5143.01	A
USGS	10260860	2013-01-25	5143.10	A
USGS	10260860	2013-01-26	5143.03	A
USGS	10260860	2013-01-27	5143.03	A
USGS	10260860	2013-01-28	5143.00	A
USGS	10260860	2013-01-29	5142.99	A
USGS	10260860	2013-01-30	5142.97	A
USGS	10260860	2013-01-31	5142.96	A
USGS	10260860	2013-02-01	5142.96	A
USGS	10260860	2013-02-02	5142.95	A
USGS	10260860	2013-02-03	5142.95	A
USGS	10260860	2013-02-04	5142.94	A
USGS	10260860	2013-02-05	5142.94	A
USGS	10260860	2013-02-06	5142.92	A
USGS	10260860	2013-02-07	5142.93	A
USGS	10260860	2013-02-08	5142.96	A
USGS	10260860	2013-02-09	5142.93	A
USGS	10260860	2013-02-10	5142.92	A
USGS	10260860	2013-02-11	5142.92	A
USGS	10260860	2013-02-12	5142.92	A
USGS	10260860	2013-02-13	5142.92	A
USGS	10260860	2013-02-14	5142.92	A
USGS	10260860	2013-02-15	5142.92	A
USGS	10260860	2013-02-16	5142.92	A
USGS	10260860	2013-02-17	5142.91	A
USGS	10260860	2013-02-18	5142.91	A
USGS	10260860	2013-02-19	5142.97	A
USGS	10260860	2013-02-20	5142.93	A
USGS	10260860	2013-02-21	5142.90	A
USGS	10260860	2013-02-22	5142.91	A
USGS	10260860	2013-02-23	5142.92	A
USGS	10260860	2013-02-24	5142.90	A
USGS	10260860	2013-02-25	5142.90	A
