agency_cd	site_no	datetime	114052_62614_32400	114052_62614_32400_cd
USGS	14186100	2013-10-01	974.39	A
USGS	14186100	2013-10-02	976.47	A
USGS	14186100	2013-10-03	977.84	A
USGS	14186100	2013-10-04	978.80	A
USGS	14186100	2013-10-05	979.53	A
USGS	14186100	2013-10-06	980.11	A
USGS	14186100	2013-10-07	980.04	A
USGS	14186100	2013-10-08	980.14	A
USGS	14186100	2013-10-09	980.40	A
USGS	14186100	2013-10-10	980.41	A
USGS	14186100	2013-10-11	980.63	A
USGS	14186100	2013-10-12	981.09	A
USGS	14186100	2013-10-13	981.48	A
USGS	14186100	2013-10-14	980.94	A
USGS	14186100	2013-10-15	980.28	A
USGS	14186100	2013-10-16	979.60	A
USGS	14186100	2013-10-17	978.91	A
USGS	14186100	2013-10-18	978.25	A
USGS	14186100	2013-10-19	977.52	A
USGS	14186100	2013-10-20	976.72	A
USGS	14186100	2013-10-21	975.93	A
USGS	14186100	2013-10-22	975.12	A
USGS	14186100	2013-10-23	974.25	A
USGS	14186100	2013-10-24	973.40	A
USGS	14186100	2013-10-25	972.01	A
USGS	14186100	2013-10-26	970.64	A
USGS	14186100	2013-10-27	969.31	A
USGS	14186100	2013-10-28	967.96	A
USGS	14186100	2013-10-29	966.53	A
USGS	14186100	2013-10-30	965.04	A
USGS	14186100	2013-10-31	963.34	A
USGS	14186100	2013-11-01	961.05	A
USGS	14186100	2013-11-02	959.04	A
USGS	14186100	2013-11-03	957.00	A
USGS	14186100	2013-11-04	955.05	A
USGS	14186100	2013-11-05	953.58	A
USGS	14186100	2013-11-06	952.29	A
USGS	14186100	2013-11-07	951.12	A
USGS	14186100	2013-11-08	949.92	A
USGS	14186100	2013-11-09	948.29	A
USGS	14186100	2013-11-10	946.37	A
USGS	14186100	2013-11-11	944.22	A
USGS	14186100	2013-11-12	941.92	A
USGS	14186100	2013-11-13	939.38	A
USGS	14186100	2013-11-14	936.71	A
USGS	14186100	2013-11-15	934.00	A
USGS	14186100	2013-11-16	932.14	A
USGS	14186100	2013-11-17	930.25	A
USGS	14186100	2013-11-18	928.35	A
USGS	14186100	2013-11-19	928.76	A
USGS	14186100	2013-11-20	928.72	A
USGS	14186100	2013-11-21	929.40	A
USGS	14186100	2013-11-22	930.01	A
USGS	14186100	2013-11-23	930.74	A
USGS	14186100	2013-11-24	931.26	A
USGS	14186100	2013-11-25	931.63	A
USGS	14186100	2013-11-26	931.50	A
USGS	14186100	2013-11-27	931.30	A
USGS	14186100	2013-11-28	931.03	A
USGS	14186100	2013-11-29	930.70	A
USGS	14186100	2013-11-30	930.34	A
USGS	14186100	2013-12-01	931.05	A
USGS	14186100	2013-12-02	937.23	A
USGS	14186100	2013-12-03	938.99	A
USGS	14186100	2013-12-04	939.74	A
USGS	14186100	2013-12-05	939.45	A
USGS	14186100	2013-12-06	939.23	A
USGS	14186100	2013-12-07	938.69	A
USGS	14186100	2013-12-08	938.13	A
USGS	14186100	2013-12-09	937.46	A
USGS	14186100	2013-12-10	936.73	A
USGS	14186100	2013-12-11	935.96	A
USGS	14186100	2013-12-12	935.08	A
USGS	14186100	2013-12-13	934.32	A
USGS	14186100	2013-12-14	933.52	A
USGS	14186100	2013-12-15	932.59	A
USGS	14186100	2013-12-16	931.70	A
USGS	14186100	2013-12-17	930.77	A
USGS	14186100	2013-12-18	929.82	A
USGS	14186100	2013-12-19	928.86	A
USGS	14186100	2013-12-20	928.11	A
USGS	14186100	2013-12-21	927.90	A
USGS	14186100	2013-12-22	927.84	A
USGS	14186100	2013-12-23	927.71	A
USGS	14186100	2013-12-24	927.75	A
USGS	14186100	2013-12-25	927.51	A
USGS	14186100	2013-12-26	927.18	A
USGS	14186100	2013-12-27	926.71	A
USGS	14186100	2013-12-28	926.58	A
USGS	14186100	2013-12-29	926.27	A
USGS	14186100	2013-12-30	925.93	A
USGS	14186100	2013-12-31	925.56	A
USGS	14186100	2014-01-01	925.14	A
USGS	14186100	2014-01-02	924.71	A
USGS	14186100	2014-01-03	924.31	A
USGS	14186100	2014-01-04	923.85	A
USGS	14186100	2014-01-05	923.35	A
USGS	14186100	2014-01-06	922.86	A
USGS	14186100	2014-01-07	922.38	A
USGS	14186100	2014-01-08	922.62	A
USGS	14186100	2014-01-09	924.42	A
USGS	14186100	2014-01-10	926.80	A
USGS	14186100	2014-01-11	929.06	A
USGS	14186100	2014-01-12	932.71	A
USGS	14186100	2014-01-13	936.64	A
USGS	14186100	2014-01-14	938.79	A
USGS	14186100	2014-01-15	940.11	A
USGS	14186100	2014-01-16	941.00	A
USGS	14186100	2014-01-17	942.38	A
USGS	14186100	2014-01-18	943.56	A
USGS	14186100	2014-01-19	944.59	A
USGS	14186100	2014-01-20	945.48	A
USGS	14186100	2014-01-21	946.26	A
USGS	14186100	2014-01-22	946.47	A
USGS	14186100	2014-01-23	946.59	A
USGS	14186100	2014-01-24	946.64	A
USGS	14186100	2014-01-25	946.60	A
USGS	14186100	2014-01-26	946.55	A
USGS	14186100	2014-01-27	946.44	A
USGS	14186100	2014-01-28	946.46	A
USGS	14186100	2014-01-29	949.08	A
USGS	14186100	2014-01-30	951.04	A
USGS	14186100	2014-01-31	951.54	A
USGS	14186100	2014-02-01	951.57	A
USGS	14186100	2014-02-02	951.45	A
USGS	14186100	2014-02-03	951.25	A
USGS	14186100	2014-02-04	950.94	A
USGS	14186100	2014-02-05	950.50	A
USGS	14186100	2014-02-06	949.80	A
USGS	14186100	2014-02-07	948.90	A
USGS	14186100	2014-02-08	948.25	A
USGS	14186100	2014-02-09	949.18	A
USGS	14186100	2014-02-10	949.81	A
USGS	14186100	2014-02-11	952.40	A
USGS	14186100	2014-02-12	965.05	A
USGS	14186100	2014-02-13	974.70	A
USGS	14186100	2014-02-14	982.55	A
USGS	14186100	2014-02-15	987.18	A
USGS	14186100	2014-02-16	989.73	A
USGS	14186100	2014-02-17	989.31	A
USGS	14186100	2014-02-18	989.66	A
USGS	14186100	2014-02-19	989.80	A
USGS	14186100	2014-02-20	988.43	A
USGS	14186100	2014-02-21	986.35	A
