agency_cd	site_no	datetime	213663_00054_32400	213663_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11404250	2013-01-01	958.0	A
USGS	11404250	2013-01-02	996.0	A
USGS	11404250	2013-01-03	992.0	A
USGS	11404250	2013-01-04	798.0	A
USGS	11404250	2013-01-05	865.0	A
USGS	11404250	2013-01-06	936.0	A
USGS	11404250	2013-01-07	965.0	A
USGS	11404250	2013-01-08	947.0	A
USGS	11404250	2013-01-09	1010	A
USGS	11404250	2013-01-10	989.0	A
USGS	11404250	2013-01-11	944.0	A
USGS	11404250	2013-01-12	995.0	A
USGS	11404250	2013-01-13	1030	A
USGS	11404250	2013-01-14	1010	A
USGS	11404250	2013-01-15	992.0	A
USGS	11404250	2013-01-16	996.0	A
USGS	11404250	2013-01-17	1000	A
USGS	11404250	2013-01-18	851.0	A
USGS	11404250	2013-01-19	912.0	A
USGS	11404250	2013-01-20	969.0	A
USGS	11404250	2013-01-21	943.0	A
USGS	11404250	2013-01-22	985.0	A
USGS	11404250	2013-01-23	973.0	A
USGS	11404250	2013-01-24	986.0	A
USGS	11404250	2013-01-25	980.0	A
USGS	11404250	2013-01-26	990.0	A
USGS	11404250	2013-01-27	984.0	A
USGS	11404250	2013-01-28	991.0	A
USGS	11404250	2013-01-29	977.0	A
USGS	11404250	2013-01-30	970.0	A
USGS	11404250	2013-01-31	983.0	A
USGS	11404250	2013-02-01	1030	A
USGS	11404250	2013-02-02	1020	A
USGS	11404250	2013-02-03	1030	A
USGS	11404250	2013-02-04	1010	A
USGS	11404250	2013-02-05	874.0	A
USGS	11404250	2013-02-06	900.0	A
USGS	11404250	2013-02-07	821.0	A
USGS	11404250	2013-02-08	884.0	A
USGS	11404250	2013-02-09	904.0	A
USGS	11404250	2013-02-10	899.0	A
USGS	11404250	2013-02-11	939.0	A
USGS	11404250	2013-02-12	1020	A
USGS	11404250	2013-02-13	1040	A
USGS	11404250	2013-02-14	1020	A
USGS	11404250	2013-02-15	1030	A
USGS	11404250	2013-02-16	988.0	A
USGS	11404250	2013-02-17	1010	A
USGS	11404250	2013-02-18	1010	A
USGS	11404250	2013-02-19	979.0	A
USGS	11404250	2013-02-20	965.0	A
USGS	11404250	2013-02-21	963.0	A
USGS	11404250	2013-02-22	1000	A
USGS	11404250	2013-02-23	989.0	A
USGS	11404250	2013-02-24	999.0	A
USGS	11404250	2013-02-25	1030	A
USGS	11404250	2013-02-26	1010	A
USGS	11404250	2013-02-27	1030	A
USGS	11404250	2013-02-28	1010	A
USGS	11404250	2013-03-01	1020	A
USGS	11404250	2013-03-02	1030	A
USGS	11404250	2013-03-03	1010	A
USGS	11404250	2013-03-04	1050	A
USGS	11404250	2013-03-05	1050	A
USGS	11404250	2013-03-06	1030	A
USGS	11404250	2013-03-07	1020	A
USGS	11404250	2013-03-08	998.0	A
USGS	11404250	2013-03-09	1050	A
USGS	11404250	2013-03-10	952.0	A
USGS	11404250	2013-03-11	1020	A
USGS	11404250	2013-03-12	1020	A
USGS	11404250	2013-03-13	1030	A
USGS	11404250	2013-03-14	1000	A
USGS	11404250	2013-03-15	982.0	A
USGS	11404250	2013-03-16	995.0	A
USGS	11404250	2013-03-17	991.0	A
USGS	11404250	2013-03-18	1010	A
USGS	11404250	2013-03-19	969.0	A
USGS	11404250	2013-03-20	1110	A
USGS	11404250	2013-03-21	957.0	A
USGS	11404250	2013-03-22	921.0	A
USGS	11404250	2013-03-23	891.0	A
USGS	11404250	2013-03-24	969.0	A
USGS	11404250	2013-03-25	781.0	A
USGS	11404250	2013-03-26	854.0	A
USGS	11404250	2013-03-27	948.0	A
USGS	11404250	2013-03-28	968.0	A
USGS	11404250	2013-03-29	1020	A
USGS	11404250	2013-03-30	1040	A
USGS	11404250	2013-03-31	969.0	A
USGS	11404250	2013-04-01	960.0	A
USGS	11404250	2013-04-02	929.0	A
USGS	11404250	2013-04-03	1010	A
USGS	11404250	2013-04-04	1090	A
USGS	11404250	2013-04-05	979.0	A
USGS	11404250	2013-04-06	1050	A
USGS	11404250	2013-04-07	1070	A
USGS	11404250	2013-04-08	1040	A
USGS	11404250	2013-04-09	970.0	A
USGS	11404250	2013-04-10	968.0	A
USGS	11404250	2013-04-11	1000	A
USGS	11404250	2013-04-12	1000	A
USGS	11404250	2013-04-13	1020	A
USGS	11404250	2013-04-14	1000	A
USGS	11404250	2013-04-15	1010	A
USGS	11404250	2013-04-16	987.0	A
USGS	11404250	2013-04-17	991.0	A
USGS	11404250	2013-04-18	906.0	A
USGS	11404250	2013-04-19	958.0	A
USGS	11404250	2013-04-20	994.0	A
USGS	11404250	2013-04-21	938.0	A
USGS	11404250	2013-04-22	933.0	A
USGS	11404250	2013-04-23	982.0	A
USGS	11404250	2013-04-24	991.0	A
USGS	11404250	2013-04-25	999.0	A
USGS	11404250	2013-04-26	971.0	A
USGS	11404250	2013-04-27	990.0	A
USGS	11404250	2013-04-28	976.0	A
