agency_cd	site_no	datetime	217566_00054_32400	217566_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11417950	2013-01-01	31300	A
USGS	11417950	2013-01-02	31400	A
USGS	11417950	2013-01-03	31600	A
USGS	11417950	2013-01-04	32000	A
USGS	11417950	2013-01-05	31300	A
USGS	11417950	2013-01-06	30600	A
USGS	11417950	2013-01-07	29800	A
USGS	11417950	2013-01-08	29800	A
USGS	11417950	2013-01-09	30100	A
USGS	11417950	2013-01-10	30400	A
USGS	11417950	2013-01-11	30700	A
USGS	11417950	2013-01-12	30800	A
USGS	11417950	2013-01-13	30900	A
USGS	11417950	2013-01-14	30900	A
USGS	11417950	2013-01-15	30900	A
USGS	11417950	2013-01-16	30900	A
USGS	11417950	2013-01-17	30900	A
USGS	11417950	2013-01-18	30900	A
USGS	11417950	2013-01-19	30900	A
USGS	11417950	2013-01-20	30900	A
USGS	11417950	2013-01-21	30900	A
USGS	11417950	2013-01-22	30900	A
USGS	11417950	2013-01-23	30400	A
USGS	11417950	2013-01-24	30400	A
USGS	11417950	2013-01-25	30500	A
USGS	11417950	2013-01-26	30800	A
USGS	11417950	2013-01-27	30600	A
USGS	11417950	2013-01-28	30400	A
USGS	11417950	2013-01-29	30300	A
USGS	11417950	2013-01-30	30400	A
USGS	11417950	2013-01-31	30700	A
USGS	11417950	2013-02-01	31200	A
USGS	11417950	2013-02-02	30800	A
USGS	11417950	2013-02-03	31200	A
USGS	11417950	2013-02-04	31900	A
USGS	11417950	2013-02-05	32200	A
USGS	11417950	2013-02-06	32200	A
USGS	11417950	2013-02-07	32600	A
USGS	11417950	2013-02-08	33000	A
USGS	11417950	2013-02-09	32800	A
USGS	11417950	2013-02-10	33700	A
USGS	11417950	2013-02-11	34300	A
USGS	11417950	2013-02-12	35300	A
USGS	11417950	2013-02-13	33800	A
USGS	11417950	2013-02-14	32100	A
USGS	11417950	2013-02-15	31200	A
USGS	11417950	2013-02-16	30400	A
USGS	11417950	2013-02-17	29700	A
USGS	11417950	2013-02-18	29200	A
USGS	11417950	2013-02-19	30200	A
USGS	11417950	2013-02-20	30400	A
USGS	11417950	2013-02-21	30500	A
USGS	11417950	2013-02-22	30000	A
USGS	11417950	2013-02-23	29600	A
USGS	11417950	2013-02-24	29800	A
USGS	11417950	2013-02-25	30600	A
USGS	11417950	2013-02-26	31100	A
USGS	11417950	2013-02-27	31700	A
USGS	11417950	2013-02-28	31900	A
USGS	11417950	2013-03-01	31900	A
USGS	11417950	2013-03-02	31900	A
USGS	11417950	2013-03-03	31400	A
USGS	11417950	2013-03-04	31300	A
USGS	11417950	2013-03-05	31600	A
USGS	11417950	2013-03-06	31400	A
USGS	11417950	2013-03-07	31300	A
USGS	11417950	2013-03-08	31200	A
USGS	11417950	2013-03-09	30600	A
USGS	11417950	2013-03-10	30300	A
USGS	11417950	2013-03-11	30500	A
USGS	11417950	2013-03-12	30400	A
USGS	11417950	2013-03-13	30300	A
USGS	11417950	2013-03-14	30300	A
USGS	11417950	2013-03-15	30100	A
USGS	11417950	2013-03-16	30000	A
USGS	11417950	2013-03-17	29900	A
USGS	11417950	2013-03-18	29800	A
USGS	11417950	2013-03-19	30100	A
USGS	11417950	2013-03-20	31400	A
USGS	11417950	2013-03-21	32700	A
USGS	11417950	2013-03-22	33000	A
USGS	11417950	2013-03-23	33000	A
USGS	11417950	2013-03-24	32400	A
USGS	11417950	2013-03-25	32900	A
USGS	11417950	2013-03-26	31400	A
USGS	11417950	2013-03-27	30100	A
USGS	11417950	2013-03-28	30000	A
USGS	11417950	2013-03-29	30400	A
USGS	11417950	2013-03-30	30600	A
USGS	11417950	2013-03-31	30400	A
USGS	11417950	2013-04-01	30700	A
USGS	11417950	2013-04-02	30900	A
USGS	11417950	2013-04-03	30900	A
USGS	11417950	2013-04-04	30900	A
USGS	11417950	2013-04-05	30700	A
USGS	11417950	2013-04-06	30900	A
USGS	11417950	2013-04-07	30900	A
USGS	11417950	2013-04-08	31400	A
USGS	11417950	2013-04-09	31700	A
USGS	11417950	2013-04-10	31900	A
USGS	11417950	2013-04-11	32500	A
USGS	11417950	2013-04-12	33500	A
USGS	11417950	2013-04-13	33400	A
USGS	11417950	2013-04-14	32800	A
USGS	11417950	2013-04-15	33500	A
USGS	11417950	2013-04-16	32900	A
USGS	11417950	2013-04-17	33400	A
USGS	11417950	2013-04-18	33100	A
USGS	11417950	2013-04-19	32100	A
USGS	11417950	2013-04-20	31000	A
USGS	11417950	2013-04-21	30100	A
USGS	11417950	2013-04-22	30900	A
USGS	11417950	2013-04-23	30000	A
USGS	11417950	2013-04-24	29900	A
USGS	11417950	2013-04-25	29500	A
USGS	11417950	2013-04-26	30200	A
USGS	11417950	2013-04-27	30500	A
USGS	11417950	2013-04-28	30400	A
USGS	11417950	2013-04-29	30700	A
USGS	11417950	2013-04-30	29900	A
USGS	11417950	2013-05-01	29900	A
USGS	11417950	2013-05-02	30800	A
USGS	11417950	2013-05-03	33200	A
USGS	11417950	2013-05-04	33600	A
USGS	11417950	2013-05-05	32000	A
USGS	11417950	2013-05-06	31400	A
USGS	11417950	2013-05-07	32300	A
USGS	11417950	2013-05-08	31500	A
USGS	11417950	2013-05-09	32900	A
USGS	11417950	2013-05-10	32200	A
USGS	11417950	2013-05-11	31600	A
USGS	11417950	2013-05-12	31000	A
USGS	11417950	2013-05-13	31600	A
USGS	11417950	2013-05-14	32700	A
USGS	11417950	2013-05-15	31500	A
USGS	11417950	2013-05-16	31600	A
USGS	11417950	2013-05-17	30800	A
USGS	11417950	2013-05-18	30500	A
USGS	11417950	2013-05-19	30100	A
USGS	11417950	2013-05-20	32000	A
USGS	11417950	2013-05-21	32800	A
USGS	11417950	2013-05-22	33500	A
USGS	11417950	2013-05-23	33800	A
USGS	11417950	2013-05-24	33800	A
USGS	11417950	2013-05-25	32800	A
USGS	11417950	2013-05-26	32200	A
USGS	11417950	2013-05-27	31400	A
USGS	11417950	2013-05-28	32000	A
USGS	11417950	2013-05-29	31500	A
USGS	11417950	2013-05-30	31000	A
USGS	11417950	2013-05-31	31100	A
USGS	11417950	2013-06-01	31100	A
USGS	11417950	2013-06-02	30700	A
USGS	11417950	2013-06-03	31100	A
USGS	11417950	2013-06-04	30600	A
USGS	11417950	2013-06-05	30900	A
USGS	11417950	2013-06-06	31200	A
USGS	11417950	2013-06-07	32400	A
USGS	11417950	2013-06-08	33300	A
USGS	11417950	2013-06-09	31200	A
USGS	11417950	2013-06-10	31200	A
USGS	11417950	2013-06-11	31800	A
USGS	11417950	2013-06-12	31600	A
USGS	11417950	2013-06-13	32900	A
USGS	11417950	2013-06-14	33600	A
USGS	11417950	2013-06-15	33400	A
USGS	11417950	2013-06-16	33200	A
USGS	11417950	2013-06-17	32600	A
USGS	11417950	2013-06-18	31600	A
USGS	11417950	2013-06-19	31100	A
USGS	11417950	2013-06-20	31200	A
USGS	11417950	2013-06-21	32100	A
USGS	11417950	2013-06-22	32700	A
USGS	11417950	2013-06-23	32400	A
USGS	11417950	2013-06-24	31800	A
USGS	11417950	2013-06-25	31100	A
USGS	11417950	2013-06-26	31400	A
USGS	11417950	2013-06-27	31800	A
USGS	11417950	2013-06-28	32500	A
USGS	11417950	2013-06-29	32600	A
USGS	11417950	2013-06-30	31900	A
USGS	11417950	2013-07-01	32700	A
USGS	11417950	2013-07-02	32900	A
USGS	11417950	2013-07-03	33100	A
USGS	11417950	2013-07-04	33500	A
USGS	11417950	2013-07-05	32900	A
USGS	11417950	2013-07-06	33500	A
USGS	11417950	2013-07-07	32700	A
USGS	11417950	2013-07-08	32600	A
USGS	11417950	2013-07-09	32300	A
USGS	11417950	2013-07-10	31900	A
