agency_cd	site_no	datetime	113621_62614_32400	113621_62614_32400_cd
5s	15s	20d	14n	10s
USGS	14145100	2013-08-01	1520.60	A
USGS	14145100	2013-08-02	1519.73	A
USGS	14145100	2013-08-03	1518.86	A
USGS	14145100	2013-08-04	1517.99	A
USGS	14145100	2013-08-05	1517.10	A
USGS	14145100	2013-08-06	1516.20	A
USGS	14145100	2013-08-07	1515.30	A
USGS	14145100	2013-08-08	1514.40	A
USGS	14145100	2013-08-09	1513.54	A
USGS	14145100	2013-08-10	1512.69	A
USGS	14145100	2013-08-11	1511.77	A
USGS	14145100	2013-08-12	1510.83	A
USGS	14145100	2013-08-13	1509.90	A
USGS	14145100	2013-08-14	1508.94	A
USGS	14145100	2013-08-15	1507.98	A
USGS	14145100	2013-08-16	1507.01	A
USGS	14145100	2013-08-17	1506.04	A
USGS	14145100	2013-08-18	1505.04	A
USGS	14145100	2013-08-19	1504.04	A
USGS	14145100	2013-08-20	1503.02	A
USGS	14145100	2013-08-21	1502.01	A
USGS	14145100	2013-08-22	1501.01	A
USGS	14145100	2013-08-23	1500.04	A
USGS	14145100	2013-08-24	1499.01	A
USGS	14145100	2013-08-25	1498.04	A
USGS	14145100	2013-08-26	1497.42	A
USGS	14145100	2013-08-27	1497.03	A
USGS	14145100	2013-08-28	1496.64	A
USGS	14145100	2013-08-29	1496.24	A
USGS	14145100	2013-08-30	1495.84	A
USGS	14145100	2013-08-31	1495.43	A
USGS	14145100	2013-09-01	1495.02	A
USGS	14145100	2013-09-02	1494.60	A
USGS	14145100	2013-09-03	1494.16	A
USGS	14145100	2013-09-04	1493.71	A
USGS	14145100	2013-09-05	1493.33	A
USGS	14145100	2013-09-06	1492.95	A
USGS	14145100	2013-09-07	1492.53	A
USGS	14145100	2013-09-08	1492.11	A
USGS	14145100	2013-09-09	1491.69	A
USGS	14145100	2013-09-10	1491.24	A
USGS	14145100	2013-09-11	1490.80	A
USGS	14145100	2013-09-12	1490.36	A
USGS	14145100	2013-09-13	1489.90	A
USGS	14145100	2013-09-14	1489.43	A
USGS	14145100	2013-09-15	1488.96	A
USGS	14145100	2013-09-16	1488.47	A
USGS	14145100	2013-09-17	1488.11	A
USGS	14145100	2013-09-18	1487.71	A
USGS	14145100	2013-09-19	1487.28	A
USGS	14145100	2013-09-20	1486.85	A
USGS	14145100	2013-09-21	1486.43	A
USGS	14145100	2013-09-22	1486.03	A
USGS	14145100	2013-09-23	1485.64	A
USGS	14145100	2013-09-24	1484.94	A
USGS	14145100	2013-09-25	1484.03	A
USGS	14145100	2013-09-26	1482.96	A
USGS	14145100	2013-09-27	1481.84	A
USGS	14145100	2013-09-28	1480.82	A
USGS	14145100	2013-09-29	1480.88	A
USGS	14145100	2013-09-30	1482.51	A
USGS	14145100	2013-10-01	1482.33	A
USGS	14145100	2013-10-02	1481.79	A
USGS	14145100	2013-10-03	1481.14	A
USGS	14145100	2013-10-04	1480.35	A
USGS	14145100	2013-10-05	1479.45	A
USGS	14145100	2013-10-06	1478.49	A
USGS	14145100	2013-10-07	1477.43	A
USGS	14145100	2013-10-08	1476.38	A
USGS	14145100	2013-10-09	1475.74	A
USGS	14145100	2013-10-10	1475.43	A
USGS	14145100	2013-10-11	1475.09	A
USGS	14145100	2013-10-12	1474.74	A
USGS	14145100	2013-10-13	1474.36	A
USGS	14145100	2013-10-14	1473.97	A
USGS	14145100	2013-10-15	1473.57	A
USGS	14145100	2013-10-16	1473.26	A
USGS	14145100	2013-10-17	1473.02	A
USGS	14145100	2013-10-18	1472.77	A
USGS	14145100	2013-10-19	1472.51	A
USGS	14145100	2013-10-20	1472.25	A
USGS	14145100	2013-10-21	1471.98	A
USGS	14145100	2013-10-22	1471.69	A
USGS	14145100	2013-10-23	1471.40	A
USGS	14145100	2013-10-24	1471.12	A
USGS	14145100	2013-10-25	1470.81	A
USGS	14145100	2013-10-26	1470.51	A
USGS	14145100	2013-10-27	1470.22	A
USGS	14145100	2013-10-28	1469.94	A
USGS	14145100	2013-10-29	1469.64	A
USGS	14145100	2013-10-30	1469.33	A
USGS	14145100	2013-10-31	1469.02	A
USGS	14145100	2013-11-01	1468.71	A
USGS	14145100	2013-11-02	1468.56	A
USGS	14145100	2013-11-03	1468.48	A
USGS	14145100	2013-11-04	1468.30	A
USGS	14145100	2013-11-05	1468.25	A
USGS	14145100	2013-11-06	1468.34	A
USGS	14145100	2013-11-07	1468.41	A
USGS	14145100	2013-11-08	1468.02	A
USGS	14145100	2013-11-09	1467.32	A
USGS	14145100	2013-11-10	1466.48	A
USGS	14145100	2013-11-11	1465.54	A
USGS	14145100	2013-11-12	1464.53	A
USGS	14145100	2013-11-13	1463.46	A
USGS	14145100	2013-11-14	1462.34	A
USGS	14145100	2013-11-15	1461.23	A
USGS	14145100	2013-11-16	1460.16	A
USGS	14145100	2013-11-17	1459.10	A
USGS	14145100	2013-11-18	1458.01	A
USGS	14145100	2013-11-19	1458.79	A
USGS	14145100	2013-11-20	1460.92	A
USGS	14145100	2013-11-21	1461.22	A
USGS	14145100	2013-11-22	1460.92	A
USGS	14145100	2013-11-23	1460.35	A
USGS	14145100	2013-11-24	1459.60	A
USGS	14145100	2013-11-25	1458.75	A
USGS	14145100	2013-11-26	1457.95	A
USGS	14145100	2013-11-27	1457.14	A
USGS	14145100	2013-11-28	1456.28	A
USGS	14145100	2013-11-29	1455.37	A
USGS	14145100	2013-11-30	1454.42	A
USGS	14145100	2013-12-01	1453.45	A
USGS	14145100	2013-12-02	1453.37	A
USGS	14145100	2013-12-03	1453.55	A
USGS	14145100	2013-12-04	1453.47	A
USGS	14145100	2013-12-05	1453.26	A
USGS	14145100	2013-12-06	1453.06	A
USGS	14145100	2013-12-07	1452.75	A
USGS	14145100	2013-12-08	1452.35	A
USGS	14145100	2013-12-09	1451.93	A
USGS	14145100	2013-12-10	1451.51	A
USGS	14145100	2013-12-11	1451.07	A
USGS	14145100	2013-12-12	1450.61	A
USGS	14145100	2013-12-13	1450.40	A
USGS	14145100	2013-12-14	1450.42	A
USGS	14145100	2013-12-15	1450.44	A
USGS	14145100	2013-12-16	1450.45	A
USGS	14145100	2013-12-17	1450.22	A
USGS	14145100	2013-12-18	1449.81	A
USGS	14145100	2013-12-19	1449.37	A
USGS	14145100	2013-12-20	1448.95	A
USGS	14145100	2013-12-21	1448.66	A
USGS	14145100	2013-12-22	1448.40	A
USGS	14145100	2013-12-23	1448.26	A
USGS	14145100	2013-12-24	1448.36	A
USGS	14145100	2013-12-25	1448.39	A
USGS	14145100	2013-12-26	1448.37	A
USGS	14145100	2013-12-27	1448.31	A
USGS	14145100	2013-12-28	1448.22	A
USGS	14145100	2013-12-29	1448.10	A
USGS	14145100	2013-12-30	1448.01	A
USGS	14145100	2013-12-31	1448.01	A
USGS	14145100	2014-01-01	1448.08	A
USGS	14145100	2014-01-02	1448.14	A
USGS	14145100	2014-01-03	1448.19	A
USGS	14145100	2014-01-04	1448.23	A
USGS	14145100	2014-01-05	1448.24	A
USGS	14145100	2014-01-06	1448.25	A
USGS	14145100	2014-01-07	1448.28	A
USGS	14145100	2014-01-08	1448.39	A
USGS	14145100	2014-01-09	1448.92	A
USGS	14145100	2014-01-10	1449.38	A
USGS	14145100	2014-01-11	1450.40	A
USGS	14145100	2014-01-12	1452.06	A
USGS	14145100	2014-01-13	1453.43	A
USGS	14145100	2014-01-14	1454.46	A
USGS	14145100	2014-01-15	1455.25	A
USGS	14145100	2014-01-16	1455.90	A
USGS	14145100	2014-01-17	1456.44	A
USGS	14145100	2014-01-18	1456.91	A
USGS	14145100	2014-01-19	1457.33	A
USGS	14145100	2014-01-20	1457.67	A
USGS	14145100	2014-01-21	1457.96	A
USGS	14145100	2014-01-22	1458.19	A
USGS	14145100	2014-01-23	1458.36	A
USGS	14145100	2014-01-24	1458.50	A
USGS	14145100	2014-01-25	1458.59	A
USGS	14145100	2014-01-26	1458.67	A
USGS	14145100	2014-01-27	1458.73	A
USGS	14145100	2014-01-28	1458.84	A
USGS	14145100	2014-01-29	1460.10	A
USGS	14145100	2014-01-30	1461.39	A
USGS	14145100	2014-01-31	1462.32	A
USGS	14145100	2014-02-01	1463.00	A
USGS	14145100	2014-02-02	1463.55	A
USGS	14145100	2014-02-03	1464.01	A
USGS	14145100	2014-02-04	1464.39	A
USGS	14145100	2014-02-05	1464.70	A
USGS	14145100	2014-02-06	1465.02	A
USGS	14145100	2014-02-07	1465.52	A
USGS	14145100	2014-02-08	1468.03	A
USGS	14145100	2014-02-09	1471.10	A
USGS	14145100	2014-02-10	1473.13	A
USGS	14145100	2014-02-11	1474.71	A
USGS	14145100	2014-02-12	1481.78	A
USGS	14145100	2014-02-13	1489.56	A
USGS	14145100	2014-02-14	1500.26	A
USGS	14145100	2014-02-15	1507.96	A
USGS	14145100	2014-02-16	1509.33	A
USGS	14145100	2014-02-17	1508.19	A
USGS	14145100	2014-02-18	1507.21	A
USGS	14145100	2014-02-19	1506.21	A
USGS	14145100	2014-02-20	1503.69	A
USGS	14145100	2014-02-21	1500.46	A
USGS	14145100	2014-02-22	1496.87	A
USGS	14145100	2014-02-23	1493.43	A
USGS	14145100	2014-02-24	1491.11	A
USGS	14145100	2014-02-25	1490.90	A
USGS	14145100	2014-02-26	1491.23	A
USGS	14145100	2014-02-27	1492.00	A
USGS	14145100	2014-02-28	1492.71	A
USGS	14145100	2014-03-01	1493.54	A
USGS	14145100	2014-03-02	1494.79	A
USGS	14145100	2014-03-03	1497.35	A
USGS	14145100	2014-03-04	1499.75	A
