agency_cd	site_no	datetime	148899_62614_30800	148899_62614_30800_cd	229431_00054_30800	229431_00054_30800_cd
USGS	12105800	2013-01-01	1078.00	A		
USGS	12105800	2013-01-02	1077.60	A		
USGS	12105800	2013-01-03	1075.60	A		
USGS	12105800	2013-01-04	1075.30	A		
USGS	12105800	2013-01-05	1076.20	A		
USGS	12105800	2013-01-06	1076.90	A		
USGS	12105800	2013-01-07	1078.30	A		
USGS	12105800	2013-01-08	1080.50	A		
USGS	12105800	2013-01-09	1081.20	A		
USGS	12105800	2013-01-10	1080.60	A		
USGS	12105800	2013-01-11	1077.50	A		
USGS	12105800	2013-01-12	1079.10	A		
USGS	12105800	2013-01-13	1078.90	A		
USGS	12105800	2013-01-14	1077.20	A		
USGS	12105800	2013-01-15	1075.10	A		
USGS	12105800	2013-01-16	1075.20	A		
USGS	12105800	2013-01-17	1075.20	A		
USGS	12105800	2013-01-18	1075.30	A		
USGS	12105800	2013-01-19	1077.00	A		
USGS	12105800	2013-01-20	1078.40	A		
USGS	12105800	2013-01-21	1080.30	A		
USGS	12105800	2013-01-22	1082.50	A		
USGS	12105800	2013-01-23	1080.50	A		
USGS	12105800	2013-01-24	1077.70	A		
USGS	12105800	2013-01-25	1076.90	A		
USGS	12105800	2013-01-26	1078.50	A		
USGS	12105800	2013-01-27	1080.00	A		
USGS	12105800	2013-01-28	1081.30	A		
USGS	12105800	2013-01-29	1077.60	A		
USGS	12105800	2013-01-30	1080.10	A		
USGS	12105800	2013-01-31	1081.90	A		
USGS	12105800	2013-02-01	1082.60	A		
USGS	12105800	2013-02-02	1085.80	A		
USGS	12105800	2013-02-03	1084.80	A		
USGS	12105800	2013-02-04	1081.00	A		
USGS	12105800	2013-02-05	1077.80	A		
USGS	12105800	2013-02-06	1077.70	A		
USGS	12105800	2013-02-07	1077.40	A		
USGS	12105800	2013-02-08	1077.30	A		
USGS	12105800	2013-02-09	1079.90	A		
USGS	12105800	2013-02-10	1080.80	A		
USGS	12105800	2013-02-11	1079.00	A		
USGS	12105800	2013-02-12	1075.40	A		
USGS	12105800	2013-02-13	1077.60	A		
USGS	12105800	2013-02-14	1079.00	A		
USGS	12105800	2013-02-15	1079.00	A		
USGS	12105800	2013-02-16	1079.70	A		
USGS	12105800	2013-02-17	1081.40	A		
USGS	12105800	2013-02-18	1081.30	A		
USGS	12105800	2013-02-19	1079.80	A		
USGS	12105800	2013-02-20	1079.90	A		
USGS	12105800	2013-02-21	1080.10	A		
USGS	12105800	2013-02-22	1080.30	A		
USGS	12105800	2013-02-23	1080.80	A		
USGS	12105800	2013-02-24	1081.40	A		
USGS	12105800	2013-02-25	1081.90	A		
USGS	12105800	2013-02-26	1082.50	A		
USGS	12105800	2013-02-27	1084.10	A		
USGS	12105800	2013-02-28	1085.60	A		
USGS	12105800	2013-03-01	1090.10	A		
USGS	12105800	2013-03-02	1095.70	A		
USGS	12105800	2013-03-03	1097.40	A		
USGS	12105800	2013-03-04	1097.20	A		
USGS	12105800	2013-03-05	1096.90	A		
USGS	12105800	2013-03-06	1097.20	A		
USGS	12105800	2013-03-07	1097.60	A		
USGS	12105800	2013-03-08	1098.70	A		
USGS	12105800	2013-03-09	1100.50	A		
USGS	12105800	2013-03-10	1101.90	A		
USGS	12105800	2013-03-11	1102.90	A		
USGS	12105800	2013-03-12	1103.80	A		
USGS	12105800	2013-03-13	1106.80	A		
USGS	12105800	2013-03-14	1111.50	A		
USGS	12105800	2013-03-15	1113.80	A		
USGS	12105800	2013-03-16	1116.20	A		
USGS	12105800	2013-03-17	1118.20	A		
USGS	12105800	2013-03-18	1116.80	A		
USGS	12105800	2013-03-19	1116.30	A		
USGS	12105800	2013-03-20	1115.80	A		
USGS	12105800	2013-03-21	1116.50	A		
USGS	12105800	2013-03-22	1117.70	A		
USGS	12105800	2013-03-23	1119.30	A		
USGS	12105800	2013-03-24	1120.30	A		
USGS	12105800	2013-03-25	1120.80	A		
USGS	12105800	2013-03-26	1121.20	A		
USGS	12105800	2013-03-27	1121.90	A		
USGS	12105800	2013-03-28	1122.30	A		
USGS	12105800	2013-03-29	1122.70	A		
USGS	12105800	2013-03-30	1123.40	A		
USGS	12105800	2013-03-31	1124.50	A		
USGS	12105800	2013-04-01	1126.80	A		
USGS	12105800	2013-04-02	1127.50	A		
USGS	12105800	2013-04-03	1127.90	A		
USGS	12105800	2013-04-04	1127.80	A		
USGS	12105800	2013-04-05	1128.00	A		
USGS	12105800	2013-04-06	1129.30	A		
USGS	12105800	2013-04-07	1131.00	A		
USGS	12105800	2013-04-08	1132.20	A		
USGS	12105800	2013-04-09	1132.60	A		
USGS	12105800	2013-04-10	1132.80	A		
USGS	12105800	2013-04-11	1134.90	A		
USGS	12105800	2013-04-12	1137.20	A		
USGS	12105800	2013-04-13	1137.90	A		
USGS	12105800	2013-04-14	1137.70	A		
USGS	12105800	2013-04-15	1138.20	A		
USGS	12105800	2013-04-16	1138.50	A		
USGS	12105800	2013-04-17	1139.90	A		
USGS	12105800	2013-04-18	1140.80	A		
USGS	12105800	2013-04-19	1141.70	A		
USGS	12105800	2013-04-20	1144.20	A		
USGS	12105800	2013-04-21	1146.40	A		
USGS	12105800	2013-04-22	1146.40	A		
USGS	12105800	2013-04-23	1146.50	A		
USGS	12105800	2013-04-24	1147.20	A		
USGS	12105800	2013-04-25	1147.40	A		
USGS	12105800	2013-04-26	1148.10	A		
USGS	12105800	2013-04-27	1148.50	A		
USGS	12105800	2013-04-28	1149.20	A		
USGS	12105800	2013-04-29	1150.50	A		
USGS	12105800	2013-04-30	1150.40	A		
USGS	12105800	2013-05-01	1150.90	A		
USGS	12105800	2013-05-02	1151.50	A		
USGS	12105800	2013-05-03	1152.00	A		
USGS	12105800	2013-05-04	1152.10	A		
USGS	12105800	2013-05-05	1152.70	A		
USGS	12105800	2013-05-06	1153.30	A		
USGS	12105800	2013-05-07	1153.60	A		
USGS	12105800	2013-05-08	1154.10	A		
USGS	12105800	2013-05-09	1154.50	A		
USGS	12105800	2013-05-10	1154.90	A		
USGS	12105800	2013-05-11	1155.20	A		
USGS	12105800	2013-05-12	1155.50	A		
USGS	12105800	2013-05-13	1155.60	A		
USGS	12105800	2013-05-14	1156.10	A		
USGS	12105800	2013-05-15	1156.40	A		
USGS	12105800	2013-05-16	1156.90	A		
