agency_cd	site_no	datetime	234818_00054_32400	234818_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11236000	2013-01-01	33190	A
USGS	11236000	2013-01-02	33310	A
USGS	11236000	2013-01-03	33430	A
USGS	11236000	2013-01-04	33560	A
USGS	11236000	2013-01-05	33680	A
USGS	11236000	2013-01-06	33850	A
USGS	11236000	2013-01-07	33980	A
USGS	11236000	2013-01-08	34120	A
USGS	11236000	2013-01-09	34280	A
USGS	11236000	2013-01-10	34460	A
USGS	11236000	2013-01-11	34610	A
USGS	11236000	2013-01-12	34730	A
USGS	11236000	2013-01-13	34820	A
USGS	11236000	2013-01-14	34890	A
USGS	11236000	2013-01-15	35010	A
USGS	11236000	2013-01-16	35130	A
USGS	11236000	2013-01-17	35240	A
USGS	11236000	2013-01-18	35360	A
USGS	11236000	2013-01-19	35470	A
USGS	11236000	2013-01-20	35600	A
USGS	11236000	2013-01-21	35740	A
USGS	11236000	2013-01-22	35840	A
USGS	11236000	2013-01-23	35840	A
USGS	11236000	2013-01-24	35580	A
USGS	11236000	2013-01-25	35290	A
USGS	11236000	2013-01-26	35060	A
USGS	11236000	2013-01-27	35050	A
USGS	11236000	2013-01-28	34990	A
USGS	11236000	2013-01-29	34810	A
USGS	11236000	2013-01-30	34520	A
USGS	11236000	2013-01-31	34260	A
USGS	11236000	2013-02-01	33820	A
USGS	11236000	2013-02-02	33180	A
USGS	11236000	2013-02-03	32620	A
USGS	11236000	2013-02-04	32070	A
USGS	11236000	2013-02-05	31470	A
USGS	11236000	2013-02-06	30910	A
USGS	11236000	2013-02-07	30370	A
USGS	11236000	2013-02-08	30000	A
USGS	11236000	2013-02-09	29600	A
USGS	11236000	2013-02-10	29140	A
USGS	11236000	2013-02-11	28760	A
USGS	11236000	2013-02-12	28590	A
USGS	11236000	2013-02-13	28450	A
USGS	11236000	2013-02-14	28490	A
USGS	11236000	2013-02-15	28680	A
USGS	11236000	2013-02-16	28860	A
USGS	11236000	2013-02-17	29000	A
