agency_cd	site_no	datetime	216897_00054_32400	216897_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11441100	2013-01-01	28600	A
USGS	11441100	2013-01-02	28500	A
USGS	11441100	2013-01-03	28300	A
USGS	11441100	2013-01-04	28100	A
USGS	11441100	2013-01-05	28000	A
USGS	11441100	2013-01-06	28000	A
USGS	11441100	2013-01-07	27900	A
USGS	11441100	2013-01-08	27700	A
USGS	11441100	2013-01-09	27600	A
USGS	11441100	2013-01-10	27400	A
USGS	11441100	2013-01-11	27200	A
USGS	11441100	2013-01-12	27100	A
USGS	11441100	2013-01-13	27100	A
USGS	11441100	2013-01-14	27100	A
USGS	11441100	2013-01-15	27100	A
USGS	11441100	2013-01-16	27000	A
USGS	11441100	2013-01-17	27000	A
USGS	11441100	2013-01-18	27100	A
USGS	11441100	2013-01-19	27100	A
USGS	11441100	2013-01-20	27200	A
USGS	11441100	2013-01-21	27200	A
USGS	11441100	2013-01-22	27300	A
USGS	11441100	2013-01-23	27300	A
USGS	11441100	2013-01-24	27400	A
USGS	11441100	2013-01-25	27500	A
USGS	11441100	2013-01-26	27600	A
USGS	11441100	2013-01-27	27700	A
USGS	11441100	2013-01-28	27800	A
USGS	11441100	2013-01-29	27900	A
USGS	11441100	2013-01-30	28000	A
USGS	11441100	2013-01-31	28000	A
USGS	11441100	2013-02-01	28100	A
USGS	11441100	2013-02-02	28200	A
USGS	11441100	2013-02-03	28200	A
USGS	11441100	2013-02-04	28300	A
USGS	11441100	2013-02-05	28400	A
USGS	11441100	2013-02-06	28500	A
USGS	11441100	2013-02-07	28500	A
USGS	11441100	2013-02-08	28600	A
USGS	11441100	2013-02-09	28600	A
USGS	11441100	2013-02-10	28700	A
USGS	11441100	2013-02-11	28700	A
USGS	11441100	2013-02-12	28800	A
USGS	11441100	2013-02-13	28800	A
USGS	11441100	2013-02-14	28900	A
USGS	11441100	2013-02-15	28900	A
USGS	11441100	2013-02-16	29000	A
USGS	11441100	2013-02-17	29000	A
USGS	11441100	2013-02-18	29100	A
USGS	11441100	2013-02-19	29100	A
USGS	11441100	2013-02-20	29200	A
USGS	11441100	2013-02-21	29200	A
USGS	11441100	2013-02-22	29300	A
USGS	11441100	2013-02-23	29300	A
USGS	11441100	2013-02-24	29400	A
USGS	11441100	2013-02-25	29400	A
USGS	11441100	2013-02-26	29500	A
USGS	11441100	2013-02-27	29500	A
USGS	11441100	2013-02-28	29500	A
USGS	11441100	2013-03-01	29600	A
USGS	11441100	2013-03-02	29600	A
USGS	11441100	2013-03-03	29800	A
USGS	11441100	2013-03-04	29900	A
USGS	11441100	2013-03-05	30000	A
USGS	11441100	2013-03-06	30100	A
USGS	11441100	2013-03-07	30200	A
USGS	11441100	2013-03-08	30300	A
USGS	11441100	2013-03-09	30300	A
USGS	11441100	2013-03-10	30400	A
USGS	11441100	2013-03-11	30500	A
USGS	11441100	2013-03-12	30600	A
USGS	11441100	2013-03-13	30700	A
USGS	11441100	2013-03-14	30900	A
USGS	11441100	2013-03-15	31100	A
USGS	11441100	2013-03-16	31300	A
USGS	11441100	2013-03-17	31400	A
USGS	11441100	2013-03-18	31600	A
USGS	11441100	2013-03-19	31800	A
USGS	11441100	2013-03-20	32100	A
USGS	11441100	2013-03-21	32300	A
USGS	11441100	2013-03-22	32500	A
USGS	11441100	2013-03-23	32700	A
USGS	11441100	2013-03-24	32800	A
USGS	11441100	2013-03-25	33000	A
USGS	11441100	2013-03-26	33200	A
USGS	11441100	2013-03-27	33300	A
USGS	11441100	2013-03-28	33500	A
USGS	11441100	2013-03-29	33800	A
USGS	11441100	2013-03-30	33900	A
USGS	11441100	2013-03-31	34000	A
USGS	11441100	2013-04-01	34000	A
USGS	11441100	2013-04-02	34000	A
USGS	11441100	2013-04-03	34000	A
USGS	11441100	2013-04-04	34100	A
USGS	11441100	2013-04-05	34300	A
USGS	11441100	2013-04-06	34400	A
USGS	11441100	2013-04-07	34700	A
USGS	11441100	2013-04-08	34800	A
USGS	11441100	2013-04-09	34800	A
USGS	11441100	2013-04-10	34800	A
USGS	11441100	2013-04-11	35000	A
USGS	11441100	2013-04-12	35300	A
USGS	11441100	2013-04-13	35600	A
USGS	11441100	2013-04-14	36000	A
USGS	11441100	2013-04-15	36200	A
USGS	11441100	2013-04-16	36400	A
USGS	11441100	2013-04-17	36500	A
USGS	11441100	2013-04-18	36700	A
USGS	11441100	2013-04-19	36800	A
USGS	11441100	2013-04-20	37000	A
USGS	11441100	2013-04-21	37300	A
USGS	11441100	2013-04-22	37600	A
USGS	11441100	2013-04-23	37900	A
USGS	11441100	2013-04-24	38200	A
USGS	11441100	2013-04-25	38400	A
USGS	11441100	2013-04-26	38600	A
USGS	11441100	2013-04-27	39000	A
USGS	11441100	2013-04-28	39300	A
USGS	11441100	2013-04-29	39600	A
USGS	11441100	2013-04-30	39900	A
USGS	11441100	2013-05-01	40200	A
USGS	11441100	2013-05-02	40400	A
USGS	11441100	2013-05-03	40600	A
USGS	11441100	2013-05-04	40800	A
USGS	11441100	2013-05-05	41000	A
USGS	11441100	2013-05-06	41400	A
USGS	11441100	2013-05-07	41700	A
USGS	11441100	2013-05-08	41800	A
USGS	11441100	2013-05-09	41900	A
USGS	11441100	2013-05-10	41900	A
USGS	11441100	2013-05-11	41900	A
USGS	11441100	2013-05-12	41900	A
