agency_cd	site_no	datetime	11070_62614_32400	11070_62614_32400_cd	11071_00054_32400	11071_00054_32400_cd
USGS	11451290	2013-01-01	1425.19	A	107000	A
USGS	11451290	2013-01-02	1425.35	A	107300	A
USGS	11451290	2013-01-03	1425.48	A	107700	A
USGS	11451290	2013-01-04	1425.61	A	108000	A
USGS	11451290	2013-01-05	1425.79	A	108400	A
USGS	11451290	2013-01-06	1425.96	A	108800	A
USGS	11451290	2013-01-07	1426.09	A	109100	A
USGS	11451290	2013-01-08	1426.22	A	109400	A
USGS	11451290	2013-01-09	1426.35	A	109700	A
USGS	11451290	2013-01-10	1426.47	A	110000	A
USGS	11451290	2013-01-11	1426.56	A	110200	A
USGS	11451290	2013-01-12	1426.66	A	110500	A
USGS	11451290	2013-01-13	1426.75	A	110700	A
USGS	11451290	2013-01-14	1426.82	A	110900	A
USGS	11451290	2013-01-15	1426.91	A	111100	A
USGS	11451290	2013-01-16	1426.95	A	111200	A
USGS	11451290	2013-01-17	1427.02	A	111400	A
USGS	11451290	2013-01-18	1427.09	A	111500	A
USGS	11451290	2013-01-19	1427.14	A	111700	A
USGS	11451290	2013-01-20	1427.20	A	111800	A
USGS	11451290	2013-01-21	1427.27	A	112000	A
USGS	11451290	2013-01-22	1427.32	A	112100	A
USGS	11451290	2013-01-23	1427.44	A	112400	A
USGS	11451290	2013-01-24	1427.52	A	112600	A
USGS	11451290	2013-01-25	1427.58	A	112700	A
USGS	11451290	2013-01-26	1427.66	A	112900	A
USGS	11451290	2013-01-27	1427.71	A	113100	A
USGS	11451290	2013-01-28	1427.76	A	113200	A
USGS	11451290	2013-01-29	1427.81	A	113300	A
USGS	11451290	2013-01-30	1427.87	A	113500	A
USGS	11451290	2013-01-31	1427.91	A	113600	A
USGS	11451290	2013-02-01	1427.96	A	113700	A
USGS	11451290	2013-02-02	1428.00	A	113800	A
USGS	11451290	2013-02-03	1428.05	A	113900	A
USGS	11451290	2013-02-04	1428.09	A	114000	A
USGS	11451290	2013-02-05	1428.14	A	114100	A
USGS	11451290	2013-02-06	1428.16	A	114200	A
USGS	11451290	2013-02-07	1428.21	A	114300	A
USGS	11451290	2013-02-08	1428.23	A	114400	A
USGS	11451290	2013-02-09	1428.26	A	114400	A
USGS	11451290	2013-02-10	1428.28	A	114500	A
