agency_cd	site_no	datetime	232575_00054_32400	232575_00054_32400_cd
5s	15s	20d	14n	10s
USGS	10270875	2013-01-01	75.00	A
USGS	10270875	2013-01-02	72.00	A
USGS	10270875	2013-01-03	69.00	A
USGS	10270875	2013-01-04	69.00	A
USGS	10270875	2013-01-05	69.00	A
USGS	10270875	2013-01-06	67.00	A
USGS	10270875	2013-01-07	67.00	A
USGS	10270875	2013-01-08	67.00	A
USGS	10270875	2013-01-09	68.00	A
USGS	10270875	2013-01-10	70.00	A
USGS	10270875	2013-01-11	74.00	A
USGS	10270875	2013-01-12	73.00	A
USGS	10270875	2013-01-13	71.00	A
USGS	10270875	2013-01-14	72.00	A
USGS	10270875	2013-01-15	76.00	A
USGS	10270875	2013-01-16	71.00	A
USGS	10270875	2013-01-17	66.00	A
USGS	10270875	2013-01-18	62.00	A
USGS	10270875	2013-01-19	64.00	A
USGS	10270875	2013-01-20	68.00	A
USGS	10270875	2013-01-21	72.00	A
USGS	10270875	2013-01-22	76.00	A
USGS	10270875	2013-01-23	73.00	A
USGS	10270875	2013-01-24	72.00	A
USGS	10270875	2013-01-25	69.00	A
USGS	10270875	2013-01-26	68.00	A
USGS	10270875	2013-01-27	67.00	A
USGS	10270875	2013-01-28	67.00	A
USGS	10270875	2013-01-29	71.00	A
USGS	10270875	2013-01-30	74.00	A
USGS	10270875	2013-01-31	76.00	A
USGS	10270875	2013-02-01	75.00	A
USGS	10270875	2013-02-02	75.00	A
USGS	10270875	2013-02-03	74.00	A
USGS	10270875	2013-02-04	73.00	A
USGS	10270875	2013-02-05	71.00	A
USGS	10270875	2013-02-06	69.00	A
USGS	10270875	2013-02-07	67.00	A
USGS	10270875	2013-02-08	67.00	A
USGS	10270875	2013-02-09	68.00	A
USGS	10270875	2013-02-10	67.00	A
USGS	10270875	2013-02-11	67.00	A
USGS	10270875	2013-02-12	69.00	A
USGS	10270875	2013-02-13	70.00	A
USGS	10270875	2013-02-14	71.00	A
