agency_cd	site_no	datetime	217014_00054_32400	217014_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11363920	2013-01-01	11830	A
USGS	11363920	2013-01-02	10990	A
USGS	11363920	2013-01-03	10100	A
USGS	11363920	2013-01-04	10720	A
USGS	11363920	2013-01-05	10870	A
USGS	11363920	2013-01-06	11280	A
USGS	11363920	2013-01-07	11400	A
USGS	11363920	2013-01-08	10800	A
USGS	11363920	2013-01-09	11670	A
USGS	11363920	2013-01-10	12730	A
USGS	11363920	2013-01-11	12500	A
USGS	11363920	2013-01-12	13070	A
USGS	11363920	2013-01-13	13070	A
USGS	11363920	2013-01-14	13000	A
USGS	11363920	2013-01-15	12650	A
USGS	11363920	2013-01-16	12360	A
USGS	11363920	2013-01-17	12340	A
USGS	11363920	2013-01-18	13360	A
USGS	11363920	2013-01-19	14420	A
USGS	11363920	2013-01-20	15510	A
USGS	11363920	2013-01-21	15660	A
USGS	11363920	2013-01-22	15160	A
USGS	11363920	2013-01-23	13880	A
USGS	11363920	2013-01-24	14220	A
USGS	11363920	2013-01-25	14650	A
USGS	11363920	2013-01-26	15790	A
USGS	11363920	2013-01-27	16230	A
USGS	11363920	2013-01-28	17440	A
USGS	11363920	2013-01-29	18060	A
USGS	11363920	2013-01-30	18950	A
USGS	11363920	2013-01-31	18970	A
USGS	11363920	2013-02-01	19590	A
USGS	11363920	2013-02-02	18280	A
USGS	11363920	2013-02-03	16700	A
USGS	11363920	2013-02-04	16240	A
USGS	11363920	2013-02-05	16820	A
USGS	11363920	2013-02-06	16960	A
USGS	11363920	2013-02-07	16680	A
USGS	11363920	2013-02-08	16450	A
USGS	11363920	2013-02-09	16160	A
USGS	11363920	2013-02-10	15910	A
USGS	11363920	2013-02-11	15490	A
USGS	11363920	2013-02-12	15600	A
USGS	11363920	2013-02-13	15260	A
USGS	11363920	2013-02-14	15230	A
USGS	11363920	2013-02-15	15440	A
USGS	11363920	2013-02-16	15610	A
USGS	11363920	2013-02-17	16640	A
USGS	11363920	2013-02-18	16870	A
USGS	11363920	2013-02-19	16610	A
USGS	11363920	2013-02-20	16050	A
USGS	11363920	2013-02-21	15420	A
USGS	11363920	2013-02-22	14840	A
USGS	11363920	2013-02-23	14910	A
USGS	11363920	2013-02-24	14790	A
USGS	11363920	2013-02-25	14170	A
USGS	11363920	2013-02-26	13630	A
USGS	11363920	2013-02-27	13120	A
USGS	11363920	2013-02-28	12690	A
USGS	11363920	2013-03-01	11790	A
USGS	11363920	2013-03-02	11580	A
USGS	11363920	2013-03-03	11970	A
USGS	11363920	2013-03-04	11840	A
USGS	11363920	2013-03-05	11590	A
USGS	11363920	2013-03-06	11320	A
USGS	11363920	2013-03-07	11350	A
USGS	11363920	2013-03-08	11170	A
USGS	11363920	2013-03-09	11770	A
USGS	11363920	2013-03-10	12200	A
USGS	11363920	2013-03-11	11800	A
USGS	11363920	2013-03-12	11510	A
USGS	11363920	2013-03-13	11340	A
USGS	11363920	2013-03-14	11280	A
USGS	11363920	2013-03-15	11650	A
USGS	11363920	2013-03-16	11730	A
USGS	11363920	2013-03-17	11310	A
USGS	11363920	2013-03-18	11380	A
USGS	11363920	2013-03-19	11420	A
USGS	11363920	2013-03-20	11940	A
USGS	11363920	2013-03-21	12840	A
USGS	11363920	2013-03-22	12850	A
USGS	11363920	2013-03-23	12580	A
USGS	11363920	2013-03-24	12730	A
USGS	11363920	2013-03-25	13320	A
USGS	11363920	2013-03-26	12870	A
USGS	11363920	2013-03-27	12460	A
USGS	11363920	2013-03-28	12140	A
USGS	11363920	2013-03-29	11800	A
USGS	11363920	2013-03-30	11100	A
USGS	11363920	2013-03-31	11060	A
USGS	11363920	2013-04-01	10660	A
USGS	11363920	2013-04-02	10590	A
USGS	11363920	2013-04-03	10350	A
USGS	11363920	2013-04-04	10080	A
USGS	11363920	2013-04-05	9558	A
USGS	11363920	2013-04-06	9722	A
USGS	11363920	2013-04-07	10300	A
USGS	11363920	2013-04-08	10300	A
USGS	11363920	2013-04-09	10610	A
USGS	11363920	2013-04-10	10870	A
USGS	11363920	2013-04-11	11330	A
USGS	11363920	2013-04-12	11130	A
USGS	11363920	2013-04-13	11800	A
USGS	11363920	2013-04-14	13390	A
USGS	11363920	2013-04-15	13060	A
USGS	11363920	2013-04-16	13000	A
USGS	11363920	2013-04-17	13040	A
USGS	11363920	2013-04-18	12290	A
USGS	11363920	2013-04-19	13600	A
USGS	11363920	2013-04-20	15340	A
USGS	11363920	2013-04-21	16690	A
USGS	11363920	2013-04-22	16500	A
USGS	11363920	2013-04-23	16930	A
USGS	11363920	2013-04-24	17670	A
USGS	11363920	2013-04-25	19030	A
USGS	11363920	2013-04-26	19910	A
USGS	11363920	2013-04-27	21170	A
USGS	11363920	2013-04-28	20850	A
USGS	11363920	2013-04-29	20850	A
USGS	11363920	2013-04-30	21880	A
USGS	11363920	2013-05-01	21560	A
USGS	11363920	2013-05-02		
USGS	11363920	2013-05-03		
USGS	11363920	2013-05-04		
USGS	11363920	2013-05-05		
USGS	11363920	2013-05-06		
USGS	11363920	2013-05-07		
USGS	11363920	2013-05-08		
USGS	11363920	2013-05-09		
USGS	11363920	2013-05-10		
USGS	11363920	2013-05-11	19360	A
USGS	11363920	2013-05-12	19810	A
USGS	11363920	2013-05-13	19260	A
USGS	11363920	2013-05-14	19160	A
USGS	11363920	2013-05-15	19980	A
USGS	11363920	2013-05-16	20850	A
