agency_cd	site_no	datetime	216819_00054_32400	216819_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11407800	2013-01-01	50800	A
USGS	11407800	2013-01-02	50900	A
USGS	11407800	2013-01-03	50900	A
USGS	11407800	2013-01-04	50900	A
USGS	11407800	2013-01-05	51000	A
USGS	11407800	2013-01-06	51000	A
USGS	11407800	2013-01-07	51100	A
USGS	11407800	2013-01-08	51100	A
USGS	11407800	2013-01-09	51200	A
USGS	11407800	2013-01-10	51200	A
USGS	11407800	2013-01-11	51300	A
USGS	11407800	2013-01-12	51300	A
USGS	11407800	2013-01-13	51300	A
USGS	11407800	2013-01-14	51400	A
USGS	11407800	2013-01-15	51400	A
USGS	11407800	2013-01-16	51400	A
USGS	11407800	2013-01-17	51400	A
USGS	11407800	2013-01-18	51400	A
USGS	11407800	2013-01-19	51500	A
USGS	11407800	2013-01-20	51500	A
USGS	11407800	2013-01-21	51500	A
USGS	11407800	2013-01-22	51500	A
USGS	11407800	2013-01-23	51600	A
USGS	11407800	2013-01-24	51600	A
USGS	11407800	2013-01-25	51700	A
USGS	11407800	2013-01-26	51800	A
USGS	11407800	2013-01-27	51900	A
USGS	11407800	2013-01-28	51900	A
USGS	11407800	2013-01-29	52000	A
USGS	11407800	2013-01-30	52000	A
USGS	11407800	2013-01-31	52100	A
USGS	11407800	2013-02-01	52200	A
USGS	11407800	2013-02-02	52200	A
USGS	11407800	2013-02-03	52200	A
USGS	11407800	2013-02-04	52300	A
USGS	11407800	2013-02-05	52400	A
USGS	11407800	2013-02-06	52400	A
USGS	11407800	2013-02-07	52500	A
USGS	11407800	2013-02-08	52500	A
USGS	11407800	2013-02-09	52500	A
USGS	11407800	2013-02-10	52600	A
USGS	11407800	2013-02-11	52600	A
USGS	11407800	2013-02-12	52600	A
USGS	11407800	2013-02-13	52700	A
USGS	11407800	2013-02-14	52700	A
USGS	11407800	2013-02-15	52700	A
USGS	11407800	2013-02-16	52800	A
USGS	11407800	2013-02-17	52800	A
USGS	11407800	2013-02-18	52800	A
USGS	11407800	2013-02-19	52900	A
USGS	11407800	2013-02-20	53000	A
USGS	11407800	2013-02-21	53000	A
USGS	11407800	2013-02-22	53000	A
USGS	11407800	2013-02-23	53000	A
USGS	11407800	2013-02-24	53100	A
USGS	11407800	2013-02-25	53100	A
USGS	11407800	2013-02-26	53100	A
USGS	11407800	2013-02-27	53100	A
USGS	11407800	2013-02-28	53100	A
USGS	11407800	2013-03-01	53200	A
USGS	11407800	2013-03-02	53200	A
USGS	11407800	2013-03-03	53300	A
USGS	11407800	2013-03-04	53400	A
USGS	11407800	2013-03-05	53400	A
USGS	11407800	2013-03-06	53600	A
USGS	11407800	2013-03-07	53700	A
USGS	11407800	2013-03-08	53700	A
USGS	11407800	2013-03-09	53800	A
USGS	11407800	2013-03-10	53800	A
USGS	11407800	2013-03-11	53900	A
USGS	11407800	2013-03-12	54000	A
USGS	11407800	2013-03-13	54100	A
USGS	11407800	2013-03-14	54200	A
USGS	11407800	2013-03-15	54400	A
USGS	11407800	2013-03-16	54600	A
USGS	11407800	2013-03-17	54700	A
USGS	11407800	2013-03-18	54800	A
USGS	11407800	2013-03-19	54900	A
USGS	11407800	2013-03-20	55100	A
USGS	11407800	2013-03-21	55000	A
USGS	11407800	2013-03-22	54900	A
USGS	11407800	2013-03-23	54900	A
USGS	11407800	2013-03-24	54800	A
USGS	11407800	2013-03-25	54800	A
USGS	11407800	2013-03-26	54800	A
USGS	11407800	2013-03-27	54800	A
USGS	11407800	2013-03-28	54900	A
USGS	11407800	2013-03-29	54900	A
USGS	11407800	2013-03-30	55000	A
USGS	11407800	2013-03-31	55100	A
USGS	11407800	2013-04-01	55100	A
USGS	11407800	2013-04-02	55200	A
USGS	11407800	2013-04-03	55600	A
USGS	11407800	2013-04-04	56200	A
USGS	11407800	2013-04-05	56700	A
USGS	11407800	2013-04-06	57200	A
USGS	11407800	2013-04-07	57700	A
USGS	11407800	2013-04-08	58100	A
USGS	11407800	2013-04-09	58400	A
USGS	11407800	2013-04-10	58700	A
USGS	11407800	2013-04-11	59100	A
USGS	11407800	2013-04-12	59500	A
USGS	11407800	2013-04-13	59900	A
USGS	11407800	2013-04-14	60300	A
USGS	11407800	2013-04-15	60700	A
USGS	11407800	2013-04-16	60900	A
USGS	11407800	2013-04-17	61200	A
USGS	11407800	2013-04-18	61400	A
USGS	11407800	2013-04-19	61600	A
USGS	11407800	2013-04-20	61900	A
USGS	11407800	2013-04-21	62200	A
USGS	11407800	2013-04-22	62600	A
USGS	11407800	2013-04-23	62900	A
USGS	11407800	2013-04-24	63200	A
USGS	11407800	2013-04-25	63500	A
USGS	11407800	2013-04-26	63800	A
USGS	11407800	2013-04-27	64200	A
USGS	11407800	2013-04-28	64600	A
USGS	11407800	2013-04-29	65100	A
USGS	11407800	2013-04-30	65500	A
USGS	11407800	2013-05-01	65800	A
USGS	11407800	2013-05-02	66000	A
USGS	11407800	2013-05-03	66300	A
USGS	11407800	2013-05-04	66600	A
USGS	11407800	2013-05-05	66800	A
USGS	11407800	2013-05-06	67200	A
USGS	11407800	2013-05-07	67500	A
USGS	11407800	2013-05-08	67800	A
USGS	11407800	2013-05-09	68000	A
USGS	11407800	2013-05-10	68100	A
USGS	11407800	2013-05-11	68200	A
USGS	11407800	2013-05-12	68300	A
USGS	11407800	2013-05-13	68400	A
USGS	11407800	2013-05-14	68400	A
USGS	11407800	2013-05-15	68400	A
USGS	11407800	2013-05-16	68400	A
USGS	11407800	2013-05-17	68300	A
USGS	11407800	2013-05-18	68200	A
USGS	11407800	2013-05-19	68100	A
USGS	11407800	2013-05-20	68000	A
USGS	11407800	2013-05-21	67900	A
USGS	11407800	2013-05-22	67800	A
USGS	11407800	2013-05-23	67600	A
USGS	11407800	2013-05-24	67500	A
USGS	11407800	2013-05-25	67300	A
USGS	11407800	2013-05-26	67100	A
USGS	11407800	2013-05-27	67000	A
USGS	11407800	2013-05-28	66900	A
USGS	11407800	2013-05-29	66800	A
USGS	11407800	2013-05-30	66600	A
USGS	11407800	2013-05-31	66400	A
USGS	11407800	2013-06-01	66200	A
USGS	11407800	2013-06-02	66100	A
USGS	11407800	2013-06-03	65900	A
USGS	11407800	2013-06-04	65700	A
USGS	11407800	2013-06-05	65500	A
USGS	11407800	2013-06-06	65300	A
USGS	11407800	2013-06-07	65100	A
USGS	11407800	2013-06-08	64800	A
USGS	11407800	2013-06-09	64600	A
USGS	11407800	2013-06-10	64400	A
USGS	11407800	2013-06-11	64100	A
USGS	11407800	2013-06-12	63900	A
USGS	11407800	2013-06-13	63700	A
USGS	11407800	2013-06-14	63400	A
USGS	11407800	2013-06-15	63200	A
USGS	11407800	2013-06-16	63000	A
USGS	11407800	2013-06-17	62700	A
USGS	11407800	2013-06-18	62500	A
USGS	11407800	2013-06-19	62200	A
USGS	11407800	2013-06-20	62000	A
USGS	11407800	2013-06-21	61800	A
USGS	11407800	2013-06-22	61500	A
USGS	11407800	2013-06-23	61200	A
USGS	11407800	2013-06-24	61100	A
USGS	11407800	2013-06-25	61000	A
USGS	11407800	2013-06-26	60800	A
USGS	11407800	2013-06-27	60600	A
USGS	11407800	2013-06-28	60400	A
USGS	11407800	2013-06-29	60100	A
USGS	11407800	2013-06-30	59900	A
USGS	11407800	2013-07-01	59700	A
USGS	11407800	2013-07-02	59400	A
USGS	11407800	2013-07-03	59200	A
USGS	11407800	2013-07-04	59000	A
USGS	11407800	2013-07-05	58700	A
USGS	11407800	2013-07-06	58400	A
USGS	11407800	2013-07-07	58200	A
USGS	11407800	2013-07-08	57900	A
USGS	11407800	2013-07-09	57700	A
USGS	11407800	2013-07-10	57400	A
USGS	11407800	2013-07-11	57200	A
USGS	11407800	2013-07-12	56900	A
USGS	11407800	2013-07-13	56700	A
USGS	11407800	2013-07-14	56400	A
USGS	11407800	2013-07-15	56100	A
USGS	11407800	2013-07-16	55900	A
USGS	11407800	2013-07-17	55600	A
USGS	11407800	2013-07-18	55400	A
USGS	11407800	2013-07-19	55100	A
USGS	11407800	2013-07-20	54900	A
USGS	11407800	2013-07-21	54600	A
USGS	11407800	2013-07-22	54400	A
USGS	11407800	2013-07-23	54100	A
USGS	11407800	2013-07-24	53900	A
USGS	11407800	2013-07-25	53600	A
USGS	11407800	2013-07-26	53400	A
USGS	11407800	2013-07-27	53100	A
USGS	11407800	2013-07-28	52800	A
USGS	11407800	2013-07-29	52600	A
USGS	11407800	2013-07-30	52300	A
USGS	11407800	2013-07-31	52100	A
USGS	11407800	2013-08-01	51800	A
USGS	11407800	2013-08-02	51500	A
USGS	11407800	2013-08-03	51300	A
USGS	11407800	2013-08-04	51000	A
USGS	11407800	2013-08-05	50700	A
USGS	11407800	2013-08-06	50500	A
USGS	11407800	2013-08-07	50200	A
USGS	11407800	2013-08-08	50000	A
USGS	11407800	2013-08-09	49700	A
USGS	11407800	2013-08-10	49500	A
USGS	11407800	2013-08-11	49200	A
USGS	11407800	2013-08-12	48900	A
USGS	11407800	2013-08-13	48700	A
USGS	11407800	2013-08-14	48400	A
USGS	11407800	2013-08-15	48200	A
USGS	11407800	2013-08-16	47900	A
USGS	11407800	2013-08-17	47600	A
USGS	11407800	2013-08-18	47400	A
USGS	11407800	2013-08-19	47100	A
USGS	11407800	2013-08-20	46900	A
USGS	11407800	2013-08-21	46700	A
USGS	11407800	2013-08-22	46400	A
USGS	11407800	2013-08-23	46200	A
USGS	11407800	2013-08-24	45900	A
USGS	11407800	2013-08-25	45600	A
USGS	11407800	2013-08-26	45400	A
USGS	11407800	2013-08-27	45100	A
USGS	11407800	2013-08-28	44900	A
USGS	11407800	2013-08-29	44600	A
USGS	11407800	2013-08-30	44300	A
USGS	11407800	2013-08-31	44100	A
USGS	11407800	2013-09-01	43800	A
USGS	11407800	2013-09-02	43600	A
USGS	11407800	2013-09-03	43400	A
USGS	11407800	2013-09-04	43100	A
USGS	11407800	2013-09-05	42900	A
USGS	11407800	2013-09-06	42600	A
