agency_cd	site_no	datetime	213970_00054_32400	213970_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11246650	2013-01-01	3800	A
USGS	11246650	2013-01-02	3840	A
USGS	11246650	2013-01-03	3530	A
USGS	11246650	2013-01-04	3580	A
USGS	11246650	2013-01-05	3510	A
USGS	11246650	2013-01-06	3820	A
USGS	11246650	2013-01-07	3760	A
USGS	11246650	2013-01-08	3630	A
USGS	11246650	2013-01-09	3600	A
USGS	11246650	2013-01-10	3710	A
USGS	11246650	2013-01-11	3520	A
USGS	11246650	2013-01-12	3750	A
USGS	11246650	2013-01-13	3790	A
USGS	11246650	2013-01-14	3480	A
USGS	11246650	2013-01-15	3560	A
USGS	11246650	2013-01-16	3580	A
USGS	11246650	2013-01-17	3510	A
USGS	11246650	2013-01-18	3510	A
USGS	11246650	2013-01-19	3580	A
USGS	11246650	2013-01-20	3670	A
USGS	11246650	2013-01-21	3700	A
USGS	11246650	2013-01-22	3710	A
USGS	11246650	2013-01-23	3570	A
USGS	11246650	2013-01-24	3850	A
USGS	11246650	2013-01-25	3750	A
USGS	11246650	2013-01-26	3690	A
USGS	11246650	2013-01-27	3760	A
USGS	11246650	2013-01-28	3780	A
USGS	11246650	2013-01-29	3680	A
USGS	11246650	2013-01-30	3880	A
USGS	11246650	2013-01-31	3520	A
USGS	11246650	2013-02-01	3570	A
USGS	11246650	2013-02-02	3590	A
USGS	11246650	2013-02-03	4010	A
USGS	11246650	2013-02-04	3980	A
USGS	11246650	2013-02-05	3610	A
USGS	11246650	2013-02-06	3680	A
USGS	11246650	2013-02-07	3960	A
USGS	11246650	2013-02-08	3800	A
USGS	11246650	2013-02-09	3870	A
USGS	11246650	2013-02-10	3800	A
USGS	11246650	2013-02-11	3880	A
USGS	11246650	2013-02-12	3850	A
USGS	11246650	2013-02-13	3790	A
USGS	11246650	2013-02-14	3880	A
USGS	11246650	2013-02-15	3690	A
USGS	11246650	2013-02-16	3530	A
USGS	11246650	2013-02-17	3830	A
USGS	11246650	2013-02-18	3710	A
USGS	11246650	2013-02-19	3520	A
USGS	11246650	2013-02-20	3810	A
USGS	11246650	2013-02-21	3570	A
USGS	11246650	2013-02-22	3830	A
USGS	11246650	2013-02-23	3730	A
USGS	11246650	2013-02-24	3730	A
USGS	11246650	2013-02-25	3610	A
USGS	11246650	2013-02-26	3680	A
USGS	11246650	2013-02-27	3670	A
USGS	11246650	2013-02-28	3770	A
USGS	11246650	2013-03-01	3650	A
USGS	11246650	2013-03-02	3720	A
USGS	11246650	2013-03-03	3610	A
USGS	11246650	2013-03-04	3790	A
USGS	11246650	2013-03-05	3690	A
USGS	11246650	2013-03-06	3690	A
USGS	11246650	2013-03-07	3680	A
USGS	11246650	2013-03-08	3520	A
USGS	11246650	2013-03-09	3580	A
USGS	11246650	2013-03-10	3500	A
USGS	11246650	2013-03-11	3530	A
USGS	11246650	2013-03-12	3460	A
USGS	11246650	2013-03-13	3570	A
USGS	11246650	2013-03-14	3660	A
USGS	11246650	2013-03-15	3580	A
USGS	11246650	2013-03-16	3610	A
USGS	11246650	2013-03-17	3600	A
USGS	11246650	2013-03-18	3550	A
USGS	11246650	2013-03-19	3650	A
USGS	11246650	2013-03-20	3610	A
USGS	11246650	2013-03-21	3590	A
USGS	11246650	2013-03-22	3520	A
USGS	11246650	2013-03-23	3460	A
USGS	11246650	2013-03-24	3490	A
USGS	11246650	2013-03-25	3490	A
USGS	11246650	2013-03-26	3500	A
USGS	11246650	2013-03-27	3480	A
USGS	11246650	2013-03-28	3650	A
USGS	11246650	2013-03-29	3540	A
USGS	11246650	2013-03-30	3870	A
USGS	11246650	2013-03-31	3910	A
USGS	11246650	2013-04-01	3720	A
USGS	11246650	2013-04-02	3560	A
USGS	11246650	2013-04-03	3670	A
USGS	11246650	2013-04-04	3530	A
USGS	11246650	2013-04-05	3570	A
USGS	11246650	2013-04-06	3780	A
USGS	11246650	2013-04-07	3710	A
USGS	11246650	2013-04-08	3750	A
USGS	11246650	2013-04-09	3600	A
USGS	11246650	2013-04-10	3640	A
USGS	11246650	2013-04-11	3760	A
USGS	11246650	2013-04-12	3600	A
USGS	11246650	2013-04-13	3550	A
USGS	11246650	2013-04-14	3760	A
USGS	11246650	2013-04-15	3730	A
USGS	11246650	2013-04-16	3660	A
USGS	11246650	2013-04-17	3640	A
USGS	11246650	2013-04-18	3680	A
USGS	11246650	2013-04-19	3750	A
USGS	11246650	2013-04-20	3590	A
USGS	11246650	2013-04-21	3640	A
USGS	11246650	2013-04-22	3660	A
USGS	11246650	2013-04-23	3580	A
USGS	11246650	2013-04-24	3540	A
USGS	11246650	2013-04-25	3570	A
USGS	11246650	2013-04-26	3540	A
USGS	11246650	2013-04-27	3780	A
USGS	11246650	2013-04-28	3780	A
USGS	11246650	2013-04-29	3570	A
USGS	11246650	2013-04-30	3540	A
USGS	11246650	2013-05-01	3650	A
USGS	11246650	2013-05-02	3730	A
USGS	11246650	2013-05-03	3660	A
USGS	11246650	2013-05-04	3780	A
USGS	11246650	2013-05-05	3970	A
USGS	11246650	2013-05-06	3700	A
USGS	11246650	2013-05-07	3740	A
USGS	11246650	2013-05-08	3590	A
USGS	11246650	2013-05-09	3670	A
USGS	11246650	2013-05-10	3640	A
USGS	11246650	2013-05-11	3690	A
USGS	11246650	2013-05-12	3620	A
USGS	11246650	2013-05-13	3660	A
USGS	11246650	2013-05-14	3720	A
USGS	11246650	2013-05-15	3680	A
USGS	11246650	2013-05-16	3740	A
USGS	11246650	2013-05-17	3740	A
USGS	11246650	2013-05-18	3910	A
USGS	11246650	2013-05-19	3670	A
USGS	11246650	2013-05-20	3610	A
USGS	11246650	2013-05-21	3650	A
USGS	11246650	2013-05-22	3660	A
USGS	11246650	2013-05-23	3630	A
USGS	11246650	2013-05-24	3600	A
USGS	11246650	2013-05-25	3810	A
USGS	11246650	2013-05-26	3850	A
USGS	11246650	2013-05-27	3790	A
USGS	11246650	2013-05-28	3670	A
USGS	11246650	2013-05-29	3690	A
USGS	11246650	2013-05-30	3620	A
USGS	11246650	2013-05-31	4000	A
USGS	11246650	2013-06-01	3580	A
USGS	11246650	2013-06-02	3490	A
USGS	11246650	2013-06-03	3860	A
USGS	11246650	2013-06-04	4080	A
USGS	11246650	2013-06-05	3600	A
USGS	11246650	2013-06-06	3480	A
USGS	11246650	2013-06-07	3620	A
USGS	11246650	2013-06-08	3680	A
USGS	11246650	2013-06-09	3600	A
USGS	11246650	2013-06-10	3640	A
USGS	11246650	2013-06-11	3690	A
USGS	11246650	2013-06-12	3540	A
USGS	11246650	2013-06-13	3680	A
USGS	11246650	2013-06-14	3710	A
USGS	11246650	2013-06-15	3680	A
USGS	11246650	2013-06-16	3870	A
USGS	11246650	2013-06-17	4100	A
USGS	11246650	2013-06-18	3770	A
USGS	11246650	2013-06-19	3540	A
USGS	11246650	2013-06-20	3660	A
USGS	11246650	2013-06-21	3660	A
USGS	11246650	2013-06-22	3580	A
USGS	11246650	2013-06-23	3590	A
USGS	11246650	2013-06-24	3670	A
USGS	11246650	2013-06-25	3550	A
USGS	11246650	2013-06-26	3720	A
USGS	11246650	2013-06-27	3550	A
USGS	11246650	2013-06-28	3540	A
USGS	11246650	2013-06-29	3660	A
USGS	11246650	2013-06-30	3720	A
USGS	11246650	2013-07-01	3880	A
USGS	11246650	2013-07-02	4020	A
USGS	11246650	2013-07-03	3670	A
USGS	11246650	2013-07-04	3750	A
USGS	11246650	2013-07-05	3770	A
USGS	11246650	2013-07-06	3640	A
USGS	11246650	2013-07-07	3560	A
USGS	11246650	2013-07-08	3790	A
USGS	11246650	2013-07-09	3870	A
USGS	11246650	2013-07-10	3700	A
USGS	11246650	2013-07-11	3940	A
USGS	11246650	2013-07-12	3830	A
USGS	11246650	2013-07-13	3560	A
USGS	11246650	2013-07-14	3560	A
USGS	11246650	2013-07-15	3860	A
USGS	11246650	2013-07-16	3690	A
USGS	11246650	2013-07-17	3520	A
USGS	11246650	2013-07-18	3590	A
USGS	11246650	2013-07-19	3650	A
USGS	11246650	2013-07-20	3510	A
USGS	11246650	2013-07-21	3620	A
USGS	11246650	2013-07-22	3540	A
USGS	11246650	2013-07-23	3480	A
USGS	11246650	2013-07-24	3650	A
USGS	11246650	2013-07-25	3710	A
USGS	11246650	2013-07-26	3830	A
USGS	11246650	2013-07-27	3570	A
USGS	11246650	2013-07-28	3880	A
USGS	11246650	2013-07-29	3530	A
USGS	11246650	2013-07-30	3590	A
USGS	11246650	2013-07-31	3820	A
USGS	11246650	2013-08-01	3510	A
USGS	11246650	2013-08-02	3610	A
USGS	11246650	2013-08-03	3700	A
USGS	11246650	2013-08-04	3670	A
USGS	11246650	2013-08-05	3680	A
USGS	11246650	2013-08-06	3610	A
USGS	11246650	2013-08-07	3640	A
USGS	11246650	2013-08-08	3450	A
USGS	11246650	2013-08-09	3690	A
USGS	11246650	2013-08-10	3640	A
USGS	11246650	2013-08-11	3750	A
USGS	11246650	2013-08-12	3760	A
USGS	11246650	2013-08-13	3960	A
USGS	11246650	2013-08-14	4050	A
USGS	11246650	2013-08-15	3910	A
USGS	11246650	2013-08-16	3550	A
USGS	11246650	2013-08-17	3830	A
USGS	11246650	2013-08-18	3720	A
USGS	11246650	2013-08-19	3880	A
USGS	11246650	2013-08-20	3780	A
USGS	11246650	2013-08-21	4060	A
USGS	11246650	2013-08-22	3970	A
USGS	11246650	2013-08-23	3890	A
USGS	11246650	2013-08-24	3530	A
USGS	11246650	2013-08-25	3620	A
USGS	11246650	2013-08-26	3610	A
USGS	11246650	2013-08-27	3600	A
USGS	11246650	2013-08-28	3660	A
USGS	11246650	2013-08-29	3580	A
USGS	11246650	2013-08-30	3650	A
USGS	11246650	2013-08-31	3760	A
USGS	11246650	2013-09-01	3770	A
USGS	11246650	2013-09-02	3590	A
USGS	11246650	2013-09-03	3850	A
USGS	11246650	2013-09-04	3840	A
USGS	11246650	2013-09-05	3730	A
USGS	11246650	2013-09-06	3590	A
USGS	11246650	2013-09-07	3790	A
USGS	11246650	2013-09-08	3690	A
USGS	11246650	2013-09-09	3560	A
USGS	11246650	2013-09-10	3690	A
USGS	11246650	2013-09-11	3620	A
USGS	11246650	2013-09-12	3760	A
USGS	11246650	2013-09-13	3920	A
USGS	11246650	2013-09-14	3580	A
USGS	11246650	2013-09-15	3570	A
USGS	11246650	2013-09-16	3700	A
USGS	11246650	2013-09-17	3420	A
USGS	11246650	2013-09-18	3580	A
USGS	11246650	2013-09-19	3690	A
USGS	11246650	2013-09-20	3610	A
USGS	11246650	2013-09-21	3780	A
USGS	11246650	2013-09-22	3900	A
USGS	11246650	2013-09-23	3860	A
USGS	11246650	2013-09-24	3680	A
USGS	11246650	2013-09-25	3820	A
USGS	11246650	2013-09-26	3590	A
USGS	11246650	2013-09-27	3630	A
USGS	11246650	2013-09-28	4120	A
USGS	11246650	2013-09-29	4130	A
USGS	11246650	2013-09-30	4120	A
USGS	11246650	2013-10-01	3970	A
USGS	11246650	2013-10-02	3690	A
USGS	11246650	2013-10-03	3580	A
USGS	11246650	2013-10-04	3580	A
USGS	11246650	2013-10-05	3940	A
USGS	11246650	2013-10-06	3830	A
USGS	11246650	2013-10-07	3680	A
USGS	11246650	2013-10-08	3790	A
USGS	11246650	2013-10-09	3810	A
USGS	11246650	2013-10-10	3850	A
USGS	11246650	2013-10-11	3920	A
USGS	11246650	2013-10-12	3670	A
USGS	11246650	2013-10-13	3500	A
USGS	11246650	2013-10-14	3520	A
USGS	11246650	2013-10-15	3530	A
USGS	11246650	2013-10-16	3600	A
USGS	11246650	2013-10-17	3690	A
USGS	11246650	2013-10-18	3770	A
USGS	11246650	2013-10-19	3860	A
USGS	11246650	2013-10-20	3970	A
USGS	11246650	2013-10-21	3810	A
USGS	11246650	2013-10-22	3820	A
USGS	11246650	2013-10-23	3890	A
USGS	11246650	2013-10-24	3900	A
USGS	11246650	2013-10-25	3620	A
USGS	11246650	2013-10-26	3870	A
USGS	11246650	2013-10-27	3520	A
USGS	11246650	2013-10-28	3460	A
USGS	11246650	2013-10-29	3710	A
USGS	11246650	2013-10-30	3490	A
USGS	11246650	2013-10-31	3550	A
USGS	11246650	2013-11-01	3580	A
USGS	11246650	2013-11-02	3630	A
USGS	11246650	2013-11-03	3890	A
USGS	11246650	2013-11-04	3880	A
USGS	11246650	2013-11-05	3490	A
USGS	11246650	2013-11-06	3480	A
USGS	11246650	2013-11-07	3410	A
USGS	11246650	2013-11-08	3450	A
USGS	11246650	2013-11-09	3430	A
USGS	11246650	2013-11-10	3470	A
USGS	11246650	2013-11-11	3500	A
USGS	11246650	2013-11-12	3430	A
USGS	11246650	2013-11-13	3450	A
USGS	11246650	2013-11-14	3450	A
USGS	11246650	2013-11-15	3450	A
USGS	11246650	2013-11-16	3470	A
USGS	11246650	2013-11-17	3470	A
USGS	11246650	2013-11-18	3490	A
USGS	11246650	2013-11-19	3490	A
USGS	11246650	2013-11-20	3500	A
USGS	11246650	2013-11-21	3540	A
USGS	11246650	2013-11-22	3570	A
USGS	11246650	2013-11-23	3590	A
USGS	11246650	2013-11-24	3600	A
USGS	11246650	2013-11-25	3580	A
USGS	11246650	2013-11-26	3630	A
USGS	11246650	2013-11-27	3590	A
USGS	11246650	2013-11-28	3680	A
USGS	11246650	2013-11-29	3640	A
USGS	11246650	2013-11-30	3540	A
USGS	11246650	2013-12-01	3460	A
USGS	11246650	2013-12-02	3450	A
USGS	11246650	2013-12-03	3490	A
USGS	11246650	2013-12-04	3570	A
USGS	11246650	2013-12-05	3430	A
USGS	11246650	2013-12-06	3440	A
USGS	11246650	2013-12-07	3470	A
USGS	11246650	2013-12-08	3480	A
USGS	11246650	2013-12-09	3500	A
USGS	11246650	2013-12-10	3640	A
USGS	11246650	2013-12-11	3950	A
USGS	11246650	2013-12-12	3560	A
USGS	11246650	2013-12-13	3480	A
USGS	11246650	2013-12-14	3490	A
USGS	11246650	2013-12-15	3780	A
USGS	11246650	2013-12-16	3460	A
USGS	11246650	2013-12-17	3760	A
USGS	11246650	2013-12-18	3610	A
USGS	11246650	2013-12-19	3580	A
USGS	11246650	2013-12-20	3500	A
USGS	11246650	2013-12-21	3810	A
USGS	11246650	2013-12-22	3600	A
USGS	11246650	2013-12-23	3870	A
USGS	11246650	2013-12-24	3620	A
USGS	11246650	2013-12-25	3880	A
USGS	11246650	2013-12-26	3510	A
USGS	11246650	2013-12-27	3800	A
USGS	11246650	2013-12-28	3620	A
USGS	11246650	2013-12-29	3870	A
USGS	11246650	2013-12-30	3580	A
USGS	11246650	2013-12-31	3850	A
USGS	11246650	2014-01-01	3580	A
USGS	11246650	2014-01-02	3830	A
USGS	11246650	2014-01-03	3600	A
USGS	11246650	2014-01-04	3600	A
USGS	11246650	2014-01-05	3710	A
USGS	11246650	2014-01-06	3430	A
USGS	11246650	2014-01-07	3550	A
USGS	11246650	2014-01-08	3720	A
USGS	11246650	2014-01-09	3490	A
USGS	11246650	2014-01-10	3510	A
USGS	11246650	2014-01-11	3520	A
USGS	11246650	2014-01-12	3370	A
USGS	11246650	2014-01-13	3390	A
USGS	11246650	2014-01-14	3390	A
USGS	11246650	2014-01-15	3400	A
USGS	11246650	2014-01-16	3400	A
USGS	11246650	2014-01-17	3390	A
USGS	11246650	2014-01-18	3350	A
USGS	11246650	2014-01-19	3330	A
USGS	11246650	2014-01-20	3310	A
USGS	11246650	2014-01-21	3320	A
USGS	11246650	2014-01-22	3340	A
USGS	11246650	2014-01-23	3340	A
USGS	11246650	2014-01-24	3380	A
USGS	11246650	2014-01-25	3390	A
USGS	11246650	2014-01-26	3400	A
USGS	11246650	2014-01-27	3410	A
USGS	11246650	2014-01-28	3430	A
USGS	11246650	2014-01-29	3440	A
USGS	11246650	2014-01-30	3470	A
USGS	11246650	2014-01-31	3550	A
USGS	11246650	2014-02-01	3580	A
USGS	11246650	2014-02-02	3610	A
USGS	11246650	2014-02-03	3630	A
USGS	11246650	2014-02-04	3630	A
USGS	11246650	2014-02-05	3480	A
USGS	11246650	2014-02-06	3490	A
USGS	11246650	2014-02-07	3530	A
USGS	11246650	2014-02-08	3580	A
USGS	11246650	2014-02-09	3660	A
USGS	11246650	2014-02-10	3720	A
USGS	11246650	2014-02-11	3760	A
USGS	11246650	2014-02-12	3790	A
USGS	11246650	2014-02-13	3550	A
USGS	11246650	2014-02-14	3540	A
USGS	11246650	2014-02-15	3540	A
USGS	11246650	2014-02-16	3530	A
USGS	11246650	2014-02-17	3540	A
USGS	11246650	2014-02-18	3560	A
USGS	11246650	2014-02-19	3590	A
USGS	11246650	2014-02-20	3620	A
USGS	11246650	2014-02-21	3640	A
USGS	11246650	2014-02-22	3660	A
USGS	11246650	2014-02-23	3690	A
USGS	11246650	2014-02-24	3760	A
USGS	11246650	2014-02-25	3830	A
USGS	11246650	2014-02-26	3670	A
USGS	11246650	2014-02-27	3810	A
USGS	11246650	2014-02-28	3670	A
USGS	11246650	2014-03-01	3740	A
USGS	11246650	2014-03-02	3440	A
USGS	11246650	2014-03-03	3550	A
USGS	11246650	2014-03-04	3650	A
USGS	11246650	2014-03-05	3500	A
USGS	11246650	2014-03-06	3600	A
USGS	11246650	2014-03-07	3700	A
USGS	11246650	2014-03-08	3650	A
USGS	11246650	2014-03-09	3660	A
USGS	11246650	2014-03-10	3780	A
USGS	11246650	2014-03-11	3650	A
USGS	11246650	2014-03-12	3750	A
USGS	11246650	2014-03-13	3660	A
USGS	11246650	2014-03-14	3680	A
USGS	11246650	2014-03-15	3640	A
USGS	11246650	2014-03-16	3630	A
USGS	11246650	2014-03-17	3460	A
USGS	11246650	2014-03-18	3550	A
USGS	11246650	2014-03-19	3630	A
USGS	11246650	2014-03-20	3700	A
USGS	11246650	2014-03-21	3550	A
USGS	11246650	2014-03-22	3610	A
USGS	11246650	2014-03-23	3670	A
USGS	11246650	2014-03-24	3720	A
USGS	11246650	2014-03-25	3560	A
USGS	11246650	2014-03-26	3420	A
USGS	11246650	2014-03-27	3500	A
USGS	11246650	2014-03-28	3580	A
