agency_cd	site_no	datetime	213665_00054_32400	213665_00054_32400_cd
5s	15s	20d	14n	10s
USGS	11413940	2013-05-10	1050	A
USGS	11413940	2013-05-11	1050	A
USGS	11413940	2013-05-12	1040	A
USGS	11413940	2013-05-13	1040	A
USGS	11413940	2013-05-14	1040	A
USGS	11413940	2013-05-15	1040	A
USGS	11413940	2013-05-16	1040	A
USGS	11413940	2013-05-17	1040	A
USGS	11413940	2013-05-18	1040	A
USGS	11413940	2013-05-19	1040	A
USGS	11413940	2013-05-20	1040	A
USGS	11413940	2013-05-21	1040	A
USGS	11413940	2013-05-22	1040	A
USGS	11413940	2013-05-23	1030	A
USGS	11413940	2013-05-24	1030	A
USGS	11413940	2013-05-25	1030	A
USGS	11413940	2013-05-26	1030	A
USGS	11413940	2013-05-27	1030	A
USGS	11413940	2013-05-28	1030	A
USGS	11413940	2013-05-29	1030	A
USGS	11413940	2013-05-30	1030	A
USGS	11413940	2013-05-31	1030	A
USGS	11413940	2013-06-01	1030	A
USGS	11413940	2013-06-02	1020	A
USGS	11413940	2013-06-03	1020	A
USGS	11413940	2013-06-04	1020	A
USGS	11413940	2013-06-05	1020	A
USGS	11413940	2013-06-06	1020	A
USGS	11413940	2013-06-07	1010	A
USGS	11413940	2013-06-08	1010	A
USGS	11413940	2013-06-09	1010	A
USGS	11413940	2013-06-10	1010	A
USGS	11413940	2013-06-11	1010	A
USGS	11413940	2013-06-12	1010	A
USGS	11413940	2013-06-13	1010	A
USGS	11413940	2013-06-14	998.0	A
USGS	11413940	2013-06-15	1000	A
USGS	11413940	2013-06-16	999.0	A
USGS	11413940	2013-06-17	997.0	A
USGS	11413940	2013-06-18	995.0	A
USGS	11413940	2013-06-19	993.0	A
USGS	11413940	2013-06-20	989.0	A
USGS	11413940	2013-06-21	985.0	A
USGS	11413940	2013-06-22	978.0	A
USGS	11413940	2013-06-23	978.0	A
USGS	11413940	2013-06-24	985.0	A
USGS	11413940	2013-06-25	989.0	A
USGS	11413940	2013-06-26	988.0	A
USGS	11413940	2013-06-27	987.0	A
USGS	11413940	2013-06-28	985.0	A
USGS	11413940	2013-06-29	985.0	A
USGS	11413940	2013-06-30	983.0	A
USGS	11413940	2013-07-01	981.0	A
USGS	11413940	2013-07-02	977.0	A
USGS	11413940	2013-07-03	976.0	A
USGS	11413940	2013-07-04	974.0	A
USGS	11413940	2013-07-05	971.0	A
USGS	11413940	2013-07-06	968.0	A
USGS	11413940	2013-07-07	967.0	A
USGS	11413940	2013-07-08	966.0	A
USGS	11413940	2013-07-09	963.0	A
USGS	11413940	2013-07-10	960.0	A
USGS	11413940	2013-07-11	957.0	A
USGS	11413940	2013-07-12	956.0	A
USGS	11413940	2013-07-13	951.0	A
USGS	11413940	2013-07-14	949.0	A
USGS	11413940	2013-07-15	946.0	A
USGS	11413940	2013-07-16	944.0	A
USGS	11413940	2013-07-17	942.0	A
USGS	11413940	2013-07-18	939.0	A
USGS	11413940	2013-07-19	936.0	A
USGS	11413940	2013-07-20	934.0	A
USGS	11413940	2013-07-21	931.0	A
USGS	11413940	2013-07-22	929.0	A
USGS	11413940	2013-07-23	929.0	A
USGS	11413940	2013-07-24	925.0	A
USGS	11413940	2013-07-25	923.0	A
USGS	11413940	2013-07-26	921.0	A
USGS	11413940	2013-07-27	918.0	A
USGS	11413940	2013-07-28	916.0	A
USGS	11413940	2013-07-29	913.0	A
USGS	11413940	2013-07-30	913.0	A
USGS	11413940	2013-07-31	911.0	A
USGS	11413940	2013-08-01	908.0	A
USGS	11413940	2013-08-02	906.0	A
USGS	11413940	2013-08-03	903.0	A:e
USGS	11413940	2013-08-04	901.0	A:e
USGS	11413940	2013-08-05	898.0	A:e
USGS	11413940	2013-08-06	895.0	A:e
USGS	11413940	2013-08-07	892.0	A:e
USGS	11413940	2013-08-08	889.0	A
USGS	11413940	2013-08-09	887.0	A:e
USGS	11413940	2013-08-10	885.0	A
USGS	11413940	2013-08-11	883.0	A
USGS	11413940	2013-08-12	881.0	A
USGS	11413940	2013-08-13	879.0	A
USGS	11413940	2013-08-14	876.0	A
USGS	11413940	2013-08-15	874.0	A
USGS	11413940	2013-08-16	872.0	A
USGS	11413940	2013-08-17	869.0	A
USGS	11413940	2013-08-18	868.0	A
USGS	11413940	2013-08-19	867.0	A
USGS	11413940	2013-08-20	865.0	A
USGS	11413940	2013-08-21	864.0	A
USGS	11413940	2013-08-22	862.0	A
USGS	11413940	2013-08-23	863.0	A
USGS	11413940	2013-08-24	861.0	A
USGS	11413940	2013-08-25	862.0	A
USGS	11413940	2013-08-26	860.0	A
USGS	11413940	2013-08-27	857.0	A
USGS	11413940	2013-08-28	854.0	A
USGS	11413940	2013-08-29	854.0	A
USGS	11413940	2013-08-30	853.0	A
USGS	11413940	2013-08-31	850.0	A
USGS	11413940	2013-09-01	844.0	A
USGS	11413940	2013-09-02	848.0	A
USGS	11413940	2013-09-03	844.0	A
USGS	11413940	2013-09-04	839.0	A
USGS	11413940	2013-09-05	842.0	A
USGS	11413940	2013-09-06	841.0	A
USGS	11413940	2013-09-07	841.0	A
USGS	11413940	2013-09-08	836.0	A
USGS	11413940	2013-09-09	834.0	A
USGS	11413940	2013-09-10	833.0	A
USGS	11413940	2013-09-11	833.0	A
USGS	11413940	2013-09-12	832.0	A
USGS	11413940	2013-09-13	831.0	A
USGS	11413940	2013-09-14	832.0	A
USGS	11413940	2013-09-15	823.0	A
USGS	11413940	2013-09-16	821.0	A
USGS	11413940	2013-09-17	819.0	A
USGS	11413940	2013-09-18	816.0	A
USGS	11413940	2013-09-19	808.0	A
USGS	11413940	2013-09-20	800.0	A
USGS	11413940	2013-09-21	804.0	A
USGS	11413940	2013-09-22	798.0	A
USGS	11413940	2013-09-23	791.0	A
USGS	11413940	2013-09-24	782.0	A
USGS	11413940	2013-09-25	777.0	A
USGS	11413940	2013-09-26	769.0	A
USGS	11413940	2013-09-27	763.0	A
USGS	11413940	2013-09-28	755.0	A
USGS	11413940	2013-09-29	749.0	A
USGS	11413940	2013-09-30	741.0	A
USGS	11413940	2013-10-01	734.0	A
USGS	11413940	2013-10-02	729.0	A
USGS	11413940	2013-10-03	722.0	A
USGS	11413940	2013-10-04	713.0	A
USGS	11413940	2013-10-05	705.0	A
USGS	11413940	2013-10-06	697.0	A
USGS	11413940	2013-10-07	691.0	A
USGS	11413940	2013-10-08	686.0	A
USGS	11413940	2013-10-09	675.0	A
USGS	11413940	2013-10-10	662.0	A
USGS	11413940	2013-10-11	650.0	A
USGS	11413940	2013-10-12	636.0	A
USGS	11413940	2013-10-13		
USGS	11413940	2013-10-14		
USGS	11413940	2013-10-15		
USGS	11413940	2013-10-16		
USGS	11413940	2013-10-17		
USGS	11413940	2013-10-18		
USGS	11413940	2013-10-19		
USGS	11413940	2013-10-20		
USGS	11413940	2013-10-21		
USGS	11413940	2013-10-22		
USGS	11413940	2013-10-23		
USGS	11413940	2013-10-24		
USGS	11413940	2013-10-25		
USGS	11413940	2013-10-26		
USGS	11413940	2013-10-27		
USGS	11413940	2013-10-28		
USGS	11413940	2013-10-29		
USGS	11413940	2013-10-30		
USGS	11413940	2013-10-31		
USGS	11413940	2013-11-01		
USGS	11413940	2013-11-02		
USGS	11413940	2013-11-03		
USGS	11413940	2013-11-04		
USGS	11413940	2013-11-05		
USGS	11413940	2013-11-06		
USGS	11413940	2013-11-07		
USGS	11413940	2013-11-08		
USGS	11413940	2013-11-09		
